PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-21,ABT,23.178,20.1218,16.9136,17.0261,65.38,4984294.0,4647818.0,5434702.0,2811.5100978863334,2621.7127721875677,3065.5734898469173,0.07696545757288843,18859.0,221690.8149,21.71,20.35,18.9,16.33,2.66196269502976,22.558269047980602,22.00502860711615,18.75868959282604,23.2005,19.49,Medical Products
2021-10-22,ABT,23.0568,20.3363,18.2499,17.3948,68.5,5742356.0,4663666.0,5429887.0,3239.113126162232,2630.652254342384,3062.857519679669,0.06946363793401278,16085.0,224651.4166,22.11,20.41,20.83,16.55,2.66196269502976,22.43372115100568,21.877331332683152,18.988593883960974,23.1492,19.44,Medical Products
2021-10-25,ABT,22.9443,20.468,18.1336,17.6701,67.95,4427034.0,4655405.0,5423632.0,2497.174307388837,2625.9924266426524,3059.3292220326143,0.05055724417426545,11976.0,224403.2233,21.97,20.41,20.84,16.44,2.66196269502976,22.318080583488346,21.75873393582448,19.129574590147058,23.59,19.55,Medical Products
2021-10-26,ABT,22.9748,20.6609,17.1722,17.5369,70.73,3994004.0,4629741.0,5420593.0,2252.9133358051918,2611.5159724987916,3057.614929196934,0.03831532738281527,9182.0,227151.0956,19.63,20.47,22.19,16.31,2.66196269502976,22.349435193782405,21.79089339701335,19.33583173308043,23.8764,19.16,Medical Products
2021-10-27,ABT,22.7223,20.6447,18.0246,17.5913,69.01,4128838.0,4634853.0,5426361.0,2328.969779233637,2614.399636941522,3060.868646387196,0.030424239912126172,7340.0,226406.502,18.93,20.45,16.38,16.28,2.66196269502976,22.08978804178708,21.524509687563153,19.318520597861525,25.6472,19.26,Medical Products
2021-10-28,ABT,22.615,20.7935,17.9576,17.7296,69.01,3645516.0,4630653.0,5425587.0,2056.340450681933,2612.0305265349666,3060.432053183702,0.031066303375422284,7605.0,226406.502,18.81,20.44,13.02,16.23,2.66196269502976,21.97940043406734,21.411207929493372,19.477454716928495,25.6472,19.26,Medical Products
2021-10-29,ABT,22.6036,20.7291,17.2987,17.6826,71.3,4692322.0,4630584.0,5431800.0,2646.8163939701867,2611.991599224444,3063.936637078031,0.031630751384938184,7417.0,228498.427,18.68,20.48,11.11,16.69,2.66196269502976,21.967670595697662,21.399166641717617,19.408688436110257,24.071,20.13,Medical Products
2021-11-01,ABT,22.3821,20.6147,16.882,17.7589,71.39,3494822.0,4628475.0,5421938.0,1971.3378459008427,2610.8019053061653,3058.3736675366936,0.030309160176662957,7192.0,228587.0733,18.49,20.45,11.08,16.69,2.66196269502976,21.739692243706664,21.165065565927268,19.286457841967767,25.756,20.81,Medical Products
2021-11-02,ABT,22.8702,21.1616,17.8412,18.6635,65.61,8069948.0,4691702.0,5444011.0,4552.047092181125,2646.4666744420615,3070.824550833792,0.08704584560240652,21905.0,226406.502,18.1,20.48,9.72,17.13,2.66196269502976,22.24189439955778,21.680582280925947,19.869950039192346,26.4188,20.98,Medical Products
2021-11-03,ABT,22.7074,20.7953,17.1549,17.7677,67.89,5110642.0,4721102.0,5414114.0,2890.1655732876643,2669.873270007866,3061.7847802007595,0.041696771938002565,10734.0,227578.5275,18.27,20.38,10.91,13.92,2.66196269502976,22.074461107829553,21.508779945873265,19.479376327028543,26.3266,21.19,Medical Products
