PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-26,ADSK,32.0814,28.9681,29.4656,28.111,41.64,5486136.0,1177947.0,1199352.0,24935.472465320192,5353.980467146007,5451.270032720061,0.5360337264285308,47045.0,68245.9307,38.03,27.87,20.18,17.92,4.176010295713002,30.975150976232484,31.496130333106006,28.318559596314216,31.6514,43.44,Computer Aided Design
2021-08-27,ADSK,31.0328,27.1013,26.2988,25.3908,46.24,1840676.0,1176765.0,1202358.0,8366.202353557288,5348.607855257439,5464.9326276967995,0.18783333333333332,14651.0,69445.006,37.65,27.67,18.44,19.25,4.176010295713002,29.887763848779255,30.427367218344738,26.405879301587362,31.3844,26.93,Computer Aided Design
2021-08-30,ADSK,30.5978,27.0297,24.1236,25.1014,44.7,1411918.0,1180239.0,1193528.0,6417.420392140529,5364.397809362545,5424.798696376632,0.09853599426268021,7969.0,68949.976,37.73,26.73,17.08,19.55,4.176010295713002,29.43584748024755,29.9835849230875,26.332388461550536,32.7531,27.27,Computer Aided Design
2021-08-31,ADSK,30.2769,26.9657,24.3141,24.8789,42.45,1567030.0,1185977.0,1191512.0,7122.432655885776,5390.478366036033,5415.635934653307,0.07476724301729051,6296.0,68223.928,37.89,26.44,17.97,19.88,4.176010295713002,29.10213781924613,29.6560394120658,26.26668948478281,32.4315,27.15,Computer Aided Design
2021-09-01,ADSK,31.326,28.3603,26.5393,26.477,38.12,3085384.0,1219506.0,1205701.0,14034.013688984056,5546.9801806835685,5484.18749135335,0.14335633501620407,13005.0,66667.4456,38.22,26.44,22.2,21.22,4.176010295713002,30.19208551989074,30.726344982766825,27.696509095732623,32.8215,27.12,Computer Aided Design
2021-09-02,ADSK,31.9169,28.3462,27.1316,26.3506,30.27,5475722.0,1281680.0,1237252.0,24906.57719646155,5829.781325852708,5627.698493363331,0.379693482894648,39367.0,63200.4065,42.43,27.13,43.87,34.14,4.176010295713002,30.804744077015084,31.328557349645067,27.682070992611806,32.3659,26.03,Computer Aided Design
2021-09-03,ADSK,31.6114,27.9414,24.6261,25.1947,31.57,1819609.0,1292612.0,1237454.0,8276.576534639335,5879.506062892204,5628.617323334619,0.15804907365192522,15253.0,63481.8148,42.46,27.06,42.2,32.57,4.176010295713002,30.48810197438332,31.017263095895483,27.267413407949057,33.4603,22.95,Computer Aided Design
2021-09-06,ADSK,31.7386,28.1509,23.8959,24.7107,30.95,2177358.0,1312094.0,1237091.0,9903.814859402519,5968.121022878594,5626.966363929644,0.11399019713772138,11605.0,63198.2059,42.29,27.05,42.02,32.07,4.176010295713002,30.619968680591366,31.146889571191537,27.482051794034593,32.6761,23.22,Computer Aided Design
2021-09-07,ADSK,31.7386,28.1509,23.8959,24.7107,30.95,2177358.0,1312094.0,1237091.0,9903.814859402519,5968.121022878594,5626.966363929644,0.11399019713772138,11605.0,63198.2059,42.29,27.05,42.02,32.07,4.176010295713002,30.619968680591366,31.146889571191537,27.482051794034593,32.3457,23.24,Computer Aided Design
2021-09-08,ADSK,31.8634,28.4259,24.3341,24.9186,33.27,1504351.0,1316286.0,1227652.0,6842.610844342416,5987.188400749626,5584.0325085559525,0.10873132227152248,11199.0,63659.8932,42.36,25.93,41.66,32.08,4.176010295713002,30.74930912395262,31.274050897829014,27.763677544770612,32.1029,24.12,Computer Aided Design
2021-09-09,ADSK,31.9378,28.3179,24.3011,25.7744,32.23,1444831.0,1316505.0,1227947.0,6571.881453694505,5988.18463418634,5585.374424704209,0.08240742523733416,8559.0,63246.5733,42.39,25.26,38.8,31.61,4.176010295713002,30.82639811720461,31.349849582414265,27.653091335508947,32.082,24.54,Computer Aided Design
2021-09-10,ADSK,32.3029,28.479,26.178,26.7916,30.46,1565311.0,1325645.0,1224263.0,7119.890384451165,6029.758360284803,5568.61758573174,0.0929028879848552,9226.0,62532.0593,42.49,25.31,11.54,32.07,4.176010295713002,31.20450448974308,31.721717299194257,27.818041645665854,32.1502,24.4,Computer Aided Design
2021-09-13,ADSK,32.0538,28.559,24.0129,25.5132,28.78,1518076.0,1331076.0,1228934.0,6905.039621920294,6054.461383874837,5589.863724032917,0.11447236772408922,11670.0,61839.5318,42.51,24.72,13.63,31.36,4.176010295713002,30.946564372808755,31.468017008384884,27.899936935412597,32.2167,24.11,Computer Aided Design
2021-09-14,ADSK,32.1317,28.4376,24.491,25.6742,27.76,1278843.0,1333038.0,1232163.0,5816.876995901765,6063.385479580291,5604.550840018132,0.05311251273211627,5423.0,61415.222,42.57,24.52,14.13,31.35,4.176010295713002,31.027244430184194,31.54736351725767,27.775656495571802,31.743,25.74,Computer Aided Design
2021-09-15,ADSK,31.6344,28.095,22.9529,24.5175,36.88,1430073.0,1336567.0,1235225.0,6504.753952033253,6079.43753599098,5618.478707310937,0.056501107864860095,5763.0,63013.5323,43.41,24.66,22.48,33.48,4.176010295713002,30.51194873160998,31.04070333223782,27.424788513314006,30.9098,25.13,Computer Aided Design
2021-09-16,ADSK,31.6364,28.2022,23.6824,25.095,41.23,1433244.0,1329400.0,1237983.0,6519.1774423448605,6046.838146089052,5631.023641198859,0.06996891996891996,7204.0,63906.1246,43.29,24.72,24.16,32.32,4.176010295713002,30.514022301237112,31.04274158253423,27.534597960384314,30.5668,24.77,Computer Aided Design
2021-09-17,ADSK,32.0475,29.031,25.7191,26.3231,39.44,2113743.0,1336976.0,1243879.0,9614.458976000455,6081.29791743707,5657.841855234279,0.08611323022863351,7450.0,63349.9032,43.38,24.72,23.61,18.58,4.176010295713002,30.94003891869556,31.461599709010347,28.382899094349046,30.7423,24.65,Computer Aided Design
2021-09-20,ADSK,33.92,31.33,30.0221,29.08,36.34,1168746.0,1336752.0,1234868.0,5316.095658976175,6080.278781127568,5616.85465807677,0.05910015107284437,5203.0,62349.5864,43.13,24.33,24.95,20.1,4.176010295713002,32.87567721036931,33.36699566937365,30.730423036463392,30.6381,24.48,Computer Aided Design
2021-09-21,ADSK,33.0148,30.1791,27.8706,27.3532,36.06,720011.0,1334227.0,1225880.0,3275.0036378816594,6068.793780594925,5575.972394319488,0.05483856461912043,4878.0,62259.4469,42.92,24.3,24.49,19.99,4.176010295713002,31.940894963673074,32.44637143102445,29.556185085528206,30.785,24.58,Computer Aided Design
2021-09-22,ADSK,32.5882,29.1521,25.6022,26.8217,39.98,1054836.0,1335943.0,1223662.0,4797.970589166977,6076.598848355099,5565.883499502522,0.05354727107405025,4829.0,62969.5663,43.03,24.24,18.22,20.46,4.176010295713002,31.499754463811236,32.01219735100982,28.506752435344158,31.1163,25.57,Computer Aided Design
2021-09-23,ADSK,32.0371,28.4718,23.7568,25.4151,46.21,1061674.0,1340169.0,1222811.0,4829.073722350984,6095.821223284544,5562.0128848419845,0.056385699515698974,5181.0,64231.5056,43.35,24.35,20.75,22.52,4.176010295713002,30.929266535926715,31.451005968172147,27.81067052841409,31.1108,24.85,Computer Aided Design
2021-09-24,ADSK,31.6514,28.3276,23.4496,25.2527,48.68,1067759.0,1326135.0,1224016.0,4856.751464825851,6031.986715922629,5567.493695646938,0.11728977954977325,10061.0,64783.3324,43.44,24.18,20.71,22.21,4.176010295713002,30.52957376054235,31.05802830122994,27.663024450699528,31.1218,24.93,Computer Aided Design
2021-09-27,ADSK,31.3844,28.2772,22.1711,25.1199,48.1,1677529.0,1337115.0,1224362.0,7630.31908160637,6081.9300881249155,5569.0677963801145,0.13141097844859953,12250.0,64649.2201,26.93,24.18,17.42,21.52,4.176010295713002,30.25267451648525,30.785882533395075,27.61141140615597,30.722,24.94,Computer Aided Design
2021-09-28,ADSK,32.7531,30.7694,28.6171,27.9579,42.61,1835859.0,1347731.0,1228331.0,8350.49023440553,6130.217273824188,5587.120808361415,0.05725324159830643,5409.0,63283.9508,27.27,24.09,23.06,23.79,4.176010295713002,31.67032225365565,32.18004909272204,30.158679950554866,31.2165,24.3,Computer Aided Design
