PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-06,AEE,16.3527,16.7945,19.51,18.2823,65.69,1396077.0,1302657.0,1374556.0,5466.023281362954,5100.258431039564,5381.762680380191,0.03384841795437822,230.0,22184.9125,15.74,16.87,13.09,15.71,0.0,16.3527,16.044475600342942,16.494533344414446,18.6041,13.88,Electric-Integrated
2021-08-09,AEE,17.7993,16.7698,14.55,15.3153,68.58,1165117.0,1305573.0,1373956.0,4561.751795171456,5111.675459612539,5379.413612097835,0.11697513013302487,809.0,22402.0106,16.09,16.93,14.51,15.52,0.0,17.7993,17.51654876081473,16.469383474799535,18.6041,13.88,Electric-Integrated
2021-08-10,AEE,18.0292,16.7249,14.01,15.2096,68.36,811199.0,1287661.0,1367101.0,3176.065961570322,5041.545011941093,5352.57434011722,0.026483500920549498,187.0,22394.3486,15.58,16.77,12.43,15.5,0.0,18.0292,17.75011134162262,16.423662198486674,18.2684,16.25,Electric-Integrated
2021-08-11,AEE,17.4961,16.6714,14.2806,15.4926,70.0,837710.0,1281928.0,1367932.0,3279.8636465194218,5019.098548012259,5355.827718077384,0.031116028211865578,225.0,22516.9463,15.66,16.78,11.18,11.83,0.0,17.4961,17.20836759283111,16.369177681239822,18.4738,16.39,Electric-Integrated
2021-08-12,AEE,17.889,17.2057,16.5836,16.5193,68.11,910378.0,1281183.0,1361573.0,3564.3789529729197,5016.18198166773,5330.930826685396,0.02237991266375546,164.0,22455.6465,15.49,16.5,10.94,10.92,0.0,17.889,17.607689257821427,16.913027892426594,18.4916,16.64,Electric-Integrated
2021-08-13,AEE,17.379,16.4007,13.3797,15.0443,71.32,689913.0,1280074.0,1355254.0,2701.1982165390677,5011.8400520616815,5306.190327994164,0.02580909463334699,189.0,22690.6232,15.51,16.51,11.01,12.1,0.0,17.379,17.08929609433929,16.093394933636596,18.8045,17.02,Electric-Integrated
2021-08-16,AEE,18.715,16.8472,13.2795,15.213,73.67,705193.0,1276031.0,1350944.0,2761.0234645517226,4996.0103581507465,5289.315241778297,0.1333245243128964,1009.0,22887.29,15.27,16.56,10.53,12.68,0.0,18.715,18.446290277451453,16.548188657372748,18.8847,16.64,Electric-Integrated
2021-08-17,AEE,17.8531,16.4673,14.002,15.0934,74.74,708123.0,1259036.0,1345963.0,2772.495131406722,4929.470134801149,5269.813103872612,0.030405405405405407,234.0,22981.7924,14.68,16.48,10.93,11.7,0.0,17.8531,17.571214517215367,16.161261376823287,18.7216,16.55,Electric-Integrated
2021-08-18,AEE,17.8109,17.6823,16.9219,16.9516,69.07,624642.0,1248993.0,1337828.0,2445.6442582514387,4890.149171919658,5237.962491680044,0.011513583441138422,89.0,22803.0048,14.93,16.46,11.63,11.41,0.0,17.8109,17.528335882507502,17.397647349282604,18.7219,16.53,Electric-Integrated
2021-08-19,AEE,18.309,18.2897,17.1309,17.2283,70.09,960045.0,1242183.0,1333734.0,3758.83877917706,4863.486223285885,5221.933430523503,0.035023391073460614,277.0,22877.0734,13.23,16.42,11.69,11.33,0.0,18.309,18.03424190255859,18.01464754276364,19.3389,17.36,Electric-Integrated
2021-08-20,AEE,18.4884,17.5527,14.9791,17.8415,70.16,1589586.0,1215056.0,1334931.0,6223.664239309149,4757.276785249755,5226.620218500416,0.021204535414519218,144.0,22882.1807,13.21,16.37,9.06,10.08,0.0,18.4884,18.216348002824276,17.265910844493554,20.8966,17.33,Electric-Integrated
2021-08-23,AEE,18.4056,17.7013,17.0433,17.0747,55.35,1486361.0,1207279.0,1332386.0,5819.50967763459,4726.827348204783,5216.655456746269,0.009102921744237264,62.0,22361.146,14.97,16.62,17.66,14.54,0.0,18.4056,18.13230573755031,17.416957877023187,19.9464,17.47,Electric-Integrated
2021-08-24,AEE,18.0965,17.3856,16.4792,16.5935,52.88,1166843.0,1203788.0,1323253.0,4568.5095374922485,4713.159318878992,5180.897473794873,0.3539385718438136,3653.0,22256.427,15.04,16.43,17.74,14.73,0.0,18.0965,17.818465485276782,17.09600793635754,18.7527,15.77,Electric-Integrated
2021-08-25,AEE,17.9054,16.984,15.3353,15.5397,53.96,788855.0,1198988.0,1316357.0,3088.583228672757,4694.36617398621,5153.897931997622,0.017422937009381582,182.0,22307.5082,13.25,16.34,16.93,14.52,0.0,17.9054,17.624351028052068,16.68744006730811,19.415,15.73,Electric-Integrated
2021-08-26,AEE,17.9149,17.254,14.7428,15.1516,55.5,908800.0,1179195.0,1314507.0,3558.200476708891,4616.870830911907,5146.654306819074,0.004582776398701547,48.0,22379.0246,12.89,16.32,16.92,14.54,0.0,17.9149,17.63400243875451,16.96216130096634,19.5386,15.74,Electric-Integrated
2021-08-27,AEE,17.5767,16.5054,13.7881,14.3079,57.68,911927.0,1170846.0,1311534.0,3570.443775186587,4584.18251943644,5135.014542003433,0.011374407582938388,120.0,22481.1871,12.98,16.34,17.23,13.76,0.0,17.5767,17.290308929860103,16.20008114671035,20.0127,16.72,Electric-Integrated
