PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,AEP,18.5527,17.812,15.8803,16.237,52.6,2897591.0,2546459.0,2675773.0,5753.164664139564,5055.992352778625,5312.74519863525,0.012037970833533432,752.0,42664.3331,14.21,15.19,8.54,11.25,0.0,18.5527,17.899393210106314,17.13046829482487,19.8754,15.07,Electric-Integrated
2021-11-01,AEP,18.7526,17.9029,15.5382,16.1753,55.23,2079547.0,2544536.0,2670838.0,4128.939028844196,5052.174344075463,5302.94687156394,0.010832283075155944,679.0,42875.8659,14.29,15.18,8.68,11.02,0.0,18.7526,18.10650730428152,17.224965265857577,21.022,17.83,Electric-Integrated
2021-11-02,AEP,18.7252,18.0793,15.4862,16.2431,56.28,2071379.0,2543136.0,2670705.0,4112.721191585498,5049.394302193841,5302.682440042768,0.011259642566240237,705.0,42961.4896,12.48,15.18,4.45,10.65,0.0,18.7252,18.07812808451141,17.4082362257065,21.7226,18.05,Electric-Integrated
2021-11-03,AEP,18.7573,18.0247,15.5243,16.2681,53.35,2067879.0,2518520.0,2664300.0,4105.7720764149235,5000.519416219476,5289.965487918916,0.009738089934124686,612.0,42775.1371,12.57,15.19,4.99,9.72,0.0,18.7573,18.111374969615092,17.351524719459093,21.6655,18.57,Electric-Integrated
2021-11-04,AEP,19.1346,18.4104,15.9076,16.6877,46.04,2690233.0,2516575.0,2671659.0,5341.455495745248,4996.657673965451,5304.576833421958,0.0930163181289341,6236.0,42251.3389,11.65,15.21,10.02,9.48,0.0,19.1346,18.50185172246281,17.751857034124626,22.5286,19.02,Electric-Integrated
2021-11-05,AEP,18.9449,18.3286,15.7512,16.7556,53.69,1940120.0,2513746.0,2673858.0,3852.106657233273,4991.040606350902,5308.942850079606,0.017528483786152498,1180.0,42830.5391,12.45,15.3,13.92,11.55,0.0,18.9449,18.305595756762468,17.667008177957015,21.7003,19.15,Electric-Integrated
2021-11-08,AEP,19.3547,18.8201,16.9013,17.7865,46.72,4155074.0,2550732.0,2686150.0,8249.89593227427,5064.476240645007,5333.348565748415,0.10544696836297471,7186.0,42256.3765,13.09,15.35,16.53,13.2,0.0,19.3547,18.72938899403822,18.17640679589891,20.9496,18.64,Electric-Integrated
2021-11-09,AEP,19.7788,19.3395,17.6978,18.2372,46.25,3267295.0,2563239.0,2678162.0,6487.2115286861945,5089.308921165084,5317.488442913565,0.010405781316691932,707.0,41823.2357,12.31,15.4,18.02,13.12,0.0,19.7788,19.167329742037623,18.713681098330174,20.026,18.05,Electric-Integrated
2021-11-10,AEP,19.4573,18.7324,16.8775,17.6345,53.37,4234871.0,2573485.0,2663611.0,8408.332941976772,5109.652384023762,5288.597484058356,0.013866650998134465,944.0,42397.3983,13.19,15.41,20.22,14.73,0.0,19.4573,18.83539549067128,18.085585690267262,20.2186,18.16,Electric-Integrated
2021-11-11,AEP,19.4085,18.7443,16.7089,17.8711,44.71,2882739.0,2590460.0,2657153.0,5723.675932038706,5143.356216053201,5275.7751131283285,0.022838878396048236,1572.0,41606.6653,14.21,15.46,22.61,17.48,0.0,19.4085,18.78497996405639,18.097910997957747,19.5877,17.64,Electric-Integrated
