PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,ALK,38.5972,38.7552,40.9238,40.9238,22.13,3103912.0,1637405.0,1743931.0,23063.84659684159,12166.85838287342,12958.407667316776,33.15,37.44,45.71,39.81,37.09593303638554,37.260299610174904,40.5569,39.55,Airlines
2021-07-20,ALK,37.3732,37.7108,37.9449,37.9449,36.14,2404441.0,1647738.0,1749104.0,17866.37667427653,12243.639069754285,12996.846629417721,37.05,36.89,51.78,45.02,35.82067110259103,36.17276374069308,40.5353,35.8,Airlines
2021-07-21,ALK,37.1828,36.9393,36.9608,36.9608,44.33,2659063.0,1663338.0,1760581.0,19758.36405600591,12359.555885734471,13082.127180923108,38.14,36.98,58.16,46.86,35.62197377799271,35.367729422313786,41.3591,33.88,Airlines
2021-07-22,ALK,38.6719,37.0788,35.9139,35.9991,45.66,4907429.0,1703178.0,1790257.0,36465.013956483795,12655.590033065413,13302.636979708279,37.96,36.98,58.16,46.86,37.17364993661505,35.51340323652466,40.843,33.88,Airlines
2021-07-23,ALK,37.9658,37.3016,35.5283,35.6535,46.61,1920049.0,1714826.0,1794879.0,14267.065955304555,12742.141291118658,13336.981022250517,37.93,36.89,57.71,46.89,36.4385286426332,35.745961486019645,39.854,34.22,Airlines
2021-07-26,ALK,37.447,36.9563,35.8891,36.1084,53.98,2326877.0,1722650.0,1805753.0,17290.031123380177,12800.277846525993,13417.780815718717,40.23,37.19,56.94,48.91,35.89766300192814,35.38548444899405,39.8644,33.72,Airlines
2021-07-27,ALK,38.5797,37.9661,37.1941,37.4234,50.13,1552476.0,1734154.0,1796011.0,11535.787685805371,12885.759495470544,13345.392506789793,40.83,37.24,53.84,49.94,37.077724472923094,36.43884121661939,39.8485,33.11,Airlines
2021-07-28,ALK,39.2584,38.0192,36.5535,36.9143,51.18,1586244.0,1743058.0,1786934.0,11786.703300583467,12951.921319613135,13277.945181021845,39.61,37.23,41.32,46.84,37.78341396115496,36.494163487330404,39.9672,33.18,Airlines
2021-07-29,ALK,39.7109,38.064,35.6007,36.141,48.57,1423412.0,1751536.0,1768319.0,10576.76838636541,13014.918092850787,13139.62541850799,39.18,37.05,33.16,47.34,38.25336558801069,36.54083326909773,39.555,33.43,Airlines
2021-07-30,ALK,39.6032,38.8465,36.9252,37.7004,45.99,2072561.0,1758714.0,1761893.0,15400.318026777572,13068.254646375228,13091.876441346341,39.47,36.14,34.47,47.53,38.14155018139667,37.355253475916875,39.5439,34.3,Airlines
2021-08-02,ALK,39.3616,38.828,36.4266,37.6299,42.05,2440296.0,1778592.0,1763527.0,18132.800141929074,13215.959568033515,13104.017969908467,39.75,35.92,26.31,44.35,37.89063148800769,37.33601457038499,39.2988,33.58,Airlines
2021-08-03,ALK,39.719,39.2784,36.187,37.7862,43.97,1833551.0,1777886.0,1756745.0,14641.150013688102,14196.657542242285,14027.843829158013,39.65,35.55,22.64,41.3,38.26177414861993,37.80419429851666,39.3131,33.46,Airlines
2021-08-04,ALK,39.7734,39.7395,38.1598,39.2625,38.44,2127444.0,1799327.0,1754662.0,16987.92395452828,14367.865967484693,14011.20998808923,40.49,35.76,33.21,37.48,38.31824301243469,38.28305447910341,38.9321,31.44,Airlines
2021-08-05,ALK,39.8351,39.5755,36.9678,38.4683,47.24,2223753.0,1818765.0,1760241.0,17756.96420989991,14523.081030680392,14055.759087361965,41.9,36.17,43.14,38.48,38.38228226682202,38.112787883465046,38.7299,28.37,Airlines
2021-08-06,ALK,39.7998,39.6722,36.222,38.404,48.27,1499582.0,1829405.0,1758306.0,11974.362786467533,14608.043543719274,14040.308521723107,41.93,35.81,42.15,38.5,38.345644864052026,38.213189514093166,39.0237,28.31,Airlines
2021-08-09,ALK,40.6365,39.6321,35.8137,37.9747,45.21,1345166.0,1837819.0,1759730.0,10741.330008656692,14675.229953165212,14051.678867986138,41.31,35.53,40.82,34.34,39.213384605897,38.17155682455197,39.0237,28.31,Airlines
2021-08-10,ALK,40.0167,39.4215,34.9078,37.7487,50.67,1621283.0,1843083.0,1758597.0,12946.161068922436,14717.263661799187,14042.631679554888,42.39,35.74,44.98,35.61,38.5707230796883,37.95285315032323,39.2535,28.02,Airlines
2021-08-11,ALK,39.8574,39.2556,35.3058,37.6517,53.61,2010063.0,1846399.0,1764282.0,16050.621172189643,14743.742301465072,14088.027103087361,41.03,35.05,39.45,36.46,38.40542585052273,37.780504646709,38.9749,28.49,Airlines
2021-08-12,ALK,40.1025,39.7033,35.4023,38.254,50.73,1174908.0,1839727.0,1762140.0,9381.797358277308,14690.465899075874,14070.923337754764,41.35,34.95,28.55,36.58,38.65973236133432,38.245475953241844,39.357,30.69,Airlines
2021-08-13,ALK,39.8618,39.3147,34.7926,37.8784,47.71,1095399.0,1834106.0,1760077.0,8746.907389758904,14645.581495876064,14054.45003861121,41.56,34.79,30.58,36.82,38.40999217963992,37.84190846257625,38.6027,30.96,Airlines
2021-08-16,ALK,39.8812,39.5248,34.2451,38.1853,46.87,1416993.0,1823870.0,1763586.0,11314.878127179954,14563.84524822614,14082.469466539911,39.08,34.79,28.1,35.04,38.43012507707983,38.06013945113706,39.1483,30.88,Airlines
2021-08-17,ALK,40.5569,40.2817,38.739,39.9712,40.59,1861747.0,1830136.0,1764277.0,14866.297988840675,14613.879939704437,14087.987044887333,39.55,35.19,33.34,39.59,39.13088981367533,38.845588615568694,38.8204,30.84,Airlines
2021-08-18,ALK,40.5353,40.2528,39.2313,40.0596,39.61,2306299.0,1851803.0,1769492.0,18416.064455854288,14786.861290554407,14129.598428529222,35.8,34.73,31.5,35.7,39.108502222534675,38.815619379832135,38.8125,28.26,Airlines
2021-08-19,ALK,41.3591,42.2499,44.3675,43.1983,37.08,1745927.0,1866078.0,1772430.0,13941.460399580346,14900.882190107659,14153.090396120911,33.88,34.81,31.95,30.3,39.96172609898126,40.88298484712191,38.816,28.18,Airlines
2021-08-20,ALK,40.843,40.9153,33.9868,40.3913,38.82,1248955.0,1868779.0,1771160.0,9973.07272589488,14922.450268924908,14142.949497136386,33.88,34.82,30.16,30.37,39.427338852628644,39.50222998882468,39.6891,27.58,Airlines
2021-08-23,ALK,39.854,39.3229,37.5774,37.8116,42.49,2324140.0,1892375.0,1773460.0,18558.56761506787,15110.866553032116,14161.314431410443,34.22,34.45,31.74,29.97,38.401897296878445,37.85042753272411,39.3407,27.96,Airlines
2021-08-24,ALK,39.8644,39.4211,38.3542,38.5317,50.28,1393683.0,1887073.0,1752599.0,11128.745051107859,15068.530153434649,13994.737288053728,33.72,34.68,30.22,31.82,38.412690446778136,37.95243767151196,37.8918,28.69,Airlines
2021-08-25,ALK,39.8485,39.0946,37.7238,37.9452,52.13,1336467.0,1890134.0,1738718.0,10671.867448112938,15092.97237206119,13883.895394086074,33.11,34.12,30.62,31.06,38.396189293340036,37.613191158953796,36.8148,29.47,Airlines
2021-08-26,ALK,39.9672,39.6171,38.3763,38.6232,50.35,1343932.0,1897858.0,1723980.0,10731.47646068383,15154.649530423038,13766.21048437697,33.18,34.08,28.84,30.44,38.519364945959325,38.15598265554171,37.1324,29.83,Airlines
2021-08-27,ALK,39.555,38.2915,35.4395,36.0896,54.04,1415551.0,1901764.0,1719058.0,11303.363474765743,15185.839108039485,13726.90733728693,33.43,33.94,31.18,30.67,38.091500692411685,36.77775648744768,36.5716,29.81,Airlines
2021-08-30,ALK,39.5439,38.326,36.3258,36.8129,48.51,1247142.0,1891696.0,1711666.0,9958.595557063749,15105.445395083532,13667.881783130613,34.3,34.12,34.82,33.31,38.07997409676115,36.81367512216079,37.1538,29.15,Airlines
2021-08-31,ALK,39.2988,38.1,35.1971,36.0857,50.83,1413678.0,1889472.0,1703613.0,11288.407638756458,15087.686275103979,13603.577337049035,33.58,34.16,25.56,27.99,37.82538937592051,36.57833238407678,37.2717,28.03,Airlines
2021-09-01,ALK,39.3131,38.0704,35.4381,36.2499,50.41,1175371.0,1878486.0,1704226.0,9385.494416782896,14999.961599362954,13608.472225311196,33.46,34.13,24.71,27.82,37.84024618854904,36.54749999876872,37.7964,29.78,Airlines
2021-09-02,ALK,38.9321,37.6791,35.1134,35.919,52.76,1149686.0,1861980.0,1703743.0,9180.39621006567,14868.15890183761,13604.615329860426,31.44,34.15,25.14,27.05,37.444262716870256,36.13971467527102,36.9581,36.24,Airlines
2021-09-03,ALK,38.7299,37.8254,35.7057,36.4038,49.75,1401304.0,1863898.0,1702159.0,11189.599399377028,14883.474207809328,13591.966713892347,28.37,34.07,23.44,27.58,37.23398385896948,36.29222072510857,37.9415,36.06,Airlines
2021-09-06,ALK,39.0237,38.0918,35.1233,36.4563,49.88,1255197.0,1876052.0,1694167.0,10022.915765532553,14980.525899726399,13528.149871091939,28.31,34.07,14.19,26.59,37.53949335952738,36.569791183981344,37.5064,35.89,Airlines
2021-09-07,ALK,39.0237,38.0918,35.1233,36.4563,49.88,1255197.0,1876052.0,1694167.0,10022.915765532553,14980.525899726399,13528.149871091939,28.31,34.07,14.19,26.59,37.53949335952738,36.569791183981344,37.8095,36.03,Airlines
2021-09-08,ALK,39.2535,38.575,36.7829,37.4001,46.68,1357333.0,1881549.0,1693439.0,10838.485312062603,15024.42009471963,13522.336617745228,28.02,33.47,15.1,20.99,37.77832265003305,37.07283405675914,36.8708,36.03,Airlines
