PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,AZTA,47.0914,47.0438,52.5278,52.5278,33.64,539009.0,904319.0,805615.0,7254.8149061891845,12171.720622754161,10843.209873396549,33.92,61.81,21.6,24.01,41.08137721596003,41.026804877299426,45.3265,38.73,Semiconductor Equipment
2021-07-20,AZTA,47.0715,46.5882,49.8286,49.8286,43.46,491701.0,900203.0,803167.0,6618.070591500652,12116.320692210635,10810.260509463687,30.09,61.23,30.03,29.23,41.058564420227846,40.50357983240494,45.6246,36.94,Semiconductor Equipment
2021-07-21,AZTA,46.8547,45.5374,48.6834,48.6834,50.26,393546.0,894506.0,801562.0,5296.949344782519,12039.642051003013,10788.658278073122,31.04,61.29,36.41,31.44,40.80983352195889,39.290385576626754,45.4384,35.5,Semiconductor Equipment
2021-07-22,AZTA,46.6271,45.3594,49.3746,49.2624,46.4,239030.0,886785.0,796904.0,3217.234578694179,11935.720896403454,10725.963706228114,31.85,60.91,38.68,32.88,40.54831752872121,39.08394514835984,45.6566,34.78,Semiconductor Equipment
2021-07-23,AZTA,46.3876,45.5119,49.7491,49.4803,48.35,248585.0,878933.0,792490.0,3345.840454415471,11830.036358270825,10666.55309741021,31.83,60.81,38.14,31.04,40.27268346857458,39.260828335759804,44.9855,35.13,Semiconductor Equipment
2021-07-26,AZTA,47.1222,46.0766,50.3077,49.6478,45.15,452034.0,875328.0,792456.0,6084.170773102934,11781.514298655953,10666.095103841877,30.13,60.86,39.65,31.92,41.116679496768704,39.9140660364238,45.0564,35.61,Semiconductor Equipment
2021-07-27,AZTA,47.8546,47.3097,53.2254,52.2246,41.84,374256.0,870479.0,790936.0,5037.314663933068,11716.24938904331,10645.636973174953,30.19,60.91,32.89,31.49,41.95405035464395,41.33143251920988,45.3057,35.08,Semiconductor Equipment
2021-07-28,AZTA,47.0235,46.4147,51.517,50.3667,48.77,327704.0,863220.0,789009.0,4410.746007593364,11618.546519648047,10619.700390307205,30.46,60.87,33.02,34.76,41.00352609532502,40.303895296732804,45.3887,33.49,Semiconductor Equipment
2021-07-29,AZTA,47.1157,46.4099,52.2867,50.6,47.33,451655.0,858435.0,786897.0,6079.069817339361,11554.142650137195,10591.273875092475,30.5,60.36,30.08,34.65,41.10922994279995,40.298367436038895,44.6481,36.07,Semiconductor Equipment
2021-07-30,AZTA,47.4644,45.996,52.5771,50.9302,47.63,471400.0,851673.0,786050.0,6344.828305776127,11463.128887707406,10579.873334228521,30.2,60.27,29.36,34.04,41.50841923465648,39.82099466361934,44.1025,36.11,Semiconductor Equipment
