PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-20,BK,26.4985,24.8332,20.4771,21.1452,76.01,6276399.0,4864753.0,4763607.0,7600.192850900559,5890.807925372024,5768.32860146397,0.05445585215605749,5304.0,48979.4446,27.01,23.7,27.24,22.86,3.7474617150152985,25.416463660941865,25.36720130897376,23.62228232495751,27.3253,15.18,Fiduciary Banks
2021-10-21,BK,26.188,24.5892,19.815,20.7387,77.06,4178140.0,4855634.0,4757326.0,5059.377134780635,5879.7655498531485,5760.722806583173,0.01864007104868264,1826.0,49334.5479,26.77,23.65,27.57,23.12,3.7474617150152985,25.092577922126264,25.04267845099641,23.36564051422516,27.2463,15.56,Fiduciary Banks
2021-10-22,BK,26.5089,24.8956,21.1583,21.8076,76.81,4978550.0,4864567.0,4754327.0,6028.606770335206,5890.58291087751,5757.09151069839,0.039784597852681916,3561.0,49309.7712,24.53,23.57,22.28,23.12,3.7474617150152985,25.427306227518056,25.378064922487688,23.68787241100391,27.0294,17.0,Fiduciary Banks
2021-10-25,BK,26.0689,24.8842,20.4924,21.2334,74.12,3416950.0,4846705.0,4745822.0,4137.639887391568,5868.953285948038,5746.792433503687,0.01624321820828371,1473.0,49053.7687,24.59,23.37,21.35,19.98,3.7474617150152985,24.968253242627494,24.918104807749724,23.67589089432539,26.8739,17.55,Fiduciary Banks
2021-10-26,BK,26.5715,24.8612,20.4163,22.2367,71.49,3896686.0,4812976.0,4732563.0,4718.560201051265,5828.110605323322,5730.7372009876535,0.017700470408051637,1618.0,48806.0198,21.42,23.33,21.43,19.94,3.7474617150152985,25.492562347241172,25.443447334235195,23.651715908999076,27.1627,17.47,Fiduciary Banks
2021-10-27,BK,26.7172,25.6747,21.1088,21.8315,66.01,4410578.0,4778026.0,4723235.0,5340.840134371211,5785.788852134378,5719.44154531828,0.037540446070102915,3469.0,48269.2381,21.52,23.35,10.71,20.7,3.7474617150152985,25.644393122434742,25.59556945723224,24.505399814938748,29.9317,21.44,Fiduciary Banks
2021-10-28,BK,26.3527,25.3534,20.5185,21.497,69.85,3852437.0,4769847.0,4707524.0,4664.978354231291,5775.884980856289,5700.417050823752,0.5963581008614626,51712.0,49086.7991,22.22,23.4,15.18,22.26,3.7474617150152985,25.26442004218538,25.214860643874278,24.16855998109941,29.9317,21.44,Fiduciary Banks
2021-10-29,BK,26.2407,24.769,20.4163,21.4319,70.21,4660676.0,4771989.0,4689604.0,5643.687848577914,5778.478558227921,5678.7172310288,0.05713472890637965,4820.0,48888.6038,21.6,23.27,15.45,19.17,3.7474617150152985,25.147573625858588,25.09778349755213,23.554782125929332,27.8997,20.69,Fiduciary Banks
2021-11-01,BK,26.1289,24.9869,19.9846,21.1495,73.06,3694586.0,4744878.0,4664716.0,4473.833883705017,5745.649436891304,5648.579975851403,0.021327708443194468,1820.0,49565.7768,20.93,23.34,17.9,19.7,3.7474617150152985,25.030891673849304,24.980868984284754,23.783809022316,29.7213,24.84,Fiduciary Banks
2021-11-02,BK,26.3454,25.2587,20.593,22.0184,72.25,3260931.0,4725163.0,4659757.0,3948.7140460342275,5721.776237492062,5642.575055101232,0.031174921456292738,2699.0,49491.4528,20.93,23.32,17.57,19.59,3.7474617150152985,25.25680549748876,25.207231128388536,24.06919869231213,30.5616,24.73,Fiduciary Banks
2021-11-03,BK,26.2457,25.226,20.1428,20.9865,72.82,3024299.0,4705148.0,4635308.0,3662.1725450140807,5697.539768993711,5612.969384073508,0.012982544670504852,1132.0,49623.584,18.34,23.31,15.83,13.51,3.7474617150152985,25.152790924030246,25.10301114388471,24.03488040328056,30.1977,27.76,Fiduciary Banks
2021-11-04,BK,26.7021,25.9169,22.4671,22.6272,63.71,3285388.0,4681541.0,4637031.0,3978.329351286391,5668.953551163711,5615.055673827531,0.02956293882487318,2640.0,48772.9894,19.28,23.29,16.09,15.64,3.7474617150152985,25.62866104945747,25.579807356780464,24.759040886310597,32.4192,28.86,Fiduciary Banks
2021-11-05,BK,27.0573,26.2731,22.1507,22.686,61.74,3949635.0,4655725.0,4629424.0,4782.676532856247,5637.6922680025245,5605.843964174284,0.007315772387886658,631.0,48574.7947,19.33,23.26,16.1,15.78,3.7474617150152985,25.998530844414624,25.950373471108275,25.13165700088237,31.8427,28.44,Fiduciary Banks
2021-11-08,BK,26.771,25.8216,21.1257,22.2307,62.57,3218389.0,4633486.0,4618324.0,3897.199006353221,5610.762724814049,5592.402815140505,0.013149084528179908,1139.0,48706.9259,17.52,23.27,12.94,15.62,3.7474617150152985,25.700438980258266,25.65172198898156,24.659266545459133,29.9102,28.73,Fiduciary Banks
2021-11-09,BK,27.0703,26.3751,21.7714,22.7476,59.11,3770147.0,4620568.0,4610974.0,4565.331461888576,5595.119888480628,5583.502360027398,0.009237529909810418,803.0,48376.5994,17.56,23.25,13.77,15.78,3.7474617150152985,26.012059988935487,25.96392770922766,25.238270543165193,29.1568,28.74,Fiduciary Banks
2021-11-10,BK,27.2369,26.4555,21.8043,22.7541,62.38,4153289.0,4606948.0,4592632.0,5029.284421875792,5578.627398380377,5561.29192382429,0.008195312052266606,715.0,48855.574,17.89,23.22,15.33,15.58,3.7474617150152985,26.185393722225722,26.137580638039164,25.32228031299709,29.1309,29.02,Fiduciary Banks
2021-11-11,BK,27.1585,26.4178,21.9369,23.3054,66.48,3832047.0,4606215.0,4589673.0,4640.2871772469225,5577.73962588205,5557.708652753062,0.1458862257412109,13561.0,49541.007,18.48,23.25,13.5,14.85,3.7474617150152985,26.10383582977755,26.055873085544455,25.282890595024927,27.6667,28.9,Fiduciary Banks
2021-11-12,BK,27.0418,26.4068,21.1611,22.3877,66.89,3394039.0,4553372.0,4579309.0,4109.896256058435,5513.751178239645,5545.158707497084,0.021930681250949498,2021.0,49615.331,16.7,23.18,13.23,14.73,3.7474617150152985,25.98239923521264,25.934211907054355,25.27139660248321,27.8159,28.73,Fiduciary Banks
2021-11-15,BK,26.8341,26.1404,21.5841,22.0186,65.25,2376021.0,4522652.0,4562707.0,2877.1620275928053,5476.552016340199,5525.055259794373,0.013315290933694181,1230.0,49474.9398,16.34,23.19,13.24,13.09,3.7474617150152985,25.76616086241756,25.717568368918553,24.992897234214364,27.6562,29.0,Fiduciary Banks
2021-11-16,BK,26.9732,26.4438,22.3947,21.874,58.34,3395705.0,4502467.0,4556819.0,4111.913666390493,5452.109529470965,5517.925238313652,0.0273058057037363,2544.0,48847.3171,16.86,23.24,15.3,14.56,3.7474617150152985,25.910994597235714,25.862674228315985,25.310056468526497,27.5904,28.99,Fiduciary Banks
2021-11-17,BK,27.3738,26.8124,22.3166,22.8045,49.98,2940593.0,4480262.0,4538848.0,3560.811377903588,5425.221343310374,5496.164073360354,0.022537750732476897,2100.0,47938.9121,18.01,23.1,19.05,17.29,3.7474617150152985,26.327761948520774,26.280207884261493,25.694925447644327,27.7537,30.07,Fiduciary Banks
2021-11-18,BK,27.3253,26.7461,23.4075,22.9259,48.06,2902532.0,4441571.0,4522641.0,3514.7226273188635,5378.3696767316505,5476.538642102831,0.012110504336652747,1131.0,47707.6832,15.18,23.11,16.63,15.15,3.7474617150152985,26.277331349815153,26.229685855724615,25.62573443259724,28.1728,29.87,Fiduciary Banks
2021-11-19,BK,27.2463,27.1652,25.5935,23.6281,43.53,3812692.0,4434477.0,4530088.0,4616.850056621944,5369.779512359956,5485.556409828643,0.01538962350986687,1371.0,47129.6078,15.56,23.16,18.72,16.21,3.7474617150152985,26.195171052466492,26.1473758471094,26.062856540295037,28.5322,30.46,Fiduciary Banks
2021-11-22,BK,27.0294,26.3938,23.0552,23.0891,51.62,2946923.0,4423905.0,4524253.0,3568.4764892548114,5356.977763992071,5478.490772219209,0.019014702777191247,1711.0,48071.0433,17.0,23.18,23.32,18.96,3.7474617150152985,25.96949339394164,25.921282074002434,25.25781222592329,27.7436,31.35,Fiduciary Banks
2021-11-23,BK,26.8739,26.4102,22.7606,23.7865,56.27,2606346.0,4410358.0,4524035.0,3156.0663600496837,5340.573553770682,5478.22686442528,0.01847773422014712,1678.0,48731.6995,17.55,23.26,23.57,19.87,3.7474617150152985,25.80760787031565,25.75909356343891,25.274949338030332,27.2055,30.6,Fiduciary Banks
2021-11-24,BK,27.1627,27.0004,22.2888,24.18,55.63,2607886.0,4378347.0,4520739.0,3157.931177771806,5301.810929773637,5474.235696908889,0.014019101025146762,1280.0,48657.3755,17.47,23.19,19.47,19.26,3.7474617150152985,26.108205493062492,26.06025079100353,25.891040924613286,27.3267,30.25,Fiduciary Banks
2021-11-25,BK,29.9317,30.9394,32.0713,30.2343,42.95,3300107.0,4363302.0,4500907.0,3996.152616632913,5283.592533351077,5450.220639897857,0.01158349723276769,1013.0,46865.3453,21.44,23.76,32.82,26.01,3.7474617150152985,28.978143275026756,28.934945392898186,29.97617174290273,27.3267,30.25,Fiduciary Banks
2021-11-26,BK,29.9317,30.9394,32.0713,30.2343,42.95,3300107.0,4363302.0,4500907.0,3996.152616632913,5283.592533351077,5450.220639897857,0.01158349723276769,1013.0,46865.3453,21.44,23.76,32.82,26.01,3.7474617150152985,28.978143275026756,28.934945392898186,29.97617174290273,26.0707,30.35,Fiduciary Banks
2021-11-29,BK,27.8997,28.3992,24.9906,25.9749,44.64,3797248.0,4384172.0,4503933.0,4598.14877965718,5308.864507034352,5453.885031372115,0.041747864723109984,3749.0,47080.0574,20.69,23.73,31.82,26.11,3.7474617150152985,26.874139667494074,26.82755412053063,27.346644412797705,26.2424,27.42,Fiduciary Banks
2021-11-30,BK,29.7213,30.4712,31.7088,29.8601,35.12,7490291.0,4440031.0,4527209.0,9070.11362397299,5376.504819901178,5482.070059691023,0.04236463012546746,3829.0,45246.7368,24.84,24.38,40.13,32.82,3.7474617150152985,28.760768356703867,28.717243490453605,29.492684337645496,25.8194,27.38,Fiduciary Banks
2021-12-01,BK,30.5616,31.8573,32.9809,32.5879,32.82,4833392.0,4440928.0,4540230.0,5852.832140159006,5377.591167969006,5497.837557498775,0.009184832346487601,833.0,44709.9518,24.73,24.43,39.85,32.74,3.7474617150152985,29.628322891078028,29.586074335065135,30.92267716886751,26.2165,23.79,Fiduciary Banks
2021-12-02,BK,30.1977,31.575,33.2969,31.3054,44.96,4069913.0,4448549.0,4546226.0,4928.322945395349,5386.8193522602405,5505.097998594298,0.0048345355431969605,439.0,46369.8539,27.76,24.97,47.51,36.3,3.7474617150152985,29.252815387035458,29.2100237125888,30.63176496710563,26.2913,23.44,Fiduciary Banks
2021-12-03,BK,32.4192,35.2695,38.441,34.8751,40.19,5346525.0,4484208.0,4565818.0,6474.192942986013,5429.99944608534,5528.822305059551,0.055153536719156904,4977.0,45321.0608,28.86,25.17,42.56,38.0,3.7474617150152985,31.540936121459335,31.501252810642306,34.427634688575395,25.9704,19.91,Fiduciary Banks
2021-12-06,BK,31.8427,34.7849,32.4663,32.9498,43.07,3789812.0,4474147.0,4578594.0,4589.144242971866,5417.816489910278,5544.29304039502,0.0260847672840317,2383.0,45775.2618,28.44,25.21,43.02,37.84,3.7474617150152985,30.948080167725728,30.90763567939159,33.93101336550384,25.7606,21.95,Fiduciary Banks
2021-12-07,BK,29.9102,31.0048,27.1948,29.2978,46.56,4105689.0,4475905.0,4592812.0,4971.644718326009,5419.945215767432,5561.509778764128,0.012567051475948512,1155.0,46353.3371,28.73,25.25,33.69,37.05,3.7474617150152985,28.955935260633154,28.912704197981896,30.04366860155397,26.3094,21.81,Fiduciary Banks
2021-12-08,BK,29.1568,29.8776,25.3676,26.7189,47.49,5629926.0,4499137.0,4614895.0,6817.36793199227,5448.077346920707,5588.250570702256,0.005669168196183629,522.0,46510.242,28.74,25.23,32.69,36.45,3.7474617150152985,28.17703158634668,28.132603616444747,28.878978197990318,26.6902,22.3,Fiduciary Banks
2021-12-09,BK,29.1309,29.1952,25.3455,26.3655,51.14,5190113.0,4515538.0,4632705.0,6284.791057944289,5467.937373272535,5609.816772408191,0.05110468829495881,4721.0,47137.8678,29.02,25.21,22.13,37.06,3.7474617150152985,28.150230151598734,28.105759815560937,28.172399667759933,26.4248,23.01,Fiduciary Banks
2021-12-10,BK,27.6667,28.0872,25.2851,25.6619,49.46,4363366.0,4476021.0,4641876.0,5283.670074695678,5420.085826265645,5620.922313564361,0.02005517944399508,1810.0,46848.8285,28.9,25.13,15.65,32.06,3.7474617150152985,26.632168737599617,26.585159184966333,27.022494404477168,27.4736,22.68,Fiduciary Banks
2021-12-13,BK,27.8159,27.504,24.7608,25.4854,46.61,3415602.0,4466647.0,4640677.0,4136.007292126547,5408.7345549496595,5619.470275636315,0.021243698210999685,1951.0,46353.3371,28.73,25.13,15.87,32.42,3.7474617150152985,26.78713152967257,26.740394402663547,26.4157986061372,27.0889,22.63,Fiduciary Banks
2021-12-14,BK,27.6562,27.9042,25.7621,26.0365,50.0,3663438.0,4455026.0,4622445.0,4436.116062823633,5394.662718161715,5597.393081039938,0.008558612375232158,788.0,46890.1189,29.0,25.09,15.47,26.21,3.7474617150152985,26.62126069926025,26.574231850422315,26.8322339293619,26.5929,22.48,Fiduciary Banks
2021-12-15,BK,27.5904,27.0877,25.71,25.2405,50.62,3755183.0,4423280.0,4622971.0,4547.211340476888,5356.220716301871,5598.0297519177575,0.019534764169129932,1824.0,46989.2197,28.99,24.99,15.35,25.54,3.7474617150152985,26.55289616855341,26.50574602157049,25.982068649166486,27.2549,22.13,Fiduciary Banks
