PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-14,BLK,24.0891,22.868,19.7369,20.7581,59.79,802892.0,499304.0,524852.0,5242.094752797668,3259.963828822415,3426.767130816301,0.10253908824847734,7778.0,136699.0054,26.75,20.38,21.0,22.31,2.908913441473257,23.376005415170162,23.911468771491222,22.680807393036076,24.0295,15.4,Invest Mgmnt/Advis Serv
2021-10-15,BLK,23.6563,22.4496,19.1747,19.8972,63.53,1022998.0,500274.0,527027.0,6679.170095900408,3266.296845699093,3440.9676051488905,0.12345658101996917,7289.0,138958.1568,26.33,20.51,23.66,21.28,2.908913441473257,22.929749672642853,23.4753941327936,22.258889014503847,25.208,15.75,Invest Mgmnt/Advis Serv
2021-10-18,BLK,23.5236,23.0267,18.567,19.6618,59.2,541033.0,494013.0,525236.0,3532.4130482789183,3225.4187216295736,3429.2741844320512,0.04588032240226553,2738.0,137281.0262,26.11,20.55,25.12,22.05,2.908913441473257,22.792820082650255,23.34166568520764,22.84080806123111,25.0888,15.26,Invest Mgmnt/Advis Serv
2021-10-19,BLK,23.4516,22.9851,17.9083,19.049,60.63,408458.0,486291.0,524568.0,2666.828687487369,3175.001565073814,3424.912698338321,0.026650755767700877,1608.0,138098.9178,25.02,20.57,25.17,19.96,2.908913441473257,22.718504196360833,23.269102745056585,22.798868875670127,25.0969,16.42,Invest Mgmnt/Advis Serv
2021-10-20,BLK,23.346,22.923,18.5088,19.1641,60.98,380546.0,484924.0,523261.0,2484.5908903139148,3166.076513469028,3416.37939659476,0.03407734445262039,2084.0,138294.9608,24.54,20.54,25.01,18.31,2.908913441473257,22.609480453121094,23.162670744108937,22.736260224583987,26.2745,16.74,Invest Mgmnt/Advis Serv
2021-10-21,BLK,22.9319,22.0722,18.229,18.9609,61.21,333358.0,480770.0,522845.0,2176.499739634786,3138.9550567984447,3413.6634080158556,0.030560161253616828,1880.0,138415.9558,24.43,20.51,15.13,18.3,2.908913441473257,22.1816349255429,22.745233294253104,21.87819948807488,26.1684,17.0,Invest Mgmnt/Advis Serv
2021-10-22,BLK,23.1132,22.6703,17.9555,19.2736,64.41,372100.0,478524.0,521789.0,2429.446880185841,3124.2908865736345,3406.768766904837,0.044942095478501136,2635.0,140139.0332,22.66,20.38,13.06,19.11,2.908913441473257,22.369016621212136,22.928009382412593,22.481461297922785,25.7457,16.53,Invest Mgmnt/Advis Serv
2021-10-25,BLK,23.1012,23.0841,18.2821,19.2067,66.93,452424.0,479258.0,521566.0,2953.883502257764,3129.083115672581,3405.3127215589207,0.04541932005795343,2696.0,141635.4333,22.95,20.2,12.38,19.8,2.908913441473257,22.356617181498294,22.915912406884434,22.898674040432997,25.7391,17.2,Invest Mgmnt/Advis Serv
2021-10-26,BLK,23.6611,23.6007,18.0864,19.7307,68.59,377850.0,477478.0,520660.0,2466.988597178929,3117.4613772761695,3399.3973349402704,0.04254290951508082,2553.0,142683.0685,23.09,20.2,12.76,19.95,2.908913441473257,22.934701732746927,23.480231114918784,23.41936464744507,26.0117,17.1,Invest Mgmnt/Advis Serv
2021-10-27,BLK,24.014,24.2613,20.0086,20.8597,61.67,452875.0,478617.0,521706.0,2956.827995522567,3124.897918262268,3406.22667674766,0.02645940135604432,1600.0,140491.3143,22.95,20.32,16.81,21.31,2.908913441473257,23.298606961792046,23.8358091115028,24.084938814329586,28.8225,19.61,Invest Mgmnt/Advis Serv
2021-10-28,BLK,23.5371,23.7042,18.5656,19.7995,66.39,352210.0,479029.0,521911.0,2299.5847239294767,3127.5880035183936,3407.5652674562257,0.027647194187843123,1682.0,143280.3964,23.88,20.5,21.84,18.79,2.908913441473257,22.806752657273783,23.355270848568637,23.523662504805667,28.8225,19.61,Invest Mgmnt/Advis Serv
2021-10-29,BLK,23.948,23.8306,18.7759,19.9847,68.2,484717.0,478244.0,521897.0,3164.7249073423495,3122.462588659021,3407.473711397063,0.05565934528317765,3307.0,144502.639,22.92,20.44,20.88,17.42,2.908913441473257,23.230574559404786,23.769314335924797,23.651027384872734,26.6296,20.92,Invest Mgmnt/Advis Serv
2021-11-01,BLK,23.9426,24.1628,19.1717,20.6962,64.82,399192.0,478697.0,521615.0,2606.3309539526354,3125.4203708096975,3405.6326793773524,0.04822863463352744,2965.0,143395.2682,23.04,20.43,20.23,16.77,2.908913441473257,23.22500775285263,23.763873732201155,23.98571457847358,28.3016,22.52,Invest Mgmnt/Advis Serv
2021-11-02,BLK,24.0935,24.2514,19.2757,20.1002,67.62,381751.0,478620.0,520807.0,2492.4583982305767,3124.9176519802663,3400.3572512115807,0.02890313413314818,1790.0,145175.015,22.43,20.47,21.41,17.62,2.908913441473257,23.380539613320835,23.915901451753808,24.074966291980555,28.979,22.43,Invest Mgmnt/Advis Serv
2021-11-03,BLK,24.0338,24.3324,19.4689,20.1997,68.5,387259.0,478700.0,519540.0,2528.4201210147626,3125.4398527336143,3392.084857090499,0.022570944108519692,1411.0,145764.696,21.79,20.4,18.6,17.73,2.908913441473257,23.31901440455974,23.855757008319816,24.156557903807403,28.7581,23.12,Invest Mgmnt/Advis Serv
