PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,CC,45.8132,45.9258,57.1783,49.2817,33.2,1471317.0,1202467.0,1374740.0,8888.719783662276,7264.506705285826,8305.265714588955,40.83,44.78,52.3,48.5,42.180029566608894,42.30230142249947,41.5564,27.3,Chemicals-Specialty
2021-07-20,CC,43.7256,43.163,57.0378,46.948,41.69,1429251.0,1203786.0,1375173.0,8634.585002655122,7272.475262921766,8307.881653996568,40.86,45.11,55.27,46.92,39.90280310153661,39.28549565679425,41.7427,24.62,Chemicals-Specialty
2021-07-21,CC,43.5384,42.779,56.8314,45.8922,42.9,936357.0,1206634.0,1373472.0,5656.846768684611,7289.680798974095,8297.605128256413,40.26,45.11,55.36,47.02,39.697580210385624,38.86320163084869,43.2329,30.15,Chemicals-Specialty
2021-07-22,CC,43.4411,42.4269,59.4912,46.8465,40.94,669886.0,1204228.0,1371021.0,4047.0061260734096,7275.145462346026,8282.797947673622,39.78,44.4,56.0,46.7,39.59084198662615,38.47528354164528,42.4893,29.81,Chemicals-Specialty
2021-07-23,CC,43.5428,43.0225,60.5556,46.9739,41.15,536858.0,1198138.0,1366401.0,3243.339268680445,7238.353577106518,8254.88680445151,39.78,44.36,36.8,42.82,39.70240586966992,39.13107596591231,41.3451,32.65,Chemicals-Specialty
2021-07-26,CC,43.4461,42.4857,56.8598,46.3709,43.67,948448.0,1191469.0,1362684.0,5729.892821313533,7198.064279662791,8232.431582246798,38.56,43.83,30.9,42.96,39.59632817838038,38.54011292783144,40.8343,34.14,Chemicals-Specialty
2021-07-27,CC,43.9511,43.9242,59.4964,47.3432,43.61,948085.0,1195276.0,1359742.0,5727.699427110298,7221.063154082902,8214.657414069214,38.23,43.79,13.18,40.18,40.14977946651762,40.120330826651966,40.9521,34.72,Chemicals-Specialty
2021-07-28,CC,43.2119,42.5759,58.6419,46.0858,46.18,708157.0,1193616.0,1357554.0,4278.214165609865,7211.034953405226,8201.439445462425,37.73,43.79,14.59,40.48,39.33921582352653,38.639524593478114,41.3613,34.7,Chemicals-Specialty
2021-07-29,CC,43.1269,42.9629,56.2407,45.2019,48.39,902877.0,1191027.0,1353813.0,5454.582808821399,7195.393612908651,8178.838442178641,37.73,43.79,12.95,40.64,39.24582912374256,39.06553949979444,40.6494,35.7,Chemicals-Specialty
2021-07-30,CC,42.8346,40.6204,41.9645,39.8879,50.63,1922899.0,1202347.0,1359888.0,11627.64071821483,7270.511313710937,8223.151128068468,37.77,43.79,12.95,40.64,38.92439539877274,36.47358628048522,40.416,36.32,Chemicals-Specialty
2021-08-02,CC,42.6771,40.9648,37.315,38.8189,52.42,1218492.0,1202522.0,1355015.0,7377.481560707825,7280.789600051125,8204.073705024337,37.3,43.73,14.06,27.86,38.75100597932911,36.856755677080415,40.7035,36.55,Chemicals-Specialty
