PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-06,CFLT,75.693,79.3077,82.906,86.5362,73.58,4937690.0,1475086.0,1475086.0,18961.21238144109,5664.474466175563,5664.474466175563,0.1667254046140917,6150.0,11554.3933,55.27,91.28,46.99,36.75,0.0,75.693,57.607466955248086,62.28082593615791,71.4005,73.7,Applications Software
2021-08-09,CFLT,70.8667,72.4277,71.454,72.5077,75.5,5825543.0,1606918.0,1606918.0,22370.654720020688,6170.722238491108,6170.722238491108,0.2019210040959065,8430.0,12312.1865,54.09,91.6,65.04,47.92,0.0,70.8667,51.10067679483315,53.24435864286469,71.4005,73.7,Applications Software
2021-08-10,CFLT,66.8281,70.4191,71.4,72.5242,77.34,3076233.0,1650133.0,1650133.0,11813.035516523614,6336.672071324786,6336.672071324786,0.06390730033375641,2719.0,13148.1027,58.4,92.02,68.52,58.16,0.0,66.8281,45.334147721226664,50.47811055110918,71.6191,71.92,Applications Software
2021-08-11,CFLT,69.7612,69.4187,66.993,69.9212,76.56,1117631.0,1634919.0,1634919.0,4291.812317806309,6278.24881630482,6278.24881630482,0.043671597079198654,1866.0,13036.1264,56.88,90.65,68.75,56.95,0.0,69.7612,49.55618049688656,49.0728632717717,72.3999,76.5,Applications Software
2021-08-12,CFLT,68.7136,72.3899,72.597,69.1891,78.76,1679572.0,1636159.0,1636159.0,6449.720723835527,6283.010558517296,6283.010558517296,0.021917041665695167,940.0,14101.2034,61.26,91.83,88.5,69.21,0.0,68.7136,48.07024885477502,53.19292830828173,72.8425,76.52,Applications Software
2021-08-13,CFLT,69.463,69.4116,67.368,65.3858,78.49,755164.0,1612348.0,1612348.0,2899.903605723108,6191.5739877436445,6191.5739877436445,0.0395639701663798,1724.0,14062.1419,60.65,90.51,85.78,69.16,0.0,69.463,49.135510264980454,49.062819064542154,72.8573,71.54,Applications Software
2021-08-16,CFLT,68.8733,68.1362,66.831,66.5244,74.8,976360.0,1595612.0,1595612.0,3749.317856377803,6127.30607916209,6127.30607916209,0.061758033610113866,2804.0,13538.7178,62.06,89.81,77.78,71.69,0.0,68.8733,48.29825517438492,47.24120818141721,72.4469,71.86,Applications Software
2021-08-17,CFLT,67.2133,69.6695,97.964,66.5367,75.11,1316040.0,1588443.0,1588443.0,5053.722272565617,6099.77642609719,6099.77642609719,0.0048831991553385246,222.0,13663.7146,62.1,88.62,62.59,65.62,0.0,67.2133,45.90008384404107,49.427009116979754,74.2944,72.99,Applications Software
2021-08-18,CFLT,69.6733,70.0803,70.727,68.4206,75.29,337495.0,1557169.0,1557169.0,1296.0137986299626,5979.681212458911,5979.681212458911,0.002044450306667546,93.0,13731.4212,61.98,87.45,62.39,65.65,0.0,69.6733,49.43236523665441,50.00438428868012,72.6324,72.95,Applications Software
2021-08-19,CFLT,71.8102,73.131,73.198,68.7805,73.85,929518.0,1541861.0,1541861.0,3569.439997517322,5920.896985332242,5920.896985332242,0.0810781624586942,3754.0,13559.5506,61.15,86.39,29.39,65.94,0.0,71.8102,52.40128647313918,54.19716930799984,72.1003,73.64,Applications Software
2021-08-20,CFLT,70.2528,69.9291,68.918,69.1257,75.37,460105.0,1516105.0,1516105.0,1766.8481864239986,5821.991436038201,5821.991436038201,0.02510100006622955,1137.0,14068.6522,62.47,85.8,39.3,66.72,0.0,70.2528,50.24585463339238,49.79225870363787,73.7076,79.9,Applications Software
2021-08-23,CFLT,72.4459,73.2861,71.863,71.6213,76.63,2445543.0,1537720.0,1537720.0,9391.124239775265,5904.995154854042,5904.995154854042,0.4344812803658188,6081.0,14525.6718,63.18,85.12,36.53,60.76,0.0,72.4459,53.26911325346049,54.4062721863022,74.5301,79.51,Applications Software
2021-08-24,CFLT,71.7668,72.148,73.692,72.9843,68.76,1052566.0,1526693.0,1526693.0,4041.956347182959,5862.650381591076,5862.650381591076,0.14150752412443485,2097.0,13546.5301,67.64,85.82,61.21,61.9,0.0,71.7668,52.341795749095205,52.863256653369355,72.696,80.7,Applications Software
2021-08-25,CFLT,72.0378,72.4944,72.415,72.4951,69.62,784938.0,1510210.0,1510210.0,3014.2386688628744,5799.354063764784,5799.354063764784,0.06345212187159957,933.0,13778.295,67.34,84.91,62.28,62.34,0.0,72.0378,52.71275584562052,53.33505443289619,73.6872,78.95,Applications Software
2021-08-26,CFLT,71.5484,73.3862,74.181,74.3473,73.69,949745.0,1498026.0,1498026.0,3647.113656221865,5752.566301455038,5752.566301455038,0.12890475583322708,2022.0,15020.4509,73.65,86.45,86.92,64.88,0.0,71.5484,52.04194022670561,54.541033639270175,74.8733,79.04,Applications Software
2021-08-27,CFLT,71.2677,71.637,70.532,71.4717,68.59,799551.0,1483165.0,1483165.0,3070.354012329646,5695.498609465687,5695.498609465687,0.04410936620158919,705.0,14322.552,75.45,86.22,89.5,69.12,0.0,71.2677,51.655348835236815,52.16368247162004,74.63,73.33,Applications Software
2021-08-30,CFLT,72.5769,72.7768,73.564,72.623,69.6,722738.0,1467322.0,1467322.0,2775.384590170523,5634.659956468585,5634.659956468585,0.019579721893122154,314.0,14619.4194,75.76,85.41,87.79,67.24,0.0,72.5769,53.447136626857755,53.71827080463405,74.7794,81.74,Applications Software
2021-08-31,CFLT,71.4174,73.7704,74.041,73.8067,69.12,405302.0,1445649.0,1445649.0,1556.399310029693,5551.433514132957,5551.433514132957,0.011477850849981387,185.0,14559.5251,73.04,84.5,72.54,67.11,0.0,71.4174,51.861691283258395,55.056897080747284,74.1668,84.29,Applications Software
2021-09-01,CFLT,71.9514,72.7055,67.52,69.912,63.36,991791.0,1436571.0,1436571.0,3808.574415906801,5516.57310585965,5516.57310585965,0.17968201264287081,2814.0,13819.9606,75.23,84.47,80.54,71.99,0.0,71.9514,52.594619135040816,53.621634908402406,75.2367,84.44,Applications Software
2021-09-02,CFLT,71.0984,70.5929,65.155,67.872,65.01,926419.0,1426568.0,1426568.0,3557.539531508636,5478.160588659356,5478.160588659356,0.24263959390862944,4780.0,14187.1388,75.77,83.81,55.48,72.91,0.0,71.0984,51.42151769988902,50.72028716805535,76.267,85.37,Applications Software
2021-09-03,CFLT,72.104,71.5847,62.258,67.6518,69.6,1481306.0,1427621.0,1427621.0,5688.35988467134,5482.204235258875,5482.204235258875,0.47155688622754494,9135.0,15366.7962,79.96,84.89,71.78,81.13,0.0,72.104,52.80318944912324,52.09183500405798,75.5376,88.6,Applications Software
2021-09-06,CFLT,71.4005,71.4876,74.221,70.3883,71.5,1858049.0,1435742.0,1435742.0,7135.089835465304,5513.389663324609,5513.389663324609,0.051272984441301274,1015.0,15970.9475,73.7,84.48,75.43,81.85,0.0,71.4005,51.83841625908337,51.95831938929511,75.5044,84.17,Applications Software
2021-09-07,CFLT,71.4005,71.4876,74.221,70.3883,71.5,1858049.0,1435742.0,1435742.0,7135.089835465304,5513.389663324609,5513.389663324609,0.051272984441301274,1015.0,15970.9475,73.7,84.48,75.43,81.85,0.0,71.4005,51.83841625908337,51.95831938929511,74.4177,85.8,Applications Software
2021-09-08,CFLT,71.6191,71.1173,70.988,68.1464,66.65,1309268.0,1433400.0,1433400.0,5027.71713922144,5504.396156753249,5504.396156753249,0.13324544947523195,2628.0,15293.8814,71.92,84.21,81.41,77.1,0.0,71.6191,52.13909746831067,51.44764678087814,74.5489,87.5,Applications Software
2021-09-09,CFLT,72.3999,72.2975,70.15,70.9291,71.77,1692438.0,1438110.0,1438110.0,6499.127413219663,5522.483024031208,5522.483024031208,0.14169230018065523,2902.0,16900.6113,76.5,86.21,101.42,91.58,0.0,72.3999,53.20653644064797,53.06711322702602,72.633,81.51,Applications Software
2021-09-10,CFLT,72.8425,71.8065,66.082,69.8864,72.18,1080209.0,1431719.0,1431719.0,4148.108168009875,5497.940933833111,5497.940933833111,0.08777303540045192,1748.0,17059.4615,76.52,85.43,99.92,80.81,0.0,72.8425,53.807246781915914,52.39621591536931,74.824,84.76,Applications Software
