PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,CFR,27.0667,25.2937,26.028,25.5657,63.02,1196339.0,277175.0,293483.0,18776.40830272981,4350.230972415959,4606.18322892596,0.009204114780725501,17.0,8251.0935,22.65,26.26,23.19,23.03,0.0,27.0667,24.861943787443494,22.919015242588415,29.5064,31.42,Commer Banks-Central US
2021-11-01,CFR,27.5824,25.8738,21.639,24.5059,70.83,403367.0,276097.0,287278.0,6330.800416506082,4333.311853959495,4508.79641134013,0.09627791563275434,194.0,8621.9149,25.33,26.86,36.8,31.84,0.0,27.5824,25.422407237710594,23.557663857861627,29.7499,32.86,Commer Banks-Central US
2021-11-02,CFR,26.9691,25.6082,24.098,24.8303,71.91,493526.0,277221.0,287979.0,7745.83594924415,4350.952913697379,4519.7985330608335,0.04780680137999014,97.0,8686.9042,25.42,26.82,37.14,32.06,0.0,26.9691,24.755652986944217,23.265637907437657,31.2986,29.83,Commer Banks-Central US
2021-11-03,CFR,27.8776,26.2537,23.315,24.0031,74.46,386257.0,278676.0,288280.0,6062.260880554911,4373.788988030043,4524.522705469078,0.09986684420772303,225.0,8852.5632,26.25,26.81,38.83,32.27,0.0,27.8776,25.742388812229528,23.974293810037448,30.4563,31.9,Commer Banks-Central US
2021-11-04,CFR,27.3715,27.0303,27.162,27.5379,61.21,439080.0,281185.0,289745.0,6891.312024353694,4413.16746735878,4547.515720361576,0.09957805907172995,236.0,8479.8304,30.17,27.49,47.27,36.44,0.0,27.3715,25.193431926793934,24.822310893428114,32.769,32.05,Commer Banks-Central US
2021-11-05,CFR,29.7024,26.8058,29.859,27.4053,63.71,244002.0,279480.0,290033.0,3829.584380743562,4386.407663585589,4552.035830444823,0.006289308176100629,15.0,8607.8976,30.57,27.57,47.2,37.19,0.0,29.7024,27.70816785281914,24.577650694075707,30.0142,30.05,Commer Banks-Central US
2021-11-08,CFR,29.8099,27.9102,26.643,26.7138,64.28,208434.0,278867.0,289344.0,3271.3485782493212,4376.786723714238,4541.2220800108025,0.009555463232239303,23.0,8637.8436,30.48,27.57,35.5,36.16,0.0,29.8099,27.823373950870874,25.777689268823146,28.255,29.65,Commer Banks-Central US
2021-11-09,CFR,29.5877,27.5653,27.46,26.7369,64.37,123544.0,277453.0,287881.0,1939.0094055593067,4354.594125175212,4518.260430954306,0.016673614005835766,40.0,8642.3037,30.33,27.47,35.1,36.13,0.0,29.5877,27.585177021182954,25.403853331532208,29.568,29.64,Commer Banks-Central US
2021-11-10,CFR,28.5214,27.2904,25.24,25.7645,61.82,257854.0,278133.0,287026.0,4046.9900089905345,4365.266670947763,4504.841322300671,0.03860679815358791,92.0,8574.1286,30.45,27.48,32.92,36.0,0.0,28.5214,26.43823477390274,25.105296894480258,29.7594,29.84,Commer Banks-Central US
2021-11-11,CFR,30.1635,27.232,24.657,26.1327,61.91,157552.0,277266.0,286404.0,2472.7612134435594,4351.659202083388,4495.079101344884,0.0016778523489932886,4.0,8577.9515,30.41,27.4,12.3,34.54,0.0,30.1635,28.201892352287285,25.041801532637383,29.777,29.82,Commer Banks-Central US
2021-11-12,CFR,29.4938,27.4777,24.917,25.7775,57.39,213795.0,276563.0,285899.0,3355.4888520135155,4340.625661869613,4487.153148117646,0.002517834662190516,6.0,8461.3531,30.28,27.05,11.5,34.35,0.0,29.4938,27.484436294746885,25.308773128897414,29.1243,30.37,Commer Banks-Central US
2021-11-15,CFR,29.764,27.4925,27.472,25.8043,58.05,185027.0,276598.0,285496.0,2903.978278442965,4341.17498451992,4480.828109315682,0.02510460251046025,60.0,8484.2905,30.26,27.01,11.4,26.36,0.0,29.764,27.774191185343273,25.32484069545157,29.3729,30.0,Commer Banks-Central US
2021-11-16,CFR,29.8656,27.7166,26.458,24.2936,59.45,216144.0,277007.0,286145.0,3392.3561704502727,4347.594222869562,4491.014122036667,0.005852842809364548,14.0,8532.0767,30.32,27.02,12.07,26.25,0.0,29.8656,27.88304257716507,25.56794703451961,30.1587,30.29,Commer Banks-Central US
2021-11-17,CFR,29.3693,27.7548,30.208,28.5504,59.42,172946.0,276524.0,285918.0,2714.3683230201855,4340.013565823053,4487.451355806352,0.009124844462878473,22.0,8531.4396,29.72,26.88,10.68,24.47,0.0,29.3693,27.350791258938013,25.609352257329743,29.8301,30.23,Commer Banks-Central US
2021-11-18,CFR,30.3961,28.0797,23.892,23.4316,59.85,177587.0,276057.0,285021.0,2787.208321083709,4332.684078752417,4473.373067192981,0.00041459369817578774,1.0,8544.8197,28.24,26.87,10.73,11.54,0.0,30.3961,28.45053418145255,25.961116156475246,31.6183,31.69,Commer Banks-Central US
2021-11-19,CFR,28.605,27.7606,28.585,28.4494,53.37,216143.0,276457.0,285176.0,3392.3404691668784,4338.9620255315585,4475.8057657899335,0.01963409192324855,44.0,8403.3724,28.82,26.97,12.7,12.12,0.0,28.605,26.528400347552054,25.61563804319541,29.7753,32.68,Commer Banks-Central US
2021-11-22,CFR,29.7312,28.4561,29.298,28.5918,56.57,256268.0,278120.0,285183.0,4022.09790961197,4365.062632171325,4475.91563580654,0.05128205128205128,96.0,8491.2991,28.39,26.94,14.57,13.08,0.0,29.7312,27.73903843755223,26.3677763038524,30.6021,33.77,Commer Banks-Central US
