PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,CG,30.7932,28.459,26.2803,26.6781,71.87,2321456.0,2046043.0,1838831.0,6511.295120219438,5738.807800647154,5157.612859002381,0.034006240845698275,1068.0,20019.0211,26.9,26.27,20.81,21.05,2.3979950420749496,30.417423384513285,27.744036588787868,25.128173053367806,31.6025,32.84,Private Equity
2021-11-01,CG,29.3999,28.7594,26.5518,26.6532,67.1,5419254.0,2067117.0,1871561.0,15200.099762573938,5797.916949623058,5249.4151246172705,0.08370030294512633,2680.0,19762.3209,26.88,26.32,20.43,21.97,2.3979950420749496,29.006078658149153,26.18901525468264,25.467891321426674,33.424,35.35,Private Equity
2021-11-02,CG,29.3641,27.9561,24.6048,25.5447,66.37,3113263.0,2042985.0,1886319.0,8732.181373938602,5730.230810643352,5290.808915631763,0.015441130689247245,496.0,19723.1026,24.97,26.22,19.57,21.6,2.3979950420749496,28.96979198963527,26.14881964467995,24.557156333948765,35.7421,35.66,Private Equity
2021-11-03,CG,29.4395,27.9289,26.91,26.4323,73.07,3684223.0,2041518.0,1906881.0,10333.628589484942,5726.116136495571,5348.481896547965,0.03986680515671778,1305.0,20550.2464,27.33,26.84,34.11,27.83,2.3979950420749496,29.04621557729571,26.23346260503939,24.526187131513122,35.3198,36.95,Private Equity
2021-11-04,CG,30.4014,29.4861,26.95,27.8513,75.87,3238536.0,2052781.0,1923215.0,9083.550992537437,5757.706843466305,5394.295917078855,0.05873020715745798,1925.0,21017.2979,28.35,26.81,34.58,29.68,2.3979950420749496,30.020719529563838,27.308524712257892,26.2857469593314,38.6169,36.51,Private Equity
2021-11-05,CG,31.2466,30.4144,27.9667,28.474,77.53,4193932.0,2079992.0,1948408.0,11763.276528092802,5834.029038196328,5464.957966306616,0.3534342594934422,9782.0,21331.0425,26.86,26.81,36.08,29.45,2.3979950420749496,30.876341925052195,28.246422986990762,27.32299631006819,36.5409,35.91,Private Equity
2021-11-08,CG,30.8293,30.0776,27.81,28.2113,72.25,1591443.0,2076286.0,1944483.0,4463.731035963687,5823.634436003614,5453.949099027597,0.05218459759314806,1444.0,20928.166,27.15,26.94,37.43,30.15,2.3979950420749496,30.453968831709535,27.784098662544373,26.947586566518346,35.0097,35.93,Private Equity
2021-11-09,CG,30.6377,30.0644,25.72,27.7014,73.9,1351191.0,2067109.0,1944759.0,3789.864410623287,5797.894473822792,5454.723219248302,0.07106652217988604,2033.0,21195.5617,27.26,26.96,38.47,30.52,2.3979950420749496,30.259992405860512,27.57134493074286,26.932852566336155,34.9282,35.56,Private Equity
2021-11-10,CG,30.5328,32.1357,31.8,31.2004,65.73,1907508.0,2037251.0,1948370.0,5350.24051560001,5714.147904305846,5464.851582997079,0.008865929002757513,254.0,20671.4658,28.49,26.94,30.75,32.47,2.3979950420749496,30.15377845233887,27.454731392603353,29.22693303256433,34.206,35.62,Private Equity
2021-11-11,CG,31.9422,30.8514,28.3727,29.0367,68.26,1977900.0,2027141.0,1945636.0,5547.678373111822,5685.791134510478,5457.183254536526,0.48138816798954326,25412.0,21013.7319,28.77,26.39,28.76,31.8,2.3979950420749496,31.58009847914879,29.01404040874004,27.808618843085323,32.2467,34.57,Private Equity
2021-11-12,CG,31.9429,30.6593,27.6836,29.1074,71.09,5605171.0,2040256.0,1974643.0,15721.566070185958,5722.576439522241,5538.542961406567,0.02036893972225886,1081.0,21441.5652,27.91,26.39,30.35,33.34,2.3979950420749496,31.58080650526101,29.01481105246078,27.595345196065225,33.3772,34.88,Private Equity
2021-11-15,CG,32.0856,30.8537,27.6558,29.2082,66.36,1563921.0,2031081.0,1975943.0,4386.536517290716,5696.842088619146,5542.1892317994125,0.008882365117898342,472.0,21117.1252,28.38,26.25,29.24,33.59,2.3979950420749496,31.725135247508966,29.171837915359397,27.811170483997973,33.87,34.32,Private Equity
2021-11-16,CG,31.8584,30.9693,26.0714,27.2397,67.22,936315.0,2012905.0,1976880.0,2626.206707233165,5645.861288159619,5544.8171986939215,0.008144609134000452,433.0,21234.7799,28.3,26.23,28.09,33.69,2.3979950420749496,31.495335046205426,28.92175739058745,27.939361884087475,32.8072,34.08,Private Equity
2021-11-17,CG,32.2683,31.2164,28.2017,29.4309,65.53,1130125.0,1990628.0,1978919.0,3169.8113565268827,5583.378158186391,5550.536374159338,0.009462656302805001,504.0,21124.2559,27.36,26.19,22.07,26.76,2.3979950420749496,31.909899153753777,29.372667309762665,28.213011696024232,34.286,35.34,Private Equity
2021-11-18,CG,32.319,31.1081,27.3231,28.3142,65.68,873992.0,1976017.0,1972567.0,2451.401219614984,5542.396822602429,5532.7201502671305,0.012623325955658926,673.0,21142.082,27.18,26.12,18.75,24.27,2.3979950420749496,31.961167690069395,29.428356410102147,28.093135916269656,34.9205,35.4,Private Equity
2021-11-19,CG,32.7745,31.5737,26.0276,29.5972,63.87,1100524.0,1980391.0,1967233.0,3086.785511699384,5554.665092537605,5517.759106150265,0.009129227922278195,444.0,21035.124,26.63,26.12,12.64,23.25,2.3979950420749496,32.42169534991555,29.92788415925857,28.607847379521584,33.9144,36.64,Private Equity
2021-11-22,CG,32.1105,31.729,30.2347,30.3653,55.69,6163173.0,2061528.0,2004657.0,17286.6678982508,5782.240722261922,5622.7270934798935,0.039615989802218816,1989.0,20507.4635,27.62,26.35,19.18,24.73,2.3979950420749496,31.750317941128337,29.199222767909422,28.779156363590644,32.7295,37.8,Private Equity
2021-11-23,CG,33.0325,32.7386,31.7398,31.837,50.69,2359043.0,2088004.0,2015269.0,6616.7203450226925,5856.501364022937,5652.491876152125,0.007316248831984731,368.0,20140.2405,28.16,26.46,22.74,25.56,2.3979950420749496,32.682480557062,30.210204505266095,29.888565204104395,31.7791,40.35,Private Equity
2021-11-24,CG,32.6755,32.2726,31.0265,31.1391,53.82,1204438.0,2085874.0,2015458.0,3378.246821609928,5850.527142765993,5653.022058909053,0.005506082531605312,277.0,20393.3748,28.2,26.52,24.12,23.12,2.3979950420749496,32.3216147394083,29.819434941829464,29.377391149657925,32.9482,40.29,Private Equity
2021-11-25,CG,36.862,35.6996,36.1572,36.1385,43.65,1199341.0,2061197.0,2014102.0,3363.9506504188907,5781.31239471632,5649.218806753032,0.037750848279205045,1947.0,19519.882,31.18,27.2,39.34,30.81,2.3979950420749496,36.548673342718416,34.35574833997944,33.10546541222461,32.9482,40.29,Private Equity
2021-11-26,CG,36.862,35.6996,36.1572,36.1385,43.65,1199341.0,2061197.0,2014102.0,3363.9506504188907,5781.31239471632,5649.218806753032,0.037750848279205045,1947.0,19519.882,31.18,27.2,39.34,30.81,2.3979950420749496,36.548673342718416,34.35574833997944,33.10546541222461,29.1316,40.27,Private Equity
2021-11-29,CG,31.6025,32.4612,29.904,30.544,52.16,1495638.0,2043141.0,2018792.0,4195.014161244056,5730.668402660498,5662.373534642882,0.006796924923994501,351.0,20250.7632,32.84,27.69,47.07,34.46,2.3979950420749496,31.236460832859024,28.639629994991203,29.58445377964582,30.681,37.54,Private Equity
2021-11-30,CG,33.424,35.0159,35.0528,35.2193,44.91,4335151.0,2082305.0,2036063.0,12159.372823533375,5840.516934083187,5710.815865284008,0.025449590234727367,1326.0,19498.4899,35.35,28.15,51.11,38.6,2.3979950420749496,33.07812351256848,30.63778999862751,32.36701488877218,31.1715,35.99,Private Equity
2021-12-01,CG,35.7421,37.0642,36.5412,36.7334,41.8,2710113.0,2101028.0,2044662.0,7601.413039922354,5893.031632423439,5734.934443336393,0.02150598649492141,1137.0,19138.3977,35.66,28.22,51.21,39.62,2.3979950420749496,35.41886773349391,33.15129126308658,34.57260941323347,31.3692,33.52,Private Equity
2021-12-02,CG,35.3198,36.844,35.906,36.3285,47.81,3869414.0,2128606.0,2055351.0,10853.058400403937,5970.38343001039,5764.915420352702,0.015170717866263122,802.0,19683.8844,36.95,28.49,54.24,41.98,2.3979950420749496,34.992667105448476,32.69554514058452,34.33643452660745,31.4674,33.09,Private Equity
2021-12-03,CG,38.6169,40.8166,43.1515,42.267,41.79,3659168.0,2189032.0,2083431.0,10263.35376669107,6139.868358765514,5843.675229311948,0.01724492274349345,923.0,18956.5679,36.51,28.98,51.87,46.03,2.3979950420749496,38.31792589275594,36.2322420726347,38.568189425483794,31.3777,31.92,Private Equity
2021-12-06,CG,36.5409,37.3657,36.3188,37.119,44.25,3546326.0,2210262.0,2104042.0,9946.850226591734,6199.414570326332,5901.485267981151,0.03688247236634334,1962.0,19184.7467,35.91,29.02,45.63,46.35,2.3979950420749496,36.224796092217495,34.01099488121452,34.89564351735041,32.37,30.38,Private Equity
2021-12-07,CG,35.0097,35.7818,32.8833,33.8996,47.29,1732247.0,2213328.0,2105185.0,4858.662633697849,6208.014243763847,5904.691245833421,0.009176197951708156,491.0,19477.0991,35.93,29.09,38.41,45.21,2.3979950420749496,34.679642057015755,32.360307385592,33.194090004698126,33.3896,40.44,Private Equity
2021-12-08,CG,34.9282,34.8627,32.8468,32.9837,47.52,2687600.0,2239710.0,2112897.0,7538.268078903894,6282.011608498973,5926.32237279052,0.008845446267630497,476.0,19498.4899,35.56,28.96,36.06,44.29,2.3979950420749496,34.597364557907234,32.272117303331676,32.20121505921787,34.0343,40.11,Private Equity
2021-12-09,CG,34.206,32.5548,34.8141,32.7281,44.93,2151059.0,2250939.0,2123538.0,6033.360201926304,6313.50687245854,5956.168406574706,0.0028807196223469504,155.0,19227.5296,35.62,28.96,31.64,44.4,2.3979950420749496,33.86811059260224,31.489058988798,29.687125206728926,34.0601,40.21,Private Equity
2021-12-10,CG,32.2467,32.4197,33.9099,32.2429,45.74,909456.0,2250297.0,2124084.0,2550.8718201720044,6311.706343481818,5957.700008882488,0.006739899460063303,362.0,19295.2693,34.57,28.95,17.12,38.63,2.3979950420749496,31.88805638484001,29.34893628208695,29.538912439187737,34.183,40.37,Private Equity
2021-12-13,CG,33.3772,33.1175,32.0287,32.4807,41.81,1643836.0,2236310.0,2129043.0,4610.684705152858,6272.475060152222,5971.60908795814,0.03270092130658024,1796.0,18888.8282,34.88,29.11,21.2,35.58,2.3979950420749496,33.03083345834216,30.5867271841889,30.303122054501248,33.396,42.65,Private Equity
2021-12-14,CG,33.87,33.8497,37.3584,34.7537,40.24,1192015.0,2229653.0,2130826.0,3343.4025444163753,6253.803444894237,5976.610252478842,0.011123208129196153,613.0,18721.2598,34.32,29.06,19.34,30.41,2.3979950420749496,33.52872468664348,31.123741741635115,31.101649314626385,33.7011,42.18,Private Equity
2021-12-15,CG,32.8072,33.4392,34.4445,33.2558,42.82,1777104.0,2224647.0,2130829.0,4984.4792010609735,6239.762389372086,5976.6186061803655,0.013762050872383304,758.0,18906.6543,34.08,28.99,20.55,29.35,2.3979950420749496,32.454750822533455,29.96369089147731,30.654371574703664,33.645,42.47,Private Equity
2021-12-16,CG,34.286,35.2769,34.4365,33.651,37.97,1965326.0,2225370.0,2128736.0,5512.410271523936,6241.790138603581,5970.7479531450645,0.008626757385984226,478.0,18393.2551,35.34,29.15,26.56,29.21,2.3979950420749496,33.948906832367015,31.575943311324842,32.649197135764304,35.4679,42.58,Private Equity
2021-12-17,CG,34.9205,36.7398,33.5344,33.8232,40.11,2556379.0,2206035.0,2135513.0,7170.21493981741,6187.558697188523,5989.756298566956,0.026074034044852742,1158.0,18539.4314,35.4,29.16,27.04,22.63,2.3979950420749496,34.58959091060106,32.263783414999544,34.22460086019996,34.4612,41.5,Private Equity
2021-12-20,CG,33.9144,33.0228,31.897,31.897,35.63,2244098.0,2181710.0,2142984.0,6294.319233397344,6119.331336998348,6010.711389637518,0.01917358306333496,864.0,18040.2923,36.64,29.34,29.63,25.76,2.3979950420749496,33.57357601556224,31.1720536275684,30.199598007920567,34.4612,41.5,Private Equity
2021-12-21,CG,32.7295,33.238,32.726,32.726,42.71,1137732.0,2158110.0,2142663.0,3191.1477069356074,6053.137098908006,6009.810851049077,0.0056013106624158695,253.0,18539.4314,37.8,29.42,34.83,28.17,2.3979950420749496,32.37620498703849,29.87859719347614,30.434767027200976,35.3766,41.57,Private Equity
2021-12-22,CG,31.7791,30.7132,30.3459,30.3459,52.67,2010199.0,2159693.0,2149771.0,5638.271391835336,6057.57701453788,6029.747466940956,0.006809767277856135,309.0,19452.1423,40.35,30.17,48.25,37.09,2.3979950420749496,31.41511858839205,28.834382199207944,27.655217486760073,35.2583,40.49,Private Equity
2021-12-23,CG,32.9482,32.458,31.0017,31.0461,55.56,1967537.0,2154386.0,2154348.0,5518.611603898621,6042.691740423044,6042.5851567903355,0.006585612968591692,299.0,19783.713,40.29,30.18,45.72,37.39,2.3979950420749496,32.59727538234961,30.118005963874833,29.580942581330973,38.7234,40.92,Private Equity
2021-12-24,CG,32.9482,32.458,31.0017,31.0461,55.56,1967537.0,2154386.0,2154348.0,5518.611603898621,6042.691740423044,6042.5851567903355,0.006585612968591692,299.0,19783.713,40.29,30.18,45.72,37.39,2.3979950420749496,32.59727538234961,30.118005963874833,29.580942581330973,37.3561,38.13,Private Equity
2021-12-27,CG,29.1316,25.0589,29.2315,31.1591,57.5,525890.0,2152963.0,2132522.0,1475.033337169518,6038.700486209087,5981.366906097121,0.034510911538206936,1564.0,20019.0211,40.27,30.22,46.14,37.82,2.3979950420749496,28.734101650699568,25.88745871189368,21.200445023866838,37.2151,38.31,Private Equity
2021-12-28,CG,30.681,28.9793,29.1712,29.1099,54.87,987495.0,2123567.0,2131657.0,2769.758030941474,5956.249654420825,5978.94074902922,0.011016370326304889,500.0,19776.5823,37.54,30.2,42.76,36.79,2.3979950420749496,30.30383210276773,27.619452583279056,25.71595280151991,37.0391,38.34,Private Equity
2021-12-29,CG,31.1715,31.0347,30.0424,30.4379,50.77,578233.0,2119243.0,2130305.0,1621.8467563496363,5944.1218081062,5975.1488660892965,0.004162995594713656,189.0,19384.4012,35.99,30.33,40.69,37.87,2.3979950420749496,30.800339143631778,28.163323884974943,28.011836856764678,36.943,38.25,Private Equity
2021-12-30,CG,31.3692,30.4775,29.1373,29.5388,50.62,441362.0,2093564.0,2124790.0,1237.946452542878,5872.096208942949,5959.679906513433,0.003721401360843811,169.0,19370.1411,33.52,30.33,22.18,37.55,2.3979950420749496,31.000406251414443,28.38198563596282,27.393218252881496,36.34,39.26,Private Equity
2021-12-31,CG,31.4674,31.0469,29.8096,30.0318,52.78,671575.0,2089932.0,2122534.0,1883.6553508332704,5861.909086368132,5953.35223381684,0.003845055258937007,175.0,19573.3617,33.09,30.35,20.07,35.31,2.3979950420749496,31.099770768813325,28.490483722815238,28.02535280081234,35.1558,43.09,Private Equity
2022-01-03,CG,31.3777,30.6204,29.0123,29.4038,49.96,1062039.0,2084876.0,2123097.0,2978.8415709340993,5847.7280957128705,5954.9316011233805,0.016062243919449045,737.0,19327.3569,31.92,30.4,20.32,35.65,2.3979950420749496,31.00900734307269,28.391379982135422,27.55211963098302,34.963,44.33,Private Equity
2022-01-04,CG,32.37,32.5988,30.1069,31.4996,55.11,2614548.0,2101455.0,2126936.0,7333.3693057186465,5894.229363679297,5965.699301610831,0.10378380630912197,4981.0,19812.2345,30.38,30.59,25.44,35.19,2.3979950420749496,32.01273776347058,29.484356869363793,29.735368863358662,36.133,44.72,Private Equity
2022-01-05,CG,33.3896,34.2466,35.5465,35.1687,41.39,2406739.0,2108961.0,2125811.0,6750.499612141876,5915.282219020153,5962.543645566443,0.043184579583599336,2097.0,18325.5154,40.44,32.46,59.26,50.83,2.3979950420749496,33.04336343765168,30.60025797538315,31.533157335731545,36.2589,52.06,Private Equity
2022-01-06,CG,34.0343,35.483,35.1395,35.9589,41.63,2498660.0,2116075.0,2135012.0,7008.322940027894,5935.236072662758,5988.35118697015,0.02696133499458731,1320.0,18346.9062,40.11,32.36,59.27,44.74,2.3979950420749496,33.69468883374257,31.30245959169982,32.87177648074408,36.1929,44.51,Private Equity
2022-01-07,CG,34.0601,35.229,36.2117,36.1415,40.31,987259.0,2115654.0,2125929.0,2769.0961322805624,5934.055104733308,5962.874758703729,0.0104403178722024,515.0,18190.0345,40.21,32.2,59.12,44.14,2.3979950420749496,33.72074867381707,31.33050928424241,32.59743611083547,36.0438,44.57,Private Equity
2022-01-10,CG,34.183,34.906,34.5186,35.3897,37.71,1881594.0,2129556.0,2125796.0,5277.556119740484,5973.04801148923,5962.501841055957,0.021924214565512832,1097.0,17876.2899,40.37,32.25,59.72,44.61,2.3979950420749496,33.84488097353477,31.464072988092305,32.248088873606136,36.5468,44.73,Private Equity
2022-01-11,CG,33.396,33.8529,36.5287,35.0424,46.48,2112349.0,2137957.0,2123788.0,5924.785143809535,5996.6112946788635,5956.869622870541,0.0116558448005401,587.0,18603.6064,42.65,32.72,63.71,48.51,2.3979950420749496,33.04983048538579,30.60724123471438,31.10513202688585,34.5796,45.05,Private Equity
2022-01-12,CG,33.7011,33.7307,37.3863,35.0952,48.57,2753947.0,2168588.0,2122538.0,7724.360108698825,6082.526148616138,5953.363610990838,0.007925029223545262,400.0,18806.827,42.18,32.47,32.43,47.77,2.3979950420749496,33.35809677308847,30.93985360679652,30.97209263982658,35.6462,43.81,Private Equity
2022-01-13,CG,33.645,34.1471,38.5532,35.6514,45.64,3121216.0,2190513.0,2129117.0,8754.488322617326,6144.022226927405,5971.816725912604,0.03148245256268329,1621.0,18493.0824,42.47,32.46,34.55,48.51,2.3979950420749496,33.30141895044017,30.878737425613764,31.425067039069305,36.6607,46.25,Private Equity
2022-01-14,CG,35.4679,35.8516,38.6552,36.8083,43.42,1453365.0,2197453.0,2115659.0,4076.4455205294785,6163.487794479752,5934.069317423962,0.016412729026036642,851.0,18250.6436,42.58,32.5,35.27,48.68,2.3979950420749496,35.14214577288552,32.85547641429051,33.269319538577875,36.3465,45.9,Private Equity
2022-01-17,CG,34.4612,35.0429,34.4215,36.5116,43.21,2931506.0,2216599.0,2119249.0,8222.383189507364,6217.18882904515,5944.138388930567,0.011236387424481471,584.0,18229.2528,41.5,32.45,33.05,48.26,2.3979950420749496,34.125837492327356,31.7660936446394,32.39622262563956,35.0944,47.0,Private Equity
2022-01-18,CG,34.4612,35.0429,34.4215,36.5116,43.21,2931506.0,2216599.0,2119249.0,8222.383189507364,6217.18882904515,5944.138388930567,0.011236387424481471,584.0,18229.2528,41.5,32.45,33.05,48.26,2.3979950420749496,34.125837492327356,31.7660936446394,32.39622262563956,35.3151,47.09,Private Equity
2022-01-19,CG,35.3766,35.0128,32.0308,37.4829,41.34,2010876.0,2226292.0,2122756.0,5640.170384343999,6244.376184957188,5953.97504589469,0.05371352785145889,2916.0,18036.7276,41.57,32.27,18.64,46.94,2.3979950420749496,35.04999724212166,32.75689587796744,32.363661162482835,36.6569,49.97,Private Equity
2022-01-20,CG,35.2583,36.2748,35.92,38.7581,41.9,2418978.0,2221294.0,2125199.0,6784.828077986381,6230.357572769442,5960.827195000772,0.7114483566457659,41301.0,18075.9458,40.49,32.05,17.04,25.9,2.3979950420749496,34.930591148772955,32.62909926568614,33.72493906651278,37.2603,49.97,Private Equity
2022-01-21,CG,38.7234,38.5413,37.6264,41.5845,36.45,2070821.0,2227356.0,2125364.0,5808.3060723972585,6247.360530046039,5961.290052232678,0.035693991371145956,1696.0,17501.9363,40.92,32.16,25.93,30.54,2.3979950420749496,38.425254542718854,36.345730252121776,36.15165564244603,37.6351,49.17,Private Equity
2022-01-24,CG,37.3561,40.2315,47.0592,46.1504,33.31,3665442.0,2236076.0,2142257.0,10280.950719332974,6271.818558493955,6008.67198148166,0.1385809958264583,7139.0,17127.5827,38.13,32.3,28.64,32.13,2.3979950420749496,37.046952456615585,34.88536379644047,37.94843860094905,37.6351,49.17,Private Equity
2022-01-25,CG,37.2151,40.3523,48.5018,47.1638,30.67,1479845.0,2223395.0,2141349.0,4150.717358994015,6236.250568404459,6006.125280664174,0.04333257610177192,2289.0,16788.8813,38.31,32.37,31.95,32.5,2.3979950420749496,36.9047713327523,34.7343355774945,38.07648244376048,37.7531,48.66,Private Equity
2022-01-26,CG,37.0391,39.6453,47.0873,45.6642,29.1,1802435.0,2223229.0,2136717.0,5055.528294728182,6235.784988174465,5993.133317610186,0.010055844841898724,533.0,16578.53,38.34,32.42,32.31,26.38,2.3979950420749496,36.72728424377081,34.545699136216655,37.326401006392246,37.2635,48.6,Private Equity
2022-01-27,CG,36.943,39.4866,46.0703,44.648,32.0,2758376.0,2221930.0,2145622.0,7736.782595839424,6232.141431470362,6018.110274614547,0.01848632684723079,989.0,16738.9676,38.25,32.45,32.99,26.26,2.3979950420749496,36.63036620227452,34.44264288639883,37.157798368041135,36.3527,50.25,Private Equity
2022-01-28,CG,36.34,37.8914,43.772,42.2655,40.87,1582668.0,2210014.0,2140112.0,4439.118681138832,6198.719145757894,6002.655742663267,0.00865663861791645,465.0,17291.585,39.26,32.77,33.09,29.73,2.3979950420749496,36.0221331838182,33.795058810423754,35.45798350103964,36.9013,50.18,Private Equity
2022-01-31,CG,35.1558,36.572,43.078,40.7527,51.68,2729517.0,2166631.0,2131479.0,7655.838178775457,6077.037193436951,5978.441718977435,0.10850868545398919,6384.0,18200.7299,43.09,33.54,46.72,38.75,2.3979950420749496,34.82712667954013,32.51831289658183,34.04440606032069,39.5445,50.79,Private Equity
2022-02-01,CG,34.963,35.899,41.0852,39.1769,56.9,3318744.0,2169946.0,2125579.0,9308.520965582582,6086.335021677497,5961.893019016248,0.011947532537960954,705.0,18789.0009,44.33,33.74,49.92,41.91,2.3979950420749496,34.632496995058496,32.309778225794126,33.32039316994924,37.7667,50.79,Private Equity
2022-02-02,CG,36.133,37.4299,45.885,42.2099,59.98,3374688.0,2164953.0,2115454.0,9465.434321709454,6072.330369826143,5933.493969693658,0.10003346160281078,5979.0,19191.8774,44.72,33.54,51.37,42.91,2.3979950420749496,35.81329596829558,33.57237091716938,34.96437921671141,39.0067,50.45,Private Equity
2022-02-03,CG,36.2589,37.7828,44.8822,41.6626,46.89,5805446.0,2206355.0,2131471.0,16283.303255624654,6188.456072894957,5978.419000636564,0.4586608990031973,24387.0,17701.5922,52.06,33.54,51.37,42.91,2.3979950420749496,35.94031591851601,33.70783631753898,35.34190679405965,41.4994,53.57,Private Equity
2022-02-04,CG,36.1929,36.829,37.4203,37.1959,47.43,3037141.0,2187697.0,2135516.0,8518.671921135541,6136.123744617869,5989.76477757723,0.0165326351224986,884.0,17762.2012,44.51,33.51,50.97,42.93,4.04362424648583,35.27778936133793,33.63683115886513,34.32033859098712,43.0893,52.11,Private Equity
2022-02-07,CG,36.0438,36.4418,37.8064,37.3423,48.6,3218770.0,2213944.0,2141541.0,9028.111120547519,6209.742369498118,6006.66407267635,0.02613892353806341,1404.0,17886.9853,44.57,33.52,45.73,39.91,4.04362424648583,35.1248050564402,33.47634864258646,33.90450098792194,43.9611,52.22,Private Equity
2022-02-08,CG,36.5468,36.2728,39.64,37.0071,46.43,3466459.0,2248061.0,2154436.0,9722.837043004034,6305.434671442153,6042.832223771127,0.017279371258584596,941.0,17640.9818,44.73,33.52,29.4,39.03,4.04362424648583,35.64077723693645,34.017333673290736,33.722787842051254,41.9579,55.93,Private Equity
2022-02-09,CG,34.5796,34.3514,35.5135,34.6197,50.49,4001982.0,2281843.0,2170818.0,11224.88940172473,6400.187533851917,6088.780999333149,0.011516173989584098,628.0,18054.5537,45.05,33.63,24.99,39.48,4.04362424648583,33.620606002464136,31.894500092649203,31.646944275237693,42.3967,56.03,Private Equity
2022-02-10,CG,35.6462,36.3908,40.0558,38.0133,46.35,10708174.0,2422654.0,2224989.0,30034.634574380194,6795.138703401763,6240.7214850090795,0.018313620755436855,1008.0,17591.0682,43.81,33.83,27.18,41.09,4.04362424648583,34.71668167110629,33.04787397761012,33.849678353567846,43.5161,55.5,Private Equity
2022-02-11,CG,36.6607,37.9633,44.3017,40.5129,40.35,2414090.0,2371185.0,2223402.0,6775.108623057238,6654.6963619268445,6239.945512687062,0.012927205149125192,713.0,16821.7508,46.25,34.39,41.41,46.43,4.04362424648583,35.75756334403852,34.13967376074352,35.534807539791174,45.1779,55.06,Private Equity
2022-02-14,CG,36.3465,37.9488,39.7789,39.6421,39.83,1982413.0,2377935.0,2201401.0,5563.6132023171285,6673.639932875733,6178.199833835901,0.008365847019326739,461.0,16664.9716,45.9,34.21,41.64,43.73,4.04362424648583,35.43535627114432,33.802048196078296,35.519316173597716,43.9842,53.98,Private Equity
2022-02-15,CG,35.0944,35.9972,36.2466,36.2484,45.87,1831396.0,2392372.0,2198840.0,5139.786152902114,6714.157111946698,6171.012377687449,0.005639370421411475,311.0,17206.5744,47.0,34.51,46.4,38.84,4.04362424648583,34.149865639163615,32.45192307645265,33.4261695059425,41.9194,57.09,Private Equity
