PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-09-01,CRWD,45.1968,42.4254,39.6427,40.946,58.06,11742306.0,3904330.0,3937740.0,52000.68116460727,17290.28518686288,17438.241027709602,0.44332984825793326,172579.0,60962.0928,48.37,47.86,31.82,48.4,6.6046657941033615,43.223422923604794,41.620743989506,38.59339535671875,41.3583,35.18,Computer Data Security
2021-09-02,CRWD,44.8919,41.9787,37.2258,39.6802,59.42,4187975.0,3899571.0,3938568.0,18352.809538539903,17088.94724658423,17259.842372169853,0.1676321135611174,65517.0,62221.2714,46.67,47.87,30.47,48.62,6.6046657941033615,42.904501449181346,41.289445208309594,38.10179593785574,41.2249,32.7,Computer Data Security
2021-09-03,CRWD,44.7999,41.8614,35.846,39.2027,62.12,3472820.0,3839106.0,3913672.0,15218.812118373595,16823.973864617452,17150.741720255995,0.1810600736683953,59773.0,63490.0215,47.15,47.36,24.88,49.6,6.6046657941033615,42.80823050539235,41.18939960730188,37.97252177509416,42.1582,35.71,Computer Data Security
2021-09-06,CRWD,44.6786,41.7449,36.9658,38.9786,56.07,4476131.0,3832620.0,3863847.0,19615.586520638422,16795.551607119905,16932.39655653715,0.11663889690254285,39622.0,61538.9709,47.95,45.93,32.09,51.64,6.6046657941033615,42.681270563946484,41.05743413755906,37.84405205590438,40.6613,36.07,Computer Data Security
2021-09-07,CRWD,44.6786,41.7449,36.9658,38.9786,56.07,4476131.0,3832620.0,3863847.0,19615.586520638422,16795.551607119905,16932.39655653715,0.11663889690254285,39622.0,61538.9709,47.95,45.93,32.09,51.64,6.6046657941033615,42.681270563946484,41.05743413755906,37.84405205590438,41.4973,34.72,Computer Data Security
2021-09-08,CRWD,43.6922,41.1944,37.0484,39.0825,53.08,3044745.0,3827784.0,3857413.0,13342.874665939158,16774.357839585005,16904.19992274045,0.09008291002510656,30857.0,60523.5181,48.15,45.39,32.66,49.66,6.6046657941033615,41.64759176510455,39.98179511777829,37.235926084361054,41.2022,34.31,Computer Data Security
2021-09-09,CRWD,43.1711,40.8272,36.3089,38.5434,53.03,2972181.0,3751307.0,3853179.0,13024.880451020794,16439.21591924498,16885.645871292447,0.08684093802383654,30151.0,60507.543,45.88,45.32,29.76,30.81,6.6046657941033615,41.10057705437728,39.411666739811956,36.82927992562439,41.4531,34.99,Computer Data Security
2021-09-10,CRWD,42.4915,40.4914,36.7735,38.3162,50.77,3040704.0,3736064.0,3848865.0,13325.166488885034,16372.41731294127,16866.7410304464,0.09149882404571541,29606.0,59786.4536,42.4,42.98,30.14,30.31,6.6046657941033615,40.38615024043273,38.666046762631424,36.45667392892555,41.6054,34.75,Computer Data Security
2021-09-13,CRWD,42.1901,40.5559,37.8549,38.7865,45.43,4953411.0,3771435.0,3863982.0,21707.15288792821,16527.422447255743,16932.987799761137,0.12359547164334353,40875.0,57967.7585,42.9,43.09,34.41,30.02,6.6046657941033615,40.06891684339376,38.33458148995499,36.528298958615636,41.365,35.06,Computer Data Security
2021-09-14,CRWD,42.1004,40.1477,36.4215,38.4198,47.92,2462289.0,3773381.0,3863297.0,10790.400000318836,16535.951037267798,16929.98667095201,0.0682728300912224,22999.0,58713.9457,43.04,42.44,27.85,30.04,6.6046657941033615,39.97445733406276,38.235837641668056,36.074553570210675,41.5305,41.95,Computer Data Security
