PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-31,CTLT,28.0233,28.8806,19.463,26.9682,76.26,1187386.0,760673.0,930579.0,6952.4281510868595,4453.921790362775,5448.7619328594565,0.0426649163111257,520.0,22277.4873,17.66,26.02,18.78,18.68,0.0,28.0233,25.858564207820972,26.78523952403637,31.9448,27.59,Medical Labs_Testing Srv
2021-09-01,CTLT,29.1161,28.9253,23.814,26.9952,80.47,1031227.0,759106.0,930465.0,6038.07995910274,4444.746622649178,5448.094424551075,0.02469236411050444,303.0,22861.5797,19.11,26.08,25.37,22.71,0.0,29.1161,27.038995528865343,26.83343027065306,31.8597,27.75,Medical Labs_Testing Srv
2021-09-02,CTLT,28.981,28.6759,23.102,25.2852,85.12,850349.0,760208.0,929268.0,4978.99615242048,4451.199104178718,5441.085714885859,0.04848191994845776,602.0,23841.8984,23.92,25.85,35.67,30.87,0.0,28.981,26.89346316486592,26.564397994496318,32.2773,26.43,Medical Labs_Testing Srv
2021-09-03,CTLT,29.0745,28.0846,24.266,26.2948,85.58,1112145.0,750697.0,927293.0,6511.874135661365,4395.509918237801,5429.5216027405,0.023399310842214922,292.0,23969.9889,23.89,24.87,35.31,30.77,0.0,29.0745,26.994194750908946,25.92498326248254,33.0851,23.39,Medical Labs_Testing Srv
2021-09-06,CTLT,29.1213,29.5151,29.869,26.346,86.06,1211265.0,754756.0,925555.0,7082.680843547826,4413.31654324428,5412.036728667887,0.032157676348547715,403.0,24132.3318,23.89,24.8,35.44,29.1,0.0,29.1213,27.044594907115915,27.468183922676797,32.0172,23.52,Medical Labs_Testing Srv
2021-09-07,CTLT,29.1213,29.5151,29.869,26.346,86.06,1211265.0,754756.0,925555.0,7082.680843547826,4413.31654324428,5412.036728667887,0.032157676348547715,403.0,24132.3318,23.89,24.8,35.44,29.1,0.0,29.1213,27.044594907115915,27.468183922676797,31.8786,23.55,Medical Labs_Testing Srv
2021-09-08,CTLT,28.7451,27.7451,25.022,27.4312,86.81,1170461.0,761188.0,925536.0,6844.085912937845,4450.926658724496,5411.92564256036,0.05178735105407883,678.0,24344.3939,24.06,24.48,35.97,28.69,0.0,28.7451,26.639083580521312,25.556810716715027,30.9375,23.78,Medical Labs_Testing Srv
2021-09-09,CTLT,29.2284,29.1529,30.796,30.4229,81.79,793205.0,758059.0,924095.0,4638.141013637069,4432.630327162213,5403.49962493548,0.023112711991595376,308.0,24118.6503,23.16,24.39,31.62,28.67,0.0,29.2284,27.159885245707503,27.078618473068378,30.9299,23.63,Medical Labs_Testing Srv
2021-09-10,CTLT,28.9931,31.8198,32.714,29.8131,70.48,1161345.0,768608.0,925504.0,6790.781538137356,4494.313934674603,5411.7385244456,0.011116953353864643,148.0,23542.3201,24.44,24.63,20.16,28.97,0.0,28.9931,26.90650195789114,29.930914988352765,30.2432,22.62,Medical Labs_Testing Srv
2021-09-13,CTLT,30.2753,31.8183,37.193,27.3999,67.34,950349.0,775501.0,926693.0,5557.015737841214,4534.619662578273,5418.691012614617,0.03451654231667797,458.0,23366.1717,23.77,24.26,20.5,28.87,0.0,30.2753,28.283454352147302,29.929320321216785,31.2532,22.47,Medical Labs_Testing Srv
2021-09-14,CTLT,30.5229,31.1633,26.211,23.5898,69.51,687772.0,775985.0,925767.0,4021.638179430308,4537.44976920437,5413.276365505804,0.10895410082769,1448.0,23626.1189,24.07,24.31,21.62,29.35,0.0,30.5229,28.54833487981392,29.232024679963583,27.8018,22.18,Medical Labs_Testing Srv
2021-09-15,CTLT,30.7908,30.89,28.155,25.8181,69.67,1714869.0,791873.0,931568.0,10027.425749116594,4630.352353579314,5447.196812265571,0.006159855769230769,82.0,23644.9308,24.04,24.28,20.71,29.35,0.0,30.7908,28.834586257479057,28.94049239387609,30.2378,22.28,Medical Labs_Testing Srv
2021-09-16,CTLT,30.4297,30.1494,26.685,26.4282,69.36,1610546.0,803175.0,932057.0,9417.413472878894,4696.439012657513,5450.056160638122,0.003899220155968806,52.0,23629.5392,24.02,23.9,19.63,26.32,0.0,30.4297,28.448666789324243,28.148646865524462,27.889,22.28,Medical Labs_Testing Srv
2021-09-17,CTLT,29.5417,29.6067,24.264,25.7999,62.58,2758229.0,826903.0,942434.0,16128.308627707998,4835.184746871136,5510.734030149549,0.02963845848232022,373.0,23284.0831,24.49,23.75,14.14,17.41,0.0,29.5417,27.496764153078082,27.566586384425623,27.5308,22.12,Medical Labs_Testing Srv
2021-09-20,CTLT,30.3381,31.0436,29.998,31.2854,62.02,1766807.0,839166.0,921384.0,10331.124984546877,4906.890695351708,5387.647469566138,0.011285523750897712,110.0,23255.0101,24.36,23.59,13.13,17.21,0.0,30.3381,28.350666863585413,29.10438284794921,28.5924,23.33,Medical Labs_Testing Srv
2021-09-21,CTLT,29.904,32.3702,32.742,32.6823,62.26,1140480.0,849055.0,915003.0,6668.776728339777,4964.71505425832,5350.335571654989,0.01323424615697852,130.0,23273.8221,23.29,23.44,10.53,17.0,0.0,29.904,27.885645339493223,30.515403455304337,27.5871,23.63,Medical Labs_Testing Srv
2021-09-22,CTLT,29.3262,29.335,30.266,30.0653,64.65,635917.0,848574.0,901889.0,3718.4242543608566,4961.902486047723,5273.653530792947,0.0017295757452436666,17.0,23465.3621,23.02,22.93,12.02,16.93,0.0,29.3262,27.265106022900405,27.27457103237373,28.5296,23.5,Medical Labs_Testing Srv
2021-09-23,CTLT,30.0546,29.4569,26.382,28.5189,71.26,696237.0,853438.0,899312.0,4071.1359287609794,4990.343955822389,5258.584927784495,0.015949443274149863,159.0,24116.9402,24.68,23.04,22.86,21.31,0.0,30.0546,28.047085074210475,27.405637332673,29.3896,21.53,Medical Labs_Testing Srv
2021-09-24,CTLT,30.0822,31.7914,25.828,29.4507,71.73,614392.0,834693.0,896582.0,3592.560216546763,4880.735531761591,5242.621687899468,0.008413461538461538,84.0,24171.6659,23.4,22.26,20.39,17.54,0.0,30.0822,28.07665857683211,29.900720960538727,28.06,22.05,Medical Labs_Testing Srv
2021-09-27,CTLT,30.314,31.8654,24.7,29.7324,56.51,678267.0,837181.0,896744.0,3966.059200602693,4895.283726939042,5243.568965886976,0.02156067649095045,218.0,23325.1274,26.28,22.8,32.49,24.78,0.0,30.314,28.324875922058336,29.979388205231942,29.2089,19.51,Medical Labs_Testing Srv
2021-09-28,CTLT,31.169,33.4233,27.105,31.9855,49.07,1272638.0,848674.0,901357.0,7441.549769861746,4962.487218979511,5270.5427434300045,0.02300796812749004,231.0,22783.0008,27.49,22.99,36.52,26.88,0.0,31.169,29.23810118663659,31.630317464262035,28.8307,17.78,Medical Labs_Testing Srv
2021-09-29,CTLT,31.9448,31.7092,29.546,32.4435,51.34,640126.0,845825.0,900954.0,3743.035721014004,4945.828147468888,5268.186271125452,0.007448604628066342,75.0,22957.439,27.59,22.96,36.46,27.15,0.0,31.9448,30.06376967447695,29.813308515493546,27.882,18.71,Medical Labs_Testing Srv
2021-09-30,CTLT,31.8597,32.1542,27.963,32.3822,48.68,926265.0,848444.0,898432.0,5416.1883453371265,4961.142334506014,5253.439272214674,0.01150781941575686,117.0,22757.3481,27.75,22.91,31.46,27.5,0.0,31.8597,29.973329546281644,30.28617799657131,28.2172,19.41,Medical Labs_Testing Srv
2021-10-01,CTLT,32.2773,32.3571,31.805,32.9262,46.15,1219718.0,861767.0,902535.0,7132.10843992367,5039.046479553226,5277.4309232351325,0.01943155452436195,201.0,22562.3877,26.43,22.82,32.01,26.83,0.0,32.2773,30.41683900884508,30.501506854744083,28.8935,19.41,Medical Labs_Testing Srv
2021-10-04,CTLT,33.0851,32.6413,29.593,33.3987,40.33,1011168.0,864102.0,903384.0,5912.645239002451,5052.700022461644,5282.395315705195,0.002319961333977767,24.0,22064.7257,23.39,22.98,25.19,29.07,0.0,33.0851,31.27273320338342,30.802832105019174,29.1712,19.08,Medical Labs_Testing Srv
2021-10-05,CTLT,32.0172,32.2214,30.117,34.5981,43.48,938688.0,868491.0,906425.0,5488.829884185977,5078.364009070706,5300.177085222432,0.004432026206763658,46.0,22264.8166,23.52,22.99,19.93,29.42,0.0,32.0172,30.140688377009578,30.35751336918095,29.3401,18.84,Medical Labs_Testing Srv
2021-10-06,CTLT,31.8786,32.4267,42.491,37.6558,41.81,849770.0,868583.0,907865.0,4968.895909797751,5078.9019570235005,5308.59725001887,0.0024096385542168677,25.0,22122.8718,23.55,22.95,19.71,29.31,0.0,31.8786,29.993418244008133,30.575331116604442,29.6715,26.12,Medical Labs_Testing Srv
2021-10-07,CTLT,30.9375,31.9649,31.38,34.0219,46.34,676903.0,865523.0,907618.0,3958.0834243834647,5061.009095428221,5307.152962052275,0.0014455044810638912,15.0,22410.1818,23.78,22.99,20.82,26.68,0.0,30.9375,28.99118669958165,30.08512642502936,33.3058,31.89,Medical Labs_Testing Srv
2021-10-08,CTLT,30.9299,32.8144,31.053,34.173,44.79,438559.0,862363.0,905242.0,2564.4045125599937,5042.531492147633,5293.25967488715,0.01934865900383142,202.0,22290.4693,23.63,22.94,20.27,26.79,0.0,30.9299,28.98307633792521,30.9862041457162,32.1602,32.23,Medical Labs_Testing Srv
2021-10-11,CTLT,30.2432,30.2041,34.817,30.6584,40.97,355674.0,860478.0,901843.0,2079.7475565975906,5031.509241625706,5273.384547885537,0.020525374258544393,218.0,21980.927,22.62,22.9,16.08,21.13,0.0,30.2432,28.249091069271593,28.207227031560546,31.9816,32.0,Medical Labs_Testing Srv
2021-10-12,CTLT,31.2532,30.9346,38.002,34.7603,41.27,407039.0,858139.0,896937.0,2380.096293355595,5017.832328312218,5244.697508281731,0.005819956819675209,62.0,21998.0287,22.47,22.9,14.76,17.53,0.0,31.2532,29.327845305102112,28.98809198895298,31.9921,32.23,Medical Labs_Testing Srv
2021-10-13,CTLT,27.8018,28.1551,37.044,30.9454,40.23,440734.0,855103.0,889604.0,2577.1224865285853,5000.079797787447,5201.818948630638,0.014894419306184013,158.0,21917.6503,22.18,22.9,14.28,17.21,0.0,27.8018,25.618354421000582,26.00133950414863,30.8656,33.08,Medical Labs_Testing Srv
