PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-26,DKS,41.2428,39.5366,36.9799,36.9836,80.6,10536633.0,1841987.0,1838415.0,118939.88283812735,20792.76349184352,20752.441952553145,0.31122097117262304,42871.0,11957.5931,57.56,36.19,47.77,45.15,7.180717054960834,38.66157992304994,33.78125148421829,31.675655313821057,40.4937,34.25,Retail-Sporting Goods
2021-08-27,DKS,40.9912,39.031,34.2666,35.9139,81.91,3201043.0,1864602.0,1855664.0,36134.09197102498,21048.04595169672,20947.151801247313,0.2625974203768714,26854.0,12269.4229,57.71,36.21,50.95,46.77,7.180717054960834,38.39306822521975,33.473614645568226,31.0422834372731,40.4443,31.25,Retail-Sporting Goods
2021-08-30,DKS,40.5784,39.2718,34.0924,35.8113,83.11,4471657.0,1905337.0,1876011.0,50477.070032597374,21507.872626343877,21176.83414200218,0.24304481876294065,26881.0,12580.3659,58.27,36.18,43.69,48.37,7.180717054960834,37.95201914083596,32.96681583896146,31.344515871839526,40.3244,30.49,Retail-Sporting Goods
2021-08-31,DKS,40.4789,39.2326,34.0172,35.6445,81.18,2269845.0,1909797.0,1885568.0,25622.520375421933,21558.217651610434,21284.71525555427,0.0883439885624882,9825.0,12474.0607,58.25,36.05,42.25,46.95,7.180717054960834,37.84561474618134,32.84426502770309,31.295387883200934,40.3961,29.55,Retail-Sporting Goods
2021-09-01,DKS,41.0406,39.6437,35.1012,36.2913,82.26,4540593.0,1941169.0,1911424.0,51255.2340186841,21912.351837043094,21576.583593581112,0.1475290065580044,16962.0,12730.0797,57.79,35.8,41.56,39.85,7.180717054960834,38.445806776115106,33.53409083842888,31.809233717428658,40.5895,35.86,Retail-Sporting Goods
2021-09-02,DKS,41.0523,39.4916,34.9312,35.973,80.14,5904229.0,2005960.0,1949149.0,66648.26559469715,22643.72788595068,22002.432533636205,0.07755811053686139,9019.0,12617.5727,56.69,35.77,30.54,40.08,7.180717054960834,38.458296186861666,33.54840883395217,31.619469802006485,40.7568,35.6,Retail-Sporting Goods
2021-09-03,DKS,41.1725,39.2612,33.877,35.4902,81.28,2588693.0,2028358.0,1957835.0,29221.747231770772,22896.560067779417,22100.480625363427,0.11095875282987613,12057.0,12862.0761,56.18,35.85,27.97,41.09,7.180717054960834,38.58657754396441,33.69538775930617,31.331234023574623,41.0853,35.48,Retail-Sporting Goods
2021-09-06,DKS,41.2464,39.6942,33.7066,35.5429,73.23,2489945.0,2052610.0,1941648.0,28107.057517935205,23170.321967709722,21917.758029026285,0.19453626553749487,21363.0,12419.1367,57.47,35.84,32.95,38.69,7.180717054960834,38.66542025203371,33.78564655234527,31.87214949826886,41.0461,36.21,Retail-Sporting Goods
2021-09-07,DKS,41.2464,39.6942,33.7066,35.5429,73.23,2489945.0,2052610.0,1941648.0,28107.057517935205,23170.321967709722,21917.758029026285,0.19453626553749487,21363.0,12419.1367,57.47,35.84,32.95,38.69,7.180717054960834,38.66542025203371,33.78564655234527,31.87214949826886,40.8321,34.15,Retail-Sporting Goods
2021-09-08,DKS,41.0718,40.2697,36.113,36.608,64.78,3294390.0,2083265.0,1928824.0,37187.81417494171,23516.36318018205,21772.9984877831,0.5662887583663434,62187.0,11895.5819,59.33,36.17,44.55,43.42,7.180717054960834,38.47911076865445,33.57226765114326,32.58608810658315,40.2865,31.51,Retail-Sporting Goods
2021-09-09,DKS,40.8951,40.2692,36.2992,37.8354,67.48,2804414.0,2120923.0,1940882.0,31656.855274471694,23941.455312695747,21909.112056503487,0.04395102860468035,3852.0,11698.9167,59.83,35.08,45.55,38.78,7.180717054960834,38.290448081948306,33.35586311295212,32.58547020744061,40.7507,31.95,Retail-Sporting Goods
2021-09-10,DKS,40.8951,40.2692,36.2992,37.8354,67.48,2804414.0,2120923.0,1940882.0,31656.855274471694,23941.455312695747,21909.112056503487,0.04395102860468035,3852.0,11698.9167,59.83,35.08,45.55,38.78,7.180717054960834,38.290448081948306,33.35586311295212,32.58547020744061,40.7998,33.1,Retail-Sporting Goods
2021-09-13,DKS,40.6136,40.0396,35.1647,35.8062,64.86,2402448.0,2128524.0,1945823.0,27119.37226180351,24027.256666609665,21964.886770735222,0.04629254457050243,4113.0,11548.3175,59.93,34.88,44.43,37.13,7.180717054960834,37.98965273948129,33.01013336780086,32.30129979056571,40.5844,33.07,Retail-Sporting Goods
2021-09-14,DKS,40.6178,40.1045,35.3299,35.9066,65.02,1850137.0,2127707.0,1947408.0,20884.76284614323,24018.035475793888,21982.779785865638,0.052040771972528904,4789.0,11564.2627,59.91,34.68,36.85,34.95,7.180717054960834,37.99414280052096,33.0153006474271,32.381712744232665,40.7999,36.53,Retail-Sporting Goods
