PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-27,ECL,22.5676,21.3778,20.2168,20.3004,52.98,1279808.0,889689.0,1015134.0,4473.488715321127,3109.852182237756,3548.337323675736,0.019633909397688925,192.0,63253.8868,25.79,17.45,29.71,25.83,2.803671027432746,21.85987842692033,20.19133897887904,18.852159898536826,25.2979,15.17,Chemicals-Specialty
2021-10-28,ECL,22.3108,21.4476,19.6347,20.0427,52.83,780722.0,891309.0,1013587.0,2728.9649345510256,3115.514878343047,3542.9299816282496,0.01875,186.0,63225.2763,25.79,17.3,29.5,25.69,2.803671027432746,21.594663964038357,19.903904055234992,18.931274277237655,25.2979,15.17,Chemicals-Specialty
2021-10-29,ECL,22.5722,21.4368,19.839,20.067,54.54,920370.0,890512.0,1015784.0,3211.7061947624675,3107.5142680773106,3544.661131219616,0.015562248995983935,155.0,63680.9873,24.97,17.23,29.27,21.65,2.803671027432746,21.86462732176647,20.196480209184962,18.91903787828546,24.06,15.23,Chemicals-Specialty
2021-11-01,ECL,22.1506,21.1654,19.283,19.5758,54.96,957758.0,889598.0,1016729.0,3342.1746231509137,3104.324746340732,3547.9587353189486,0.0267443007993684,271.0,63766.9584,23.57,17.23,29.16,21.57,2.803671027432746,21.429110934421356,19.72416488371561,18.610957986089808,24.9469,17.48,Chemicals-Specialty
2021-11-02,ECL,22.1641,20.781,18.7941,19.4303,60.79,1074249.0,896860.0,1019628.0,3748.6794763564485,3129.6660971199826,3558.0750432333407,0.08943244792661953,936.0,65024.9887,24.43,17.36,32.29,23.44,2.803671027432746,21.443065170113552,19.739324426382986,18.17260468397417,25.6519,17.57,Chemicals-Specialty
2021-11-03,ECL,22.1482,20.6614,18.6124,19.0339,62.23,1385296.0,907393.0,1022801.0,4834.103440278379,3166.4219220906716,3569.147556060341,0.0383935585231736,391.0,65377.4652,24.29,17.33,14.95,23.52,2.803671027432746,21.426630120477107,19.721469601426765,18.035715953629342,25.4101,17.57,Chemicals-Specialty
2021-11-04,ECL,22.29,20.7448,18.7044,19.1867,62.15,945107.0,911999.0,1023606.0,3298.0279022561335,3182.4948379704006,3571.9565603860638,0.02427757027717712,247.0,65366.0045,24.02,17.31,14.94,23.38,2.803671027432746,21.573173505067277,19.880586007459637,18.131197617366595,27.1595,18.45,Chemicals-Specialty
2021-11-05,ECL,23.026,21.2312,19.0561,19.4074,65.25,902537.0,916688.0,1024129.0,3149.4766023024863,3198.857672994527,3573.781820844401,0.05856832971800434,621.0,66105.3443,24.33,17.38,16.49,23.76,2.803671027432746,22.33280974440379,20.7024219839129,18.68575536177224,25.4066,22.85,Chemicals-Specialty
2021-11-08,ECL,23.0421,21.0566,18.5002,20.2458,65.46,736983.0,916381.0,1024149.0,2571.762304013971,3197.7862608969635,3573.851488967323,0.03145478374836173,336.0,66156.9287,24.23,17.38,16.47,23.68,2.803671027432746,22.349409108290466,20.720327516957834,18.48713075520374,24.7141,22.58,Chemicals-Specialty
2021-11-09,ECL,22.9201,21.9534,17.7961,20.3435,65.57,691322.0,917980.0,1020542.0,2412.4245578929354,3203.3661530438158,3561.264625111268,0.06635664460740476,742.0,66182.7187,23.77,17.25,8.88,23.68,2.803671027432746,22.223606797496597,20.584571504163016,19.502445271298672,24.3191,22.7,Chemicals-Specialty
2021-11-10,ECL,22.9497,21.4546,19.5137,20.5415,68.53,1056996.0,922015.0,1022597.0,3688.473709928977,3217.44650657161,3568.4355951699363,0.08895814781834373,999.0,66879.0795,24.05,17.31,10.93,13.09,2.803671027432746,22.254133215421735,20.617524829377555,18.939204343371976,24.6313,22.88,Chemicals-Specialty
2021-11-11,ECL,22.5749,21.0754,17.8346,19.5113,66.26,727399.0,924452.0,1020242.0,2538.3181490026022,3225.950667352792,3560.217686544404,0.026045357902197024,294.0,66618.3022,24.01,16.58,11.27,13.24,2.803671027432746,21.86741468692028,20.19949776628122,18.508540870635912,23.9123,22.73,Chemicals-Specialty
2021-11-12,ECL,23.5909,22.2224,17.9206,20.1245,70.04,839316.0,928543.0,1021789.0,2928.8616887466233,3240.2265881430303,3565.6161160787155,0.1147786286418449,1304.0,67535.3167,22.45,16.48,12.55,14.65,2.803671027432746,22.914804775291824,21.328951282470502,19.8047636128281,23.9729,22.69,Chemicals-Specialty
2021-11-15,ECL,23.1025,21.3379,18.1999,18.9329,69.5,743888.0,928536.0,1022118.0,2595.857800072738,3240.202044189905,3566.7640597707546,0.03001760563380282,341.0,67475.14,22.42,16.4,12.55,14.64,2.803671027432746,22.411676004478934,20.78747474442242,18.806902360835505,24.3901,22.52,Chemicals-Specialty
2021-11-16,ECL,22.7947,21.6171,18.9693,18.9388,64.3,663727.0,927284.0,1019826.0,2316.1295945344355,3235.833279252267,3558.7661491481813,0.02247787610619469,254.0,66893.4044,22.49,16.38,13.97,11.71,2.803671027432746,22.094254075884454,20.444851383416804,19.123091078850198,24.2166,22.53,Chemicals-Specialty
2021-11-17,ECL,22.7431,21.4674,17.9491,19.0217,61.74,608683.0,924044.0,1009411.0,2124.0489990293813,3224.526943021418,3522.422055748636,0.0104369361401026,118.0,66595.3763,22.5,16.21,12.25,11.61,2.803671027432746,22.041014329874585,20.38730481476156,18.9537031410751,23.8556,22.35,Chemicals-Specialty
2021-11-18,ECL,23.3326,21.9191,17.1511,19.2838,58.09,638321.0,922734.0,999344.0,2227.473166995284,3219.9555165414054,3487.292356976717,0.0049469964664310955,56.0,66162.6612,22.55,15.96,12.8,12.06,2.803671027432746,22.648795505274375,21.0429043328149,19.46382657161741,23.9178,23.28,Chemicals-Specialty
2021-11-19,ECL,23.1595,21.8069,16.4905,19.5964,64.14,709559.0,925027.0,988805.0,2476.064019834636,3227.9571847803686,3450.515719105229,0.036326530612244896,356.0,67303.1979,23.17,16.13,14.73,13.68,2.803671027432746,22.470428463421364,20.850804307028543,19.337385749113036,23.9738,23.27,Chemicals-Specialty
2021-11-22,ECL,23.5056,21.962,19.519,19.7876,63.36,769711.0,926984.0,987592.0,2685.9694137167844,3234.786395159793,3446.2829623474086,0.02430905789792213,241.0,67211.4943,23.13,16.13,14.75,13.69,2.803671027432746,22.82697847810211,21.23456689833819,19.512125563351624,23.5016,22.62,Chemicals-Specialty
2021-11-23,ECL,23.6744,22.0459,20.7682,20.8706,60.61,585769.0,929673.0,985672.0,2044.0887841851268,3244.1698899391045,3439.5829756872117,0.03653103653103653,369.0,66893.4044,23.19,16.13,13.82,13.9,2.803671027432746,23.0007593448507,21.42127016215425,19.606511847087944,22.8209,22.71,Chemicals-Specialty
2021-11-24,ECL,24.0216,22.1001,20.1045,20.3146,55.71,616881.0,931776.0,984542.0,2152.65652736922,3251.5082948672148,3435.6395524730806,0.007116030836133623,72.0,66297.3482,19.2,16.17,14.88,13.63,2.803671027432746,23.357974690450728,21.804377233940894,19.66743552194846,22.3084,22.75,Chemicals-Specialty
