PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-05,EOG,40.2576,40.4592,40.1224,40.1413,38.74,6534102.0,4393339.0,4322097.0,11191.210991710668,7524.642821172849,7402.623872972858,0.0466844268922726,5485.0,37698.3382,39.16,44.35,38.38,32.49,4.018123091051819,39.447345982469145,40.154451282018535,40.35656656158946,38.2735,32.71,Oil Comp-Explor_Prodtn
2021-08-06,EOG,40.5391,40.0864,36.2119,39.1678,39.38,4560922.0,4349902.0,4315082.0,7811.668493338635,7450.246332322876,7390.608764099159,0.05922484215032283,6641.0,37799.5933,38.83,44.35,38.22,32.35,4.018123091051819,39.734586648291994,40.43666935851665,39.98280961813464,37.9055,32.74,Oil Comp-Explor_Prodtn
2021-08-09,EOG,40.737,39.8149,36.1268,38.3172,36.08,3909312.0,4323576.0,4314140.0,6695.630993969223,7405.157089119895,7388.995684233538,0.05406279500716758,6185.0,36973.575,37.87,42.76,40.49,33.21,4.018123091051819,39.93647350856889,40.635068216997006,39.71060138061372,37.9055,32.74,Oil Comp-Explor_Prodtn
2021-08-10,EOG,40.4365,39.9685,36.6356,38.3749,34.74,16155795.0,4501003.0,4409227.0,27670.6571558037,7709.042536764295,7551.854219437228,0.07482172335486899,8929.0,36627.184,37.89,42.59,39.18,31.56,4.018123091051819,39.629903854925324,40.333808799194756,39.86460324962485,38.4337,31.93,Oil Comp-Explor_Prodtn
2021-08-11,EOG,39.8677,39.693,35.2717,38.2081,37.58,7844865.0,4551019.0,4447064.0,13436.205610228963,7794.707368458043,7616.659593995212,0.03573266488487525,4305.0,37016.209,38.0,42.57,34.44,30.45,4.018123091051819,39.04935659637204,39.76353987373358,39.588380227031266,38.5375,31.77,Oil Comp-Explor_Prodtn
2021-08-12,EOG,40.0248,39.0633,35.8468,37.5237,38.85,3907760.0,4558644.0,4438786.0,6692.972470663844,7807.766801327848,7602.481345110264,0.04677722026690721,5808.0,37192.0716,35.71,42.02,19.02,30.29,4.018123091051819,39.20973555560691,39.92104977377223,38.956989191799714,38.6798,31.57,Oil Comp-Explor_Prodtn
2021-08-13,EOG,39.8382,38.7929,35.145,37.0414,34.72,2508406.0,4534286.0,4435128.0,4296.244528296671,7766.048007073893,7596.216243421262,0.03666222225902891,4427.0,36238.155,35.66,42.09,26.43,32.86,4.018123091051819,39.01923790312446,39.73396254138265,38.685846125036484,38.8939,34.86,Oil Comp-Explor_Prodtn
2021-08-16,EOG,39.9567,39.4552,35.3324,38.0697,30.54,3658288.0,4531510.0,4437811.0,6265.692332991662,7761.293660825787,7600.811734332032,0.053551575547566684,6599.0,35129.6927,35.75,42.05,30.64,35.9,4.018123091051819,39.140217452009956,39.85277248686721,39.349947992850005,39.1798,33.81,Oil Comp-Explor_Prodtn
2021-08-17,EOG,40.9207,39.7269,36.1684,39.0405,30.77,4609504.0,4551564.0,4439152.0,7894.876654658404,7795.640564751354,7603.108163325201,0.03137540751183487,3917.0,35156.3401,31.37,42.03,29.91,34.86,4.018123091051819,40.123838746942255,40.819226946256585,39.62236973743494,39.947,42.32,Oil Comp-Explor_Prodtn
2021-08-18,EOG,41.0421,40.5561,36.8974,40.161,29.52,5504077.0,4574783.0,4443700.0,9427.049292638647,7835.410886171342,7610.899873257287,0.026605176320915993,3346.0,34831.2525,31.02,41.93,29.69,32.16,4.018123091051819,40.24764241183109,40.94092784012106,40.453712403313496,39.7962,42.76,Oil Comp-Explor_Prodtn
2021-08-19,EOG,41.0589,42.2812,43.2401,44.0462,27.36,5467590.0,4609084.0,4462588.0,9364.553751345968,7894.15718122037,7643.247792192082,0.04949260473359788,6311.0,34245.0575,28.87,41.72,31.87,26.24,4.018123091051819,40.264773891214446,40.957769338795785,42.18299981556551,40.1232,42.66,Oil Comp-Explor_Prodtn
2021-08-20,EOG,40.9426,41.1659,38.3344,39.763,28.46,3554094.0,4621324.0,4461483.0,6087.23491978859,7915.121217519031,7641.355324772828,0.04655294953802416,5240.0,34356.969,28.8,41.72,26.09,26.26,4.018123091051819,40.14617344231732,40.84118135852586,41.065032848032644,41.8755,44.18,Oil Comp-Explor_Prodtn
