PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-28,EQT,56.3218,55.7843,52.5903,52.9992,50.85,10204858.0,8896551.0,6641454.0,27000.646466316768,23539.046630590732,17572.371068397555,0.02148159058986917,8167.0,7808.4192,49.13,52.73,49.92,49.87,4.12085227940608,55.71552262345975,56.044703186295855,55.50451987442104,61.534,45.06,Oil Comp-Explor_Prodtn
2021-10-29,EQT,56.1976,55.8785,53.9041,53.8734,46.4,10708354.0,8926874.0,6701383.0,28332.827457621457,23619.277134275453,17730.934956617763,0.02296627361647294,8751.0,7524.9577,50.55,52.56,51.96,51.21,4.12085227940608,55.58996808530524,55.919887748099065,55.59919389928239,59.7455,38.91,Oil Comp-Explor_Prodtn
2021-11-01,EQT,55.9522,55.1419,53.1004,53.2264,50.94,6663393.0,8860865.0,6725371.0,17630.417852685183,23444.625356216166,17794.403083283727,0.006435302830852815,2459.0,7793.3016,51.92,52.77,52.85,51.89,4.12085227940608,55.34187375582123,55.67326364458976,54.858843731981814,61.8961,42.88,Oil Comp-Explor_Prodtn
2021-11-02,EQT,56.1253,55.3363,51.293,52.2086,49.47,7667089.0,8892577.0,6763279.0,20286.060516787245,23528.532820238604,17894.703855128893,0.07377666559302297,29777.0,7702.5933,50.12,52.77,39.67,51.84,4.12085227940608,55.5168767678375,55.84722822208816,55.054243230563074,62.8734,45.57,Oil Comp-Explor_Prodtn
2021-11-03,EQT,56.5796,56.0823,54.3592,54.2361,49.79,8070475.0,8915940.0,6802514.0,21353.3629682826,23590.346667752467,17998.51316543623,0.018386772559761937,7464.0,7721.4912,50.07,52.56,39.7,51.63,4.12085227940608,55.9761149252541,56.303771953218195,55.80401395320949,61.0749,45.53,Oil Comp-Explor_Prodtn
2021-11-04,EQT,56.8661,55.8629,53.5859,53.9785,49.38,3587378.0,8884200.0,6802002.0,9491.706789402448,23506.366337310767,17997.157970230353,0.0049551721762407614,2014.0,7698.8145,49.03,52.55,37.21,44.02,4.12085227940608,56.265687902799655,56.591668372738404,55.58351550963649,62.0522,49.15,Oil Comp-Explor_Prodtn
2021-11-05,EQT,56.6832,55.5938,54.3217,54.0246,50.93,4428651.0,8851139.0,6685780.0,11717.599456448917,23418.89246530237,17689.651339411717,0.0075138377178409965,3053.0,7778.1834,48.89,52.54,27.35,41.52,4.12085227940608,56.08082977457854,56.40787854759298,55.31305631078435,60.1846,49.22,Oil Comp-Explor_Prodtn
2021-11-08,EQT,57.0638,56.0764,54.582,54.3334,51.82,4867893.0,8796591.0,6646714.0,12879.772749858997,23274.56520787431,17586.28750740953,0.006145625239871282,2498.0,7823.5375,48.44,49.88,12.1,38.34,4.12085227940608,56.46549013694342,56.7903237395245,55.79808452769683,59.6474,51.08,Oil Comp-Explor_Prodtn
2021-11-09,EQT,57.0298,55.9418,57.0983,55.7219,48.8,6401152.0,8834303.0,6657815.0,16936.56525384664,23374.34718496813,17615.6601492261,0.03521746443031217,14448.0,7679.9166,45.94,49.92,15.83,30.2,4.12085227940608,56.43112965381125,56.75615991273547,55.66281152834449,58.254,51.52,Oil Comp-Explor_Prodtn
2021-11-10,EQT,56.9223,55.7354,52.9754,53.5538,43.79,7424238.0,8886246.0,6685310.0,19643.510000671704,23511.781568617404,17688.408405359656,0.011842598495321457,4960.0,7422.9114,47.41,50.15,28.83,34.69,4.12085227940608,56.32248701234042,56.648140634004925,55.45537316762011,58.051,51.3,Oil Comp-Explor_Prodtn
2021-11-11,EQT,57.0606,56.1218,52.6338,52.2808,55.48,7398266.0,8935051.0,6709040.0,19574.790417157325,23640.911355662527,17751.19357702537,0.021173992704538576,8887.0,8012.5118,54.31,51.3,61.41,50.77,4.12085227940608,56.462256227724865,56.78710832891564,55.84371079396497,56.639,49.99,Oil Comp-Explor_Prodtn
