PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-05,ETSY,47.6049,46.7126,47.4253,46.1577,45.44,10977727.0,2976738.0,3160724.0,86727.79720959974,23517.248116127274,24970.80043141125,0.46391243678991906,119354.0,23088.874,59.34,55.08,75.67,61.44,8.692301033313068,44.31706347441196,43.829329267169946,42.858495059439505,46.6779,36.13,E-Commerce/Products
2021-08-06,ETSY,47.0025,45.2656,41.1269,42.9177,43.09,4167142.0,2949706.0,3168371.0,32921.847310820296,23303.686445964762,25031.21474766903,0.2450801263750904,51508.0,22576.2376,59.59,54.99,76.06,60.57,8.692301033313068,43.66933268593714,43.17428176877989,41.27660527901974,46.6609,35.83,E-Commerce/Products
2021-08-09,ETSY,46.8207,45.1872,40.9238,42.888,46.64,3241868.0,2921120.0,3164252.0,25611.865438426277,23077.846590143636,24998.672505256607,0.11159672027044695,23900.0,23176.2123,60.26,55.12,53.19,59.57,8.692301033313068,43.473596118506904,42.97629053897044,41.19061354046574,46.6609,35.83,E-Commerce/Products
2021-08-10,ETSY,46.6352,44.7956,40.8859,42.0446,50.31,2804821.0,2901916.0,3162786.0,22159.04469079925,22926.128381435177,24987.090556379248,0.10758744844033462,23188.0,23854.664,61.06,54.81,53.18,60.93,8.692301033313068,43.273750588839164,42.774121604540284,40.760635168750746,46.4127,34.76,E-Commerce/Products
2021-08-11,ETSY,46.5417,44.8908,41.5286,42.4544,53.73,2828416.0,2894100.0,3171895.0,22345.45326366152,22864.379317032148,25059.05477827224,0.13012853818871845,28802.0,24550.8364,60.97,54.59,56.67,60.47,8.692301033313068,43.17297128847004,42.67216234139067,40.865236138311985,46.1876,33.43,E-Commerce/Products
2021-08-12,ETSY,46.713,44.8127,40.2285,41.8333,53.23,1500890.0,2868928.0,3170460.0,11857.544161547781,22665.512100354426,25047.71799560313,0.07284441815868237,16258.0,24459.7009,60.07,54.59,38.01,59.88,8.692301033313068,43.35758272765052,42.85893102959989,40.77942718197498,46.1297,31.92,E-Commerce/Products
2021-08-13,ETSY,46.5424,44.4952,39.3099,41.1799,52.38,1382455.0,2853930.0,3169392.0,10921.86735294458,22547.02315416352,25039.28085433792,0.07452461745310199,15132.0,24312.8714,60.1,54.58,34.76,59.13,8.692301033313068,43.17372590760564,42.672925816728345,40.43026617572533,46.3253,32.68,E-Commerce/Products
2021-08-16,ETSY,47.3613,45.8163,40.5302,42.1273,51.11,2151363.0,2857347.0,3172071.0,16996.50384177061,22574.019011562308,25060.44630212063,0.05924863247988367,12142.0,24102.7535,60.04,54.54,30.0,43.18,8.692301033313068,44.05528740883503,43.5646225473147,41.87979161469168,46.4571,32.73,E-Commerce/Products
2021-08-17,ETSY,46.9342,45.9838,43.5129,44.1384,53.94,2369248.0,2845290.0,3165599.0,18717.869492042573,22478.764100260425,25009.314747185806,0.09610846216828012,19955.0,24593.872,59.45,54.61,26.18,41.92,8.692301033313068,43.595811044469144,43.099915656994035,42.06297020468241,46.3612,32.97,E-Commerce/Products
2021-08-18,ETSY,47.1707,45.9748,43.3149,43.827,51.12,2115163.0,2839368.0,3165388.0,16710.484527204786,22431.942612006922,25007.60801725432,0.0811137671368777,17170.0,24150.8916,59.22,54.46,20.85,42.7,8.692301033313068,43.85031983321282,43.35733546344839,42.05313109674475,46.1458,33.91,E-Commerce/Products
2021-08-19,ETSY,47.7615,46.9335,47.2301,46.5417,52.28,2567006.0,2829632.0,3166596.0,20280.225714764023,22355.060973647567,25017.191867673428,0.10761643886409247,23219.0,24338.1864,59.26,54.36,21.4,30.84,8.692301033313068,44.48523904886944,43.999369111954316,43.09915338205613,45.9705,33.6,E-Commerce/Products
2021-08-20,ETSY,47.912,47.3309,46.0068,45.9506,57.37,2437731.0,2828137.0,3173688.0,19258.90845304434,22343.249347720262,25073.22040476385,0.168834237174521,30728.0,25222.9589,59.61,54.47,32.9,33.84,8.692301033313068,44.64678437452196,44.162691765788004,43.531571242145624,47.8628,36.51,E-Commerce/Products
2021-08-23,ETSY,47.5759,46.1025,40.669,42.8952,55.02,2435732.0,2824441.0,3176372.0,19243.11590808098,22314.049960560584,25094.425233639417,0.11923350636302746,22786.0,24882.467,58.62,54.5,33.73,31.92,8.692301033313068,44.285910533656846,43.79782940751744,42.19270204964361,47.2839,34.66,E-Commerce/Products
2021-08-24,ETSY,47.4072,45.6622,39.9327,42.4237,58.35,2080683.0,2837425.0,3174142.0,16438.108056920955,22416.628940308994,25076.808521053517,0.09386328127014247,18203.0,25492.5661,59.03,54.45,35.04,30.93,8.692301033313068,44.10462813384848,43.614518360747724,41.711150893256345,46.9727,34.39,E-Commerce/Products
2021-08-25,ETSY,47.3189,45.4754,39.2836,41.7152,58.94,1166378.0,2833432.0,3154815.0,9214.785305252633,22385.08232925568,24924.117998445265,0.08486518361869129,16694.0,25603.9543,57.97,53.69,32.73,27.44,8.692301033313068,44.00970243247571,43.51852361018236,41.50657303560486,47.6953,34.02,E-Commerce/Products
2021-08-26,ETSY,47.3094,46.0393,42.3387,43.0783,65.08,4068576.0,2850565.0,3169539.0,32143.14288346654,22520.43911521102,25040.442885107626,0.30522088353413657,63308.0,26908.9608,60.18,54.13,47.82,37.04,8.692301033313068,43.99948794412337,43.508193807143954,42.12363641104599,47.8003,34.01,E-Commerce/Products
