PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,FIVE,35.4802,36.0323,33.7959,32.2727,39.17,504826.0,572613.0,673036.0,9015.81741298392,10226.442885867531,12019.923079169945,25.48,32.2,24.04,26.44,31.66772161112953,32.28508391331824,37.331,34.47,Retail-Misc/Diversified
2021-07-20,FIVE,34.9824,34.6509,30.1244,29.8574,49.21,466798.0,568303.0,671412.0,8336.665845582944,10149.469813586014,11990.920031179516,28.21,32.56,31.35,31.13,31.10897474620467,30.73572629384248,37.3584,32.36,Retail-Misc/Diversified
2021-07-21,FIVE,34.5772,34.3845,29.789,28.6355,53.5,261784.0,562929.0,666860.0,4675.267850728677,10053.493933711929,11909.6244191277,27.83,32.48,33.86,32.38,30.652614241529218,30.43507582132826,38.1205,31.74,Retail-Misc/Diversified
2021-07-22,FIVE,34.8132,34.7718,29.1662,28.9658,55.07,336756.0,560946.0,662816.0,6014.212460720481,10018.079627360199,11837.4022923568,26.08,32.26,31.28,29.97,30.918584932690564,30.871962607518167,37.2686,32.89,Retail-Misc/Diversified
2021-07-23,FIVE,34.5236,34.0674,28.8832,29.1895,61.69,524655.0,560970.0,661953.0,9369.948676178865,10018.507607620355,11821.98899475394,28.15,32.6,37.37,31.69,30.592138809831525,30.07636518530788,36.7085,30.98,Retail-Misc/Diversified
2021-07-26,FIVE,35.0865,34.7587,28.7305,29.8466,55.42,305207.0,557145.0,660004.0,5450.770376224711,9950.195969495184,11787.181327393586,28.88,32.67,41.2,33.73,31.225990492696948,30.857207029963032,36.6818,30.67,Retail-Misc/Diversified
2021-07-27,FIVE,35.3924,35.5423,32.6196,34.3499,50.37,353127.0,551318.0,657047.0,6306.586390458694,9846.130699762143,11734.372245939036,29.85,32.82,36.39,33.96,31.569320197939014,31.737282323633192,36.4423,30.22,Retail-Misc/Diversified
2021-07-28,FIVE,35.8328,35.3119,30.5143,30.7605,47.91,379590.0,548414.0,654674.0,6779.195816811633,9794.267221689019,11691.991997089857,29.86,32.78,34.95,34.41,32.06227621114883,31.479045119094703,37.2418,34.77,Retail-Misc/Diversified
2021-07-29,FIVE,35.2595,34.626,28.0807,30.3585,50.35,316409.0,530635.0,648609.0,5650.830097150824,9476.74759125571,11583.675743998745,30.03,32.78,35.43,33.42,31.420253663043525,30.707651750011753,38.1932,37.87,Retail-Misc/Diversified
2021-07-30,FIVE,35.7487,35.4359,28.2443,31.8572,54.55,594403.0,531083.0,646687.0,10615.596579550653,9484.748358028979,11549.35002891956,30.2,32.29,29.76,33.78,31.968258502614745,31.618080409948984,37.5613,37.25,Retail-Misc/Diversified
2021-08-02,FIVE,35.4761,35.0771,28.6932,34.3401,54.07,308625.0,524666.0,643096.0,5511.81363622675,9370.145688990016,11485.21766610896,29.66,32.25,24.13,33.76,31.663127944187703,31.21542798697465,37.7842,37.34,Retail-Misc/Diversified
2021-08-03,FIVE,35.4627,34.7321,28.2764,36.0319,54.95,215576.0,520559.0,638684.0,3850.027224320887,9296.797054705796,11406.421808263263,29.63,32.17,18.32,28.81,31.64811355025762,30.82724072001904,38.521,37.68,Retail-Misc/Diversified
2021-08-04,FIVE,35.8596,35.5113,29.1608,38.7113,54.94,378410.0,518373.0,634622.0,6758.121857675638,9257.757199146148,11333.878094029833,29.27,32.07,16.31,27.27,32.092225104532716,31.702561847428036,37.6621,61.25,Retail-Misc/Diversified
2021-08-05,FIVE,35.5182,35.1506,26.7151,37.4357,61.15,347335.0,514994.0,632845.0,6203.145591682638,9197.41103212463,11302.142519378694,30.83,31.6,24.78,30.57,31.71029062055408,31.297998024793852,36.4069,61.31,Retail-Misc/Diversified
2021-08-06,FIVE,35.5145,34.9972,27.3415,37.8724,64.08,386333.0,511712.0,630939.0,6899.620456572265,9138.796279565831,11268.1019515528,30.04,31.67,23.28,26.71,31.706146253526303,31.12561658569995,36.6172,63.22,Retail-Misc/Diversified
2021-08-09,FIVE,35.9338,35.1076,28.528,40.9819,69.1,800296.0,515334.0,632521.0,14292.692478946672,9203.482693835162,11296.355522801348,30.57,31.8,32.1,28.4,32.175114334528786,31.249697242693404,36.6172,63.22,Retail-Misc/Diversified
2021-08-10,FIVE,36.8676,36.272,29.1347,41.7511,73.77,895312.0,511406.0,635429.0,15989.607983632488,9133.331688257898,11348.290441132933,32.99,32.07,41.28,31.93,33.214754699681286,32.55238829947812,36.6741,62.48,Retail-Misc/Diversified
2021-08-11,FIVE,37.2664,35.8559,29.3983,41.4117,76.16,709828.0,509181.0,637056.0,12677.00094271343,9093.59452855025,11377.347065149932,33.13,32.21,44.36,33.42,33.656865108919455,32.08809070060105,36.4708,61.3,Retail-Misc/Diversified
2021-08-12,FIVE,36.7133,35.4715,31.1098,39.6568,74.93,413765.0,506790.0,637046.0,7389.5356282696175,9050.893045692022,11377.16847448829,33.13,32.22,39.59,33.03,33.04340171486586,31.65797391258638,36.4016,60.91,Retail-Misc/Diversified
2021-08-13,FIVE,36.7779,35.5981,29.0084,40.4716,74.21,194442.0,501053.0,634128.0,3472.5899137545775,8948.434978330157,11325.055784395156,32.43,32.17,38.02,31.52,33.11516160929915,31.799759804281543,36.2953,60.9,Retail-Misc/Diversified
2021-08-16,FIVE,36.4853,35.2124,28.751,40.2454,77.27,334693.0,499626.0,634153.0,5977.368417029886,8922.949307953777,11325.501620185523,33.28,32.4,36.59,34.42,32.78989350531655,31.367389336060473,36.0813,60.92,Retail-Misc/Diversified
2021-08-17,FIVE,37.331,36.3938,31.2872,42.5393,69.18,438562.0,499029.0,632671.0,7832.392008771198,8912.287776289515,11299.034764939239,34.47,32.48,31.57,36.75,33.72837916354713,32.68805100399838,35.8199,60.18,Retail-Misc/Diversified
2021-08-18,FIVE,37.3584,36.1951,33.2994,42.5128,66.66,465256.0,500077.0,632051.0,8309.18150483096,8931.062811422857,11288.036004500562,32.36,32.44,27.77,37.0,33.758703330548705,32.46667928831034,35.733,59.71,Retail-Misc/Diversified
2021-08-19,FIVE,38.1205,37.4279,37.5741,44.7217,65.69,371357.0,498807.0,629782.0,6632.1604397050905,8908.322860341874,11247.439165111608,31.74,32.44,27.73,34.18,34.60018092799516,33.83559809446258,35.5775,60.35,Retail-Misc/Diversified
2021-08-20,FIVE,37.2686,36.0944,38.6014,41.9904,69.56,331047.0,497007.0,627093.0,5912.253737347812,8876.176172078356,11199.415590277667,32.89,32.56,33.23,35.7,33.659301031958464,32.354377004665075,36.9352,60.68,Retail-Misc/Diversified
2021-08-23,FIVE,36.7085,34.7386,47.7428,40.2639,70.94,390303.0,494752.0,625557.0,6970.52214784804,8835.903832899345,11171.984133458816,30.98,32.58,27.81,32.5,33.038068530863,30.834563884705744,36.6314,60.15,Retail-Misc/Diversified
2021-08-24,FIVE,36.6818,34.596,52.0015,39.5453,73.62,408484.0,491549.0,624451.0,7295.221303305156,8778.700601292452,11152.23175955535,30.67,32.58,25.66,28.77,33.00839970734722,30.673819716494386,36.1042,60.92,Retail-Misc/Diversified
2021-08-25,FIVE,36.4423,35.0844,54.5142,40.3871,75.54,580643.0,490610.0,625481.0,10369.852816613047,8761.930291691326,11170.626201621211,30.22,32.66,27.61,27.69,32.742040701367415,31.22363084844554,35.439,60.49,Retail-Misc/Diversified
2021-08-26,FIVE,37.2418,36.4169,57.7612,42.5022,61.38,597389.0,490222.0,626804.0,10668.924147554402,8755.00106875489,11194.254215232771,34.77,33.29,45.46,37.65,33.62962484536513,32.71376782961571,35.5904,60.36,Retail-Misc/Diversified
2021-08-27,FIVE,38.1932,37.296,57.5165,42.0319,52.12,1108861.0,498624.0,628189.0,19803.434207272185,8905.054446109012,11218.989153042723,37.87,33.32,52.3,43.82,34.680261334655476,33.689636626119906,35.6458,57.77,Retail-Misc/Diversified
2021-08-30,FIVE,37.5613,36.427,52.4311,40.4292,51.98,864713.0,504344.0,627007.0,15443.132525835103,9007.209595102397,11197.879753890933,37.25,33.32,51.8,41.57,33.98310253184662,32.725010756300755,36.5409,57.45,Retail-Misc/Diversified
2021-08-31,FIVE,37.7842,36.465,52.8773,40.7558,50.4,839006.0,507286.0,623332.0,14984.024717797329,9059.751614401488,11132.247082135342,37.34,32.81,49.89,39.67,34.22931155661767,32.76730420709034,36.5256,57.48,Retail-Misc/Diversified
2021-09-01,FIVE,38.521,37.0544,56.9155,41.926,53.35,1472942.0,514638.0,631639.0,26305.650742703332,9191.052659862613,11280.603669031361,37.68,32.87,49.63,40.16,35.04093949939128,33.42197719106397,37.0965,60.04,Retail-Misc/Diversified
