PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-18,GS,26.3315,24.7552,20.3859,21.6342,64.86,3832324.0,2333483.0,2551537.0,10896.604800469571,6634.888401819401,7254.890328368824,0.22948771601595194,74578.0,145494.3209,29.84,24.08,21.23,23.46,2.5082535321651234,25.84922724422385,26.095162238430323,24.503663543233692,26.7523,16.78,Diversified Banking Inst
2021-10-19,GS,26.2266,24.8459,20.1952,21.2075,63.57,2568325.0,2327433.0,2546244.0,7302.6243192237725,6617.686167896953,7239.8405019137435,0.11093833957212028,36957.0,144956.222,27.35,24.08,16.33,22.21,2.5082535321651234,25.742362060104835,25.98930833169671,24.595291151153305,27.5371,19.53,Diversified Banking Inst
2021-10-20,GS,26.2356,24.9646,20.8268,21.5903,59.96,2453437.0,2328438.0,2536876.0,6975.958347384103,6620.543548689592,7213.203888454602,0.09783312915233473,33221.0,143454.4715,27.5,23.66,17.77,16.83,2.5082535321651234,25.751531298808715,25.998390476335263,24.715194782967018,27.6416,19.19,Diversified Banking Inst
2021-10-21,GS,26.1623,25.0519,21.1404,21.6042,59.7,2162127.0,2332901.0,2532497.0,6147.664916503464,6633.23367747401,7200.7532203474975,0.09916896866584218,34320.0,143348.9554,26.07,23.62,17.77,16.59,2.5082535321651234,25.676849459455198,25.92441978694991,24.803372625713624,28.4189,19.51,Diversified Banking Inst
2021-10-22,GS,26.0499,24.9542,21.2211,21.6446,63.51,2411032.0,2343603.0,2534269.0,6855.386590710038,6663.662937757697,7205.791428671265,0.13635996370281053,43879.0,145715.8929,26.07,23.66,19.27,18.21,2.5082535321651234,25.562314975047247,25.81098390240093,24.704689790402146,28.3445,20.22,Diversified Banking Inst
2021-10-25,GS,25.7605,24.7889,21.0887,21.3243,63.74,1824667.0,2348247.0,2531855.0,5188.150928732118,6676.867534702173,7198.927732931574,0.13053715571352492,43631.0,145867.1208,26.05,23.38,14.06,18.0,2.5082535321651234,25.267331024932666,25.518874588233707,24.53770900491731,28.4178,22.04,Diversified Banking Inst
2021-10-26,GS,26.2448,25.1606,22.1256,22.2586,65.32,1843341.0,2348526.0,2529028.0,5241.247663884381,6677.661057325655,7190.889855375749,0.1090714296197367,37159.0,146872.9746,24.96,23.34,14.64,15.51,2.5082535321651234,25.76090417499985,26.007674387380355,24.913157013112567,28.5841,22.76,Diversified Banking Inst
2021-10-27,GS,26.4004,25.6938,23.1518,23.1808,58.96,2067219.0,2354137.0,2528555.0,5877.809171935252,6693.6149728655455,7189.544876833438,0.08748320728609607,30411.0,144544.7295,23.91,23.42,16.98,17.38,2.5082535321651234,25.919409272464616,26.164684598901626,25.45154137650606,30.9278,23.69,Diversified Banking Inst
2021-10-28,GS,26.4943,25.8438,22.7512,23.3493,61.35,1444653.0,2357458.0,2523620.0,4107.6413785484,6703.057432469911,7175.512691097664,0.06743687878441677,23611.0,145891.7423,23.77,23.44,18.21,17.99,2.5082535321651234,26.015045442272914,26.25942749737701,25.60296073582116,30.9278,23.69,Diversified Banking Inst
2021-10-29,GS,26.9982,26.0066,22.7248,23.192,59.92,2061716.0,2366164.0,2519305.0,5862.162038743944,6727.811579404014,7163.2436936114445,0.10141150393978882,33308.0,145374.7445,22.97,23.37,14.24,16.94,2.5082535321651234,26.52805043936559,26.767749312185362,25.767282424811505,28.8747,23.61,Diversified Banking Inst
2021-11-01,GS,26.4797,25.6784,21.8102,22.9049,62.09,1820782.0,2356696.0,2516775.0,5211.251131191208,6745.08793247835,7203.249244392658,0.05858741521893003,19617.0,145592.6495,23.07,23.32,15.33,14.71,2.5082535321651234,26.00017632562373,26.244696837456516,25.435994703569193,30.4787,24.11,Diversified Banking Inst
2021-11-02,GS,27.8658,27.4505,24.5886,25.09,66.25,3000776.0,2379827.0,2525395.0,8588.506234140421,6811.291154579914,7227.920611590818,0.24292329136715868,86616.0,148090.8173,23.2,23.44,18.9,16.91,2.5082535321651234,27.410535684541532,27.642583266402582,27.22387831022612,31.8078,24.06,Diversified Banking Inst
