PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,GT,42.2353,42.8405,46.5142,47.4043,28.51,4106797.0,3878324.0,4278763.0,14713.10398972185,13894.571442862652,15329.193277966804,35.06,47.13,43.21,39.37,38.6010487693016,39.26230813706703,43.5464,40.73,Rubber-Tires
2021-07-20,GT,41.8136,41.8191,48.026,46.492,36.62,5363173.0,3912952.0,4287971.0,19214.224523367462,14018.630067901922,15362.181593561963,33.71,47.32,45.27,39.56,38.139186474805676,38.145216276880646,43.2569,40.34,Rubber-Tires
2021-07-21,GT,41.2639,41.5807,44.8063,44.2924,39.76,3228824.0,3906498.0,4288030.0,11567.658141130816,13995.508393461909,15362.39359559802,32.41,47.16,46.42,40.2,37.53571423604458,37.883703785268935,44.6996,42.42,Rubber-Tires
2021-07-22,GT,42.0593,41.9591,47.8544,45.6131,36.74,2452123.0,3875329.0,4288268.0,8785.03121847881,13883.841164116266,15363.245747951343,33.25,47.23,47.56,40.67,38.40839903575779,38.29864844625721,44.6273,42.03,Rubber-Tires
2021-07-23,GT,41.9464,41.9521,45.232,46.0389,37.32,1969758.0,3853038.0,4289697.0,7056.899488290906,13803.980941092976,15368.365334331953,33.11,47.22,37.74,38.01,38.28473420255128,38.290979282462864,43.8579,43.07,Rubber-Tires
2021-07-26,GT,42.3957,42.7649,54.1955,45.1753,42.85,2898548.0,3836070.0,4296035.0,10384.403984631674,13743.191623297604,15391.07269298874,33.78,47.31,35.52,39.55,38.776484865057064,39.17980438963421,43.4601,43.15,Rubber-Tires
2021-07-27,GT,42.5604,42.7449,59.363,46.4172,38.3,1600037.0,3814018.0,4286454.0,5732.328998560872,13664.187754678886,15356.747728457056,35.43,47.5,34.6,40.29,38.956489166248026,39.15797333889996,42.8325,41.81,Rubber-Tires
2021-07-28,GT,42.0554,41.8925,60.7615,45.3203,42.63,2152920.0,3807938.0,4285355.0,7713.099941532327,13642.404903646548,15352.809858213619,35.4,47.46,36.08,41.57,38.404128282777094,38.22567142968191,43.7428,41.26,Rubber-Tires
2021-07-29,GT,41.7545,41.7717,61.1014,45.504,43.68,1412108.0,3759138.0,4260575.0,5059.050107410828,13467.572949570516,15264.032504158242,35.43,47.43,32.4,40.69,38.07438338633995,38.093245082166476,43.249,45.45,Rubber-Tires
2021-07-30,GT,41.9022,42.0114,63.0189,46.4959,42.34,2127312.0,3675310.0,4247391.0,7621.356216752276,13167.248958776056,15216.799323666517,35.44,46.95,32.87,35.39,38.23630166268699,38.35593995667425,43.4636,45.96,Rubber-Tires
2021-08-02,GT,42.2336,42.3968,60.4282,46.1235,41.07,2966053.0,3656416.0,4243617.0,10626.248464688806,13099.558540007069,15203.278104260888,35.16,46.9,28.3,32.11,38.59918870857262,38.77768753084691,43.38,45.88,Rubber-Tires
2021-08-03,GT,41.9123,41.9647,57.5122,45.6795,42.92,2932894.0,3622171.0,4243723.0,10507.452559838637,12976.871972230594,15203.658263679525,35.16,46.88,17.85,27.53,38.24736973034878,38.304783592783814,42.8117,46.32,Rubber-Tires
2021-08-04,GT,42.6055,42.9285,60.0926,46.2726,35.57,2431004.0,3545328.0,4241435.0,8709.36987196755,12701.57221849202,15195.460888961388,37.22,47.15,35.77,35.93,39.00575637325855,39.3583093164582,42.8382,43.21,Rubber-Tires
2021-08-05,GT,43.0287,42.8261,62.1747,46.6324,40.11,2796954.0,3536713.0,4244450.0,10020.43058381136,12670.707888425488,15206.262452460112,37.8,46.99,38.11,35.37,39.4675743324821,39.246595281756605,42.7494,42.77,Rubber-Tires
2021-08-06,GT,41.4476,40.2249,41.5825,40.7908,52.36,8788687.0,3628258.0,4294438.0,31255.007301741374,12903.091244756077,15272.211997864484,43.21,46.99,38.11,35.37,37.737566770527216,36.39042429005191,42.9823,36.96,Rubber-Tires
2021-08-09,GT,41.5008,39.7329,35.9916,37.2131,53.32,5346277.0,3642554.0,4292486.0,19012.842620998854,12953.931481756343,15265.269788834525,42.08,46.83,37.91,35.48,37.79598921367186,35.8458329852997,42.9823,36.96,Rubber-Tires
2021-08-10,GT,41.1508,39.2314,36.9682,37.3333,58.21,4321163.0,3635528.0,4283209.0,15367.254067586906,12928.945852268494,15232.279117352167,43.37,47.01,44.03,37.01,37.41134507926706,35.28913637311064,43.4766,37.68,Rubber-Tires
2021-08-11,GT,40.9164,39.0864,34.1707,36.9264,59.12,2346977.0,3607401.0,4239926.0,8346.500814525467,12828.91795906819,15078.352200523357,42.33,46.09,43.94,33.53,37.153360399296325,35.12786735570493,42.4165,35.96,Rubber-Tires
2021-08-12,GT,40.7432,39.335,36.4573,36.7488,57.42,2009056.0,3532690.0,4200090.0,7144.759898381964,12563.22464153064,14936.68399566518,42.42,46.06,28.14,32.18,36.96253165355425,35.404274106384385,42.6183,35.9,Rubber-Tires
2021-08-13,GT,40.5557,39.0531,36.4635,36.8737,54.16,2371762.0,3516926.0,4180332.0,8434.643144506585,12507.16377766275,14866.419415422582,42.35,45.83,27.15,33.09,36.75575060436122,35.09081104235124,42.7459,37.91,Rubber-Tires
2021-08-16,GT,41.4817,39.7237,35.9226,38.1809,50.98,3227324.0,3506283.0,4187612.0,11477.259059273407,12469.31461673087,14892.30946868738,40.32,45.78,29.22,33.84,37.77501601442413,35.83563508143814,43.0583,37.7,Rubber-Tires
2021-08-17,GT,43.5464,41.0968,39.5247,38.9343,45.0,3803875.0,3516879.0,4184626.0,13527.633874836858,12506.996548020734,14881.689969077075,40.73,45.98,30.6,37.91,40.03135462309513,37.35193931029553,42.8668,43.09,Rubber-Tires
2021-08-18,GT,43.2569,41.2686,37.97,40.3719,40.63,3168231.0,3492389.0,4188191.0,11267.104799906116,12419.900210887185,14894.364368956554,40.34,46.15,36.83,40.54,39.71624098035966,37.540880996055485,43.4341,42.04,Rubber-Tires
2021-08-19,GT,44.6996,43.4584,42.417,43.3562,35.55,3648326.0,3500241.0,4197407.0,12974.459033971376,12447.827706056696,14927.14334475721,42.42,46.5,46.42,38.39,41.28286133687925,39.93560980578611,43.7604,40.92,Rubber-Tires
2021-08-20,GT,44.6273,42.533,39.8145,40.9563,33.77,4898314.0,3527427.0,4214697.0,17419.762283883967,12544.508133564726,14988.630748988102,42.03,46.33,46.36,37.99,41.20456655869589,38.926552493124795,46.3543,39.63,Rubber-Tires
2021-08-23,GT,43.8579,41.9556,37.3072,38.9611,39.54,3461253.0,3546050.0,4208581.0,12309.175554230993,12610.737202417971,14966.881173725533,43.07,46.44,48.87,40.26,40.36998628201402,38.294813896401166,44.846,39.76,Rubber-Tires
2021-08-24,GT,43.4601,41.5629,37.8879,38.8853,44.49,2447841.0,3535289.0,3985161.0,8705.201111320308,12572.467628264443,14172.337159966824,43.15,37.94,45.96,39.04,39.937459759103355,37.86416586180131,44.2676,39.68,Rubber-Tires
2021-08-25,GT,42.8325,41.35,36.0887,38.6758,46.03,2695811.0,3546936.0,3913203.0,9587.051123413865,12613.887532722836,13916.434504235092,41.81,37.93,41.32,39.14,39.25357889734387,37.63034546745485,43.8211,42.25,Rubber-Tires
2021-08-26,GT,43.7428,42.0769,37.4027,38.3666,45.1,2914815.0,3541224.0,3879632.0,10365.890136881342,12593.574183640298,13797.046839517854,41.26,37.93,29.86,39.03,40.244912123646145,38.42767119680817,43.8967,43.22,Rubber-Tires
2021-08-27,GT,43.249,41.2438,36.3355,37.5868,54.67,3903952.0,3563428.0,3864207.0,13883.535645994132,12672.53789491612,13742.191407066493,45.45,38.59,48.04,47.21,39.70763655772023,37.51361670700387,44.3133,45.1,Rubber-Tires
2021-08-30,GT,43.4636,41.7237,35.3876,38.1257,51.12,3019945.0,3555002.0,3832882.0,10739.76192576708,12642.573002364554,13630.791345391382,45.96,38.62,46.48,47.69,39.941268444554936,38.040603855485784,45.6129,42.17,Rubber-Tires
2021-08-31,GT,43.38,41.2382,35.0175,37.8855,51.22,2949988.0,3547467.0,3816425.0,10490.975266158954,12615.776252145806,13572.265473673344,45.88,38.36,42.7,44.36,39.85027979826491,37.50745978122219,45.5503,41.69,Rubber-Tires
2021-09-01,GT,42.8117,41.0206,36.3955,37.6153,54.51,3499918.0,3569045.0,3778963.0,12446.678921152228,12692.513701790658,13439.040319205818,46.32,37.99,44.59,42.99,39.2308814187242,37.26808318601857,45.1757,41.88,Rubber-Tires
2021-09-02,GT,42.8382,42.831,36.7838,38.3945,54.81,3647763.0,3583328.0,3760679.0,12972.456132805404,12743.307415929521,13374.016721224074,43.21,37.63,44.42,37.84,39.25979851247329,39.25194213029465,45.3848,44.74,Rubber-Tires
2021-09-03,GT,42.7494,40.2069,34.0391,37.5044,56.06,2841901.0,3567642.0,3708536.0,10106.588308058834,12687.52462683944,13188.582775267427,42.77,37.38,21.42,37.19,39.16288549583649,36.37052663366314,47.0667,46.24,Rubber-Tires
2021-09-06,GT,42.9823,40.5879,36.1267,37.2751,53.3,2963062.0,3529998.0,3677569.0,10537.469709243642,12553.651256264848,13078.45463279318,36.96,37.42,17.77,35.19,39.41698254927691,36.79127649878432,45.3889,46.19,Rubber-Tires
2021-09-07,GT,42.9823,40.5879,36.1267,37.2751,53.3,2963062.0,3529998.0,3677569.0,10537.469709243642,12553.651256264848,13078.45463279318,36.96,37.42,17.77,35.19,39.41698254927691,36.79127649878432,45.9902,48.28,Rubber-Tires
2021-09-08,GT,43.4766,40.7586,37.4209,37.7348,48.92,3344043.0,3315934.0,3661837.0,11892.34420428973,11792.380805721476,13022.50779191646,37.68,37.48,23.64,34.51,39.955414496160586,36.97950613461462,45.8854,47.81,Rubber-Tires
2021-09-09,GT,42.4165,49.9514,37.3322,37.1376,48.55,3358048.0,3297680.0,3657559.0,11942.149631133516,11727.464287465924,13007.293779808708,35.96,37.28,18.95,34.26,38.79922515012381,46.918682440580106,46.4485,47.95,Rubber-Tires
2021-09-10,GT,42.6183,44.1383,37.0982,37.9426,48.83,2900431.0,3277397.0,3650153.0,10314.737084573315,11655.332733917588,12980.95645559799,35.9,37.28,18.93,34.14,39.019737247833945,40.674438249224785,45.3413,48.04,Rubber-Tires
2021-09-13,GT,42.7459,42.638,35.7792,37.8796,56.32,3177931.0,3286344.0,3643087.0,11301.604029262235,11687.150725406489,12955.827775415157,37.91,37.62,31.48,26.92,39.15906493789146,39.04125310488893,45.3901,46.39,Rubber-Tires
2021-09-14,GT,43.0583,42.8084,37.3185,38.7276,53.78,3137180.0,3274072.0,3619776.0,11156.682355417273,11643.508282204317,12872.927606883542,37.7,37.62,31.11,25.34,39.49984302361213,39.22728018305628,44.8112,46.41,Rubber-Tires
2021-09-15,GT,42.8668,42.4332,37.1633,38.6142,63.99,6318933.0,3307227.0,3623529.0,22471.877400758804,11761.41599863131,12886.273591774774,43.09,38.48,51.86,40.3,39.2910033244253,38.817481400008425,44.3765,42.31,Rubber-Tires
2021-09-16,GT,43.4341,43.3777,37.1129,38.5327,59.28,2847918.0,3278378.0,3615722.0,10127.986335263362,11658.821491991002,12858.510325125624,42.04,38.44,54.1,40.53,39.909164897426756,39.847776064543424,43.8955,41.72,Rubber-Tires
2021-09-17,GT,43.7604,43.0874,38.5009,38.5645,60.74,5549287.0,3264502.0,3631138.0,19734.803759776856,11609.474576355316,12913.333884996146,40.92,38.14,54.56,40.84,40.264041130517434,39.53156256410819,44.1876,41.71,Rubber-Tires
2021-09-20,GT,46.3543,47.4168,45.4229,43.8845,54.93,3424861.0,3262249.0,3599547.0,12179.755212240178,11601.461858269666,12800.987057563356,39.63,38.2,52.1,43.04,43.06903212854917,44.21055668321764,44.6717,40.56,Rubber-Tires
2021-09-21,GT,44.846,44.8744,41.9634,41.7791,51.45,3323839.0,3283919.0,3604937.0,11820.493809203192,11678.527211885032,12820.15629850529,39.76,38.23,53.12,43.53,41.44133342449299,41.47206499994906,44.3993,41.91,Rubber-Tires
2021-09-22,GT,44.2676,44.2006,38.7077,40.0688,55.85,2799383.0,3282464.0,3595270.0,9955.38242259898,11673.352452456107,12785.777352544268,39.68,38.39,34.67,44.11,40.81471315297953,40.74203529967544,44.5015,41.12,Rubber-Tires
2021-09-23,GT,43.8211,43.2724,37.3942,39.5485,62.76,2966767.0,3289624.0,3584109.0,10550.646243543719,11698.815275439987,12746.085606756862,42.25,38.76,46.75,50.56,40.330003783907586,39.73312222516625,44.4763,37.51,Rubber-Tires
2021-09-24,GT,43.8967,43.8731,38.6055,39.7946,65.95,4008948.0,3253854.0,3571562.0,14256.931279698229,11571.60753199373,12701.4653208726,43.22,38.9,50.2,52.43,40.41213519340447,40.38649902640733,44.3501,39.6,Rubber-Tires
2021-09-27,GT,44.3133,45.1291,38.3378,41.5537,69.77,5199606.0,3292884.0,3574486.0,18491.240772761143,11710.408611878054,12711.863411355376,45.1,38.97,53.27,52.69,40.86427482398286,41.74752767302515,44.5501,45.13,Rubber-Tires
2021-09-28,GT,45.6129,46.6473,43.6665,45.3574,63.75,4003278.0,3316153.0,3575985.0,14236.766286963673,11793.15931414542,12717.193932244472,42.17,39.16,56.0,54.58,42.27004904669499,43.38422521251244,45.2091,44.29,Rubber-Tires
2021-09-29,GT,45.5503,45.8931,41.8402,46.4434,61.74,2749424.0,3315145.0,3571999.0,9777.71417029767,11789.57492299895,12703.01897364288,41.69,39.17,53.36,45.0,42.202490804335234,42.57225654824982,44.824,44.45,Rubber-Tires
2021-09-30,GT,45.1757,45.86,41.7283,47.5914,59.49,3088066.0,3316249.0,3570540.0,10982.018337932717,11793.500310923095,12697.82956592323,41.88,38.87,41.17,44.05,41.79789791951265,42.53657249943864,45.1597,44.32,Rubber-Tires
2021-10-01,GT,45.3848,45.7352,41.8493,47.8791,65.39,3623827.0,3327898.0,3578209.0,12887.333257682778,11834.927708628475,12725.103005369692,44.74,39.5,50.49,50.34,42.023808383343834,42.401991923021725,46.3953,47.97,Rubber-Tires
2021-10-04,GT,47.0667,47.077,45.1714,49.9798,68.71,5489810.0,3361759.0,3593184.0,19523.28664789036,11955.347197466806,12778.358670083895,46.24,39.75,49.1,51.23,43.83485655149335,43.84591576190421,46.052,47.35,Rubber-Tires
2021-10-05,GT,45.3889,45.5235,41.3444,46.0432,67.97,3679511.0,3361899.0,3595022.0,13085.361166387695,11955.844844577887,12784.894859971726,46.19,39.67,44.15,50.43,42.028236260994824,42.17356342840856,47.3618,49.49,Rubber-Tires
2021-10-06,GT,45.9902,46.4797,43.31,48.0635,59.96,4157117.0,3375791.0,3604931.0,14783.860102446339,12005.248319712297,12820.133660652798,48.28,40.08,53.0,53.18,42.67691291600178,43.20396870763148,48.0289,48.02,Rubber-Tires
2021-10-07,GT,45.8854,46.1335,41.0858,47.3927,61.18,3342311.0,3380083.0,3608551.0,11886.184975666996,12020.512684519013,12833.008262884008,47.81,40.07,52.84,47.37,42.56395579783439,42.83129956293645,47.0095,62.99,Rubber-Tires
2021-10-08,GT,46.4485,46.7243,40.7126,47.8668,62.47,4937594.0,3421989.0,3624116.0,17559.453086267607,12169.541543355694,12888.36118992202,47.95,40.07,40.13,45.61,43.17040134455551,43.46700599868824,47.1588,64.78,Rubber-Tires
2021-10-11,GT,45.3413,45.0644,39.6947,46.3753,60.76,3168668.0,3435119.0,3632562.0,11268.662339913506,12216.23600466232,12918.398079824357,48.04,40.09,32.72,41.72,41.976825579002515,41.677578472843166,47.1045,64.93,Rubber-Tires
2021-10-12,GT,45.3901,45.6343,39.7261,47.3799,61.19,2294420.0,3427828.0,3629670.0,8159.593912003825,12190.3071278128,12908.11326373677,46.39,40.09,32.7,38.85,42.02953221260022,42.293140537089464,47.0362,65.16,Rubber-Tires
2021-10-13,GT,44.8112,44.8749,39.9674,46.4534,58.64,2498967.0,3430381.0,3628147.0,8887.019707292147,12199.38620658878,12902.696950361043,46.41,40.07,14.98,38.95,41.40367188354192,41.47260601903381,47.0741,65.29,Rubber-Tires
2021-10-14,GT,44.3765,43.7984,39.5243,46.3526,62.85,3072967.0,3427498.0,3627463.0,10928.322908109745,12189.133469672905,12900.264467929692,42.31,40.27,24.62,41.22,40.93280044475335,40.30533764354295,47.3679,64.5,Rubber-Tires
2021-10-15,GT,43.8955,43.4055,39.8105,44.0215,61.08,2753855.0,3405173.0,3634016.0,9793.471879275638,12109.739263530091,12923.568417668228,41.72,40.27,24.09,33.1,40.41083171935465,39.878036940777314,47.2088,65.52,Rubber-Tires
2021-10-18,GT,44.1876,43.5534,43.8189,44.6861,62.46,3056057.0,3387345.0,3620159.0,10868.185826515188,12046.337787062574,12874.288906761685,41.71,40.26,24.26,28.81,40.727931370989126,40.03896916205511,47.4048,65.65,Rubber-Tires
