PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,HIG,26.1022,25.6356,22.9575,24.27,56.44,2521135.0,1896190.0,1954803.0,7407.404602022304,5571.239355412809,5743.451555845683,0.026170002424875494,1403.0,24821.9701,15.86,19.06,16.92,14.18,2.2966763266705166,25.69486244839705,24.602569882839475,24.106961387947674,28.4213,23.54,Multi-line Insurance
2021-11-01,HIG,25.9148,25.1853,21.3719,23.102,57.5,1864079.0,1899353.0,1937257.0,5476.893356339123,5580.53270652305,5691.899320158352,0.01922224684245513,1041.0,24893.444,15.45,19.0,13.1,14.11,2.2966763266705166,25.504469616952335,24.403656673539725,23.62754612925346,29.7457,25.65,Multi-line Insurance
2021-11-02,HIG,26.2697,25.9217,21.5493,23.8029,55.04,1375163.0,1897758.0,1930589.0,4040.3980505105733,5575.846444051246,5672.307960537883,0.005761725940652382,313.0,24770.9166,14.99,19.01,13.25,14.07,2.2966763266705166,25.865000473459204,24.78020859657965,24.41098381651178,31.5486,26.32,Multi-line Insurance
2021-11-03,HIG,26.104,25.7404,22.0438,23.879,61.44,1491651.0,1894955.0,1924448.0,4382.654057048408,5567.61080083355,5654.264861404373,0.00758466172041431,413.0,25209.9728,14.3,19.11,16.18,16.05,2.2966763266705166,25.696690981565016,24.604479592139313,24.21837715785267,29.8885,28.46,Multi-line Insurance
2021-11-04,HIG,26.1534,26.1145,23.5615,24.4649,49.21,1635198.0,1898834.0,1920764.0,4804.412629256066,5579.007588353712,5643.440622738285,0.016373714535774197,898.0,24485.021,17.17,19.55,26.26,21.08,2.2966763266705166,25.74687248894601,24.65688406023762,24.61561923352732,31.4214,27.89,Multi-line Insurance
2021-11-05,HIG,26.3853,26.194,23.7058,24.9718,48.65,1640012.0,1905625.0,1915949.0,4818.55677833497,5598.960410481494,5629.293591079887,0.005881696013103526,316.0,24447.582,17.18,19.54,24.54,21.08,2.2966763266705166,25.98240111098366,24.902723868886312,24.699944048519622,30.0241,26.53,Multi-line Insurance
2021-11-08,HIG,26.5731,26.2455,24.6383,24.5603,46.89,1461799.0,1905794.0,1901524.0,4294.945325286572,5599.457265505858,5586.911480114725,0.011625535386498062,627.0,24331.8605,17.03,19.55,24.69,19.76,2.2966763266705166,26.173092194313703,25.101618346433362,24.75455251564851,29.0778,26.69,Multi-line Insurance
2021-11-09,HIG,26.4877,25.9809,24.1398,24.394,50.75,1483318.0,1898311.0,1897638.0,4358.170772560948,5577.47126201593,5575.493905218578,0.00420020353409196,227.0,24563.3009,17.24,19.53,25.34,20.22,2.2966763266705166,26.086382706156193,25.011194519454683,24.47383837508943,28.3693,26.67,Multi-line Insurance
2021-11-10,HIG,26.5439,26.3291,24.5951,25.4179,52.48,1424310.0,1898240.0,1882741.0,4184.798037863955,5577.262693791993,5531.724724677929,0.01311824796060851,714.0,24672.2138,17.02,19.09,22.29,19.47,2.2966763266705166,26.14344542350998,25.070704561499664,24.843170224631155,29.2322,26.51,Multi-line Insurance
2021-11-11,HIG,26.5806,26.3579,25.05,25.2055,56.06,1145075.0,1880580.0,1874985.0,3364.3711279676004,5525.375242524123,5508.936444662866,0.008314256936178006,454.0,24907.0585,17.25,19.09,10.62,20.03,2.2966763266705166,26.180706784998087,25.109557868668258,24.873690767757004,27.9803,26.47,Multi-line Insurance
