PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-25,HTHT,38.6846,38.7176,37.8975,37.9434,56.3,1375204.0,1567379.0,1395403.0,4208.759465209948,4796.903733425224,4270.577735399516,0.003929219846624935,145.0,15089.4808,49.73,40.73,33.48,28.9,0.0,38.6846,38.31146926391626,38.34479038617892,38.6598,34.61,Hotels_Motels
2021-08-26,HTHT,39.3898,38.2727,37.883,37.1238,49.58,1251519.0,1532452.0,1392758.0,3830.2264148223303,4690.0112022648555,4262.48301548368,0.019608902333621434,726.0,14574.2609,29.68,41.02,38.0,33.11,0.0,39.3898,39.023412767721894,37.895513788442024,39.1683,34.45,Hotels_Motels
2021-08-27,HTHT,38.2586,37.6255,38.381,37.6497,52.62,1007654.0,1519860.0,1383885.0,3083.886813648586,4651.47383188271,4235.3275063723,0.004185117183281132,155.0,14822.2103,30.17,40.9,38.15,33.32,0.0,38.2586,37.881273394119155,37.24175949455128,41.4822,32.36,Hotels_Motels
2021-08-30,HTHT,39.9558,38.6725,38.7034,36.982,55.1,1706284.0,1522773.0,1386514.0,5222.01716472178,4660.388741835989,4243.373264431392,0.001053200108020524,39.0,15037.9589,29.08,40.92,39.49,33.07,0.0,39.9558,39.59465056847958,38.29925137975937,39.6337,32.27,Hotels_Motels
2021-08-31,HTHT,38.0347,37.8763,39.2238,38.3194,60.35,1754475.0,1529205.0,1394498.0,5369.503891457477,4680.073639314456,4267.807998193002,0.008483904744006229,316.0,15549.9579,30.59,41.2,38.33,37.07,0.0,38.0347,37.655129850924695,37.4951263725034,38.2809,32.09,Hotels_Motels
2021-09-01,HTHT,37.9544,40.599,39.7327,38.0165,65.29,1979365.0,1542457.0,1405341.0,6057.771093636853,4720.630822399012,4300.992533717989,0.011319646528018795,424.0,16148.9004,33.07,41.49,46.28,40.39,0.0,37.9544,37.574018674610784,40.243623109754914,39.2151,30.06,Hotels_Motels
2021-09-02,HTHT,42.946,43.7738,31.44,35.8358,63.69,1416752.0,1553250.0,1410957.0,4335.915516155198,4753.6624444278605,4318.180139451216,0.0031696143191988066,119.0,16032.9759,33.08,41.5,39.49,38.75,0.0,42.946,42.61020201782667,43.44440086409295,39.6404,29.64,Hotels_Motels
2021-09-03,HTHT,43.1121,41.0029,32.0204,39.4606,63.09,2145683.0,1572131.0,1417887.0,6566.781210895872,4811.447129826232,4339.389234464512,0.00271233313832899,102.0,15991.114,31.96,41.46,37.68,37.91,0.0,43.1121,42.777605898530595,40.65105421031538,37.7875,29.79,Hotels_Motels
2021-09-06,HTHT,41.1318,38.5086,36.3747,37.8156,68.36,1967452.0,1596933.0,1426581.0,6021.312149750571,4887.352817368672,4365.996988949829,0.007474356595722123,282.0,16673.779,34.91,41.66,46.85,43.33,0.0,41.1318,40.78106633279714,38.1337471796308,40.5169,32.59,Hotels_Motels
2021-09-07,HTHT,41.1318,38.5086,36.3747,37.8156,68.36,1967452.0,1596933.0,1426581.0,6021.312149750571,4887.352817368672,4365.996988949829,0.007474356595722123,282.0,16673.779,34.91,41.66,46.85,43.33,0.0,41.1318,40.78106633279714,38.1337471796308,41.033,29.55,Hotels_Motels
2021-09-08,HTHT,42.0976,38.0366,34.849,35.7654,65.49,1283856.0,1600830.0,1428191.0,3929.1923168322696,4899.279153234165,4370.9240788445095,0.0035687850269641537,135.0,16470.9124,35.16,41.69,41.3,39.84,0.0,42.0976,41.75497965225226,37.65704900227845,42.0482,29.29,Hotels_Motels
2021-09-09,HTHT,41.511,39.9359,35.4789,36.1668,66.01,1392473.0,1608126.0,1418034.0,4261.610577018332,4921.608369266896,4339.839043896444,0.0011106703689012297,42.0,16538.5347,35.07,41.69,31.53,39.6,0.0,41.511,41.16349743401307,39.57456896556171,40.7165,30.32,Hotels_Motels
2021-09-10,HTHT,42.5492,38.2341,40.8637,36.8218,60.1,799111.0,1605320.0,1418175.0,2445.648729392246,4913.020616995587,4340.270484082747,0.001267795356699506,48.0,16126.3596,35.84,41.83,35.91,37.74,0.0,42.5492,42.21024544633684,37.85652919656,39.3621,30.48,Hotels_Motels
2021-09-13,HTHT,40.598,39.1488,46.1948,39.0613,58.61,1864861.0,1626342.0,1428006.0,5707.336134608505,4977.357810491755,4370.358028956449,0.0012946522933840626,49.0,16020.0951,35.54,41.79,36.16,36.93,0.0,40.598,40.24261427889594,38.78013591311924,42.8868,31.23,Hotels_Motels
2021-09-14,HTHT,43.3636,40.6979,40.3719,39.0815,53.38,1371754.0,1635929.0,1431579.0,4198.20098416389,5006.698531822942,4381.293123044188,0.001676111421502115,63.0,15633.6806,36.08,41.77,26.97,38.23,0.0,43.3636,43.03106093230795,40.34339430947773,43.9795,30.24,Hotels_Motels
2021-09-15,HTHT,43.1878,37.7308,35.275,37.7875,52.27,1257727.0,1638781.0,1420754.0,3849.22556371059,5015.426812434816,4348.163485831246,0.0011172887127237903,42.0,15549.9579,36.12,41.76,25.82,34.44,0.0,43.1878,42.853896775439225,37.34814143488267,38.748,30.19,Hotels_Motels
2021-09-16,HTHT,45.7497,41.45,74.2817,39.9489,46.92,1639565.0,1640169.0,1423745.0,5017.826357230204,5019.674876270173,4357.317451259764,0.002419697936609232,91.0,15128.1219,36.7,41.84,32.24,31.89,0.0,45.7497,45.43462831464564,41.101981704049265,38.2292,28.67,Hotels_Motels
2021-09-17,HTHT,40.3974,40.3731,34.1475,39.5139,46.8,1412628.0,1621042.0,1425994.0,4323.29417089369,4961.1372770282405,4364.20030463036,0.02811983091343503,459.0,15118.4619,35.77,41.28,26.8,31.68,0.0,40.3974,40.040233849966455,40.01571695734065,38.0136,28.83,Hotels_Motels
2021-09-20,HTHT,42.413,43.597,44.6669,45.1268,40.98,1066794.0,1629109.0,1422683.0,3264.88258033905,4985.826312834127,4354.0673682496345,0.011289147851420248,186.0,14625.7828,37.14,41.54,35.35,35.76,0.0,42.413,42.072948185265076,43.26625485294515,37.2724,26.66,Hotels_Motels
2021-09-21,HTHT,39.562,43.0993,46.2805,45.4898,43.87,889353.0,1624134.0,1420222.0,2721.830927190774,4970.600145388908,4346.535248744577,0.0029060967488042625,48.0,14809.3306,37.39,41.56,32.06,29.62,0.0,39.562,39.19722240159371,42.76470578046808,42.8738,26.37,Hotels_Motels
