PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-25,IBN,27.8671,26.6262,25.1455,25.3338,76.86,21584290.0,5291601.0,5401171.0,6224.11262755157,1525.9024320033002,1557.498376118248,0.2101093579333851,15966.0,75841.8831,40.43,23.47,19.77,18.96,2.576909668211488,27.386372681636985,27.71157993348629,26.463388415696127,28.9461,26.01,Commer Banks Non-US
2021-10-26,IBN,27.9523,26.2515,23.074,23.4595,74.24,14343897.0,5404667.0,5357900.0,4136.250521500337,1558.5064991254233,1545.0206222999689,0.05624787369429079,4464.0,75252.3483,40.15,23.49,12.57,18.93,2.576909668211488,27.473063563015916,27.797256614457478,26.086349921941935,28.4368,26.37,Commer Banks Non-US
2021-10-27,IBN,27.8436,26.0035,23.1511,23.5892,74.35,22156718.0,5650232.0,5420707.0,6389.180183708625,1629.3184905705057,1563.1319469828804,0.021334097192816398,1713.0,75321.7003,37.03,23.43,10.62,18.71,2.576909668211488,27.362459816462273,27.687947936963475,25.836764740384968,31.4971,31.6,Commer Banks Non-US
2021-10-28,IBN,27.8562,26.5593,23.3026,23.7455,67.59,9991684.0,5697377.0,5442468.0,2881.23288844746,1642.9132456835227,1569.4068983689706,0.03450915511217019,2795.0,73830.5304,37.44,22.97,17.21,21.19,2.576909668211488,27.375281271386285,27.700618737493933,26.396075778228855,31.4971,31.6,Commer Banks Non-US
2021-10-29,IBN,27.7976,26.2774,23.952,24.2432,65.45,8012155.0,5753692.0,5446692.0,2310.4099270566903,1659.1525144017637,1570.6250398825607,0.012297386499767743,1006.0,73345.0269,37.0,22.98,17.32,18.08,2.576909668211488,27.315649580552037,27.641688909326795,26.112413729105935,30.2597,30.99,Commer Banks Non-US
2021-11-01,IBN,27.919,26.6942,22.6898,23.162,66.52,8252063.0,5772716.0,5439868.0,2379.5904244269905,1664.6382506455027,1568.6571712972627,0.007786320932896292,639.0,73795.8511,37.04,22.65,16.54,18.23,2.576909668211488,27.439181971179693,27.763770655298245,26.531805698821177,31.248,32.42,Commer Banks Non-US
2021-11-02,IBN,28.0168,26.7686,22.9179,23.5307,64.87,5850418.0,5786581.0,5399425.0,1686.8999156528625,1668.4932599377441,1556.861334877945,0.005823141822072018,479.0,73455.3675,36.89,22.65,15.94,14.35,2.576909668211488,27.53868603415044,27.862115537769203,26.606659804642895,31.1976,32.37,Commer Banks Non-US
2021-11-03,IBN,28.54,27.1325,25.4752,25.3107,57.5,11402973.0,5901213.0,5397774.0,3287.168645617053,1701.1600698087898,1556.0322250107004,0.007464943801192939,617.0,71806.9459,37.69,22.65,22.77,17.77,2.576909668211488,28.070798817410108,28.3881665487576,26.972744692559562,32.0801,32.49,Commer Banks Non-US
2021-11-04,IBN,28.4521,26.6486,24.3156,24.5477,55.61,9308576.0,5985885.0,5442377.0,2683.410783136485,1725.5688040377968,1568.8901425625136,0.004782781984854523,396.0,71355.9808,37.65,22.46,18.35,17.79,2.576909668211488,27.98142492185687,28.299794953497457,26.485926111049995,33.6116,31.74,Commer Banks Non-US
2021-11-05,IBN,28.6833,27.2527,24.63,25.2688,56.44,9364401.0,6078839.0,5476506.0,2699.503663085573,1752.3649561576274,1578.7286349559486,0.008145588905683917,679.0,71598.8051,37.47,22.27,17.91,17.62,2.576909668211488,28.21648179942908,28.532229125849945,27.093653450393138,32.965,31.85,Commer Banks Non-US
