PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,ICE,21.6569,19.7885,18.4866,18.6991,80.55,2588824.0,2125992.0,2331056.0,4594.966191329482,3773.4745054267682,4137.447547649333,0.05087818532538543,3508.0,78008.9681,24.19,15.77,21.05,16.07,2.478702330075068,21.081875074231935,21.192680755628817,19.279344704890775,23.4534,15.99,Finance-Other Services
2021-11-01,ICE,21.1443,19.452,18.1381,18.4501,75.19,1859089.0,2123137.0,2320331.0,3299.74197239101,3768.4071456699126,4118.411539490581,0.014132384424000463,977.0,77259.6393,24.36,15.83,19.32,16.6,2.478702330075068,20.55494007594091,20.668570886493338,18.933797928572073,25.7379,14.45,Finance-Other Services
2021-11-02,ICE,21.2232,19.6163,17.9018,18.3582,77.27,2522082.0,2128508.0,2319769.0,4476.504498376787,3777.940462217715,4117.414248900322,0.03026456535691364,2122.0,78206.1545,24.63,15.68,19.7,17.34,2.478702330075068,20.636093556570287,20.74927994509689,19.102555475380775,25.1448,14.77,Finance-Other Services
2021-11-03,ICE,21.5014,19.7624,18.299,18.7538,71.15,2166892.0,2139046.0,2310886.0,3846.06901981136,3796.6444809207887,4101.647453087553,0.019627922853729305,1380.0,77293.4422,22.85,15.73,21.08,18.16,2.478702330075068,20.922101734661403,21.033749118024588,19.25255447362765,25.3446,15.32,Finance-Other Services
2021-11-04,ICE,22.0875,20.3824,18.2554,19.0228,68.71,3529051.0,2169220.0,2322589.0,6263.797883909725,3850.200987669108,4122.419331257045,0.016698168175423137,1175.0,76915.9624,18.82,15.74,20.98,18.13,2.478702330075068,21.523981864086434,21.632523113358737,19.88845468506792,27.1078,15.02,Finance-Other Services
2021-11-05,ICE,22.3759,20.72,19.026,19.375,67.06,2482738.0,2184803.0,2324418.0,4406.671740217734,3877.859700879805,4125.665742036987,0.012466117009261351,883.0,76668.0631,15.64,15.69,14.44,18.05,2.478702330075068,21.819831343196075,21.926908145244738,20.23429761568214,25.6852,15.03,Finance-Other Services
2021-11-08,ICE,22.2168,20.4671,17.7998,18.675,65.79,2434313.0,2200687.0,2325894.0,4320.7210964417245,3906.052651226465,4128.285587714985,0.005763810597519729,409.0,76482.1386,14.97,15.63,12.83,16.39,2.478702330075068,21.65664658425957,21.764526235137765,19.975249245253487,23.8064,17.11,Finance-Other Services
2021-11-09,ICE,22.2031,20.4162,17.5302,18.7193,64.71,2365765.0,2209937.0,2330778.0,4199.053724827547,3922.4708250752774,4136.954449256836,0.00544342077501934,387.0,76330.017,14.91,15.62,9.58,15.49,2.478702330075068,21.642592003859466,21.750541363607482,19.923092692651913,23.3657,17.54,Finance-Other Services
2021-11-10,ICE,22.1102,20.2648,18.1134,18.8642,59.71,2056247.0,2217302.0,2332084.0,3649.6824149456083,3935.5428204995446,4139.272161844377,0.004950564673783103,352.0,75614.4997,15.27,15.6,8.19,15.99,2.478702330075068,21.547275537188494,21.655700035787344,19.767916406136486,23.7057,17.7,Finance-Other Services
2021-11-11,ICE,21.8199,20.0709,17.5028,18.3423,58.89,1498715.0,2213470.0,2323398.0,2660.1055489151167,3928.74150813006,4123.855377532275,0.012451035254616676,890.0,75496.181,15.12,15.47,7.49,15.75,2.478702330075068,21.249286459679574,21.359223675264982,19.569093663478647,23.1797,17.57,Finance-Other Services
