PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-22,IQV,24.9176,23.6459,24.7781,24.6392,62.68,987574.0,690127.0,855587.0,5169.475101874455,3612.483058111404,4478.586611218459,0.044537424453742445,479.0,49076.1402,25.78,18.98,10.97,16.3,3.5737665391008613,23.87047466339981,21.957194487456725,20.502687307033682,26.9179,26.54,Medical Labs_Testing Srv
2021-10-25,IQV,24.9931,23.6709,23.482,23.3411,63.08,701138.0,680848.0,848598.0,3670.1205603552253,3563.9121589141287,4442.002811538276,0.009454073593474836,102.0,49144.9116,25.77,18.57,9.35,15.98,3.5737665391008613,23.949275949514885,22.042836650712626,20.531514966265885,27.0887,26.69,Medical Labs_Testing Srv
2021-10-26,IQV,25.0198,23.8052,23.0191,23.0124,60.81,566262.0,665391.0,842940.0,2964.1095441853126,3483.00223874286,4412.385961225665,0.04003245875033811,444.0,48923.3051,18.2,18.57,9.82,15.63,3.5737665391008613,23.977138339176598,22.073105627437204,20.686206685615417,27.0521,26.65,Medical Labs_Testing Srv
2021-10-27,IQV,24.9287,24.0343,22.5131,22.7199,57.35,548493.0,655697.0,836757.0,2871.0974008601756,3432.258848247497,4380.0209808540085,0.008019462966300234,89.0,48579.4334,15.85,18.59,10.91,15.51,3.5737665391008613,23.88206135546118,21.969790251388382,20.949443345587973,27.7366,26.89,Medical Labs_Testing Srv
2021-10-28,IQV,24.6423,23.9232,23.7427,23.478,61.21,487262.0,654157.0,831458.0,2550.5824350859693,3424.1975651467437,4352.283105006567,0.008168761220825852,91.0,49133.4497,16.22,18.63,11.56,15.16,3.5737665391008613,23.582954017383237,21.644272898159457,20.821889881564548,27.7366,26.89,Medical Labs_Testing Srv
2021-10-29,IQV,24.7155,23.2728,22.7821,22.5788,65.99,676987.0,649601.0,828567.0,3543.7014958100353,3400.34895113155,4337.149926481356,0.022928004282273172,257.0,49941.5489,16.48,18.77,15.34,13.33,3.5737665391008613,23.659431758730218,21.72757557229982,20.071243604719665,26.604,27.28,Medical Labs_Testing Srv
2021-11-01,IQV,25.382,24.8405,26.1284,25.2341,61.21,553105.0,645656.0,826852.0,2895.238764480222,3379.698754701625,4328.172702991295,0.08682910491501297,1037.0,49458.2192,16.57,18.81,16.79,13.59,3.5737665391008613,24.354849514953123,22.482827313307375,21.869660268280345,27.6503,28.49,Medical Labs_Testing Srv
2021-11-02,IQV,25.8922,25.6063,27.744,26.2032,59.25,591380.0,638468.0,825264.0,3095.5903226005544,3342.0733912038463,4319.860752799594,0.03083230832308323,376.0,49255.712,16.06,18.82,16.74,13.72,3.5737665391008613,24.88611644544026,23.057268286594574,22.735747176857856,28.176,28.29,Medical Labs_Testing Srv
2021-11-03,IQV,26.3158,25.8982,28.6497,26.962,53.61,1021791.0,643047.0,824885.0,5348.584824547205,3366.0420043537342,4317.876545200164,0.07652389435365192,988.0,48638.6581,16.61,18.89,18.31,15.07,3.5737665391008613,25.32654932153238,23.531955499702953,23.0640057934436,29.132,28.63,Medical Labs_Testing Srv
2021-11-04,IQV,26.4804,26.8926,30.8349,28.6635,52.37,808274.0,647762.0,823785.0,4230.926036239082,3390.7228379068247,4312.118668623774,0.012839467745700724,165.0,48497.2878,16.64,18.88,16.57,14.29,3.5737665391008613,25.497536254626883,23.71588463793835,24.175267004937094,30.8062,28.33,Medical Labs_Testing Srv
