PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-27,IVZ,35.9561,35.8686,32.1049,32.6099,50.62,5704734.0,4170931.0,4122608.0,12364.186132448376,9039.889893130694,8935.15677735732,0.018045535463318656,963.0,11507.1113,32.0,35.44,26.76,25.88,4.601415661043067,34.758438153450314,34.15411435259301,34.06198564323577,40.6756,31.38,Invest Mgmnt/Advis Serv
2021-10-28,IVZ,35.41,35.3892,32.0259,32.2547,54.9,3710727.0,4172194.0,4122813.0,8042.46445662447,9042.627482739063,8935.601302334906,0.021614206799391984,1166.0,11760.8765,32.58,35.34,28.56,27.69,4.601415661043067,34.19321563786053,33.578720940500396,33.55678585085288,40.6756,31.38,Invest Mgmnt/Advis Serv
2021-10-29,IVZ,35.1996,34.7808,31.8479,32.1701,54.18,5045792.0,4127558.0,4138704.0,10940.417916408102,8949.47899045652,8973.646038582223,0.006834345829011705,369.0,11719.2575,31.84,35.29,26.1,23.73,4.601415661043067,33.975281247065936,33.35677202848021,32.91453248399557,39.5718,30.5,Invest Mgmnt/Advis Serv
2021-11-01,IVZ,35.8287,35.3869,32.9956,33.4146,61.77,4025023.0,4124621.0,4132981.0,8727.15963812185,8943.110614212586,8961.236983819592,0.07161727954302036,4012.0,12235.8092,34.5,35.66,40.09,32.07,4.601415661043067,34.62663193767523,34.0199668384612,33.554360247365764,40.6403,33.48,Invest Mgmnt/Advis Serv
2021-11-02,IVZ,36.0241,35.4817,32.0015,32.6281,59.59,4054924.0,4120552.0,4138224.0,8791.991643661944,8934.287979571138,8972.604869438073,0.03168843300339519,1764.0,12125.1198,33.94,35.62,39.21,31.62,4.601415661043067,34.82877655714065,34.225694745468644,33.65432267762939,41.455,30.48,Invest Mgmnt/Advis Serv
2021-11-03,IVZ,35.6909,35.3642,31.6052,32.2081,60.72,2761396.0,4083000.0,4131525.0,5987.330983414159,8852.867319746972,8958.080493073136,0.0195474724330517,1092.0,12208.1362,29.0,35.62,35.32,31.33,4.601415661043067,34.48402874472805,33.87480985644052,33.530419646046774,39.9217,32.64,Invest Mgmnt/Advis Serv
2021-11-04,IVZ,36.7253,36.2106,33.5524,33.628,55.72,2506417.0,4067904.0,4134663.0,5434.478663422171,8820.13547340674,8964.88407712727,0.019464028840860254,1096.0,11959.0851,29.86,35.73,34.96,31.92,4.601415661043067,35.553558974415346,34.96298128149257,34.421939985422085,42.1357,32.92,Invest Mgmnt/Advis Serv
2021-11-05,IVZ,36.6632,36.0936,33.4583,33.7311,56.09,3405323.0,4074887.0,4137181.0,7383.510281477063,8835.27643643708,8970.343914463196,0.016706443914081145,945.0,11982.1451,29.86,35.63,34.91,30.82,4.601415661043067,35.489408700304246,34.89774540339247,34.298839061402646,39.8166,32.56,Invest Mgmnt/Advis Serv
2021-11-08,IVZ,36.4889,35.7024,31.839,32.3832,58.18,3624526.0,4095192.0,4136628.0,7858.791771956914,8879.302064375805,8969.144679896512,0.01837409588483916,1039.0,12111.2832,29.73,35.65,18.41,31.19,4.601415661043067,35.30931490226383,34.71458228482665,33.886926177509814,38.2032,33.85,Invest Mgmnt/Advis Serv
2021-11-09,IVZ,36.8009,36.1483,33.1372,33.7085,55.66,1847470.0,4075166.0,4123466.0,4005.732611327114,8835.881147066782,8940.606466085277,0.053899284631920216,3059.0,11995.9816,29.74,35.67,18.53,30.67,4.601415661043067,35.631645155216034,35.04238349213706,34.356396680822044,37.8303,33.81,Invest Mgmnt/Advis Serv
