PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,JWN,51.7446,55.0701,56.4201,55.8195,36.28,3572678.0,3296830.0,3591920.0,22484.00100900351,20748.001652125673,22605.09704604218,47.01,53.22,46.29,53.46,49.43089751521815,52.9020407357788,55.8415,46.49,Retail-Major Dept Store
2021-07-20,JWN,50.1062,52.6187,47.2794,50.838,44.25,2522245.0,3282539.0,3583455.0,15873.291526692501,20658.063944913232,22551.824223175732,46.96,53.59,48.75,57.59,47.71311432342265,50.345184374376856,56.3316,44.41,Retail-Major Dept Store
2021-07-21,JWN,49.8991,52.6323,46.2946,50.2078,46.42,2870508.0,3269725.0,3578124.0,18065.021148383523,20577.420886615997,22518.274023809947,45.96,53.2,46.81,54.28,47.49558064504528,50.35939836108052,56.9678,46.23,Retail-Major Dept Store
2021-07-22,JWN,51.3794,53.1809,46.2571,51.8257,40.88,2958993.0,3274348.0,3577319.0,18621.885928249558,20606.515441365387,22513.20849591729,46.08,53.61,55.21,57.2,49.04847341518388,50.93248594767391,56.2676,44.83,Retail-Major Dept Store
2021-07-23,JWN,50.7964,52.8643,47.4228,53.7248,37.83,4032801.0,3310387.0,3593067.0,25379.701973696516,20833.32043351489,22612.315765524712,46.66,53.75,57.67,49.46,48.437426159530816,50.6018202685437,55.5193,46.2,Retail-Major Dept Store
2021-07-26,JWN,50.575,53.5215,48.6334,56.3729,44.33,3330492.0,3324097.0,3599072.0,20959.846696473312,20919.600925090603,22650.106161362826,47.96,54.05,59.67,53.4,48.205192925658956,51.28801967565135,55.7791,45.23,Retail-Major Dept Store
2021-07-27,JWN,51.9287,55.2101,50.1178,57.6515,42.26,1761022.0,3285874.0,3549416.0,11082.67216635519,20679.051324713826,22337.605044125383,48.27,53.94,51.57,50.18,49.623581931275375,53.04776283699435,55.0581,80.78,Retail-Major Dept Store
2021-07-28,JWN,51.9904,54.3336,48.8065,58.3781,44.48,1814265.0,3286104.0,3530624.0,11417.747749855629,20680.49956968336,22219.341844541057,48.2,53.92,51.6,49.27,49.68814438233732,52.134921971361955,55.349,86.22,Retail-Major Dept Store
2021-07-29,JWN,51.9419,54.4168,46.7713,58.7711,45.73,2326789.0,3293933.0,3477237.0,14643.225319576613,20729.770987652493,21883.36152550516,47.93,53.66,39.78,48.11,49.63739493174475,52.221625044037076,53.7439,86.6,Retail-Major Dept Store
2021-07-30,JWN,51.8072,55.2272,50.0334,57.4929,48.54,4629166.0,3336711.0,3457212.0,29132.818215352014,20998.986642554068,21757.33787207751,48.32,53.71,36.28,48.18,49.49642382879798,53.06555963937439,52.9091,87.57,Retail-Major Dept Store
2021-08-02,JWN,52.0287,55.2798,48.6673,59.379,53.7,4363220.0,3360697.0,3440296.0,27459.134206306546,21149.937420009028,21650.879298641732,49.86,52.88,33.3,48.32,49.72821758006213,53.12030015013093,52.0095,86.98,Retail-Major Dept Store
2021-08-03,JWN,52.0997,55.6226,51.3245,59.7869,54.99,3334623.0,3371120.0,3433684.0,20985.84452035963,21215.531764602703,21609.26694143432,49.84,52.77,31.38,42.69,49.80249732784492,53.476944852524994,51.8692,86.95,Retail-Major Dept Store
2021-08-04,JWN,52.1707,55.6073,50.7075,61.0075,50.2,2307016.0,3321250.0,3418850.0,14518.786947353305,20901.684751599973,21515.912657284927,50.63,52.93,36.99,44.89,49.876767522464796,53.4610307915027,52.398,86.28,Retail-Major Dept Store
2021-08-05,JWN,52.3906,55.7583,49.7716,60.8414,55.85,2081207.0,3320513.0,3394118.0,13097.6983407145,20897.045613637147,21360.26531565059,50.63,52.99,46.66,43.35,50.10673575837883,53.61807548663044,53.0029,86.67,Retail-Major Dept Store
2021-08-06,JWN,52.3445,55.3658,49.0059,60.2643,59.35,1915215.0,3316222.0,3327508.0,12053.058340480184,20870.041867875865,20941.06826252642,50.54,52.58,49.38,43.33,50.05853254191536,53.2097905430946,51.8251,86.75,Retail-Major Dept Store
2021-08-09,JWN,52.3787,55.0218,55.0113,60.2949,59.21,1981273.0,3286882.0,3292212.0,12468.78181826198,20685.394955855438,20718.938342905753,45.37,51.61,42.42,38.14,50.09429322477761,52.85175943372178,51.8251,86.75,Retail-Major Dept Store
2021-08-10,JWN,52.5715,55.2942,55.1852,59.9564,62.46,3733053.0,3297081.0,3298156.0,23493.291446762254,20749.58080064289,20756.346118013218,46.27,51.76,46.18,39.48,50.295850845273506,53.13528539153619,51.9402,87.26,Retail-Major Dept Store
2021-08-11,JWN,52.6254,55.4978,52.5743,61.4997,64.28,1689664.0,3284456.0,3291499.0,10633.593495676272,20670.127290653592,20714.451131955797,44.42,51.72,42.19,39.68,50.352186895506335,53.34712555367908,52.0038,86.75,Retail-Major Dept Store
2021-08-12,JWN,52.6451,55.2831,58.6385,61.3189,60.32,3468755.0,3298621.0,3297095.0,21829.980795801097,20759.273307750533,20749.669703375366,44.25,51.72,34.07,40.85,50.37277592122554,53.123734296545834,52.2573,86.93,Retail-Major Dept Store
