PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,LH,26.5099,27.265,25.2406,25.0252,57.03,670496.0,598759.0,636534.0,6955.352973612963,6211.193192990747,6603.050055042467,0.031618251575774185,923.0,27668.7269,15.09,16.1,12.69,14.09,4.385577774588068,25.0168269039492,25.143881920061585,25.938778402230124,27.8977,28.54,Medical Labs_Testing Srv
2021-11-01,LH,26.0177,26.3386,23.5425,23.8983,59.19,773662.0,594602.0,637500.0,8025.5394479161705,6168.070561575792,6613.070563174304,0.01993525302436531,585.0,27838.3919,15.04,16.11,12.04,12.29,4.385577774588068,24.4946431617641,24.624392648144646,24.963209929013534,29.9556,29.53,Medical Labs_Testing Srv
2021-11-02,LH,26.8263,27.9863,25.928,26.1749,54.93,613678.0,579881.0,637673.0,6365.954564480576,6015.363266738519,6614.865360980876,0.21675084175084175,7725.0,27593.5351,14.31,16.14,13.3,12.1,4.385577774588068,25.351867821171613,25.477252043538762,26.695935789741476,31.3723,29.46,Medical Labs_Testing Srv
2021-11-03,LH,26.4446,26.6519,24.8634,24.9559,56.6,542817.0,560429.0,635302.0,5672.06915106228,5856.1025949089335,6638.474616322202,0.04025054772203809,1433.0,27512.7921,14.33,15.82,12.13,11.87,4.385577774588068,24.947619114700238,25.075024808761405,25.2935520164725,31.1805,30.12,Medical Labs_Testing Srv
2021-11-04,LH,26.9674,27.3286,25.784,26.3633,51.3,432414.0,551374.0,634713.0,4518.432751378126,5761.483994177716,6632.319968653801,0.02897863557762035,1039.0,27201.7671,14.84,15.84,12.35,12.3,4.385577774588068,25.50112729061515,25.625781212677207,26.00562204524245,32.7757,30.11,Medical Labs_Testing Srv
2021-11-05,LH,27.5414,28.5625,29.0158,29.271,39.62,869984.0,554304.0,636648.0,9090.742040027118,5792.100401565077,6652.539286123865,0.21760589489294652,9391.0,26302.1876,18.23,16.51,26.51,20.78,4.385577774588068,26.107384861225697,26.229157705881445,27.29938472292004,31.8293,29.87,Medical Labs_Testing Srv
2021-11-08,LH,26.8437,28.021,30.9325,28.85,47.75,405471.0,549965.0,635951.0,4236.896772606398,5746.761010149869,6645.256354796796,0.026044123041450505,994.0,26854.3756,19.56,16.77,30.03,22.87,4.385577774588068,25.37027906866924,25.495572746851558,26.73231080546536,30.6963,28.68,Medical Labs_Testing Srv
2021-11-09,LH,27.3241,28.3367,30.2405,28.8486,43.41,1018489.0,558087.0,638108.0,10642.51876885889,5831.63035845861,6667.795495640118,0.024889075586127227,948.0,26465.8338,19.53,16.89,31.13,23.94,4.385577774588068,25.878046122962157,26.000893077161795,27.06304799703832,30.2057,27.77,Medical Labs_Testing Srv
2021-11-10,LH,27.2349,28.0616,29.9188,30.0458,51.98,686292.0,563633.0,638881.0,7171.285372059513,5889.582113896155,6675.87261659287,0.01429662199520813,543.0,27163.4876,21.51,17.28,36.07,26.91,4.385577774588068,25.78384394038555,25.907137588124243,26.774864977437325,30.4713,32.59,Medical Labs_Testing Srv
2021-11-11,LH,26.7213,27.6248,28.8372,27.3027,54.96,456989.0,558991.0,636021.0,4775.224573430653,5841.076173664081,6645.987339778283,0.023506418044477312,890.0,27454.4165,21.81,17.21,35.96,26.89,4.385577774588068,25.240735013508555,25.36666855718346,26.316716646268773,29.5608,32.28,Medical Labs_Testing Srv
