PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-21,LVS,41.5128,41.1578,36.8766,37.563,48.6,13877392.0,10837962.0,8469881.0,18164.36911111364,14186.00427084739,11086.380265917998,0.1676896406315888,168213.0,29619.883,33.66,38.18,16.41,26.76,5.1914728035774305,40.19337015427872,40.70291099958331,40.34078458384269,45.3515,45.61,Casino Hotels
2021-10-22,LVS,41.8891,41.6437,36.1701,38.4156,44.87,6509861.0,10757187.0,8426326.0,8520.87475987295,14080.276552069763,11029.370447673336,0.0465361297582222,43507.0,29031.6106,32.58,38.07,20.98,28.14,5.1914728035774305,40.58190655118194,41.0866291974652,40.83640715942087,45.3963,49.65,Casino Hotels
2021-10-25,LVS,41.6658,41.4906,36.196,38.2768,44.82,7050724.0,10660040.0,8437781.0,9228.819706689354,13953.118463592784,11044.363610535456,0.03971287927082058,37627.0,29023.972,32.39,37.91,20.44,24.02,5.1914728035774305,40.35137333671387,40.85894381454322,40.68026903008386,45.5204,50.15,Casino Hotels
2021-10-26,LVS,41.4113,41.4348,36.7556,38.5851,50.85,6876639.0,10581609.0,8464916.0,9000.957400664474,13850.459772497554,11079.88194759142,0.04124000281322594,39287.0,29818.5191,32.41,38.09,28.0,25.16,5.1914728035774305,40.088529633909786,40.59938629696266,40.62335597953473,45.3514,49.3,Casino Hotels
2021-10-27,LVS,42.7195,42.4887,40.3087,40.4788,56.88,10587555.0,10542839.0,8478678.0,13858.242444398522,13799.712862342634,11097.895154451426,0.15075004334646683,151284.0,30788.7864,33.81,38.21,35.77,26.14,5.1914728035774305,41.43851011762927,41.93292358338493,41.69777005656298,46.671,51.67,Casino Hotels
2021-10-28,LVS,42.8358,42.1063,40.0116,39.9655,53.84,6825136.0,10395461.0,8503841.0,8933.543545436682,13606.8062993014,11130.830781536048,0.05661747794960302,57605.0,30360.954,33.09,38.19,34.44,26.98,5.1914728035774305,41.55839508641862,42.051399044978275,41.30804884874133,46.671,51.67,Casino Hotels
2021-10-29,LVS,42.408,42.0026,38.8748,40.6032,49.09,8833691.0,10408838.0,8537900.0,11562.577471143577,13624.315788222972,11175.411296464496,0.08006289080126346,79489.0,29650.4433,34.04,38.31,35.58,29.21,5.1914728035774305,41.11730663016321,41.61553632959691,41.20233982142277,45.4517,51.75,Casino Hotels
2021-11-01,LVS,43.0666,42.6629,38.79,40.8757,58.66,6788905.0,10347470.0,8563296.0,8886.120398125522,13543.990413180314,11208.652832936488,0.04886870747685206,48720.0,31338.86,36.23,39.1,53.02,40.18,5.1914728035774305,41.79624954560951,42.28648052936068,41.875260433936404,47.7474,53.42,Casino Hotels
2021-11-02,LVS,43.4494,43.1165,39.876,41.2742,57.07,5127821.0,10173226.0,8577669.0,6711.897494285423,13315.919198076399,11227.465831570515,0.0216294376346215,21630.0,31094.3835,34.39,39.12,49.75,40.37,5.1914728035774305,42.19057715745144,42.67627866110165,42.337300011337526,50.7835,52.47,Casino Hotels
2021-11-03,LVS,43.8165,43.3462,40.0531,41.4562,58.52,6084808.0,10084896.0,8593869.0,7964.514857691615,13200.302134475687,11248.670021396794,0.03731042331946266,37470.0,31384.7004,34.14,38.93,44.74,40.51,5.1914728035774305,42.56853430374205,43.04997180312665,42.57120452183612,51.5807,54.79,Casino Hotels
