PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-22,MMC,18.6563,17.8886,17.2499,17.2662,76.3,2168617.0,1891636.0,1891463.0,4295.180838584463,3746.5899699101133,3746.2473246735062,0.040646936065262755,857.0,85615.1111,20.43,14.68,15.42,15.05,1.8242008855453833,18.296084122202267,18.301724773638142,17.5184933701503,21.0225,13.43,Insurance Brokers
2021-10-25,MMC,18.6486,18.1946,17.3845,17.4469,74.7,1476491.0,1853864.0,1893391.0,2924.350377593616,3671.7784858879677,3750.0659914502385,0.08288004580589751,1737.0,85392.9559,20.35,14.67,14.38,15.1,1.8242008855453833,18.28823245906235,18.29387553144494,17.830846002363433,21.3856,13.41,Insurance Brokers
2021-10-26,MMC,18.8884,18.5005,17.0658,17.1611,73.87,1945384.0,1830147.0,1898144.0,3853.043788319095,3624.8044242477717,3759.4798500116995,0.016173904842740606,343.0,85281.8783,19.34,14.65,14.39,15.11,1.8242008855453833,18.532695947344028,18.538264604865258,18.14288015310689,21.4293,13.49,Insurance Brokers
2021-10-27,MMC,19.2037,19.0563,17.9317,18.0943,69.06,2124489.0,1819617.0,1894652.0,4207.780754164496,3603.94871074905,3752.5636618684644,0.0700697526949905,1547.0,84640.659,18.07,14.68,9.06,15.57,1.8242008855453833,18.853945428124636,18.859419229923283,18.709307033933673,23.2233,14.94,Insurance Brokers
2021-10-28,MMC,19.1796,19.1298,17.4938,17.7199,68.34,1651699.0,1817342.0,1892928.0,3271.3689555120536,3599.4428769092833,3749.14914534641,0.006773843930635838,150.0,84544.7277,17.87,14.56,7.52,15.52,1.8242008855453833,18.82939777785529,18.834878713705592,18.78416482146598,23.2233,14.94,Insurance Brokers
2021-10-29,MMC,19.5753,19.2243,18.0037,18.2152,65.8,2925092.0,1828769.0,1902267.0,5793.46164800332,3622.075156801011,3767.645909517489,0.03726763717805151,832.0,84216.5488,16.53,14.42,6.42,11.81,1.8242008855453833,19.2323044538792,19.23767059937351,18.880394871135508,21.9367,14.99,Insurance Brokers
2021-11-01,MMC,20.2005,19.8687,18.9832,19.1142,52.73,2038428.0,1837653.0,1900603.0,4037.327766115735,3639.6711001741924,3764.350403478987,0.023341468826270247,526.0,82191.9134,17.52,14.82,18.34,16.48,1.8242008855453833,19.868300500211433,19.87349491785479,19.536141883442596,23.3924,16.21,Insurance Brokers
2021-11-02,MMC,20.0408,20.1269,19.1949,19.281,55.87,2565940.0,1847535.0,1904449.0,5082.1224072525665,3659.2434046327544,3771.9677530923336,0.18937288772061583,5043.0,82848.2789,16.89,14.86,19.17,16.95,1.8242008855453833,19.70590848341435,19.711145695773244,19.798679340046903,23.7478,13.86,Insurance Brokers
2021-11-03,MMC,20.2731,19.9046,19.2322,19.1778,51.72,1656147.0,1851093.0,1901736.0,3280.178742568451,3666.290437453476,3766.5943911845725,0.011148313035799698,303.0,82106.0821,15.96,14.91,19.48,15.19,1.8242008855453833,19.942109921638224,19.947285118782453,19.572651868359586,23.1819,16.78,Insurance Brokers
2021-11-04,MMC,20.3817,20.3211,19.8557,19.7074,47.94,1629886.0,1855221.0,1902938.0,3228.1660314080223,3674.466443024127,3768.9751378167052,0.016270661157024795,441.0,81379.0316,16.18,14.74,20.46,15.41,1.8242008855453833,20.05250257216544,20.057649286244885,19.996067243585678,24.8306,16.55,Insurance Brokers
2021-11-05,MMC,20.7093,20.4828,19.9383,19.6241,48.7,1458948.0,1845709.0,1906327.0,2889.604702760573,3655.6267984379942,3775.687320041191,0.016215417574705425,439.0,81515.3555,15.64,14.74,20.31,15.06,1.8242008855453833,20.385393570071237,20.390456259976133,20.16037439731713,23.5156,17.16,Insurance Brokers
2021-11-08,MMC,20.6355,20.2809,19.962,19.775,55.36,1722933.0,1857114.0,1907115.0,3412.4555548760027,3678.215569228747,3777.2479693275063,0.021893814997263273,600.0,82802.8402,16.55,14.9,15.42,16.94,1.8242008855453833,20.31041665664941,20.31549803105993,19.955212472183803,22.0391,17.67,Insurance Brokers
2021-11-09,MMC,20.8795,20.726,19.7432,19.6898,57.47,1877933.0,1836892.0,1906777.0,3719.44989718238,3638.163747340899,3776.5785662213334,0.09034046725496163,2672.0,83267.343,16.66,14.92,14.89,17.16,1.8242008855453833,20.558275335414248,20.563295461817397,20.407417181015337,21.5359,16.83,Insurance Brokers
2021-11-10,MMC,20.6988,20.768,20.0893,19.6832,58.01,1466501.0,1840925.0,1906455.0,2904.5642912750664,3646.151634342937,3775.940906908899,0.017491827036500287,519.0,83383.4668,16.66,14.59,13.48,16.75,1.8242008855453833,20.374726647410554,20.379791987162182,20.45007149131758,21.1315,17.13,Insurance Brokers
2021-11-11,MMC,20.4852,20.1996,19.3232,19.3087,57.24,1077991.0,1837061.0,1893836.0,2135.0780427808295,3638.4984701625463,3750.9475127601945,0.009729001851540145,289.0,83267.343,16.64,14.44,11.95,16.76,1.8242008855453833,20.157692912550825,20.162812775999285,19.872580108279852,21.1241,17.19,Insurance Brokers
2021-11-12,MMC,20.7642,20.5333,18.8617,18.9943,61.5,1203395.0,1825170.0,1886786.0,2383.454278309709,3614.947083162662,3736.984252016057,0.012822234156820623,382.0,84166.0561,15.52,14.4,14.13,17.49,1.8242008855453833,20.441163522576247,20.446212403279,20.21168001156757,20.6799,17.34,Insurance Brokers
2021-11-15,MMC,20.9899,20.6984,19.2014,18.7393,62.94,1526213.0,1822057.0,1884822.0,3022.830164379945,3608.781251908895,3733.094133051505,0.004628387442983633,138.0,84494.2427,15.31,14.41,9.13,12.67,1.8242008855453833,20.67039105887215,20.675383962819165,20.379385725776917,21.3879,17.28,Insurance Brokers
2021-11-16,MMC,20.7702,20.2193,17.382,17.6162,65.51,1593038.0,1827821.0,1886009.0,3155.1844753087585,3620.1976618532203,3735.4453045643586,0.014764338444065871,442.0,85105.1618,15.51,14.44,9.69,12.56,1.8242008855453833,20.447258313932988,20.452305690068297,19.892603964539184,21.0746,17.48,Insurance Brokers
2021-11-17,MMC,21.0017,20.7848,18.1494,18.623,62.56,1326341.0,1820360.0,1885800.0,2626.962219053569,3605.4204349231113,3735.0314532169477,0.013491957995480527,406.0,84716.3902,14.37,14.44,10.17,11.94,1.8242008855453833,20.682373350433014,20.68736336244907,20.46713245767467,21.4692,17.32,Insurance Brokers
2021-11-18,MMC,21.2447,21.1723,19.2897,18.9953,61.43,1233767.0,1811261.0,1883820.0,2443.6092708270194,3587.398732084274,3731.1096962144034,0.010050084579919733,303.0,84569.974,14.16,14.43,10.2,11.11,1.8242008855453833,20.9290812652324,20.934012469901706,20.860534204329475,21.95,17.59,Insurance Brokers
2021-11-19,MMC,21.2785,20.9211,15.7822,18.8574,65.63,1393453.0,1803088.0,1883515.0,2759.8845848586507,3571.21106800417,3730.505452175309,0.01894415514455019,422.0,85488.8872,13.64,14.43,10.23,12.34,1.8242008855453833,20.963390154426403,20.968313290534365,20.60553384918721,22.6159,17.58,Insurance Brokers
2021-11-22,MMC,21.0225,20.7724,18.8126,19.0853,65.42,1698495.0,1799943.0,1883606.0,3364.053363773787,3564.982118729276,3730.685754343986,0.015378443434073281,345.0,85463.6409,13.43,14.42,9.86,9.5,1.8242008855453833,20.703494168055347,20.70847909070099,20.454539881405303,21.4552,17.22,Insurance Brokers
2021-11-23,MMC,21.3856,20.9575,19.2639,19.5197,64.45,1731606.0,1808076.0,1890069.0,3429.6333113173187,3581.090432230757,3743.486453089336,0.007659081800774814,172.0,85352.5633,13.41,14.42,8.48,9.1,1.8242008855453833,21.072091777436377,21.07698952317432,20.642490311248785,20.881,17.54,Insurance Brokers
2021-11-24,MMC,21.4293,21.3819,18.2655,18.9266,66.24,1568568.0,1811278.0,1892171.0,3106.718963314517,3587.4324290909876,3747.6497847296346,0.05381444212952702,1214.0,85721.1348,13.49,14.43,8.4,9.33,1.8242008855453833,21.116440585636155,21.121328047497393,21.073235337982634,20.3961,17.53,Insurance Brokers
2021-11-25,MMC,23.2233,24.1719,23.4673,23.7845,53.02,1398491.0,1822064.0,1893519.0,2769.862946175279,3608.7951650456907,3750.3195343973384,0.017131090080616893,391.0,84019.6399,14.94,14.71,16.48,13.7,1.8242008855453833,22.934925929828108,22.939425949443457,23.899296006577266,20.3961,17.53,Insurance Brokers
2021-11-26,MMC,23.2233,24.1719,23.4673,23.7845,53.02,1398491.0,1822064.0,1893519.0,2769.862946175279,3608.7951650456907,3750.3195343973384,0.017131090080616893,391.0,84019.6399,14.94,14.71,16.48,13.7,1.8242008855453833,22.934925929828108,22.939425949443457,23.899296006577266,19.6179,18.7,Insurance Brokers
2021-11-29,MMC,21.9367,21.9242,18.9348,20.0176,54.84,2004505.0,1829561.0,1898081.0,3970.1394515868096,3623.643894719452,3759.355182654742,0.006332430779980784,145.0,84332.6725,14.99,14.7,14.83,12.74,1.8242008855453833,21.631180536593504,21.63595172138263,21.623277865300626,19.7033,17.36,Insurance Brokers
