PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-09-29,MU,35.102,33.2738,32.5215,31.6454,41.98,38169155.0,19934799.0,19538096.0,33905.42713641413,17707.960130989573,17355.571280324766,0.16565505331705677,311568.0,80648.9844,21.23,32.02,28.79,25.13,5.953801492366937,33.02059047258175,31.57269079441915,29.526770335409186,34.4838,20.66,Electronic Compo-Semicon
2021-09-30,MU,34.8617,32.9459,30.9896,30.9833,40.06,16923261.0,19358365.0,19472043.0,15032.828492967265,17195.916375056808,17296.895842159724,0.07799884591862732,149093.0,79905.9915,21.25,31.96,23.58,25.46,5.953801492366937,32.76502888825152,31.30531148048203,29.15676125378126,34.5675,20.62,Electronic Compo-Semicon
2021-10-01,MU,34.268,32.3526,29.052,29.8369,40.12,17813795.0,19274140.0,19296488.0,15823.88559393593,17121.101162413976,17140.95275469138,0.08356139431398996,149552.0,79917.2428,21.25,31.96,23.57,24.86,5.953801492366937,32.132612952543354,30.64278420770541,28.484647211436553,34.256,22.1,Electronic Compo-Semicon
2021-10-04,MU,34.9344,33.4725,30.6078,31.4358,38.75,19525749.0,19286423.0,19302454.0,17344.602703627104,17132.010890291374,17146.25112895991,0.05806428787026114,105034.0,79500.7195,21.29,31.86,23.86,24.9,5.953801492366937,32.84237041563773,31.38625022776693,29.750506823413946,34.5718,22.02,Electronic Compo-Semicon
2021-10-05,MU,34.2355,32.8465,28.4412,30.2788,38.29,14512085.0,19183269.0,19261278.0,12890.996317473762,17040.380485375368,17109.675402799694,0.05632843826770241,102997.0,79365.626,21.28,31.79,21.33,21.13,5.953801492366937,32.09795089110763,30.60643494838953,29.044396400166416,34.583,22.14,Electronic Compo-Semicon
2021-10-06,MU,34.2448,33.1404,29.0424,30.9792,36.15,17899257.0,19101501.0,19221800.0,15899.7999376561,16967.745890733786,17074.606752762866,0.04915180136698713,90840.0,78735.2067,21.44,31.81,9.51,21.44,5.953801492366937,32.10787003521032,30.61683731282511,29.376359749975826,35.4501,22.49,Electronic Compo-Semicon
2021-10-07,MU,33.434,31.8191,27.0793,28.6165,40.06,15236105.0,18971788.0,19199857.0,13534.138673517993,16852.522982519782,17055.115277146957,0.06487219756119238,121897.0,79410.6572,20.65,31.82,9.17,17.89,5.953801492366937,31.241660441755602,29.707183575694277,27.87722232952917,35.6243,22.52,Electronic Compo-Semicon
2021-10-08,MU,34.0458,32.3421,27.3544,29.1577,38.3,13666158.0,18951399.0,19171112.0,12216.938544336035,16941.70936061118,17138.123028475384,0.05923851676421391,109857.0,78437.8996,20.55,31.77,10.1,18.13,5.953801492366937,31.895540265026973,30.394093137318638,28.472720846627922,38.1972,23.72,Electronic Compo-Semicon
2021-10-11,MU,34.1565,32.5444,27.9588,28.9868,34.77,12700216.0,18951983.0,19160147.0,11281.52401712359,16834.93031824167,17019.841123341404,0.043757679816415374,82012.0,77924.6625,20.82,31.83,13.13,19.26,5.953801492366937,32.01367650564298,30.518042077597315,28.702306028610316,38.6601,23.77,Electronic Compo-Semicon
2021-10-12,MU,34.9188,33.793,30.148,30.2983,27.17,36911713.0,19305287.0,19301214.0,32788.44840603274,17148.768109547083,17145.150088612707,0.18366539562937648,362118.0,75110.2785,24.08,32.25,29.2,25.57,5.953801492366937,32.82577622232194,31.368885753880384,30.11065009261673,38.1734,22.48,Electronic Compo-Semicon
2021-10-13,MU,34.1128,32.6971,28.8907,29.0914,26.3,17532422.0,19328304.0,19225615.0,15573.94299369136,17169.21396603029,17077.995956785522,0.09489732466542956,193052.0,74727.5223,23.81,31.83,28.88,21.5,5.953801492366937,31.96704732999213,30.469124106872517,28.87533113939994,36.6556,23.04,Electronic Compo-Semicon
2021-10-14,MU,32.697,30.9646,25.4726,26.4525,35.65,15541629.0,19314962.0,19199409.0,13805.533770519609,17157.362343889625,17054.717322329474,0.08209348827211621,169190.0,76326.0924,24.86,31.89,31.98,23.53,5.953801492366937,30.451646920289175,28.875217903939706,26.897785283550764,38.1066,25.19,Electronic Compo-Semicon
2021-10-15,MU,32.1733,30.4796,24.3743,25.5656,35.25,11786145.0,19201129.0,19166829.0,10536.290757137089,17164.957499614753,17134.29482127762,0.07482560489184868,127752.0,75708.4549,24.58,31.89,31.73,23.54,5.953801492366937,29.88863034747422,28.28083508119942,26.33800326828137,38.0289,25.29,Electronic Compo-Semicon
2021-10-18,MU,32.5586,31.3641,24.9063,25.854,33.82,11849258.0,19014634.0,19160130.0,10592.710687534403,16998.238775065496,17128.30574079394,0.07550061905189366,133731.0,75238.635,24.63,31.89,30.69,23.61,5.953801492366937,30.30299366593929,28.718405839461212,27.356739001752384,37.9811,25.2,Electronic Compo-Semicon
2021-10-19,MU,32.7721,31.81,25.8561,26.4844,35.9,16930284.0,19047758.0,19125865.0,15134.922949728802,17027.850784728736,17097.674978276493,0.08575066587715523,156981.0,75585.4056,22.94,31.7,16.45,23.7,5.953801492366937,30.53227029829189,28.960230289312275,27.866835127082513,38.2311,25.89,Electronic Compo-Semicon
2021-10-20,MU,33.6459,32.6483,26.8148,26.6367,40.42,19457791.0,19105979.0,19143639.0,17394.402876938213,17079.898539578367,17113.564910665686,0.0800992517768477,148300.0,76368.4388,23.19,31.7,17.64,23.93,5.953801492366937,31.468326583534065,29.945466882484897,28.820060598305478,38.5577,26.6,Electronic Compo-Semicon
2021-10-21,MU,33.5054,32.1668,26.7189,26.1135,42.7,11140699.0,18981923.0,19114900.0,9959.290796071373,16968.997279760948,17087.872819993132,0.055680688653277605,104865.0,76782.3327,21.58,31.55,10.0,23.7,5.953801492366937,31.31805901262013,29.78751800939447,28.273440226474033,40.769,37.17,Electronic Compo-Semicon
2021-10-22,MU,33.962,33.1358,28.1524,27.8384,37.95,17892148.0,19068120.0,18988475.0,15994.78612511873,17046.052894716664,16974.85379995537,0.07056369500968096,129597.0,75518.2909,22.33,30.67,15.41,24.94,5.953801492366937,31.80607544413421,30.300195444914216,29.37117024634872,41.5084,36.88,Electronic Compo-Semicon
2021-10-25,MU,33.9214,33.2784,28.2031,28.1261,45.32,23341333.0,19246201.0,19029511.0,20866.115644006626,17205.249407726456,17011.538166003465,0.09789040984097393,184724.0,76916.5706,23.22,30.7,19.68,25.78,5.953801492366937,31.762719800387952,30.25468191801064,29.531953991566485,42.4067,36.88,Electronic Compo-Semicon
2021-10-26,MU,34.2993,33.7444,28.0998,28.2854,46.29,14267900.0,19095069.0,19025685.0,12754.869233822934,17070.14403702199,17008.1178210463,0.048261211818603135,91534.0,77117.9232,22.64,30.56,19.5,18.04,5.953801492366937,32.165990916618085,30.677783174310363,30.056096409214554,42.2517,37.01,Electronic Compo-Semicon
2021-10-27,MU,34.3535,33.8876,29.2967,28.8033,43.09,13541853.0,19082982.0,18993604.0,12105.8162475827,17059.339925483477,16979.439955769107,0.04988713565465231,95673.0,76334.8815,20.75,30.48,19.47,18.58,5.953801492366937,32.22377931602618,30.73836954443094,30.21678066505431,43.1571,38.56,Electronic Compo-Semicon
2021-10-28,MU,34.4838,34.1525,29.7365,29.2975,50.25,16966036.0,19116616.0,18972108.0,15166.883184695736,17089.406256045047,16960.22251770723,0.05735249503140072,111159.0,77833.8417,20.66,30.1,23.56,18.1,5.953801492366937,32.362655230959604,30.883925631952945,30.51356511864846,43.1571,38.56,Electronic Compo-Semicon
2021-10-29,MU,34.5675,34.153,28.4226,29.0111,47.96,11440853.0,19104100.0,18935112.0,10227.615293998355,17078.218323238132,16927.150544174616,0.04334397800208826,80990.0,77296.8986,20.62,29.94,20.98,18.41,5.953801492366937,32.45182656504803,30.977353925892384,30.51412474576323,41.3846,39.56,Electronic Compo-Semicon
2021-11-01,MU,34.256,33.7383,27.2769,28.6679,55.3,11988416.0,19057909.0,18914798.0,10717.11255947301,17036.92597097012,16908.991079863677,0.06483373904359846,123874.0,79086.6949,22.1,29.94,23.13,21.47,5.953801492366937,32.11981517938665,30.629363950301023,30.049247692579595,43.2916,40.44,Electronic Compo-Semicon
2021-11-02,MU,34.5718,34.2162,27.7214,29.2149,55.55,9761144.0,18807592.0,18863915.0,8726.029470459618,16813.152439957914,16863.50270196252,0.04839163423498428,93232.0,79153.8181,22.02,29.89,23.06,21.35,5.953801492366937,32.45640686209669,30.982152204777513,30.5848449798262,44.5307,39.94,Electronic Compo-Semicon
2021-11-03,MU,34.583,34.0484,27.4974,29.2571,57.61,10266900.0,18511982.0,18804597.0,9178.153167518894,16548.89072946583,16810.47555926972,0.06583885413209765,128558.0,79701.9413,22.14,29.89,22.43,21.0,5.953801492366937,32.46833657824122,30.9946493608171,30.39700548672517,44.3065,41.02,Electronic Compo-Semicon
2021-11-04,MU,35.4501,35.1944,29.4748,30.8754,61.47,15936561.0,18526622.0,18824799.0,14246.57902248086,16561.97873196309,16828.53575095773,0.07352275809841001,144462.0,80809.3764,22.49,29.93,20.21,21.95,5.953801492366937,33.39039654104091,31.959255154180298,31.67538778547155,45.6913,41.29,Electronic Compo-Semicon
2021-11-05,MU,35.6243,35.5825,29.2931,31.1077,63.87,13019283.0,18503866.0,18820418.0,11638.661767055703,16541.635799523057,16824.619252581495,0.07778937380415978,149371.0,81570.0409,22.52,29.95,20.7,20.84,5.953801492366937,33.575284684540755,32.15237394796844,32.10605404359122,43.5372,41.16,Electronic Compo-Semicon
2021-11-08,MU,38.1972,38.2186,31.9678,34.787,68.86,18742302.0,18588483.0,18867549.0,16754.787129252152,16617.27976215101,16866.75239496911,0.1799536025857887,357988.0,83404.5832,23.72,30.05,20.34,21.78,5.953801492366937,36.29373332957023,34.98157354722626,35.00493945088322,42.5044,43.33,Electronic Compo-Semicon
