PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-20,NFLX,30.3023,29.0588,24.7773,24.2703,57.95,10621997.0,3516241.0,3813115.0,23999.311876563806,7944.585598372942,8615.34192734225,0.5658047566005837,427702.0,276684.3999,27.24,20.38,14.42,13.1,5.625653373874596,28.136053059341027,24.152419864063308,22.572635146123282,33.9385,31.28,Internet Content-Entmnt
2021-10-21,NFLX,30.646,29.9979,25.806,25.2644,67.62,8437070.0,3579540.0,3699691.0,19047.361007065363,8081.09813231735,8352.348634252254,0.5080164742222549,386820.0,289318.6431,29.4,21.27,33.87,25.39,5.625653373874596,28.5058838219069,24.582256121031687,23.769392175863484,33.9562,27.4,Internet Content-Entmnt
2021-10-22,NFLX,30.7932,30.7529,24.7819,25.4263,70.52,6186016.0,3616525.0,3677241.0,13965.425188694891,8164.594034439095,8301.665253743538,0.45747864530828813,289530.0,294465.7725,29.99,21.41,35.82,26.27,5.625653373874596,28.66407617049699,24.76552374249331,24.715397193045472,33.9519,28.57,Internet Content-Entmnt
2021-10-25,NFLX,30.8828,30.5618,24.9346,25.5116,72.08,3833526.0,3642844.0,3650869.0,8654.491851592898,8224.011970865486,8242.129050835474,0.2394466117255748,154921.0,297513.2587,30.2,21.44,36.03,26.77,5.625653373874596,28.760310017592882,24.8768433656684,24.477206115894848,34.1775,28.48,Internet Content-Entmnt
2021-10-26,NFLX,30.5511,29.7201,23.8451,24.6544,70.27,2904840.0,3644452.0,3638940.0,6557.908402591836,8227.641589086705,8215.197808666755,0.1759569432090576,116714.0,296122.4094,30.24,21.41,34.52,26.49,5.625653373874596,28.403834383372494,24.46384498009256,23.41782107733339,34.3654,28.52,Internet Content-Entmnt
2021-10-27,NFLX,30.3544,29.845,23.9076,24.8905,67.01,2276914.0,3643812.0,3627910.0,5140.315567588748,8226.197190129576,8190.297152554245,0.0918391189492875,61709.0,293641.8609,29.93,21.4,35.01,26.77,5.625653373874596,28.192156636696907,24.21775380500842,23.576132528470396,35.765,28.63,Internet Content-Entmnt
2021-10-28,NFLX,30.6625,30.3629,24.777,25.3541,70.01,2859409.0,3660626.0,3624935.0,6455.344595013005,8264.156076820096,8183.580788730632,0.17114274302965518,116553.0,298571.921,29.15,21.53,19.91,27.78,5.625653373874596,28.523621837313254,24.602823135770418,24.228406807093197,35.765,28.63,Internet Content-Entmnt
2021-10-29,NFLX,31.4724,31.4254,25.3217,26.3396,73.71,3825279.0,3680521.0,3614643.0,8635.873272166917,8309.070510033138,8160.345656388786,0.29368129700625223,182394.0,305774.328,29.6,21.78,22.94,30.08,5.625653373874596,29.392517044786306,25.60511592943879,25.54732403129533,33.7782,28.06,Internet Content-Entmnt
2021-11-01,NFLX,31.4439,31.2732,24.0581,25.6151,68.7,3110911.0,3696827.0,3604697.0,7023.130532738138,8345.882790587944,8137.891942896974,0.12460535584010465,79251.0,301725.7384,29.92,21.83,23.71,30.5,5.625653373874596,29.361998291636308,25.57007718427928,25.359870627430258,35.4509,29.23,Internet Content-Entmnt
2021-11-02,NFLX,32.0251,31.7468,25.6897,26.407,66.83,3888597.0,3717833.0,3603384.0,8778.819071892893,8393.305669503106,8134.927888529898,0.2083619874331847,137252.0,300197.5479,29.45,21.81,23.75,29.63,5.625653373874596,29.9835809482132,26.281495962178408,25.94165203374681,36.3635,31.77,Internet Content-Entmnt
2021-11-03,NFLX,31.8436,31.5009,24.8283,25.6756,69.58,2334852.0,3722366.0,3587602.0,5271.115271524181,8403.539183126972,8099.298666618138,0.1402393855510936,93522.0,304879.5559,24.2,21.85,25.48,30.62,5.625653373874596,29.78964513766576,26.060024193388617,25.640138470959943,35.7118,31.73,Internet Content-Entmnt
2021-11-04,NFLX,33.039,32.9139,28.318,28.876,59.71,4865023.0,3758145.0,3601018.0,10983.178067370387,8484.312558850736,8129.585804179338,0.24610623319664926,170812.0,296069.2573,26.15,22.15,30.71,25.88,5.625653373874596,31.064185446717474,27.507917423898164,27.35753668022762,37.5658,32.32,Internet Content-Entmnt
2021-11-05,NFLX,32.9795,32.9036,30.094,29.3592,50.63,5283488.0,3810462.0,3612615.0,11927.897213029673,8602.423071682093,8155.767627417568,0.3058638324119551,199344.0,286023.0777,28.48,22.66,35.46,29.86,5.625653373874596,31.000895418004518,27.436425063225713,27.345143864313453,36.6223,31.27,Internet Content-Entmnt
