PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-05,NYT,29.7653,27.6117,25.0792,26.014,72.36,1496757.0,1531289.0,1639264.0,8915.97468190218,9121.677035534363,9764.869194500974,0.0378736025553274,664.0,7874.9518,29.6,26.51,11.34,17.75,5.02389643020472,28.018118115325038,27.48739136567892,25.13940287457122,29.0117,19.71,Publishing-Newspapers
2021-08-06,NYT,29.4421,27.4566,24.3996,25.1716,75.07,1345743.0,1510386.0,1626172.0,8016.405400043806,8997.161037843454,9686.88226667353,0.03737424829989321,665.0,8021.0016,30.06,26.52,15.84,19.99,5.02389643020472,27.674520972264453,27.13707523684157,24.968950389633925,29.0379,18.92,Publishing-Newspapers
2021-08-09,NYT,29.5965,27.4547,23.81,25.201,72.15,954635.0,1472479.0,1619639.0,5686.62897687404,8771.354234066956,9647.966049301871,0.00816007154035323,146.0,7963.9246,29.48,26.51,16.58,14.81,5.02389643020472,27.838726100242177,27.30451267190096,24.96686107803702,29.0379,18.92,Publishing-Newspapers
2021-08-10,NYT,29.3613,27.4078,24.3717,25.208,72.69,1209094.0,1459742.0,1614142.0,7202.406201854303,8695.481768917225,9615.221274337238,0.01069252077562327,193.0,7990.7843,29.49,26.4,15.92,14.69,5.02389643020472,27.58854465759847,27.049390708295075,24.915278462020048,29.2714,18.93,Publishing-Newspapers
2021-08-11,NYT,29.4816,27.4209,24.2065,25.2086,69.07,800715.0,1441276.0,1611065.0,4769.748552157619,8585.481868404519,9596.891467228434,0.01066637343303277,194.0,7923.6353,29.6,26.42,16.51,14.87,5.02389643020472,27.716540137511846,27.179925286137195,24.929688261388264,29.3047,19.18,Publishing-Newspapers
2021-08-12,NYT,29.67,27.6077,24.4011,25.6209,73.33,913401.0,1429641.0,1608244.0,5441.003463032281,8516.173763651379,9580.087139603402,0.014737303456965977,269.0,8121.7262,30.78,26.55,23.34,18.35,5.02389643020472,27.916854382868877,27.384165132426443,25.13500943485003,29.4068,18.99,Publishing-Newspapers
2021-08-13,NYT,29.5075,27.3089,23.6538,24.4182,69.34,653207.0,1417903.0,1604477.0,3891.063875388865,8446.252324462992,9557.64787210226,0.009323373861839594,171.0,8042.8254,30.97,26.54,20.56,18.35,5.02389643020472,27.744087926697198,27.208016396826874,24.806443098719335,29.3596,17.73,Publishing-Newspapers
2021-08-16,NYT,29.3707,27.5587,24.2268,25.3064,70.84,1368663.0,1411228.0,1601804.0,8152.936432098137,8406.490257424208,9541.725164398047,0.019427402862985686,361.0,8111.6536,31.1,26.56,20.82,18.82,5.02389643020472,27.59854846045902,27.059593834534912,25.081179112832796,29.4873,17.55,Publishing-Newspapers
2021-08-17,NYT,29.7554,27.9702,24.4843,26.0033,71.88,1189996.0,1414236.0,1597056.0,7088.6416640802745,8424.408344601352,9513.441811123219,0.025903679073259682,483.0,8160.3371,31.17,26.52,21.12,18.7,5.02389643020472,28.00760053618134,27.47667063455833,25.5326396606383,29.2601,17.31,Publishing-Newspapers
2021-08-18,NYT,30.221,28.4849,25.214,25.8989,72.07,864326.0,1405223.0,1595087.0,5172.755128911019,8409.875996457042,9546.160199171713,0.03013828776522749,571.0,8130.6967,30.99,26.52,20.26,18.48,5.02389643020472,28.501766605498425,27.98021517072376,26.095461827873443,28.9783,18.18,Publishing-Newspapers
2021-08-19,NYT,30.1551,28.6173,27.3867,27.6339,70.67,690900.0,1388180.0,1588417.0,4115.595825403742,8269.196429163363,9461.98056766585,0.004912317768856962,93.0,8145.2284,30.97,26.45,10.36,18.06,5.02389643020472,28.43188201024169,27.90902463379901,26.239921099157293,28.9038,18.17,Publishing-Newspapers
2021-08-20,NYT,29.9087,27.78,21.5593,25.7324,75.41,1331541.0,1389395.0,1591849.0,7931.805618548814,8276.4338968035,9482.424380534516,0.032355445467915474,418.0,8361.7855,32.27,26.71,20.16,20.36,5.02389643020472,28.170413456751128,27.64261086963386,25.324138682292833,29.58,18.15,Publishing-Newspapers
2021-08-23,NYT,29.8751,27.9611,25.1059,25.3362,77.01,917016.0,1367872.0,1588798.0,5462.537591892345,8148.224481248926,9464.25013404714,0.028630012150668287,377.0,8450.7584,31.03,26.55,20.65,20.73,5.02389643020472,28.134737579090817,27.606252915055315,25.522670573629238,29.3996,17.54,Publishing-Newspapers
2021-08-24,NYT,29.4853,27.5836,24.7284,24.9193,77.91,1134143.0,1353947.0,1582391.0,6755.932987199486,8065.2750140147955,9426.084325828033,0.03713902947305746,499.0,8502.7994,31.05,26.49,20.67,20.89,5.02389643020472,27.720475730483145,27.183938568389973,25.10853617716493,28.8144,17.34,Publishing-Newspapers
2021-08-25,NYT,29.2347,27.5463,24.0226,24.3873,77.28,511289.0,1333282.0,1576330.0,3045.67792172474,7942.176637543551,9389.979988523828,0.01328511329249391,180.0,8492.7268,30.96,26.39,20.67,20.47,5.02389643020472,27.453771010997833,26.911917138881055,25.0675536040117,29.1235,18.47,Publishing-Newspapers
2021-08-26,NYT,29.5203,27.6359,24.6215,24.9914,75.86,994092.0,1328060.0,1575226.0,5921.668837430909,7911.070118498583,9383.403866152168,0.008456504154717258,115.0,8470.903,30.68,26.38,20.65,16.34,5.02389643020472,27.75770110661733,27.221897657768093,25.165980386426437,29.5047,18.51,Publishing-Newspapers
2021-08-27,NYT,29.2342,27.5634,23.7832,24.4145,76.85,1996173.0,1341210.0,1574282.0,11890.926367237984,7989.402397990182,9377.780053766955,0.04652374571981539,625.0,8517.9081,30.55,26.38,9.74,15.83,5.02389643020472,27.453238575335792,26.911373982760523,25.08634328793258,29.4099,18.53,Publishing-Newspapers
2021-08-30,NYT,29.2262,27.0431,24.5753,24.2862,74.29,794836.0,1332741.0,1573067.0,4734.728189352081,7938.953924841455,9370.542688855954,0.010859126837556327,147.0,8480.9757,30.58,26.3,6.93,15.4,5.02389643020472,27.44471943879742,26.902683257251496,24.51352397371704,29.8834,20.44,Publishing-Newspapers
2021-08-31,NYT,28.3065,27.2577,23.384,23.9026,75.34,2514291.0,1350707.0,1579439.0,14977.284563627305,8045.975227642046,9408.50019106418,0.04961530164665277,690.0,8524.6225,30.53,24.24,6.5,15.32,5.02389643020472,26.463178208301155,25.90060891658727,24.75006685425314,29.721,20.56,Publishing-Newspapers
2021-09-01,NYT,29.0625,27.1637,23.8408,23.833,77.84,1135634.0,1342412.0,1576139.0,6764.814749935343,7996.562711305054,9388.84214029198,0.06691449814126393,972.0,8637.0982,30.8,24.09,11.32,16.67,5.02389643020472,27.270327553667283,26.724754559209707,24.646504776336947,29.6094,20.86,Publishing-Newspapers
2021-09-02,NYT,28.65,27.0336,25.0028,24.8503,81.42,1914931.0,1351797.0,1583738.0,11406.979062519405,8052.467726396692,9434.108177535565,0.03782872555630479,561.0,8838.5467,18.94,23.93,19.82,20.24,5.02389643020472,26.830288083326742,26.275579917482315,24.503043259154563,29.6573,20.5,Publishing-Newspapers
2021-09-03,NYT,29.0117,27.0021,23.6832,24.0861,71.93,874386.0,1344310.0,1575482.0,5208.596516265543,8007.868816267567,9384.928460244184,0.01717083640753907,256.0,8682.4241,19.71,23.61,23.18,17.78,5.02389643020472,27.21618260381689,26.669501999287505,24.468285685965004,30.3912,19.05,Publishing-Newspapers
2021-09-06,NYT,29.0379,27.4135,22.77,23.6821,67.57,1004346.0,1342393.0,1577158.0,5982.750404128038,7996.449692883379,9394.912372702005,0.003085384666979677,46.0,8603.5233,18.92,23.63,23.87,17.58,5.02389643020472,27.244109364123194,26.698000606974297,24.92154855240741,29.8858,18.7,Publishing-Newspapers
2021-09-07,NYT,29.0379,27.4135,22.77,23.6821,67.57,1004346.0,1342393.0,1577158.0,5982.750404128038,7996.449692883379,9394.912372702005,0.003085384666979677,46.0,8603.5233,18.92,23.63,23.87,17.58,5.02389643020472,27.244109364123194,26.698000606974297,24.92154855240741,30.3174,21.66,Publishing-Newspapers
2021-09-08,NYT,29.2714,27.6282,26.1745,24.916,64.15,2283449.0,1356364.0,1584854.0,13602.19050337322,8079.673126011273,9440.756517020114,0.015068675823443126,226.0,8539.7312,18.93,23.37,24.18,17.7,5.02389643020472,27.492848462723995,26.951780237305293,25.157524425904867,30.228,22.01,Publishing-Newspapers
2021-09-09,NYT,29.3047,27.8677,23.5066,24.2724,59.99,1198158.0,1362331.0,1582633.0,7137.261788619731,8115.217683938268,9427.526283101737,0.005773059057730591,87.0,8459.1519,19.18,23.2,23.31,18.32,5.02389643020472,27.528299996990462,26.98794253161956,25.420312808657567,29.9795,22.35,Publishing-Newspapers
2021-09-10,NYT,29.4068,27.9705,24.7805,24.9171,60.91,2008091.0,1378610.0,1587930.0,11961.920822004053,8212.189419913244,9459.079758280324,0.009011993903651183,136.0,8486.0117,18.99,23.2,16.74,18.35,5.02389643020472,27.63696338012382,27.098772781068888,25.532968300806704,29.9386,22.4,Publishing-Newspapers
2021-09-13,NYT,29.3596,27.9114,23.7645,24.8793,54.6,1522159.0,1359832.0,1592606.0,9067.291081367097,8100.331546019556,9486.934137584658,0.006014540647719762,91.0,8360.1064,17.73,23.16,15.26,19.62,5.02389643020472,27.586735413859778,27.04754539990644,25.46821253955605,29.2882,22.02,Publishing-Newspapers
2021-09-14,NYT,29.4873,27.8618,25.1427,24.3505,52.01,863444.0,1338763.0,1580073.0,5143.416494389899,7974.826041154845,9412.276338176107,0.015898872743858733,244.0,8304.7085,17.55,23.1,14.6,19.79,5.02389643020472,27.722603051017867,27.186107873139914,25.413844637126434,29.237,22.42,Publishing-Newspapers
2021-09-15,NYT,29.2601,28.2005,22.9203,24.046,52.53,2357888.0,1355121.0,1590703.0,14045.612813414014,8072.268437400934,9475.59783973459,0.01704250907205806,263.0,8316.4596,17.31,23.04,13.65,19.63,5.02389643020472,27.480817139312016,26.939507271106503,25.78472028644096,28.5278,24.02,Publishing-Newspapers
2021-09-16,NYT,28.9783,28.8374,24.9589,24.2694,46.1,1290827.0,1358810.0,1589598.0,7689.278016977105,8094.24335116066,9469.01556694334,0.008747489146633836,135.0,8175.4457,18.18,23.05,16.98,20.39,5.02389643020472,27.1805763280381,26.63316486807379,26.479789250671914,28.4146,24.56,Publishing-Newspapers
2021-09-17,NYT,28.9038,29.2043,20.7226,24.6352,45.88,6602926.0,1417079.0,1624763.0,39332.719388555466,8441.344134163368,9678.489074678035,0.017072814825623814,234.0,8170.4091,18.17,22.97,16.84,16.79,5.02389643020472,27.101134903806244,26.55208568907535,26.878890201978205,28.5304,25.16,Publishing-Newspapers
2021-09-20,NYT,29.58,29.4734,25.5714,25.878,46.16,2456842.0,1443718.0,1625284.0,14635.068201847393,8600.028570919381,9681.592136316189,0.012027242428633532,166.0,8175.4457,18.15,22.52,13.08,14.21,5.02389643020472,27.82118363108056,27.28662676110772,27.1710306679743,28.4396,25.23,Publishing-Newspapers
2021-09-21,NYT,29.3996,29.8558,25.3904,26.2609,55.26,1818382.0,1448670.0,1627012.0,10831.85013774869,8629.526875569818,9691.885509380741,0.015092712376024149,210.0,8361.7855,17.54,22.43,20.12,17.58,5.02389643020472,27.629302177114518,27.090959380575654,27.58536557017144,28.3827,24.02,Publishing-Newspapers
