PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-06,OTEX,21.0861,18.1833,16.47,17.8959,65.29,640137.0,442003.0,497293.0,2355.5720309420713,1626.479807279517,1829.9355950105607,0.0259634225996081,159.0,14299.7151,14.23,17.76,8.59,10.37,3.573957477705339,19.837613893818386,14.593670313187149,9.949070252541189,20.5178,10.64,Enterprise Software/Serv
2021-08-09,OTEX,21.8268,20.6829,21.2,20.0939,61.99,554291.0,435660.0,493273.0,2039.6764075635247,1603.13882729311,1815.1427690294133,0.019190112213368027,118.0,14229.0594,13.94,17.75,9.28,9.83,3.573957477705339,20.623203195192943,15.644832956602635,14.004783197536476,20.5178,10.64,Enterprise Software/Serv
2021-08-10,OTEX,22.5571,19.2588,21.41,18.2459,63.08,415024.0,428716.0,491520.0,1527.2026318892674,1577.58636496453,1808.6921181093446,0.00519311911716975,32.0,14267.1048,13.51,17.69,9.47,9.24,3.573957477705339,21.394627180678246,16.648554303902785,11.80054987871328,21.2287,10.51,Enterprise Software/Serv
2021-08-11,OTEX,21.539,20.7977,17.0403,17.0403,63.95,260999.0,423746.0,486864.0,960.42241804888,1559.2977672655477,1791.5589720303522,0.0032404406999351912,20.0,14296.998,13.26,17.62,9.58,7.12,3.573957477705339,20.318361961295412,15.240738860042187,14.173775971490446,21.9025,11.34,Enterprise Software/Serv
2021-08-12,OTEX,21.4793,19.7267,17.62,16.82,68.01,284968.0,417578.0,480153.0,1048.623403153216,1536.600823397412,1766.8639036461152,0.0027552674230145865,17.0,14446.4627,13.72,17.68,11.55,8.64,3.573957477705339,20.255064558776805,15.156250475958752,12.54967301924636,23.4747,11.77,Enterprise Software/Serv
2021-08-13,OTEX,21.6606,20.1761,16.7883,16.7883,70.57,305344.0,416920.0,477014.0,1123.6028414903083,1534.1794719206514,1755.3129775946406,0.023698959167333868,148.0,14555.1649,13.88,17.7,10.05,9.35,3.573957477705339,20.447222406728407,15.412111872160802,13.244871128478376,22.0491,12.24,Enterprise Software/Serv
2021-08-16,OTEX,22.2219,22.8685,18.4251,18.0659,68.37,210881.0,411929.0,473496.0,775.998539464387,1515.8136691452785,1742.3675174256068,0.011744167592445643,74.0,14514.4013,13.74,17.59,9.62,9.45,3.573957477705339,21.040916125497397,16.1914928159821,17.068095741763344,21.4129,12.02,Enterprise Software/Serv
2021-08-17,OTEX,22.8208,23.26,18.0729,18.2511,62.23,552726.0,413189.0,474114.0,2033.9175127580702,1520.4501745512139,1744.6415903065526,0.018405864919669317,118.0,14394.8297,12.67,17.61,11.11,10.32,3.573957477705339,21.672476195170137,17.00413222249227,17.589178491333815,21.9753,12.05,Enterprise Software/Serv
2021-08-18,OTEX,21.356,20.7748,17.3039,17.45,61.01,498176.0,414326.0,471812.0,1833.1873679872235,1524.6362519042957,1736.1731566048704,0.08190327613104524,525.0,14370.3515,10.01,17.48,11.08,10.36,3.573957477705339,20.124265149073555,14.98099916560975,14.140152581920747,21.1923,11.92,Enterprise Software/Serv
2021-08-19,OTEX,23.0164,21.5106,15.7675,18.6629,56.75,334696.0,413661.0,471284.0,1231.6121391316171,1522.1870266908593,1734.2277630402068,0.14166103983794734,1049.0,14283.4105,9.98,17.48,9.32,10.5,3.573957477705339,21.87834501853868,17.265754225054867,15.20057605355797,20.9398,14.7,Enterprise Software/Serv
2021-08-20,OTEX,21.8715,22.242,15.2996,17.8793,62.97,289478.0,412146.0,470289.0,1065.2192632623746,1516.6121725192747,1730.5664060840509,0.05753526354862658,310.0,14476.3558,10.94,17.58,12.22,11.19,3.573957477705339,20.670506138946294,15.707135711198273,16.219067914032546,21.6431,15.52,Enterprise Software/Serv
2021-08-23,OTEX,21.3387,20.8601,17.69,17.6079,65.97,305140.0,412708.0,469187.0,1122.8521887480977,1518.6802160118305,1726.511273127593,0.03802765647743814,209.0,14587.7751,10.89,17.6,13.22,11.56,3.573957477705339,20.105905338487407,14.956327012003984,14.265180405799288,21.6721,14.82,Enterprise Software/Serv
2021-08-24,OTEX,21.3094,20.4942,21.7833,21.0304,67.93,201593.0,408221.0,466660.0,741.820599521875,1502.1689590284352,1717.212408034397,0.05128205128205128,294.0,14666.5841,10.76,17.33,12.45,11.8,3.573957477705339,20.074806104922068,14.914493902241537,13.724570435536405,21.394,16.04,Enterprise Software/Serv
2021-08-25,OTEX,21.2394,19.6957,15.34,15.7598,70.68,292544.0,400979.0,462701.0,1076.501516888531,1475.5199277388915,1702.6441436701493,0.027568493150684933,161.0,14786.1557,10.33,17.3,13.67,12.44,3.573957477705339,20.000485597860276,14.81430769087776,12.500887908064769,21.4511,16.07,Enterprise Software/Serv
