PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,PAGS,46.6283,49.039,47.6545,47.6545,44.35,1459166.0,2317360.0,2213507.0,4437.208488244352,7046.90861925095,6731.099853744051,40.06,48.96,18.57,51.83,45.679193960598745,48.13744821861666,48.926,47.46,Finance-Credit Card
2021-07-20,PAGS,45.5058,46.676,45.5931,45.5931,58.58,2730227.0,2329573.0,2217155.0,8302.40454104561,7084.047390161053,6742.193136395609,48.1,50.29,60.82,65.36,44.53277707082728,45.72788400964996,48.2782,38.43,Finance-Credit Card
2021-07-21,PAGS,45.222,45.9806,44.8419,44.8419,62.57,2037074.0,2294302.0,2215776.0,6194.581077737422,6976.791101263441,6737.999739874307,49.17,50.44,64.83,67.09,44.24273594614149,45.017840645237534,49.0578,37.07,Finance-Credit Card
2021-07-22,PAGS,45.0854,45.402,44.044,44.1057,63.63,1033798.0,2285803.0,2208243.0,3143.698100902084,6950.946461626243,6715.092624894149,49.08,50.06,63.98,52.9,44.1031029878851,44.42670372647514,48.0508,37.22,Finance-Credit Card
2021-07-23,PAGS,45.0471,46.0196,43.612,43.8483,64.68,1093243.0,2259570.0,2206685.0,3324.465621896521,6871.17391583456,6710.354807535676,49.17,49.44,63.49,49.62,44.06394919216842,45.05767397636056,48.4923,37.23,Finance-Credit Card
2021-07-26,PAGS,45.5021,45.7198,43.2932,43.8202,58.11,1322347.0,2252603.0,2209628.0,4021.1527746231745,6849.987789569975,6719.304209171311,49.96,49.61,67.37,49.42,44.528996220552735,44.75143027926593,49.1081,35.69,Finance-Credit Card
2021-07-27,PAGS,46.395,46.6451,45.0318,45.4948,49.89,2614515.0,2262313.0,2218253.0,7950.533406185061,6879.514969983627,6745.531993455853,52.95,50.06,49.67,55.52,45.4410213903693,45.69634289535652,47.9371,31.72,Finance-Credit Card
2021-07-28,PAGS,46.8761,46.9124,45.0739,45.6797,53.78,1461851.0,2249198.0,2217101.0,4445.3734152215275,6839.633447437139,6742.029005870682,53.48,49.9,48.01,57.04,45.93211459545489,45.969160028871535,48.4086,31.54,Finance-Credit Card
2021-07-29,PAGS,46.6369,46.7212,45.1817,45.7396,57.76,1029971.0,2239666.0,2198760.0,3132.0605145869827,6810.647527418703,6686.255610161134,54.25,49.66,52.19,58.38,45.68797261435442,45.77402024554977,46.6707,34.97,Finance-Credit Card
2021-07-30,PAGS,47.0056,46.9735,45.4002,46.1146,54.29,936714.0,2231668.0,2166011.0,2848.4733884845846,6786.326359948303,6586.668601798289,54.69,48.01,53.99,58.93,46.06426848827625,46.031512056959414,46.9813,34.36,Finance-Credit Card
2021-08-02,PAGS,46.9774,47.0542,45.4112,46.112,58.31,1216243.0,2224650.0,2148415.0,3698.499013782333,6764.985147713793,6533.160526880871,55.32,47.56,53.29,60.74,46.035491859651074,46.11386058052395,47.015,32.99,Finance-Credit Card
2021-08-03,PAGS,47.3056,47.4699,45.4019,46.4619,54.51,794492.0,2207735.0,2120602.0,2415.987418491435,6713.547755500608,6448.583184761804,55.7,47.63,42.72,46.33,46.370358973809985,46.53796091375298,46.8086,32.49,Finance-Credit Card
2021-08-04,PAGS,47.2456,47.8656,45.6761,46.9628,52.69,705963.0,2207169.0,2081779.0,2146.777692112137,6711.82650071102,6330.525420039738,55.43,46.88,39.07,43.77,46.30914725364742,46.94151748037125,46.8357,33.18,Finance-Credit Card
2021-08-05,PAGS,47.1061,47.2391,45.7543,47.0348,54.65,707632.0,2165101.0,2073530.0,2151.853057609467,6583.901246528301,6305.441063356318,55.48,46.55,34.03,44.06,46.16681770720179,46.302515793528976,47.1209,33.07,Finance-Credit Card
2021-08-06,PAGS,46.8561,46.4026,45.7976,46.7662,56.49,918104.0,2158654.0,2056916.0,2791.881818492048,6564.296479500289,6254.919249415523,47.72,46.52,31.8,44.31,45.91170337953058,45.44878091610379,46.8929,32.89,Finance-Credit Card
2021-08-09,PAGS,46.857,46.9946,52.7525,48.8788,58.59,1406702.0,2103954.0,2057006.0,4277.669725453636,6397.958010685333,6255.192849143942,46.2,46.29,25.28,41.7,45.912621892024426,46.05304364708157,46.8929,32.89,Finance-Credit Card
2021-08-10,PAGS,46.9664,47.3454,53.2507,48.5966,59.15,1901439.0,2074610.0,2064006.0,5782.12593833657,6308.725282763439,6276.4793556260865,44.64,46.23,19.18,33.11,46.024266740057904,46.4109610023322,47.5961,35.22,Finance-Credit Card
2021-08-11,PAGS,46.9764,47.395,54.0003,48.4915,59.96,1468264.0,2069996.0,2063435.0,4464.874966632667,6294.694497331375,6274.743014044938,44.65,46.17,17.79,30.35,46.03447139872467,46.4615585726523,47.6964,35.42,Finance-Credit Card
2021-08-12,PAGS,47.1956,47.5448,57.8565,49.7859,56.13,1994256.0,2044682.0,2056640.0,6064.375016715345,6217.716500753947,6254.07983447333,45.02,45.93,19.58,27.76,46.258135061413796,46.614358378508236,47.6803,35.45,Finance-Credit Card
2021-08-13,PAGS,47.5074,46.6917,43.9632,43.4006,60.75,3471498.0,2054881.0,2072801.0,10556.551387065581,6248.730914090893,6303.224219533159,45.79,45.93,19.58,27.76,46.57621125381497,45.74390941852259,47.2076,34.91,Finance-Credit Card
2021-08-16,PAGS,47.6254,46.6182,43.3638,43.1344,53.14,1357571.0,2045987.0,2077937.0,4128.2662476957985,6221.684961835796,6318.842389781649,47.49,46.01,32.64,32.23,46.69656438283228,45.66888405949942,47.1614,34.43,Finance-Credit Card
2021-08-17,PAGS,48.926,47.025,45.2082,44.9846,51.51,1875255.0,2042222.0,2076482.0,5695.970704187294,6203.122606497135,6307.185230687155,47.46,46.01,31.5,28.56,48.02232684908136,46.08406476212792,46.8502,31.76,Finance-Credit Card
2021-08-18,PAGS,48.2782,46.6048,45.8801,44.7803,54.01,1846273.0,2028358.0,2082872.0,9172.067583075417,10076.644493350488,10347.46364751879,38.43,46.06,33.07,27.03,47.36216839672778,45.655205432020566,46.6497,32.0,Finance-Credit Card
2021-08-19,PAGS,49.0578,48.0011,46.6835,46.791,51.37,755473.0,1971262.0,2081351.0,2294.702390921669,5987.586087832432,6321.974598757608,37.07,46.1,34.27,27.3,48.15660017941466,47.07967715702817,45.95,31.95,Finance-Credit Card
