PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-24,PANW,30.5653,29.2949,30.7678,29.8935,75.31,33398028.0,3285569.0,3330608.0,114309.24049688438,11245.301578587452,11399.453610639739,0.5286992579659537,290700.0,43034.1068,63.97,26.35,17.24,26.7,5.431927770738713,28.569462838210843,19.128302697573563,17.024851424021296,30.1503,61.38,Internet Security
2021-08-25,PANW,29.9875,29.0539,27.8412,28.7085,76.2,10853085.0,3408766.0,3348448.0,37146.142382961305,11666.959872349427,11460.513408854904,0.2322970503374858,133086.0,43538.5908,64.08,26.01,16.99,22.81,5.431927770738713,27.950434683988554,18.1907821780703,16.606730720102615,29.8154,17.37,Internet Security
2021-08-26,PANW,30.7563,29.6842,26.4998,28.5029,77.9,8534466.0,3492597.0,3371339.0,29210.357165593217,11953.882739175406,11538.860933571457,0.19306469976733825,117003.0,44550.4835,64.55,26.02,22.59,20.26,5.431927770738713,28.773714262568017,19.43204543248085,17.686326063939905,29.8604,17.68,Internet Security
2021-08-27,PANW,30.8525,29.1952,24.097,27.2054,78.5,4094163.0,3492045.0,3370813.0,14012.823242152072,11951.993444970542,11537.06062786175,0.1338720585430142,69480.0,44924.4641,64.61,25.78,23.33,20.12,5.431927770738713,28.876519856518552,19.58395149733577,16.852717971888097,29.8075,16.1,Internet Security
2021-08-30,PANW,30.032,28.7254,22.4028,25.4811,77.07,3764745.0,3496306.0,3360131.0,12885.345853786426,11966.577290272942,11500.500046890093,0.08361976093982455,44010.0,44683.9085,64.64,25.78,21.92,19.13,5.431927770738713,27.998172561328182,18.26404730611482,16.02507426379048,30.2648,17.31,Internet Security
2021-08-31,PANW,29.5588,28.153,21.4595,24.7869,77.47,3796566.0,3521070.0,3367740.0,12994.257503954854,12051.335409275203,11526.542872261123,0.0765653940784563,41544.0,44901.0912,64.65,25.55,19.9,18.62,5.431927770738713,27.48998545314112,17.475040985359662,14.974839197801087,30.3099,17.37,Internet Security
2021-09-01,PANW,29.1827,28.1971,21.6066,24.7803,76.99,4007763.0,3546899.0,3367526.0,13717.107627477732,12139.738633944457,11525.810428493296,0.0385416895167482,21084.0,44829.02,64.63,25.06,18.14,17.57,5.431927770738713,27.085173473025982,16.831054016014566,15.057584414838919,30.4146,17.82,Internet Security
2021-09-02,PANW,29.7021,28.6034,22.7798,25.7032,77.45,3367638.0,3550879.0,3363069.0,11526.193763549354,12153.360718972279,11510.55574684279,0.056276870163370595,31416.0,45048.1494,64.51,24.68,8.65,17.11,5.431927770738713,27.644011778030887,17.716352457828336,15.805343765954602,30.0825,18.61,Internet Security
2021-09-03,PANW,29.4784,28.5511,23.1751,25.3873,78.6,2838108.0,3568755.0,3356808.0,9712.287012825685,12212.633500365993,11487.329848951966,0.0776874279123414,40413.0,45607.4903,64.65,24.5,10.7,18.15,5.431927770738713,27.40351636804865,17.338698525552605,15.710496847967608,31.3404,22.25,Internet Security
2021-09-06,PANW,29.7398,28.5386,25.5023,25.1087,74.62,2821905.0,3611531.0,3342818.0,9656.838740078907,12359.017214185422,11439.454681654091,0.04051828516012785,21183.0,45063.9655,62.98,24.56,13.13,18.07,5.431927770738713,27.68451456706276,17.779485482994154,15.687768801203056,30.7824,22.29,Internet Security
2021-09-07,PANW,29.7398,28.5386,25.5023,25.1087,74.62,2821905.0,3611531.0,3342818.0,9656.838740078907,12359.017214185422,11439.454681654091,0.04051828516012785,21183.0,45063.9655,62.98,24.56,13.13,18.07,5.431927770738713,27.68451456706276,17.779485482994154,15.687768801203056,32.1045,23.18,Internet Security
2021-09-08,PANW,29.5966,28.6685,25.9874,25.4285,75.37,3157812.0,3642258.0,3335160.0,10806.345803804896,12464.168055183402,11413.24824625973,0.026264841434372164,13797.0,45364.9501,63.0,24.54,13.52,17.01,5.431927770738713,27.530626115907904,17.538903373928484,15.922854400200992,32.4893,23.67,Internet Security
2021-09-09,PANW,29.8805,28.7399,26.4188,25.5773,75.56,2772192.0,3647818.0,3320098.0,9486.715924362026,12483.194926532664,11361.704588658547,0.0409607765118612,21927.0,45439.9517,62.14,24.11,13.53,16.0,5.431927770738713,27.83560531089472,18.013846903146483,16.051051430046567,32.5198,23.67,Internet Security
2021-09-10,PANW,30.5169,30.143,28.5742,26.8493,76.44,4283130.0,3677670.0,3334082.0,14657.295590317239,12585.35143076255,11409.559223361439,0.10225582409716708,54858.0,45771.1319,61.25,23.91,14.06,11.67,5.431927770738713,28.517675718471697,19.05086836892219,18.44599818388802,32.1596,24.05,Internet Security
2021-09-13,PANW,31.0287,30.5499,27.6155,26.7249,77.99,7515045.0,3759524.0,3376746.0,25717.229208437664,12865.46393569465,11555.559662074551,0.09540833606614663,53241.0,46376.998,61.34,23.64,14.49,12.73,5.431927770738713,29.06470138267225,19.86037823632773,19.103685246831308,32.1025,23.9,Internet Security
2021-09-14,PANW,30.9203,30.2011,26.0573,26.7004,79.95,7394331.0,3849738.0,3420981.0,25304.133930010543,13174.185189633914,11706.93621857358,0.14397436959132126,83451.0,47225.4045,61.48,23.77,17.41,15.42,5.431927770738713,28.948948078711087,19.690590445438655,18.54078858112567,32.0664,23.07,Internet Security
2021-09-15,PANW,30.7446,30.0869,25.029,25.8458,75.93,3844167.0,3872868.0,3437534.0,13155.120675193853,13253.338343286508,11763.582226027596,0.05497602595562492,32127.0,46749.0901,61.48,23.8,18.24,16.05,5.431927770738713,28.761207762086595,19.413521812386332,18.354180766517477,32.0307,22.82,Internet Security
2021-09-16,PANW,30.7119,30.2734,24.0402,25.2483,77.19,2903328.0,3855248.0,3431765.0,9935.476320271524,13193.040956025,11743.840135953156,0.03642180010289795,21450.0,47230.2765,61.43,23.78,19.6,16.84,5.431927770738713,28.72625009262278,19.361694182328158,18.658326494088367,31.9706,22.79,Internet Security
2021-09-17,PANW,30.4169,30.1922,23.5095,25.1534,70.43,5040231.0,3866754.0,3420251.0,17248.170289129735,13232.415629000649,11704.438086184198,0.15918451259208496,69687.0,46401.3496,61.65,23.88,22.7,18.88,5.431927770738713,28.410639703884005,18.890267483812927,18.52628783215893,31.8047,22.5,Internet Security
2021-09-20,PANW,30.8793,30.7953,27.4877,27.1227,68.89,3435648.0,3891561.0,3400708.0,11757.128147005167,13317.307642950493,11637.560002231208,0.05795277478125375,26109.0,46208.4874,61.67,22.37,20.91,17.99,5.431927770738713,28.905151984791747,19.626145023666773,19.493714425167926,31.6746,22.53,Internet Security
2021-09-21,PANW,30.2766,30.5044,25.7953,26.2955,67.79,2811915.0,3891508.0,3386351.0,9622.65196943518,13317.126271694826,11588.428924540318,0.034307031928864036,15753.0,46076.0135,61.52,22.37,16.6,17.01,5.431927770738713,28.260381284298166,18.663518091721077,19.03083864048035,31.7908,22.51,Internet Security
2021-09-22,PANW,30.1503,30.2223,24.8274,25.5885,68.95,3437580.0,3917960.0,3385960.0,11763.739642589118,13407.647638768687,11587.090883767376,0.023591113175414152,10971.0,46362.3877,61.38,22.2,15.59,16.97,5.431927770738713,28.12502858423277,18.457924858715838,18.575301270504337,31.3839,22.56,Internet Security
2021-09-23,PANW,29.8154,29.5092,23.1034,23.8718,71.62,3297288.0,3941653.0,3387922.0,11283.646506738285,13488.727434250353,11593.805042326234,0.035461353932691515,16719.0,47061.7629,17.37,22.3,17.41,18.54,5.431927770738713,27.76571122686956,17.905654893357017,17.391011604849215,31.5996,22.12,Internet Security
