PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-27,PHM,31.846,30.3685,28.7369,28.906,50.18,4439261.0,2308522.0,2529995.0,17533.618867379806,9117.901582033894,9992.646989302179,0.13649114482296623,9780.0,12342.8013,25.13,30.57,15.25,22.75,4.32558138466315,30.648411031220242,31.42846028681647,29.93035569868825,36.3437,24.96,Bldg-Residential/Commer
2021-10-28,PHM,31.1515,30.0899,27.834,28.4033,49.59,3058350.0,2312080.0,2527831.0,12079.475312305842,9131.954576839174,9984.099974882334,0.0209356708962349,1513.0,12320.0145,24.57,30.34,6.2,22.75,4.32558138466315,29.926131306746324,30.724523629342084,29.6476387257063,36.3437,24.96,Bldg-Residential/Commer
2021-10-29,PHM,32.5655,30.523,27.9528,28.9492,45.84,2763425.0,2320525.0,2522263.0,10914.618252227587,9165.30917964136,9962.107810676356,0.04227199844516787,2610.0,12173.1673,20.07,30.26,10.41,18.04,4.32558138466315,31.395368655083868,32.15730383987439,30.087105693303236,35.115,24.96,Bldg-Residential/Commer
2021-11-01,PHM,32.1894,30.429,27.4611,28.1681,50.09,1870760.0,2308316.0,2516933.0,7388.885862088195,9117.087952293172,9941.056393937879,0.03958925750394945,2506.0,12325.0783,20.46,30.27,12.52,17.07,4.32558138466315,31.00507789215538,31.77637286349718,29.991739546081682,36.5463,26.61,Bldg-Residential/Commer
2021-11-02,PHM,32.8053,31.5543,28.8811,29.3662,44.57,2397498.0,2320064.0,2512192.0,9469.327288951657,9163.488498140287,9922.33080515022,0.045778483179286095,2942.0,12099.7433,21.42,30.25,18.01,16.73,4.32558138466315,31.644037208115886,32.400125124604074,31.13284838382123,36.6543,26.26,Bldg-Residential/Commer
2021-11-03,PHM,32.5636,31.1323,28.7627,29.156,48.75,2932651.0,2330180.0,2513050.0,11583.005724377972,9203.443668827646,9925.719949509186,0.04654455357932926,3156.0,12251.6543,21.75,30.27,20.04,17.81,4.32558138466315,31.393397836147372,32.15537972035162,30.7050566403972,36.5393,30.26,Bldg-Residential/Commer
2021-11-04,PHM,32.7302,31.3793,29.1266,29.1552,53.08,2068411.0,2333930.0,2512993.0,8169.54193076601,9218.254495104075,9925.494345766614,0.022264583674624333,1495.0,12426.353,22.04,30.33,22.38,16.42,4.32558138466315,31.566174535071916,32.324083777270474,30.955465890372256,38.458,30.07,Bldg-Residential/Commer
2021-11-05,PHM,32.6533,31.4873,30.2536,29.1051,60.09,2583745.0,2347071.0,2512036.0,10204.941724031461,9270.157378984477,9921.714793320973,0.05323101285096535,3496.0,12768.1533,23.45,30.55,28.28,21.31,4.32558138466315,31.486431738585793,32.246215295597096,31.064939421959288,37.0145,32.11,Bldg-Residential/Commer
2021-11-08,PHM,32.9892,31.7898,29.8872,29.9682,58.99,2039746.0,2359113.0,2506709.0,8056.324850265293,9317.719307445097,9900.674892405064,0.028494712865611754,1889.0,12727.6436,23.35,30.44,26.97,21.02,4.32558138466315,31.83464621098564,32.58631179866786,31.37151230081202,36.0643,31.03,Bldg-Residential/Commer
2021-11-09,PHM,33.2353,31.9405,29.6812,30.0243,65.87,2608590.0,2369032.0,2503266.0,10303.071439986094,9356.896231149063,9887.07632525166,0.031155356982218357,2078.0,13142.8679,25.86,30.75,32.79,26.45,4.32558138466315,32.08960188018266,32.8354315654599,31.524211968739206,35.9136,31.32,Bldg-Residential/Commer
2021-11-10,PHM,33.2642,32.225,30.5179,30.8749,57.9,2804132.0,2377805.0,2497923.0,11075.3981095668,9391.54683228838,9865.97338215299,0.018665040602040512,1255.0,12816.2582,26.91,30.26,36.27,29.3,4.32558138466315,32.11953275467473,32.86468319701257,31.81243506869602,35.3676,29.28,Bldg-Residential/Commer
2021-11-11,PHM,32.3631,31.5066,29.3034,29.5266,58.25,2812582.0,2391026.0,2482988.0,11108.772440429406,9443.765100235358,9806.984708114085,0.011180971587875912,754.0,12836.5135,26.91,28.5,34.87,29.3,4.32558138466315,31.185375167674714,31.95231825095012,31.08450166176064,34.6934,28.44,Bldg-Residential/Commer
2021-11-12,PHM,33.2119,32.6113,30.2435,31.484,61.09,1829193.0,2402273.0,2463834.0,7224.7098407089225,9488.187076579314,9731.33274929066,0.032375346260387815,2057.0,13003.616,25.21,27.78,30.48,29.4,4.32558138466315,32.06536580718552,32.81174639683173,32.20368438067297,35.2348,29.45,Bldg-Residential/Commer
2021-11-15,PHM,34.1815,32.4958,28.8562,30.3378,56.22,1821424.0,2408846.0,2462807.0,7194.024973805998,9514.148425656345,9727.276605372626,0.06296358093042305,4151.0,12803.5991,25.09,27.85,32.33,29.77,4.32558138466315,33.06860028771437,33.79282974611626,32.08671715274095,35.0411,29.77,Bldg-Residential/Commer
2021-11-16,PHM,34.033,32.3648,28.4228,29.9787,60.37,1721184.0,2404827.0,2459018.0,6798.109871020332,9498.27454054663,9712.31114094523,0.02166375203521679,1437.0,13044.1257,25.0,27.95,26.47,29.8,4.32558138466315,32.915079701234546,33.64261418201624,31.95404010512599,35.7665,30.72,Bldg-Residential/Commer
2021-11-17,PHM,34.1726,32.6896,28.4348,30.12,63.6,2592010.0,2415631.0,2461194.0,10237.585706664075,9540.946754902428,9720.90559670965,0.015429499518768047,1026.0,13256.8017,25.6,27.66,22.65,30.24,4.32558138466315,33.05940068268968,33.7838273551118,32.28297303781051,35.5248,31.19,Bldg-Residential/Commer
2021-11-18,PHM,34.8596,33.3144,29.9807,31.6434,59.79,1716637.0,2415936.0,2450187.0,6780.150587945178,9542.151247373744,9677.431413062652,0.0333732216460577,2259.0,13099.8268,25.01,27.68,24.15,29.99,4.32558138466315,33.769055285847465,34.478574682837454,32.91549251279707,35.9507,31.37,Bldg-Residential/Commer
2021-11-19,PHM,34.7748,33.4996,31.3102,31.3927,61.84,3571996.0,2445624.0,2466348.0,14108.207792830983,9659.409354079478,9741.26232880247,0.05983415263915785,3615.0,13228.9511,25.23,27.69,23.4,27.17,4.32558138466315,33.68150973128465,34.392835228285556,33.102924344534884,36.0915,32.65,Bldg-Residential/Commer
2021-11-22,PHM,35.6587,34.3394,33.1034,32.7852,62.52,1953916.0,2449197.0,2462662.0,7717.324963467052,9673.521865089704,9726.704182360807,0.05458032158135418,3330.0,13271.9922,25.12,27.68,20.78,27.18,4.32558138466315,34.59335584225131,35.2863045059978,33.95253734789198,34.9899,33.99,Bldg-Residential/Commer
2021-11-23,PHM,34.8701,33.2891,31.708,31.5764,64.43,1430954.0,2447323.0,2459910.0,5651.796851466002,9666.1195439688,9715.834046999227,0.04533759488613664,2837.0,13393.5222,25.3,27.71,17.29,22.35,4.32558138466315,33.77989426787216,34.48919068360404,32.889885661248506,34.3756,35.41,Bldg-Residential/Commer
2021-11-24,PHM,34.713,33.6405,30.7038,31.6363,62.65,1468973.0,2447468.0,2454751.0,5801.959367409965,9666.692232625197,9695.45768309491,0.03037413011555896,1903.0,13330.2258,23.96,27.68,13.36,18.6,4.32558138466315,33.61769997692618,34.330347638787465,33.24550556466242,33.7832,35.27,Bldg-Residential/Commer
2021-11-25,PHM,36.3437,36.3299,37.8236,36.4539,55.61,1516564.0,2448767.0,2427051.0,5989.928313822288,9671.823139184144,9586.052091432144,0.018651644914601993,1139.0,13061.8486,24.96,27.7,17.76,21.2,4.32558138466315,35.299035573633205,35.97839531844076,35.964455146852984,33.7832,35.27,Bldg-Residential/Commer
