PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-11-05,PINS,47.7958,48.4653,54.3966,50.7165,42.88,22817611.0,11496117.0,11531351.0,34985.790849018274,17626.76841751064,17680.792011600937,0.18331239023517173,245810.0,30144.5231,77.35,46.29,29.05,86.04,12.27591066038155,41.007884211128506,39.35662711208876,40.16703753191166,58.077,54.93,Internet Content-Entmnt
2021-11-08,PINS,46.6963,46.4504,44.4964,44.3574,43.9,11340325.0,11548597.0,11498603.0,17387.89558282924,17707.23491294782,17630.58010351617,0.08607709923049973,117689.0,30366.27,77.38,46.28,25.26,81.55,12.27591066038155,39.72093281285477,38.01381372198796,37.71134126705122,57.3171,51.79,Internet Content-Entmnt
2021-11-09,PINS,46.9493,46.8288,45.7457,45.5962,44.15,7263853.0,11486814.0,11416174.0,11137.522299011707,17612.50497079165,17504.194054367243,0.061839465514561355,85136.0,30418.4445,77.24,46.14,23.32,44.66,12.27591066038155,40.01805642860886,38.324174752889334,38.176460148106976,56.5049,54.17,Internet Content-Entmnt
2021-11-10,PINS,49.1313,48.2298,45.7841,45.4434,42.18,7523170.0,11407600.0,11342710.0,11535.127636717038,17491.047261807627,17391.552709332198,0.056328126388370564,79241.0,29909.732,77.39,46.09,21.89,35.47,12.27591066038155,42.556934916924206,40.96816129252081,39.88256772124884,56.4226,56.33,Internet Content-Entmnt
2021-11-11,PINS,50.1596,49.5477,44.2794,45.5875,40.05,7666586.0,11438104.0,11282664.0,11755.025137399507,17537.819316732355,17299.486229833263,0.04711947586852035,67497.0,29355.3635,77.65,45.74,25.06,24.57,12.27591066038155,43.740067923967864,42.19586558135761,41.46661518969206,56.3681,57.65,Internet Content-Entmnt
2021-11-12,PINS,50.2332,49.9085,44.2861,45.0894,43.55,5412375.0,11390118.0,11216086.0,8298.687738287716,17464.243069678323,17197.403239757135,0.063191087363508,87894.0,29974.9506,77.73,45.64,23.84,26.57,12.27591066038155,43.824450391001164,42.28332983860187,41.897064005130474,56.7097,58.44,Internet Content-Entmnt
2021-11-15,PINS,51.8575,53.596,51.6195,49.1092,49.96,10847351.0,11420614.0,11224300.0,16632.029274945147,17511.00212262408,17209.997739610975,0.17144776448436935,247311.0,31266.2994,79.09,45.57,37.92,32.22,12.27591066038155,45.677219443430694,44.20074553952682,46.22809552642202,57.1262,58.13,Internet Content-Entmnt
2021-11-16,PINS,52.0069,54.1516,50.5942,48.9222,52.36,8092376.0,11414681.0,11229500.0,12407.879881113367,17501.90435160539,17217.96999113271,0.06319519156083363,91693.0,31820.6679,79.09,45.64,39.9,32.68,12.27591066038155,45.846763434765194,44.37593094922066,46.871114586277976,57.9996,56.42,Internet Content-Entmnt
2021-11-17,PINS,51.3189,52.709,44.6575,45.1726,48.54,5876159.0,11354937.0,11215212.0,9009.798181405664,17410.299948074226,17196.062373683042,0.030460231821600747,44020.0,30959.7687,78.66,45.8,42.75,33.96,12.27591066038155,45.06481517817778,43.56759228153422,45.19672865374219,58.5665,57.14,Internet Content-Entmnt
2021-11-18,PINS,51.1921,52.4363,46.4854,45.3303,44.53,10337681.0,11342797.0,11240250.0,15850.561856039178,17391.686343290687,17234.453055994316,0.04247626158112602,61558.0,30001.0391,67.61,46.01,46.37,37.27,12.27591066038155,44.92036478306162,43.4181609745277,44.878404134839734,60.0131,58.39,Internet Content-Entmnt
