PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-10,PLNT,37.85,37.6929,32.0282,34.2417,52.26,1868418.0,985487.0,1122273.0,21576.150826404846,11380.224419514921,12959.804238881152,0.10003845022957049,4423.0,6502.5272,31.76,35.19,36.3,27.59,5.222138154276049,36.38048367450078,34.929158306492305,34.7588594520879,37.75,37.31,Recreational Centers
2021-08-11,PLNT,37.7729,37.5189,31.4476,33.2544,54.9,1119151.0,988588.0,1123693.0,12923.750745203848,11416.033137351065,12976.200929213617,0.021666477208139138,953.0,6573.5369,31.93,34.53,36.05,27.63,5.222138154276049,36.300262627157636,34.84559619822855,34.57009483947072,37.5343,37.86,Recreational Centers
2021-08-12,PLNT,37.9097,37.4818,31.3581,33.7334,54.75,757959.0,976516.0,1123233.0,8752.771746980588,11276.627964407702,12970.889015997234,0.04092822204527358,1799.0,6570.073,31.84,34.49,35.3,27.28,5.222138154276049,36.44259110547187,34.99384165949775,34.5298266899792,37.1123,38.16,Recreational Centers
2021-08-13,PLNT,37.3125,37.3464,31.0759,32.7766,51.6,654450.0,969750.0,1119318.0,7557.468885223603,11198.495609207104,12925.679513592655,0.04638248480848449,2038.0,6501.6617,31.89,34.48,17.05,27.78,5.222138154276049,35.820940085941594,34.34597874933833,34.38280373907864,36.6213,38.36,Recreational Centers
2021-08-16,PLNT,37.1365,37.2067,30.0144,32.7199,53.65,873029.0,966061.0,1119812.0,10081.579522806749,11155.896076054989,12931.384557206315,0.03729411495200788,1628.0,6550.1555,31.98,34.37,17.36,27.63,5.222138154276049,35.637574617819006,34.154695610559905,34.23101115786678,36.4522,38.29,Recreational Centers
2021-08-17,PLNT,37.5447,38.0129,32.7226,34.33,44.32,1139904.0,964257.0,1119942.0,13163.402950090996,11135.063512757122,12932.885424325917,0.03499884872208151,1520.0,6325.0049,28.35,34.6,27.55,32.23,5.222138154276049,36.062745187805895,34.59809385052882,35.105614457092194,36.4814,38.27,Recreational Centers
2021-08-18,PLNT,37.8208,38.5332,32.5082,35.3786,39.85,1634410.0,977352.0,1122721.0,19636.56242115507,11742.361803611548,13488.892626722572,0.01870967741935484,812.0,5954.4888,26.92,34.71,30.28,33.29,5.222138154276049,36.35010323273673,34.897514419224755,35.66834874563161,36.375,36.35,Recreational Centers
2021-08-19,PLNT,37.9226,38.6352,37.2314,36.5166,33.54,1890284.0,991621.0,1128434.0,21828.654951241897,11451.058492483373,13030.950069539656,0.02746431936751626,1195.0,5974.289,29.11,35.07,39.76,37.6,5.222138154276049,36.45601024729143,35.00781613811407,35.77851700448189,36.6452,35.67,Recreational Centers
2021-08-20,PLNT,37.7395,38.5662,30.7934,36.2085,38.41,1134127.0,1002022.0,1125057.0,13096.691906708715,11571.167442221269,12991.953199673395,0.0906915447041687,2615.0,6073.0089,29.4,34.93,40.75,31.24,5.222138154276049,36.26550637507516,34.80938753052113,35.70399672921787,37.9312,33.75,Recreational Centers
2021-08-23,PLNT,37.2847,38.0469,33.5604,33.7338,50.48,984388.0,1005591.0,1111279.0,11367.533017225078,11612.381392626061,12832.847133293852,0.06809625143231299,2080.0,6383.0243,33.28,35.58,53.69,39.9,5.222138154276049,35.791981594773674,34.31577558631015,35.142427343739364,37.6991,33.58,Recreational Centers
