PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-18,PNC,24.6037,23.4471,19.153,20.2654,59.38,2134418.0,1577219.0,1632311.0,5022.240055060732,3711.1626857545393,3840.792987369971,0.039281574541324686,3355.0,85355.6394,22.13,23.54,13.09,11.61,1.6592529709221415,24.378875527881593,24.134905296893127,22.954696652537145,25.0081,19.69,Super-Regional Banks-US
2021-10-19,PNC,24.1576,22.874,19.1363,19.7538,66.96,1955402.0,1580235.0,1635440.0,4601.019098555108,3718.2591688078624,3848.155353498138,0.053448315884769844,4605.0,87901.3512,23.05,23.89,23.88,18.77,1.6592529709221415,23.9285844979168,23.679975459446744,22.368984688626348,25.0198,17.64,Super-Regional Banks-US
2021-10-20,PNC,24.8664,23.7692,20.8879,21.1287,72.33,2352366.0,1594087.0,1635903.0,5535.066874178593,3750.852608930213,3849.244762366648,0.040438562286395856,3526.0,90438.5613,25.03,23.73,30.27,22.8,1.6592529709221415,24.643972230018928,24.402652498447786,23.28360944183698,25.587,14.87,Super-Regional Banks-US
2021-10-21,PNC,25.0172,24.0311,20.2397,21.1934,72.19,1490390.0,1588028.0,1635537.0,3506.8559093919966,3736.596042700202,3848.3837072707533,0.028794832568417476,2541.0,90408.8086,24.06,23.57,29.78,22.78,1.6592529709221415,24.796124982624686,24.556300532449914,23.55091011426098,25.5725,15.11,Super-Regional Banks-US
2021-10-22,PNC,24.8506,24.0597,20.3811,21.586,74.78,1890852.0,1601183.0,1633271.0,4449.134330693544,3767.549366646824,3843.0517446242093,0.041666666666666664,3524.0,91832.5386,22.18,23.65,31.68,23.97,1.6592529709221415,24.628029532911157,24.3865520391875,23.580092537774316,25.5516,16.33,Super-Regional Banks-US
2021-10-25,PNC,24.6148,24.1301,19.7802,21.7231,75.13,2124065.0,1621320.0,1634297.0,4997.8796343954,3814.9313739635795,3845.4659781379096,0.1288881018354549,12373.0,92036.5335,22.13,23.41,31.13,23.88,1.6592529709221415,24.390077846410087,24.146220802436144,23.651920133680477,25.8271,18.29,Super-Regional Banks-US
2021-10-26,PNC,24.8399,24.3805,20.2068,21.6601,74.0,1281397.0,1627222.0,1631565.0,3015.0996689026915,3828.8184796992464,3839.0374655889,0.02276230603226801,2215.0,91828.291,19.76,23.35,23.16,23.52,1.6592529709221415,24.61723279176488,24.375648340300614,23.907329007022096,25.8627,18.29,Super-Regional Banks-US
2021-10-27,PNC,25.2034,24.9697,21.3142,22.3435,66.97,1512568.0,1638033.0,1629025.0,3559.040136269278,3854.256596419846,3833.060965183754,0.024241441514482032,2392.0,90485.3108,19.95,23.3,15.41,24.02,1.6592529709221415,24.983972659966312,24.745968794128874,24.507907256434606,28.007,22.75,Super-Regional Banks-US
2021-10-28,PNC,25.0942,24.6363,20.6109,21.7967,67.12,1440263.0,1647916.0,1627815.0,3388.908028031239,3877.511094793887,3830.2138718065185,0.010638405452688422,1052.0,90544.8096,19.94,23.26,15.42,23.71,1.6592529709221415,24.873809357513863,24.634741192876376,24.168137654564944,28.007,22.75,Super-Regional Banks-US
2021-10-29,PNC,24.7129,24.1917,20.5082,21.692,62.67,1776654.0,1658960.0,1630974.0,4180.428941307877,3903.497471354645,3837.6470106845077,0.09403069239134813,9338.0,89686.3214,19.96,23.11,12.67,24.12,1.6592529709221415,24.489078070110033,24.24621674426755,23.714762256661988,26.4909,22.79,Super-Regional Banks-US
