PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-06,PODD,36.6295,32.6277,28.6514,28.9509,51.61,1922112.0,500607.0,492570.0,27907.709583951,7268.460303922434,7151.768736559963,0.06489570333392762,364.0,18975.4403,30.89,38.12,15.83,30.62,3.875418731955871,35.80006688342945,32.69265774222096,28.136389379058567,38.3474,28.17,Patient Monitoring Equip
2021-08-09,PODD,36.7238,33.8438,31.4112,31.2625,60.84,702104.0,483899.0,496472.0,10194.055106187356,7025.872337757591,7208.423433962845,0.014443651925820257,81.0,19742.6941,33.71,38.53,28.45,35.31,3.875418731955871,35.89654586513892,32.79827871154216,29.537982301436912,38.3474,28.17,Patient Monitoring Equip
2021-08-10,PODD,37.1142,34.5427,30.6885,32.0684,53.91,531802.0,472935.0,499211.0,7721.390111183606,6866.682773349138,7248.191768353784,0.02872340425531915,162.0,19243.3586,34.29,38.66,33.67,28.96,3.875418731955871,36.29584494467682,33.23482272617081,30.33624438341042,37.5242,25.14,Patient Monitoring Equip
2021-08-11,PODD,37.5591,34.6944,33.804,32.3752,50.12,446045.0,466635.0,501051.0,6476.258828213462,6775.211107182882,7274.9071554107395,0.04509235784136183,249.0,18942.3801,33.62,38.69,35.48,29.42,3.875418731955871,36.7506532107665,33.730929320284076,30.508867421784114,37.7527,23.53,Patient Monitoring Equip
2021-08-12,PODD,37.8467,35.2562,35.9742,33.6447,55.12,266394.0,458108.0,501530.0,3867.8528967127545,6651.404892029424,7281.861690910259,0.02667402501839588,145.0,19377.6635,32.84,38.82,38.97,29.74,3.875418731955871,37.04453022374588,34.050878122157144,31.146255608660248,37.6904,23.87,Patient Monitoring Equip
2021-08-13,PODD,37.613,35.1093,30.9121,32.5155,59.34,292152.0,450394.0,502622.0,4241.840875057475,6539.403047320014,7297.7167512224405,0.009534286762009535,52.0,19806.059,33.7,38.94,41.82,31.62,3.875418731955871,36.80573715615573,33.79093619596829,30.979873248449543,37.1229,22.58,Patient Monitoring Equip
2021-08-16,PODD,38.3139,36.3898,37.2808,34.416,62.53,345897.0,446630.0,503898.0,5022.180415561036,6484.752510146158,7316.243468548079,0.014177867795986007,77.0,20173.8452,32.67,39.02,33.58,31.12,3.875418731955871,37.5217197342822,34.56941615373334,32.423866889068,37.3484,21.3,Patient Monitoring Equip
2021-08-17,PODD,38.1725,36.2702,37.5654,35.0132,67.54,731956.0,446937.0,505697.0,10627.485006037703,6489.210097524267,7342.363864902054,0.03525179856115108,196.0,20857.7622,34.38,39.15,36.84,35.29,3.875418731955871,37.37732300283184,34.41263367209781,32.289580487209804,37.292,20.6,Patient Monitoring Equip
2021-08-18,PODD,38.7539,36.4672,52.0428,33.1247,62.43,339785.0,443330.0,505541.0,4933.429160495978,6436.82666898975,7340.084792519674,0.010379384395132427,58.0,20455.578,33.52,39.22,37.72,36.62,3.875418731955871,37.97090048732085,35.0564454160715,32.5107101712651,36.7468,17.57,Patient Monitoring Equip
2021-08-19,PODD,39.2459,37.4492,45.3141,34.3806,60.54,216383.0,433517.0,504854.0,3141.72856003839,6294.36111044843,7330.124041397065,0.0017911517105498836,10.0,20304.7052,33.57,39.06,34.5,36.8,3.875418731955871,38.47291495868259,35.59958239656752,33.60851351428682,36.203,17.11,Patient Monitoring Equip
2021-08-20,PODD,39.3253,36.977,29.703,35.2355,60.82,323049.0,419891.0,504989.0,4690.443637030219,6096.52117541381,7332.084116713729,0.030761597618456957,124.0,20337.076,33.58,39.04,30.84,36.74,3.875418731955871,38.55390691872903,35.6870959884662,33.081537585184876,37.4229,17.4,Patient Monitoring Equip
2021-08-23,PODD,39.1993,36.9051,34.9958,34.9488,59.17,312300.0,418517.0,505656.0,4534.375596474338,6076.571474574609,7341.768256839026,0.09305010390210113,403.0,20217.2361,33.02,38.91,28.25,31.03,3.875418731955871,38.4253775400844,35.54820277440197,33.00115158611893,37.2696,18.12,Patient Monitoring Equip
2021-08-24,PODD,38.8159,37.0329,35.2499,35.2812,63.19,195706.0,413317.0,502405.0,2841.513192218482,6001.071546442962,7294.5665198641145,0.0016147635524798155,7.0,20663.5374,29.57,39.03,21.86,30.29,3.875418731955871,38.0341768862956,35.12497249550525,33.14400824296904,37.172,19.08,Patient Monitoring Equip
2021-08-25,PODD,38.7579,37.4292,33.7255,34.361,62.92,266557.0,409945.0,500527.0,3870.2196390746008,5952.112268447038,7267.29902154921,0.025456183825185854,113.0,20644.9422,29.28,37.9,16.95,29.24,3.875418731955871,37.97498296270878,35.060867251253214,33.58622653171982,36.482,17.79,Patient Monitoring Equip
2021-08-26,PODD,39.4989,38.6111,34.6452,35.3108,57.38,271937.0,393149.0,496403.0,3948.3333777111443,5708.246097860015,7207.421328086819,0.003147482014388489,14.0,20257.8714,29.11,37.92,20.98,28.55,3.875418731955871,38.730964612542536,35.878304045899384,34.898519212281776,37.1816,17.87,Patient Monitoring Equip
2021-08-27,PODD,39.3129,38.1142,34.3498,35.1224,58.07,229072.0,387595.0,494458.0,3325.9639049809007,5627.606079097717,7179.181482368191,0.056535600425079706,266.0,20323.9898,29.09,37.92,21.08,26.41,3.875418731955871,38.541258736813745,35.67343137980982,34.347952510156986,36.8502,16.99,Patient Monitoring Equip
2021-08-30,PODD,38.9131,37.6648,33.8498,34.4816,58.86,186219.0,384449.0,490457.0,2703.7685902559797,5581.928432411951,7121.0898537269395,0.09689766317485898,481.0,20396.9959,28.15,37.88,20.81,24.81,3.875418731955871,38.13336951041728,35.232356600290025,33.848585776070465,36.8782,20.77,Patient Monitoring Equip
2021-08-31,PODD,38.1364,36.0967,32.4596,32.6979,60.13,251366.0,381519.0,489113.0,3649.657049976894,5539.386822601842,7101.5758244366725,0.025266482431898933,128.0,20511.3268,28.19,37.41,14.44,18.53,3.875418731955871,37.34045424962078,34.37258507822768,32.09456886904699,37.653,20.95,Patient Monitoring Equip
2021-09-01,PODD,38.6074,35.8381,30.0049,30.2276,61.78,320990.0,377076.0,489322.0,4660.548549608856,5474.877737288729,7104.610540489438,0.0013817607579944729,7.0,20661.4713,28.3,37.36,15.33,16.16,3.875418731955871,37.821367682409665,34.8944255542343,31.80344339234354,36.346,21.84,Patient Monitoring Equip
2021-09-02,PODD,38.4336,35.647,27.974,30.0921,63.07,255284.0,376366.0,487495.0,3706.543477217709,5464.568646474203,7078.083281467883,0.006296733569460842,32.0,20779.2471,28.36,36.71,8.41,15.98,3.875418731955871,37.64393878923966,34.702034651587795,31.587944045157478,36.4198,21.73,Patient Monitoring Equip
2021-09-03,PODD,38.1417,36.0396,32.6848,33.1068,63.74,159469.0,371352.0,483974.0,2315.3774283951266,5391.769176387806,7026.96119954413,0.00098405825624877,5.0,20840.5438,28.34,36.19,8.35,16.03,3.875418731955871,37.345867207738294,34.37846533645736,32.030335124066376,36.7444,22.84,Patient Monitoring Equip
2021-09-06,PODD,38.3474,36.4421,28.5984,30.6896,67.15,243856.0,364203.0,481328.0,3540.617246061062,5287.970863407818,6988.543311676066,0.012586037364798427,64.0,21162.873,28.17,35.84,13.49,17.54,3.875418731955871,37.55592636812494,34.60654109789073,32.48255304636629,37.3658,24.65,Patient Monitoring Equip
2021-09-07,PODD,38.3474,36.4421,28.5984,30.6896,67.15,243856.0,364203.0,481328.0,3540.617246061062,5287.970863407818,6988.543311676066,0.012586037364798427,64.0,21162.873,28.17,35.84,13.49,17.54,3.875418731955871,37.55592636812494,34.60654109789073,32.48255304636629,36.766,24.69,Patient Monitoring Equip
2021-09-08,PODD,37.5242,36.0368,34.7163,32.9182,61.17,342646.0,363563.0,480175.0,4974.97835800934,5278.678451734296,6971.802481444799,0.06020388536256972,313.0,20846.7422,25.14,34.67,16.74,15.63,3.875418731955871,36.71498473713454,33.692064134451606,32.027184613075185,37.0217,24.19,Patient Monitoring Equip
2021-09-09,PODD,37.7527,36.7032,32.9687,32.7749,60.64,247436.0,361779.0,478740.0,3592.59633434941,5252.776108749718,6950.967398060252,0.002503369921047564,13.0,20818.5036,23.53,34.0,15.95,15.64,3.875418731955871,36.94848949413253,33.94636883806573,32.77521152090403,36.1857,24.31,Patient Monitoring Equip
