PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-12,PUK,32.5382,32.4062,33.9878,36.766,66.5,259983.0,231991.0,261627.0,192.66041788553963,171.91694459131645,193.87870418504315,0.02586206896551724,3.0,54156.262,32.29,27.3,20.5,25.94,0.0,32.5382,30.838126714182884,30.698817541397258,34.8427,30.05,Life/Health Insurance
2021-08-13,PUK,33.2158,29.9486,35.3583,33.5597,70.23,374305.0,235053.0,263302.0,277.37874290490885,174.1860398766448,195.11996303642297,0.017094017094017096,2.0,55437.9116,32.97,27.46,25.98,25.94,0.0,33.2158,31.552257758201712,28.092245228176402,35.6679,30.24,Life/Health Insurance
2021-08-16,PUK,35.1009,34.978,52.1491,51.9226,58.77,400846.0,239029.0,264791.0,297.0469745739777,177.13246804369587,196.22340111768142,0.042735042735042736,5.0,53306.1859,35.22,28.01,35.91,29.82,0.0,35.1009,33.531012224655555,33.40233650510096,33.154,30.09,Life/Health Insurance
2021-08-17,PUK,38.7505,40.0554,41.0897,41.0897,56.49,238372.0,239750.0,264585.0,176.64558502752814,177.66675201093196,196.0707302640769,0.0,0.0,52835.3797,31.65,27.69,36.46,30.12,0.0,38.7505,37.33439232463815,38.68708659436634,32.6792,27.1,Life/Health Insurance
2021-08-18,PUK,37.6904,36.7162,34.0919,34.44,56.49,147579.0,238287.0,263262.0,109.36345929977715,176.58264811501635,195.0903788626968,0.03305785123966942,4.0,52835.3624,31.43,26.78,33.02,27.51,0.0,37.6904,36.23288357500683,35.21838926526879,25.4584,26.96,Life/Health Insurance
2021-08-19,PUK,38.2344,42.3789,56.8939,56.4357,53.43,153568.0,237671.0,262652.0,113.80157569474369,176.12610893509995,194.63828049708155,0.0,0.0,52103.0064,27.51,26.85,34.47,28.36,0.0,38.2344,36.79843669722941,41.088036765097456,27.4522,28.12,Life/Health Insurance
2021-08-20,PUK,38.5861,36.2834,41.6786,46.1421,54.5,141729.0,237094.0,261807.0,105.0282840281851,175.69852305017687,194.0120931959377,0.0,0.0,52338.4119,27.22,26.84,30.38,28.27,0.0,38.5861,37.163728462171285,34.76694860870019,41.658,43.38,Life/Health Insurance
2021-08-23,PUK,38.0346,31.4676,36.56,38.4332,61.53,229816.0,239380.0,260862.0,170.305160709674,177.39256348853763,193.31180088874135,0.0,0.0,54090.8727,29.32,27.01,26.36,31.5,0.0,38.0346,36.59079661827547,29.706320030592817,41.658,43.38,Life/Health Insurance
2021-08-24,PUK,36.171,30.6773,39.06,39.3279,64.64,167489.0,238500.0,260406.0,124.11773358731588,176.7404394352754,192.9738820611418,0.0,0.0,55045.5707,29.74,27.1,28.45,32.7,0.0,36.171,34.649629738281476,28.86784258114901,32.0961,43.5,Life/Health Insurance
2021-08-25,PUK,37.8775,33.8167,38.13,37.63,66.63,165767.0,238162.0,257946.0,122.84165448627293,176.4899775936087,191.15091307748924,0.0,0.0,55712.5498,29.25,27.15,29.71,31.41,0.0,37.8775,36.42747048931616,32.18423214696911,39.0315,43.1,Life/Health Insurance
2021-08-26,PUK,16.1325,28.631,29.3577,29.3577,62.45,145087.0,232394.0,252499.0,107.51673809895746,172.21560052774623,187.11441309868326,0.0,0.0,54967.1006,29.5,27.12,29.59,32.13,0.0,16.1325,12.349621704732497,26.6831362661888,40.3273,42.9,Life/Health Insurance
2021-08-27,PUK,33.7308,31.6263,37.56,37.56,63.41,91175.0,231132.0,242508.0,67.56523926839091,171.28038258932526,179.71056807786064,0.0,0.0,55254.8196,28.43,27.09,29.65,30.02,0.0,33.7308,32.09396311831869,29.87437784607405,33.5212,43.91,Life/Health Insurance
2021-08-30,PUK,34.9408,33.0061,33.76,34.8206,62.09,108590.0,229217.0,227828.0,80.4705902927969,169.86119619802952,168.83187812162566,0.0,0.0,55032.5189,27.0,26.97,18.46,22.75,0.0,34.9408,33.36337969450937,31.33142571301217,37.0848,44.69,Life/Health Insurance
2021-08-31,PUK,35.9619,31.7225,33.1826,37.9496,58.74,226503.0,229629.0,225228.0,167.84998722800788,170.16650868721482,166.9051488209417,0.0,0.0,54470.1615,27.21,26.55,15.48,22.9,0.0,35.9619,34.431291750528324,29.976200664026784,33.5169,44.84,Life/Health Insurance
2021-09-01,PUK,32.8088,31.016,49.35,49.35,62.53,397824.0,231898.0,223174.0,294.8073900448854,171.84796326171582,165.38304492910748,0.0,0.0,55437.9358,26.55,26.59,17.97,24.55,0.0,32.8088,31.123511328897322,29.227518813611255,16.2111,44.74,Life/Health Insurance
2021-09-02,PUK,35.366,29.7856,33.95,36.9821,69.17,203445.0,232004.0,220710.0,150.76287370214393,171.9265145390263,163.55709825653219,0.1791044776119403,12.0,57582.7384,29.62,27.09,30.95,30.28,0.0,35.366,33.80842433477195,27.918409112268556,34.4256,44.56,Life/Health Insurance
2021-09-03,PUK,33.065,28.1961,28.28,30.4114,69.54,107856.0,230838.0,218112.0,79.92666571318262,171.06245048861118,161.63185091263986,0.22988505747126436,20.0,57726.598,29.55,26.93,30.77,30.22,0.0,33.065,31.393467871517473,26.21594276790366,35.7398,42.83,Life/Health Insurance
2021-09-06,PUK,40.9132,30.5691,26.8,26.1929,68.72,110050.0,232364.0,212367.0,81.55252290010405,172.19327970158815,157.37450823013535,0.445859872611465,70.0,57595.8193,28.91,26.94,30.68,25.32,0.0,40.9132,39.57455665247559,28.752834204822314,37.7547,43.15,Life/Health Insurance
2021-09-07,PUK,40.9132,30.5691,26.8,26.1929,68.72,110050.0,232364.0,212367.0,81.55252290010405,172.19327970158815,157.37450823013535,0.445859872611465,70.0,57595.8193,28.91,26.94,30.68,25.32,0.0,40.9132,39.57455665247559,28.752834204822314,34.9502,43.31,Life/Health Insurance
2021-09-08,PUK,40.4,31.1625,26.0089,26.3875,65.41,134868.0,232893.0,211325.0,99.94390253120376,172.58530779873385,156.60234601541237,0.01910828025477707,3.0,57072.6945,29.08,26.59,30.5,24.19,0.0,40.4,39.043765187286944,29.382937331893828,46.4501,43.63,Life/Health Insurance
2021-09-09,PUK,37.8416,33.9092,40.7707,32.7779,53.71,529130.0,236932.0,213452.0,392.11167323854323,175.5784078841769,158.17855891012326,0.012658227848101266,2.0,54901.7352,31.15,27.1,39.14,30.45,0.0,37.8416,36.39014001841708,32.28141020215814,41.7333,41.88,Life/Health Insurance
2021-09-10,PUK,34.8427,32.616,36.88,36.88,53.94,250761.0,238296.0,214061.0,185.82637160338928,176.58918670607173,158.62984647450406,0.0,0.0,54954.0486,30.05,27.1,28.39,29.7,0.0,34.8427,33.260627523996,30.920204656502516,35.0504,42.18,Life/Health Insurance
2021-09-13,PUK,35.6679,30.5357,30.9687,30.9545,56.3,123015.0,238666.0,213572.0,91.16023941836485,176.86338821301032,158.267484884437,0.0,0.0,55503.3252,30.24,27.05,29.2,30.0,0.0,35.6679,34.12410717381482,28.717321854413928,35.7406,42.22,Life/Health Insurance
2021-09-14,PUK,33.154,31.6362,35.0272,34.7156,50.32,114400.0,238110.0,212756.0,84.77609551242482,176.45136453202338,157.66278825910362,0.0,0.0,54313.221,30.09,27.22,32.97,31.85,0.0,33.154,31.487192888538033,29.884858213483295,35.392,41.56,Life/Health Insurance
2021-09-15,PUK,32.6792,33.1479,26.302,26.1,52.98,107241.0,237310.0,211757.0,79.47091420563433,175.85851167127387,156.92246789420565,0.0,0.0,54888.6593,27.1,27.26,33.18,31.87,0.0,32.6792,30.986863549575325,31.48076991450495,33.3425,41.51,Life/Health Insurance
