PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-11-09,PYPL,35.8642,37.0688,40.5458,39.0834,22.2,63995079.0,9589303.0,7974046.0,54467.134379934585,8161.594036174403,6786.825515658475,0.5938449198100787,926907.0,241354.1538,52.79,26.41,16.47,24.33,6.631171664214421,33.32193108268005,32.07739455816198,33.41877217134107,39.1407,53.56,Commercial Serv-Finance
2021-11-10,PYPL,34.3173,35.5256,34.0965,34.5158,21.91,23585948.0,9868157.0,8086346.0,20074.34027192449,8398.930646110708,6882.405623912828,0.21887746928413865,355225.0,240437.7097,52.79,26.26,15.72,23.08,6.631171664214421,31.6510241339657,30.338020358784128,31.69836991644838,39.4987,38.77,Commercial Serv-Finance
2021-11-11,PYPL,33.3599,34.6766,33.2303,33.0188,20.91,17712094.0,10076481.0,8158196.0,15075.018524703457,8576.23823240902,6943.558216671707,0.15415702430677602,259197.0,237371.1412,52.98,25.84,17.95,16.95,6.631171664214421,30.610344288310106,29.25066371913636,30.743860973534215,38.4062,39.2,Commercial Serv-Finance
2021-11-12,PYPL,34.0969,35.7592,32.3387,33.721,29.35,20954568.0,10340041.0,8265072.0,17834.734517422534,8800.55776546022,7034.521775270314,0.3202857617544443,501228.0,244737.9584,52.34,26.19,27.35,22.51,6.631171664214421,31.411921925423137,30.08848599730468,31.95995595491333,37.9288,39.14,Commercial Serv-Finance
2021-11-15,PYPL,33.9706,35.9994,31.5052,32.8782,34.3,17433101.0,10530251.0,8348896.0,14837.563936943658,8962.448647808837,7105.865915816879,0.1889203821555865,300271.0,249719.6509,52.75,26.15,29.91,22.95,6.631171664214421,31.274780795376948,29.94528450958514,32.22848430131333,38.3203,37.69,Commercial Serv-Finance
2021-11-16,PYPL,33.9875,35.6444,30.7783,32.6112,37.7,16697515.0,10666456.0,8438725.0,14211.495748918887,9078.374482671845,7182.320510794303,0.15942866614478154,256812.0,253397.188,52.93,26.21,29.55,23.93,6.631171664214421,31.2931367185982,29.96445487990729,31.831456946863113,38.4438,37.71,Commercial Serv-Finance
2021-11-17,PYPL,35.5083,36.3486,33.06,33.8273,32.36,23095572.0,10951147.0,8581884.0,19656.97372648534,9320.678823364007,7304.164985034573,0.23897572820636806,409212.0,242352.8516,55.11,26.95,43.21,32.51,6.631171664214421,32.938573410651514,31.67897992186617,32.61807967922084,39.3408,37.53,Commercial Serv-Finance
2021-11-18,PYPL,36.384,38.01,37.2122,36.2513,29.47,19980106.0,11183968.0,8681962.0,17005.356126655493,9518.83632394738,7389.342963850652,0.1608125718057567,283583.0,235573.4995,53.19,27.23,46.79,35.44,6.631171664214421,33.88075715563156,32.65752372731282,34.45980992402598,39.2178,34.53,Commercial Serv-Finance
2021-11-19,PYPL,37.2821,39.0061,41.2549,36.8097,26.36,24607529.0,11499325.0,8808911.0,20943.82245924382,9787.24118139387,7497.391064469737,0.27149767794569446,432492.0,227478.2313,50.38,27.4,48.32,39.27,6.631171664214421,34.84343883500707,33.65521327238917,35.55550923851324,39.8408,33.76,Commercial Serv-Finance
2021-11-22,PYPL,38.0609,40.2435,41.444,39.3553,24.63,29956603.0,11881751.0,8989697.0,25496.49705610892,10112.729717482294,7651.260828733191,0.2537494393529834,423182.0,222625.764,50.77,27.56,48.63,40.37,6.631171664214421,35.67551482808452,34.51594571803009,36.90877527431654,38.6037,33.73,Commercial Serv-Finance
2021-11-23,PYPL,38.7056,41.0695,42.74,40.6935,24.02,20004537.0,12142472.0,9097968.0,17026.149429833647,10334.632724544988,7743.411540884188,0.14352853520622397,248501.0,220945.6224,49.99,27.35,47.81,39.75,6.631171664214421,36.36253182602772,35.22558546511328,37.80770067393678,38.0449,33.22,Commercial Serv-Finance
2021-11-24,PYPL,38.7504,40.2578,38.1131,38.121,24.95,13359144.0,12283044.0,9155669.0,11370.159560010732,10454.27537592472,7792.521542446425,0.10078273531700838,176629.0,221721.0806,49.71,27.34,35.94,39.74,6.631171664214421,36.41021490734268,35.274805458854054,36.924366762884375,37.6072,33.12,Commercial Serv-Finance
2021-11-25,PYPL,40.2749,42.4313,43.0951,42.787,24.5,11080417.0,12534925.0,9217307.0,9430.702913915218,10668.655676334989,7844.983088935293,0.08560533830190373,141143.0,220640.1291,48.34,27.31,29.96,39.29,6.631171664214421,38.028644722746556,36.94300975841032,39.2827394626444,37.6072,33.12,Commercial Serv-Finance
2021-11-26,PYPL,40.2749,42.4313,43.0951,42.787,24.5,11080417.0,12534925.0,9217307.0,9430.702913915218,10668.655676334989,7844.983088935293,0.08560533830190373,141143.0,220640.1291,48.34,27.31,29.96,39.29,6.631171664214421,38.028644722746556,36.94300975841032,39.2827394626444,37.0253,33.1,Commercial Serv-Finance
2021-11-29,PYPL,38.0527,40.0247,36.9515,39.4175,24.22,16308218.0,12560677.0,9311571.0,13880.158929601823,10690.572877023978,7925.212022813981,0.1123919393577012,190036.0,219993.9319,48.27,27.29,16.91,36.2,6.631171664214421,35.66676641817813,34.506903328029885,36.67008331174065,36.1795,33.24,Commercial Serv-Finance
2021-11-30,PYPL,39.5577,42.2067,41.2615,42.3094,23.01,21144293.0,12752709.0,9402964.0,17996.212517248565,10854.014430022722,8002.998181875253,0.12672206333958105,218582.0,217232.8388,48.07,27.35,11.48,35.33,6.631171664214421,37.268242227516964,36.159784696399946,39.04002977573147,36.3729,33.22,Commercial Serv-Finance
2021-12-01,PYPL,40.2174,43.4583,46.0474,45.0334,20.38,19542916.0,12975339.0,9510185.0,16633.256743260015,11043.497547542785,8094.255165447175,0.12421522602001461,218844.0,210688.487,49.18,27.68,23.97,37.82,6.631171664214421,37.9677430485258,36.88031538314172,40.389877926158675,36.1289,33.11,Commercial Serv-Finance
2021-12-02,PYPL,41.2172,44.0015,46.2024,46.3385,32.44,20422677.0,13223890.0,9615685.0,17382.03525151372,11255.04370177033,8184.0483320306985,0.16009246058042217,287008.0,219888.1745,51.29,28.29,38.59,37.29,6.631171664214421,39.02522037450755,37.96809154856219,40.973777007373876,36.431,31.94,Commercial Serv-Finance
2021-12-03,PYPL,44.4817,48.8378,52.1091,53.5736,30.48,20737544.0,13468977.0,9738977.0,17650.023229390208,11463.64086924288,8288.98399349976,0.1523593692528565,269661.0,216104.8979,51.62,28.3,40.36,35.54,6.631171664214421,42.45859023011573,41.48903511640154,46.128614859325666,35.9106,30.55,Commercial Serv-Finance
2021-12-06,PYPL,42.4378,45.6891,42.4278,46.495,31.78,13303433.0,13470572.0,9813078.0,11322.743490559404,11464.997901452338,8352.052064068854,0.1123520516824025,200833.0,217197.5923,51.55,28.16,40.46,31.01,6.631171664214421,40.312245264669635,39.28976035610297,42.78098010576663,36.0433,30.72,Commercial Serv-Finance
2021-12-07,PYPL,39.9485,42.2745,38.5034,41.3923,39.79,17772718.0,13642181.0,9920835.0,15126.616052658577,11611.056570406048,8443.765436821597,0.17814869153046456,322023.0,224435.1665,52.65,28.51,45.81,33.39,6.631171664214421,37.68279317790653,36.586897275527484,39.11331934584433,36.6973,31.52,Commercial Serv-Finance
2021-12-08,PYPL,39.1407,41.1094,37.5173,39.4973,46.52,14433205.0,13695211.0,9999009.0,12284.308377245323,11656.191068819593,8510.300381852221,0.14588684886801084,265621.0,231872.4766,53.56,28.85,46.5,36.99,6.631171664214421,36.82532614830287,35.70312026266052,37.85103919788729,36.8592,30.85,Commercial Serv-Finance
2021-12-09,PYPL,39.4987,41.6136,39.1532,39.5475,42.17,11550681.0,13810535.0,10052897.0,9830.951042276814,11754.345345754975,8556.165497086402,0.08713324502849763,160048.0,225292.8605,38.77,29.13,40.74,39.68,6.631171664214421,37.20561182306883,36.09523101034262,38.398048192063094,37.4785,29.95,Commercial Serv-Finance
2021-12-10,PYPL,38.4062,39.8837,35.6776,37.5471,39.79,11908148.0,13936966.0,10098619.0,10135.196651814149,11861.952936732701,8595.080400138355,0.10409271925120242,184198.0,221486.0803,39.2,29.07,40.67,40.51,6.631171664214421,36.043674172854224,34.89634076002812,36.516132403226926,38.0541,29.55,Commercial Serv-Finance
2021-12-13,PYPL,37.9288,39.5003,35.8261,37.0577,38.23,11812188.0,14045961.0,10155788.0,10053.523155447801,11954.719494306792,8643.737283881608,0.07868805897047675,140738.0,218983.4912,39.14,29.09,41.31,40.89,6.631171664214421,35.534548243630155,34.37022358728555,36.096981869541395,36.8039,33.01,Commercial Serv-Finance
2021-12-14,PYPL,38.3203,39.9532,37.3889,38.3233,38.75,11414170.0,14158422.0,10204537.0,9714.76440586032,12050.436789424872,8685.22834563395,0.09046661133540591,167206.0,219476.9597,37.69,29.04,34.17,40.41,6.631171664214421,35.95212986081464,34.801778576532556,36.59202905333346,36.609,33.71,Commercial Serv-Finance
2021-12-15,PYPL,38.4438,39.9239,38.0191,38.3159,43.4,11278507.0,14271261.0,10250689.0,9599.299645169445,12146.475650848162,8724.508951445643,0.08124862616687836,150068.0,224012.1909,37.71,29.14,29.03,38.76,6.631171664214421,36.0837360576601,34.937718277529235,36.560035437756355,36.907,35.66,Commercial Serv-Finance
2021-12-16,PYPL,39.3408,40.9048,39.6584,39.1049,41.75,12326082.0,14407501.0,10293279.0,10490.906005990852,12262.43170962348,8760.758080502752,0.08953030006574422,165186.0,221768.07,37.53,29.13,21.82,32.68,6.631171664214421,37.03793722764375,35.922373872560264,37.628726566813285,37.3566,35.3,Commercial Serv-Finance
2021-12-17,PYPL,39.2178,40.5391,39.0977,38.7448,39.56,18899845.0,14575979.0,10377879.0,16085.930690770352,12405.825970748658,8832.76250737512,0.10374958831853015,159399.0,218771.9944,34.53,28.8,20.56,32.22,6.631171664214421,36.9072633268694,35.78762686795535,37.23086124185149,37.6212,35.98,Commercial Serv-Finance
2021-12-20,PYPL,39.8408,41.4608,40.2544,40.4443,36.65,10906779.0,14625643.0,10348139.0,9282.91714520345,12448.096011143603,8807.45057216695,0.06749626635426262,105665.0,214636.2352,33.76,28.8,23.27,33.52,6.631171664214421,37.56859851097561,36.46927123812594,38.23239904374299,37.6212,35.98,Commercial Serv-Finance
2021-12-21,PYPL,38.6037,39.689,35.5081,37.0802,44.81,12515481.0,14753602.0,10388981.0,10652.106260855939,12557.00330130154,8842.211462269279,0.08004509086702469,127317.0,222226.292,33.73,29.22,33.87,34.02,6.631171664214421,36.25404671383429,35.11358787834134,36.30337616531003,37.7699,35.72,Commercial Serv-Finance
2021-12-22,PYPL,38.0449,38.8269,32.8158,35.3231,47.57,9541564.0,14815594.0,10416263.0,8120.9629222490075,12609.766024217293,8865.431873788637,0.061525044028005745,98622.0,225210.6068,33.22,29.22,32.04,30.57,6.631171664214421,35.65844451807845,34.49830163950104,35.35882582340653,38.0071,35.1,Commercial Serv-Finance
2021-12-23,PYPL,37.6072,38.4166,32.108,35.184,47.93,7762002.0,14852351.0,10438101.0,6606.35193993911,12641.050316852094,8884.018425997618,0.06331297391750429,98735.0,225598.3359,33.12,29.22,31.25,26.95,6.631171664214421,35.191074738900475,34.014995102748436,34.90778646033002,40.5652,38.59,Commercial Serv-Finance
2021-12-24,PYPL,37.6072,38.4166,32.108,35.184,47.93,7762002.0,14852351.0,10438101.0,6606.35193993911,12641.050316852094,8884.018425997618,0.06331297391750429,98735.0,225598.3359,33.12,29.22,31.25,26.95,6.631171664214421,35.191074738900475,34.014995102748436,34.90778646033002,42.4648,38.42,Commercial Serv-Finance
2021-12-27,PYPL,37.0253,37.4333,31.4944,34.0067,47.93,8357284.0,15084239.0,10477615.0,7113.005042516362,12838.413540753427,8917.649361747797,0.06151137909928321,97280.0,225598.3359,33.1,29.11,29.72,25.56,6.631171664214421,34.56852744229756,33.37051453139433,33.82263072101282,41.792,39.36,Commercial Serv-Finance
2021-12-28,PYPL,36.1795,36.392,30.7311,33.8727,45.82,7974873.0,15078247.0,10500578.0,6787.529108430879,12833.31288367985,8937.192959731008,0.07679146569565966,121811.0,223354.2329,33.24,29.09,27.39,25.41,6.631171664214421,33.66105271213125,32.4295331488136,32.666436352929594,41.3719,39.45,Commercial Serv-Finance
2021-12-29,PYPL,36.3729,36.7401,30.8497,33.3349,45.67,7038696.0,15081575.0,10521881.0,5990.735554161377,12836.145724328962,8955.324481033855,0.059803638100745474,95144.0,223201.4862,33.22,29.03,11.91,25.39,6.631171664214421,33.86883676551173,32.64515667614417,33.05379475960362,41.8396,39.38,Commercial Serv-Finance
2021-12-30,PYPL,36.1289,36.8072,32.7311,35.642,48.33,9634832.0,15149917.0,10564391.0,8200.344144829425,12894.312341471212,8991.505184578067,0.10230913119335945,164248.0,225445.6071,33.11,29.06,10.13,23.76,6.631171664214421,33.60666101606762,32.373072378289955,33.1283620458362,41.4928,41.07,Commercial Serv-Finance
