PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-12-17,RIVN,97.7756,101.0371,102.9801,102.9595,55.84,44475030.0,31952509.0,31952509.0,49399.28238494588,35490.27431793806,35490.27431793806,1.3477286041818852,372682.0,87961.0031,101.02,154.93,49.81,80.68,11.265934265178256,95.14401114043243,96.10820753380015,99.42441941701244,81.5411,93.3,Auto-Cars/Light Trucks
2021-12-20,RIVN,97.7962,99.4793,96.562,97.536,53.34,16072662.0,31404928.0,31404928.0,17852.217617029673,34882.063027465425,34882.063027465425,0.4675102352298157,136002.0,81010.5589,87.17,154.1,76.65,86.08,11.265934265178256,95.16518079093177,96.1291648483435,97.84094607315487,81.5411,93.3,Auto-Cars/Light Trucks
2021-12-21,RIVN,92.577,89.7416,73.8695,80.4182,55.41,12915065.0,30788599.0,30788599.0,14345.01393305319,34197.49584180858,34197.49584180858,0.36321235120495604,111982.0,87168.7263,89.65,152.91,88.97,75.77,11.265934265178256,89.7931836473723,90.8142088497169,87.92197888218851,82.2957,87.37,Auto-Cars/Light Trucks
2021-12-22,RIVN,91.078,88.9441,72.185,78.9297,55.24,8644060.0,30074259.0,30074259.0,9601.125924150265,33404.065651384815,33404.065651384815,0.24187181399975133,77815.0,86736.571,84.68,150.26,88.41,75.77,11.265934265178256,88.24690920667267,89.28561857320585,87.10782126083743,84.3174,85.61,Auto-Cars/Light Trucks
2021-12-23,RIVN,89.3605,87.9361,67.026,77.3152,55.39,5670121.0,29311630.0,29311630.0,6297.913908795229,32556.998742435917,32556.998742435917,0.22135251097397085,58142.0,87186.7297,84.55,147.74,87.51,71.56,11.265934265178256,86.4731973549072,87.53295699477998,86.07832063423403,85.6336,81.81,Auto-Cars/Light Trucks
2021-12-24,RIVN,89.3605,87.9361,67.026,77.3152,55.39,5670121.0,29311630.0,29311630.0,6297.913908795229,32556.998742435917,32556.998742435917,0.22135251097397085,58142.0,87186.7297,84.55,147.74,87.51,71.56,11.265934265178256,86.4731973549072,87.53295699477998,86.07832063423403,89.9374,81.86,Auto-Cars/Light Trucks
2021-12-27,RIVN,85.2745,85.7683,73.0038,79.7233,58.56,15497012.0,28893005.0,28893005.0,17212.83321664988,32092.02368771677,32092.02368771677,0.402134900990099,116973.0,96414.9826,90.25,148.14,106.06,82.85,11.265934265178256,82.24387667650845,83.35742288632729,83.86251179692867,90.6633,85.31,Auto-Cars/Light Trucks
2021-12-28,RIVN,84.3239,84.2505,67.0012,78.314,56.94,8827485.0,28302843.0,28302843.0,9804.859014371472,31436.51734564154,31436.51734564154,0.19187605286259996,56609.0,92615.6491,90.94,146.24,92.99,85.21,11.265934265178256,81.25783046415114,82.38470556608186,82.30957629735437,91.1696,77.96,Auto-Cars/Light Trucks
2021-12-29,RIVN,81.6348,80.5436,63.1759,73.4857,55.5,8754919.0,27744331.0,27744331.0,9724.259173188417,30816.169199363896,30816.169199363896,0.24189624652409458,72289.0,89437.523,88.85,144.33,80.97,85.07,11.265934265178256,78.46372073494048,79.63014611967003,78.51108903180493,91.2373,85.79,Auto-Cars/Light Trucks
2021-12-30,RIVN,78.9834,77.1301,62.7485,70.3127,56.9,10874677.0,27275729.0,27275729.0,12078.715463781306,30295.68323346139,30295.68323346139,0.2823889566387146,89846.0,93110.8195,89.94,142.62,85.79,87.11,11.265934265178256,75.70133668628797,76.90966828403306,75.0051459968581,93.295,87.22,Auto-Cars/Light Trucks
2021-12-31,RIVN,77.6341,75.7756,62.277,69.1437,57.0,5814883.0,26695706.0,26695706.0,6458.703494355014,29651.439182262842,29651.439182262842,0.2552929581590124,64499.0,93353.909,89.14,140.57,85.74,86.63,11.265934265178256,74.29245172519703,75.52332807027244,73.61155585477051,91.301,98.92,Auto-Cars/Light Trucks
2022-01-03,RIVN,77.4424,75.8223,63.6897,69.0846,56.53,8356564.0,26213097.0,26213097.0,9281.798054422443,29115.39632018456,29115.39632018456,0.2257167031838285,61090.0,92480.6001,87.92,138.62,47.89,82.28,11.265934265178256,74.09210631565774,75.32625649639043,73.65962786554111,91.1226,100.89,Auto-Cars/Light Trucks
