PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-11,SMCI,31.5316,36.3089,39.281,30.819,66.62,361774.0,193076.0,243333.0,7244.994420803002,3866.5977731704334,4873.059499569501,0.13642384105960265,103.0,1938.451,29.86,30.5,17.37,30.74,0.0,31.5316,18.62922968241038,25.906420424481652,37.1072,34.07,Computers-Integrated Sys
2021-08-12,SMCI,32.0345,41.3359,39.683,31.8674,62.15,321948.0,194910.0,244614.0,6447.427273521903,3903.326157895542,4898.713379444154,0.02666666666666667,20.0,1913.9831,25.95,30.55,19.52,29.58,0.0,32.0345,19.468322738489828,32.580101731118035,36.6226,34.01,Computers-Integrated Sys
2021-08-13,SMCI,33.4575,37.7058,49.53,33.8321,47.7,303552.0,196194.0,245270.0,6079.023449197524,3929.039922622348,4911.850626530798,0.017379679144385027,13.0,1812.6164,32.06,31.49,40.65,33.36,0.0,33.4575,21.73040971196816,27.83044652246888,40.7318,34.11,Computers-Integrated Sys
2021-08-16,SMCI,37.3266,36.6612,65.349,35.0088,52.41,251049.0,198445.0,242122.0,5027.582602408506,3974.11911433607,4848.8078218210485,0.01195219123505976,9.0,1850.5665,32.59,31.56,42.75,33.72,0.0,37.3266,27.314491896427434,26.397916308678607,36.678,30.14,Computers-Integrated Sys
2021-08-17,SMCI,38.7907,37.7425,61.534,42.6642,49.39,203742.0,198802.0,241822.0,4080.1983704385752,3981.2684495093285,4842.7998661846705,0.00398406374501992,3.0,1826.0987,31.95,30.09,43.77,33.49,0.0,38.7907,29.283524488865748,27.880148963913374,35.0193,29.49,Computers-Integrated Sys
2021-08-18,SMCI,35.9654,41.2397,37.413,27.6192,44.01,118627.0,198164.0,240524.0,2375.659837616058,3968.491625526639,4816.805674785376,0.02734375,21.0,1778.6611,33.21,30.32,47.21,35.57,0.0,35.9654,25.422753532219915,32.45796136682031,39.7369,29.13,Computers-Integrated Sys
2021-08-19,SMCI,42.9238,44.3172,77.038,48.0301,39.69,161359.0,198762.0,240382.0,3231.423614071782,3980.467283387574,4813.961856467895,0.09256844850065189,71.0,1735.7176,34.14,30.46,49.48,37.61,0.0,42.9238,34.57251808069525,36.28802303570697,39.211,28.72,Computers-Integrated Sys
2021-08-20,SMCI,38.4904,44.7321,48.635,49.0057,45.71,155605.0,198535.0,240124.0,3116.1923194534147,3975.9213530586017,4808.795119157044,0.04421768707482993,26.0,1779.6598,34.5,30.66,35.65,38.23,0.0,38.4904,28.884551098467846,36.79357512406208,39.422,28.8,Computers-Integrated Sys
2021-08-23,SMCI,35.2802,39.3253,30.546,31.3414,47.53,122578.0,198125.0,239439.0,2454.783808204117,3967.7106984976153,4795.077258990892,0.05327868852459016,13.0,1794.1407,33.95,30.68,32.98,38.18,0.0,35.2802,24.443790868848474,29.988091304549542,38.83,27.67,Computers-Integrated Sys
2021-08-24,SMCI,37.8621,38.8569,50.03,44.8244,45.08,144236.0,197332.0,238433.0,2888.513401877563,3951.829824865521,4774.93077976284,0.004098360655737705,1.0,1772.1696,34.17,30.73,32.79,38.67,0.0,37.8621,28.041844026561446,29.371160644584684,40.3617,29.28,Computers-Integrated Sys
2021-08-25,SMCI,40.075,36.3631,40.0,36.0589,45.77,147375.0,197720.0,234322.0,2951.3758472702934,3959.599881406496,4692.602485388089,0.00816326530612245,2.0,1777.1631,34.05,30.5,27.01,38.46,0.0,40.075,30.964689970997615,25.98232941077455,39.1173,29.05,Computers-Integrated Sys
2021-08-26,SMCI,39.0006,40.2069,63.305,52.4322,42.24,248809.0,195768.0,233824.0,4982.7235114251835,3920.5085683584007,4682.629415879177,0.020161290322580645,5.0,1746.2038,33.82,30.26,24.17,38.94,0.0,39.0006,29.561008107978996,31.13520848830147,39.7893,29.09,Computers-Integrated Sys
2021-08-27,SMCI,41.0702,38.3178,50.227,39.8842,47.67,302719.0,197804.0,233997.0,5983.716213577203,3909.906553306615,4625.318010526015,0.09737827715355805,26.0,1807.5974,30.94,29.98,22.41,29.78,0.0,41.0702,32.24232820439616,28.654147986635373,39.5105,28.94,Computers-Integrated Sys
2021-08-30,SMCI,39.2627,43.2823,38.57,36.1157,46.28,254554.0,198690.0,233225.0,5031.659643038005,3927.4199363405064,4610.058456152875,0.007518796992481203,2.0,1795.9615,30.36,29.99,22.14,28.09,0.0,39.2627,29.905952773486423,35.0166230994652,41.266,28.47,Computers-Integrated Sys
2021-08-31,SMCI,37.3351,37.2819,38.445,37.0047,52.99,525427.0,203851.0,235597.0,10385.88986027945,4029.4351715991493,4656.944720032007,0.07801418439716312,22.0,1848.5756,31.52,29.46,28.88,30.89,0.0,37.3351,27.32610641877104,27.253375343432232,40.3559,28.94,Computers-Integrated Sys
2021-09-01,SMCI,42.9479,39.5985,32.141,36.1907,58.23,176814.0,199482.0,235001.0,3495.0063398878065,3943.074952738468,4645.163758978217,0.099644128113879,28.0,1899.1661,32.65,29.7,34.6,31.04,0.0,42.9479,34.60243509364622,30.345470868813358,40.6557,27.18,Computers-Integrated Sys
2021-09-02,SMCI,34.9963,38.5054,31.093,42.4482,59.65,149810.0,200135.0,233893.0,2961.2299403785073,3955.9826054178798,4623.262495460584,0.031578947368421054,9.0,1914.3432,32.76,29.66,32.76,28.79,0.0,34.9963,24.032216162684616,28.90453648062878,39.9389,26.55,Computers-Integrated Sys
2021-09-03,SMCI,38.1659,43.0769,37.363,42.9651,60.41,151188.0,200976.0,232840.0,2988.468234887404,3972.606238423227,4602.448235383648,0.020761245674740483,6.0,1922.4377,31.98,29.35,29.15,26.0,0.0,38.1659,28.45069986502968,34.76241812086725,38.5857,26.77,Computers-Integrated Sys
2021-09-06,SMCI,34.11,38.6427,36.475,35.4365,51.97,112963.0,201245.0,230303.0,2232.891088619639,3977.923453956245,4552.3004557454105,0.11728395061728394,38.0,1857.6819,33.97,29.24,37.69,30.91,0.0,34.11,22.72220279814437,29.087190708110672,36.3133,26.99,Computers-Integrated Sys
2021-09-07,SMCI,34.11,38.6427,36.475,35.4365,51.97,112963.0,201245.0,230303.0,2232.891088619639,3977.923453956245,4552.3004557454105,0.11728395061728394,38.0,1857.6819,33.97,29.24,37.69,30.91,0.0,34.11,22.72220279814437,29.087190708110672,36.2587,25.26,Computers-Integrated Sys
