PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,cc30,cencc180,cencc5,cencc10,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-07-19,STNG,59.5634,58.3633,60.86,60.86,24.27,1332452.0,958986.0,1257952.0,22827.87472971134,16429.569151869604,21551.523561066246,55.45,59.23,73.52,66.39,59.14589605002193,57.93714859129676,63.3663,59.05,Transport-Marine
2021-07-20,STNG,59.4317,58.4768,60.1308,60.1308,25.55,906938.0,961867.0,1255268.0,15537.871647341826,16478.927983846457,21505.541797802583,55.46,57.24,48.49,66.43,59.01326431311862,58.0514817919405,63.5908,59.49,Transport-Marine
2021-07-21,STNG,58.6072,56.775,56.7775,56.7775,35.27,1114534.0,967272.0,1229683.0,19094.45426925686,16571.527624937975,21067.213570140153,57.66,56.95,59.54,61.76,58.18283502752337,56.336835418755996,63.9383,58.76,Transport-Marine
2021-07-22,STNG,58.8718,57.231,57.1784,57.1787,31.6,929793.0,974225.0,1224034.0,15929.42792166702,16690.64718382054,20970.432533552917,58.28,56.3,63.18,65.17,58.44935615761734,56.79635341287326,64.0261,56.96,Transport-Marine
2021-07-23,STNG,59.4365,57.5032,57.8834,57.9302,30.04,722796.0,978721.0,1220455.0,12383.10703730851,16767.672901706184,20909.115295627475,58.0,56.35,47.93,64.58,59.018098344914506,57.0706265099657,62.8837,59.33,Transport-Marine
2021-07-26,STNG,59.1032,57.3682,58.9688,58.7284,33.21,526319.0,977532.0,1210574.0,9017.01763798882,16747.302084284413,20739.83099620321,57.01,56.16,49.39,62.63,58.68242198682669,56.934600826211124,63.5717,59.1,Transport-Marine
2021-07-27,STNG,60.1801,59.4119,62.4704,61.893,31.74,686932.0,975225.0,1190411.0,11768.676695329523,16707.778543149445,20394.394486738005,57.15,56.03,50.55,49.53,59.76690418626349,58.99332387321468,62.7661,58.83,Transport-Marine
2021-07-28,STNG,59.6886,59.0096,61.1608,60.7395,34.78,536070.0,972207.0,1184711.0,9184.074048183547,16656.073046733418,20296.74025723801,53.7,56.06,38.52,50.14,59.27197794877441,58.58814975880361,64.325,58.92,Transport-Marine
2021-07-29,STNG,58.7998,57.8742,60.2617,59.8142,34.9,590893.0,969392.0,1175752.0,10123.31419379526,16607.845740178975,20143.25251777084,53.13,56.06,24.29,47.87,58.3768351320967,57.44442031772973,62.9983,60.59,Transport-Marine
2021-07-30,STNG,59.0591,59.4737,62.7317,61.8664,32.67,739147.0,972644.0,1168881.0,12663.236570636764,16663.56093038384,20025.538392122908,53.43,56.14,25.07,38.25,58.63800553233372,59.05556190309258,63.2097,60.15,Transport-Marine
2021-08-02,STNG,58.6796,58.3901,60.913,60.2311,34.38,612825.0,963022.0,1149157.0,10499.059390624843,16498.715249016142,19687.62304434753,53.02,56.14,22.72,38.44,58.255762428793254,57.96414562477394,62.9958,60.98,Transport-Marine
2021-08-03,STNG,59.6976,58.9912,62.9722,61.6969,32.48,1318764.0,965200.0,1145795.0,22593.367796611245,16536.028127314043,19630.023153891205,53.27,56.18,23.02,39.28,59.28104120003292,58.56961735780762,62.4473,64.01,Transport-Marine
2021-08-04,STNG,59.0963,60.0542,63.9227,62.7267,27.48,1380961.0,978064.0,1146664.0,23658.943844760564,16756.419082495377,19644.913350057333,56.36,56.67,42.83,40.73,58.675472505042514,59.64013193848585,62.7214,61.33,Transport-Marine
2021-08-05,STNG,59.0908,57.5756,58.3951,57.8126,21.11,3162463.0,1018123.0,1157170.0,54180.042775150265,17442.71717656912,19824.90233027885,61.53,56.67,42.83,40.73,58.66993305467461,57.14357457632485,62.4057,50.91,Transport-Marine
2021-08-06,STNG,63.9117,61.98,61.1894,61.5684,33.92,2194881.0,1027415.0,1164106.0,37603.205999057434,17601.910031350948,19943.731675083414,66.18,57.41,66.02,49.74,63.52278171561759,61.57888274400567,61.9781,45.19,Transport-Marine
2021-08-09,STNG,63.175,60.3946,58.3464,58.9911,31.28,967200.0,995388.0,1160219.0,16570.29390104471,17053.21723074141,19877.140011968768,66.75,56.75,69.22,52.05,62.78151818011412,59.982881801060536,61.9781,45.19,Transport-Marine
2021-08-10,STNG,62.4417,60.3283,58.2781,58.3338,36.01,703342.0,988556.0,1152535.0,12049.817411953312,16936.16946164301,19745.495521219564,66.46,56.92,72.36,53.63,62.04356774791404,59.91612621732149,63.5539,48.12,Transport-Marine
2021-08-11,STNG,62.4087,61.2098,59.7664,60.0845,43.03,1127694.0,994189.0,1145957.0,19319.9143432312,17032.67581540975,19632.800281837266,63.19,56.84,79.85,58.76,62.01035587456341,60.80360199889477,62.518,47.19,Transport-Marine
2021-08-12,STNG,63.0326,60.7918,57.7535,58.9038,43.52,1153987.0,997344.0,1133629.0,19770.371467843197,17086.727459862723,19421.59351597515,63.2,56.76,70.39,58.27,62.63822365584772,60.38279015779248,63.6632,45.18,Transport-Marine
2021-08-13,STNG,63.4223,61.3425,58.0117,59.542,41.52,898749.0,992372.0,1127643.0,15397.574323725574,17001.54506629125,19319.038912008666,62.73,56.67,51.3,59.12,63.030362027280155,60.93718656329647,62.696,45.74,Transport-Marine
2021-08-16,STNG,63.673,61.6795,57.1472,59.1041,41.71,738964.0,989197.0,1120539.0,12660.100863079198,16947.15005528734,19197.33134633609,59.05,55.88,44.43,58.16,63.282614745283716,61.276415693560274,62.853,46.51,Transport-Marine
