PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-25,STX,32.9548,30.6818,28.285,29.3005,63.75,3979565.0,2138157.0,2577126.0,17610.840398997505,9462.02453660119,11404.601928629598,0.06024038691758847,8806.0,20147.7049,39.72,38.79,23.12,31.6,5.2581862275151,31.23179074960451,32.34310503090264,30.023831388415434,40.3798,32.72,Computers-Memory Devices
2021-10-26,STX,33.8417,32.0726,31.0094,32.4129,60.89,3877244.0,2166416.0,2567300.0,17158.038229884798,9587.080036704965,11361.119276368277,0.03344495180111619,4944.0,19901.394,39.81,38.3,23.84,30.42,5.2581862275151,32.16623337099142,33.24632699848211,31.443747721287934,40.3756,32.49,Computers-Memory Devices
2021-10-27,STX,34.0008,31.9288,31.4253,31.1018,60.78,2154447.0,2177619.0,2554209.0,9534.113500558953,9636.656973679876,11303.187551213457,0.013836164172965537,2052.0,19892.3549,38.27,38.28,23.81,25.64,5.2581862275151,32.33357869192771,33.408262460654846,31.297058479032817,42.3311,33.56,Computers-Memory Devices
2021-10-28,STX,33.7754,31.6421,30.4067,30.2315,63.46,1766114.0,2189438.0,2544793.0,7932.743905096168,9834.161866156966,11430.287716694049,0.029542077806130947,4434.0,19937.0496,38.46,38.33,26.23,26.8,5.2581862275151,32.096472634030704,33.17883730874245,31.00451729038851,42.3311,33.56,Computers-Memory Devices
2021-10-29,STX,33.7796,31.7021,30.1121,29.9226,62.04,2702318.0,2183445.0,2540653.0,12137.833371346092,9807.243849724113,11411.692764660029,0.033496112438071886,4726.0,19830.1836,38.43,38.26,21.91,19.91,5.2581862275151,32.100892301415584,33.18311281600929,31.065748734096207,40.7075,37.91,Computers-Memory Devices
2021-11-01,STX,34.0744,31.9693,29.3961,29.6828,66.79,2293363.0,2184705.0,2520537.0,10300.955491551647,9812.903132722706,11321.338772714618,0.07465565115102107,10916.0,20460.2437,39.15,38.05,27.05,25.16,5.2581862275151,32.41096489996991,33.48316495434683,31.3383749178224,42.6413,38.15,Computers-Memory Devices
2021-11-02,STX,34.3026,32.1803,29.4441,29.8963,66.54,1754589.0,2182223.0,2506323.0,7880.978096324779,9801.75509153206,11257.494869348326,0.013963991538623734,2053.0,20442.4324,39.13,38.0,25.61,24.74,5.2581862275151,32.6507929022724,33.71536692311089,31.55359421825032,43.3219,36.79,Computers-Memory Devices
2021-11-03,STX,34.9558,32.9146,30.8692,31.7061,69.06,2722302.0,2199297.0,2481454.0,12227.594374950882,9878.445384107403,11145.79241101809,0.036066932739682984,5395.0,20807.5552,39.39,37.77,28.53,26.28,5.2581862275151,33.336374488343544,34.37972590990219,32.302143785823255,43.0819,37.03,Computers-Memory Devices
2021-11-04,STX,35.535,33.1762,30.9721,31.1379,71.59,1376062.0,2193021.0,2462277.0,6180.771745527928,9850.255463888549,11059.65582311209,0.0333950903195924,5047.0,21217.2062,35.18,37.87,29.28,27.8,5.2581862275151,33.94321928437375,34.96846901138223,32.56866356545813,45.0966,36.53,Computers-Memory Devices
2021-11-05,STX,36.1907,34.1379,34.4914,33.1392,73.4,1636896.0,2195356.0,2446744.0,7352.343748378746,9860.743725970233,10989.88753853831,0.07528806502512696,11356.0,21540.0277,35.21,37.85,30.95,26.81,5.2581862275151,34.62907271177041,35.63459507964136,33.54778407600121,43.5576,36.4,Computers-Memory Devices
