PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-22,TSCO,25.4747,22.8986,22.5723,21.4829,61.1,782048.0,779581.0,880293.0,6839.7698164039,6818.193503777223,7699.017823703454,0.1310220078384082,2173.0,23806.388,25.59,21.72,27.19,22.45,4.2403463061474795,24.021619281509015,24.41233172169344,21.710538500000407,27.9503,22.29,Retail-Gardening Prod
2021-10-25,TSCO,25.1191,23.0844,21.9015,21.8379,64.07,763270.0,779374.0,878487.0,6675.538218999277,6816.383355685855,7683.222900669512,0.11076529761573946,1993.0,24128.8212,25.99,21.78,28.81,21.9,4.2403463061474795,23.6441755539449,24.041022956812796,21.906417401300466,28.4632,22.51,Retail-Gardening Prod
2021-10-26,TSCO,25.6088,23.9626,22.5013,22.8893,57.14,801568.0,776505.0,876856.0,7010.491155628576,6791.290863409427,7668.957883498158,0.08790465285729156,1689.0,23647.4578,26.91,21.94,19.54,23.92,4.2403463061474795,24.16378468402178,24.55223487668689,22.829975881721815,28.7151,21.42,Retail-Gardening Prod
2021-10-27,TSCO,25.4419,23.5358,22.1752,22.4897,57.25,614814.0,777953.0,874587.0,5377.1460333176765,6803.955160516167,7649.11341941011,0.053164556962025315,1050.0,23657.7478,26.35,21.94,19.25,23.91,4.2403463061474795,23.98683239666642,24.37810237918448,22.381588005322588,29.7138,21.76,Retail-Gardening Prod
2021-10-28,TSCO,25.697,23.7531,22.2641,22.0691,61.01,692392.0,769463.0,874520.0,6055.641263919512,6729.70209629704,7648.52770991417,0.10723571253372578,2186.0,24021.3429,26.81,22.0,21.67,24.75,4.2403463061474795,24.257239369222656,24.644216542629227,22.609983626929058,29.7138,21.76,Retail-Gardening Prod
2021-10-29,TSCO,26.1,24.6318,22.3653,22.9696,67.72,1080502.0,766444.0,877832.0,9450.040496787331,6703.297947176099,7677.4943029960305,0.18806642274134533,3341.0,24830.8586,27.63,22.44,31.09,29.21,4.2403463061474795,24.68375686186699,25.06414969632922,23.531408186506816,28.3961,21.26,Retail-Gardening Prod
2021-11-01,TSCO,26.2941,24.7763,22.7222,23.1246,62.44,644249.0,759854.0,875906.0,5634.583782795029,6645.6618880152455,7660.64944276648,0.11023703550357106,2130.0,24448.9689,28.07,22.51,31.57,30.22,4.2403463061474795,24.88890410656455,25.26620855629115,23.68262320119965,28.7792,18.02,Retail-Gardening Prod
2021-11-02,TSCO,26.8369,24.7615,23.5447,23.1565,64.1,554137.0,751442.0,873748.0,4846.466785619296,6572.090826491167,7641.77569987438,0.03876998518669868,759.0,24655.9211,26.63,22.32,28.77,24.6,4.2403463061474795,25.46167815415484,25.830617522815828,23.667139291642325,29.1727,17.34,Retail-Gardening Prod
2021-11-03,TSCO,26.4578,24.6041,22.7895,22.2069,64.22,590580.0,748578.0,868420.0,5165.196141950179,6547.042225521996,7595.177001578742,0.055284552845528454,1122.0,24670.7856,26.49,22.29,28.77,24.48,4.2403463061474795,25.061784327053925,25.436524543262585,23.502411297779638,28.7881,18.02,Retail-Gardening Prod
2021-11-04,TSCO,27.0893,25.444,25.6875,24.2646,66.38,525574.0,744700.0,865370.0,4617.7949612792845,6543.078439315269,7603.308431623814,0.05448248951321822,1117.0,24819.6213,26.69,22.34,27.7,24.87,4.2403463061474795,25.727573288317842,26.09275329454521,24.38029400971202,31.5996,18.03,Retail-Gardening Prod
