PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-03,TTWO,31.3232,30.1562,28.6076,28.9063,34.05,5935523.0,1392454.0,1375602.0,50940.67959241452,11950.514396317893,11805.88479375526,0.34109772423025436,36946.0,18626.6205,35.07,26.88,31.45,23.41,5.41049115956961,29.3947138085894,30.598249267564313,29.402489663972332,31.8769,17.11,Entertainment Software
2021-08-04,TTWO,31.5803,30.0546,26.937,28.7043,32.96,2136380.0,1409293.0,1383655.0,18335.140805799336,12095.032527746638,11874.998479506587,0.09886649874055416,10990.0,18497.285,34.57,26.89,22.5,23.46,5.41049115956961,29.668530292868848,30.86138927673218,29.29827607829512,31.9654,16.94,Entertainment Software
2021-08-05,TTWO,31.6258,29.6324,26.3788,27.8269,31.06,2643162.0,1433580.0,1397390.0,22684.516648410627,12303.47189344751,11992.876985717307,0.10772970345162859,12188.0,18267.7438,34.84,26.95,18.27,24.14,5.41049115956961,29.71695757120632,30.907947612871354,28.865015672263198,32.0552,16.68,Entertainment Software
2021-08-06,TTWO,31.8267,29.7191,26.2789,27.1803,34.25,2280044.0,1456779.0,1408969.0,19568.113709254878,12502.573249136689,12092.251555152066,0.14222656651918922,13823.0,18444.8522,34.46,26.64,18.76,24.6,5.41049115956961,29.93067280464768,31.113483136576015,28.954013621776173,32.0886,16.64,Entertainment Software
2021-08-09,TTWO,31.9949,30.0436,25.5181,27.4926,38.77,1145469.0,1455168.0,1405713.0,9830.804609009036,12488.746776457905,12064.30714348788,0.12122147120363318,12572.0,18709.3493,34.81,26.52,15.9,24.94,5.41049115956961,30.109466412722703,31.285517831897877,29.28699200942289,32.0886,16.64,Entertainment Software
2021-08-10,TTWO,31.8056,29.7775,24.9265,26.9417,37.69,1113584.0,1454195.0,1390719.0,9557.157607350398,12480.39735378823,11935.624677201486,0.06304388951948543,6665.0,18605.6462,34.69,26.52,16.36,25.07,5.41049115956961,29.908235203851067,31.09189912758627,29.013953647340102,32.1645,15.91,Entertainment Software
2021-08-11,TTWO,31.8269,29.589,23.9841,26.2202,38.21,1068738.0,1454674.0,1352946.0,9172.27393419995,12484.508282627152,11611.44389942164,0.06704865206207108,7220.0,18634.7758,34.57,26.2,15.64,19.37,5.41049115956961,29.93088547401958,31.113687721162208,28.820460110830982,32.371,16.66,Entertainment Software
2021-08-12,TTWO,31.6997,29.6209,24.4114,27.5282,39.18,1116473.0,1459489.0,1341269.0,9581.951808184207,12525.832028696583,11511.227696336071,0.054125352497043575,5950.0,18686.0442,34.42,25.9,13.03,15.87,5.41049115956961,29.795592320658375,30.983559835661236,28.85320981814675,32.5327,18.01,Entertainment Software
2021-08-13,TTWO,31.709,29.2215,23.401,26.0358,39.15,925926.0,1450001.0,1337200.0,7946.611972262411,12444.40193535171,11476.30537354961,0.04981281698409185,5176.0,18683.7151,33.61,25.9,11.08,15.41,5.41049115956961,29.80548645214294,30.99307472646107,28.443031875135954,32.4053,18.13,Entertainment Software
2021-08-16,TTWO,31.9564,30.4647,24.0556,26.8057,39.15,816112.0,1442251.0,1333552.0,7004.150860767514,12377.888798464926,11444.996996341482,0.041489939666593596,4353.0,18683.7151,33.29,25.83,4.54,11.69,5.41049115956961,30.0685523863201,31.246143777432756,29.718814681780295,32.279,18.22,Entertainment Software
2021-08-17,TTWO,32.1955,29.8129,25.4839,26.1605,46.52,1311509.0,1404771.0,1333491.0,11255.81682894441,12056.223070229076,11444.473838186324,0.06616100931210574,7048.0,19047.2517,33.8,25.9,13.86,15.16,5.41049115956961,30.322542141101504,31.490637025154005,29.050284102053116,32.0806,18.26,Entertainment Software
