PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-08-26,WSM,38.7799,40.5165,37.1134,37.5107,72.19,10824360.0,1946550.0,2437584.0,72718.94230510843,13077.083277349313,16375.890145916748,0.3961537493392403,31476.0,13893.8451,48.18,38.69,43.34,38.54,7.682607503276876,35.60605021358554,33.53222694677464,35.52627720786404,35.8694,41.81,Retail-Home Furnishings
2021-08-27,WSM,38.3473,40.0394,33.0231,33.5585,68.98,2989004.0,1944349.0,2442242.0,20080.37513772069,13062.296778007685,16407.18297369199,0.1467942039965906,12400.0,13683.9644,48.45,38.75,40.71,39.29,7.682607503276876,35.134393193740735,33.030970577474704,34.98118283248867,36.311,28.74,Retail-Home Furnishings
2021-08-30,WSM,38.0494,39.5256,32.344,33.1579,70.0,1706446.0,1940632.0,2432907.0,11464.04482304571,13037.325665761964,16344.469674576088,0.094447015270708,8164.0,13829.8399,47.02,38.76,35.4,37.45,7.682607503276876,34.809007572212906,32.6846514492659,34.39189810638546,37.4456,28.66,Retail-Home Furnishings
2021-08-31,WSM,38.0805,38.6263,31.436,32.4579,70.46,1923656.0,1930465.0,2433188.0,12923.279499099777,12969.022922097116,16346.357455727837,0.06414488559283711,5674.0,13895.334,46.51,38.63,35.02,34.05,7.682607503276876,34.84299998640151,32.72085084850331,33.35446974080085,37.0331,28.43,Retail-Home Furnishings
2021-09-01,WSM,38.0138,37.5061,31.953,32.6775,66.18,1744118.0,1920858.0,2428768.0,11717.128422862977,12904.482304570984,16316.663531561551,0.06284941388638413,5576.0,13638.5645,46.17,38.47,19.6,33.85,7.682607503276876,34.77008999474082,32.64320128970197,32.05054035753532,38.3859,39.12,Retail-Home Furnishings
2021-09-02,WSM,37.7031,39.3323,31.0404,32.6443,64.65,1879816.0,1892445.0,2424318.0,12628.758767097519,12713.601429607932,16286.768064923548,0.06711515452513714,5946.0,13547.0208,45.98,38.48,19.57,33.62,7.682607503276876,34.43013095258824,32.28085112895879,34.169568672870305,38.8586,38.87,Retail-Home Furnishings
2021-09-03,WSM,38.0687,39.2709,31.4917,32.3459,61.13,1203412.0,1875084.0,2414697.0,8084.620965791524,12596.968801225377,16222.133394243947,0.024510906228918373,2180.0,13337.884,46.2,38.4,19.7,31.98,7.682607503276876,34.830103179467834,32.707117263525376,34.09887368829064,39.4724,39.99,Retail-Home Furnishings
2021-09-06,WSM,38.1169,38.741,31.3073,32.5374,54.09,2016374.0,1882892.0,2419427.0,13546.166662187945,12649.42358853089,16253.909923951307,0.16805678419478495,15958.0,12880.1634,47.21,38.14,30.76,33.16,7.682607503276876,34.88277846462886,32.76320597270664,33.48723161146648,39.6377,39.63,Retail-Home Furnishings
2021-09-07,WSM,38.1169,38.741,31.3073,32.5374,54.09,2016374.0,1882892.0,2419427.0,13546.166662187945,12649.42358853089,16253.909923951307,0.16805678419478495,15958.0,12880.1634,47.21,38.14,30.76,33.16,7.682607503276876,34.88277846462886,32.76320597270664,33.48723161146648,40.081,38.2,Retail-Home Furnishings
2021-09-08,WSM,37.9905,39.8927,31.5103,32.6507,56.06,1874930.0,1888752.0,2419260.0,12595.93421653723,12688.791551339586,16252.788004192083,0.08696461824953446,8406.0,13039.435,47.22,38.13,31.79,33.45,7.682607503276876,34.74461480650455,32.616064910562095,34.81317442133078,40.0286,39.76,Retail-Home Furnishings
2021-09-09,WSM,38.0919,39.9264,31.07,32.7818,60.84,2919048.0,1899077.0,2425589.0,19626.345801248026,12768.526555643037,16308.552817803406,0.12502870983233458,11976.0,13456.4453,46.69,38.23,36.89,29.54,7.682607503276876,34.855458875366644,32.73411745579831,34.85178642422796,40.4155,38.3,Retail-Home Furnishings
2021-09-10,WSM,37.905,39.9546,32.3452,33.4153,59.05,1669372.0,1906237.0,2423823.0,11224.095027872449,12816.667126108796,16296.679040227633,0.03258318665660884,3110.0,13341.9229,45.63,38.16,37.08,29.65,7.682607503276876,34.65110666057255,32.5164362284676,34.88408893980177,40.3673,38.19,Retail-Home Furnishings
2021-09-13,WSM,37.6016,39.543,31.7139,32.4832,57.45,1349228.0,1899745.0,2423113.0,9071.59296206375,12773.017882608277,16291.905324441223,0.06555775072759332,6172.0,13242.2733,45.7,37.98,35.8,28.89,7.682607503276876,34.318952349428955,32.16224374262467,34.41189400483501,40.3476,38.23,Retail-Home Furnishings
2021-09-14,WSM,37.3727,39.6126,30.8553,31.7944,57.75,1239064.0,1881810.0,2413838.0,8330.900531227162,12652.431132426238,16229.544459766654,0.029776989356310186,2820.0,13266.813,44.81,37.94,25.86,28.41,7.682607503276876,34.068003655811346,31.89433030007058,34.491849454037684,40.0671,38.28,Retail-Home Furnishings
2021-09-15,WSM,36.8163,38.6625,30.5668,32.1447,62.85,1761278.0,1877105.0,2406831.0,11842.029004021351,12620.796860912076,16182.432591435147,0.059645833333333335,5726.0,13701.8519,44.89,38.21,33.42,32.62,7.682607503276876,33.45669011561627,31.24051129047026,33.396384628429466,39.7031,37.81,Retail-Home Furnishings
2021-09-16,WSM,36.7518,38.2225,33.3933,32.1827,65.82,2626902.0,1882720.0,2398386.0,17662.089502464514,12658.549556884875,16125.652267750324,0.16980290943219145,14474.0,14002.2882,44.98,38.28,28.79,33.09,7.682607503276876,33.38570009813147,31.164473415092388,32.886001676245165,38.8247,37.63,Retail-Home Furnishings
2021-09-17,WSM,36.9423,39.0703,27.3662,32.7772,62.03,4105672.0,1877794.0,2335686.0,27604.663718617023,12625.4293822879,15704.086099006865,0.09380191693290735,4404.0,13784.3977,45.16,38.31,30.26,33.84,7.682607503276876,33.59529278176298,31.388901371185327,33.867653330131986,38.7679,37.78,Retail-Home Furnishings
2021-09-20,WSM,37.9421,40.2655,36.3009,37.099,58.94,1759652.0,1875766.0,2264699.0,11831.096522516138,12611.79403635151,15226.801926429644,0.039426673952334915,1876.0,13602.9455,44.5,38.29,31.24,33.6,7.682607503276876,34.691686615273916,32.55967678601863,35.23975156339784,38.6482,37.51,Retail-Home Furnishings
2021-09-21,WSM,37.2302,39.2449,34.0294,35.1473,60.53,1212404.0,1851276.0,2223573.0,8151.650865219178,12447.134459437199,14950.289482159415,0.03620561825521048,1758.0,13737.547,43.39,36.66,31.99,29.08,7.682607503276876,33.9116198351299,31.727234232438228,34.06892683971716,38.9441,37.51,Retail-Home Furnishings
2021-09-22,WSM,36.11,37.9172,32.6672,33.9619,64.71,1297254.0,1854788.0,2198535.0,8722.143519411879,12470.747543721522,14781.9454034832,0.06849099630415979,3484.0,14122.7611,44.33,36.64,29.73,31.63,7.682607503276876,32.67785592419391,30.404961766132843,32.53065716889224,38.7889,36.49,Retail-Home Furnishings
2021-09-23,WSM,35.7637,37.3184,31.2647,32.9223,62.82,1070710.0,1854951.0,2163337.0,7198.965112205853,12471.843481289388,14545.290124257805,0.03435720649184646,1774.0,14018.6487,41.59,36.65,25.97,27.41,7.682607503276876,32.29477365600161,29.992863112580633,31.8306861151311,39.1274,36.44,Retail-Home Furnishings
2021-09-24,WSM,35.8694,37.5826,31.1022,33.1083,64.98,1156258.0,1822312.0,2124892.0,7774.15079966463,12252.39374952515,14286.803499738791,0.024959803996631193,1304.0,14221.6674,41.81,34.82,25.59,28.02,7.682607503276876,32.41178835180767,30.11882229370863,32.14002835655252,39.2543,36.99,Retail-Home Furnishings
2021-09-27,WSM,36.311,37.5849,30.4963,33.2817,67.35,1239438.0,1819027.0,2098174.0,8333.415136444228,12230.306909583805,14107.163868215861,0.0447356529597831,2376.0,14461.1246,28.74,34.49,26.58,29.01,7.682607503276876,32.899831136380854,30.643405832250433,32.14271780683767,39.1669,36.94,Retail-Home Furnishings
2021-09-28,WSM,37.4456,39.0895,33.6811,36.0994,63.53,1755848.0,1827063.0,2081364.0,11805.520163570363,12284.337304033925,13994.141104315104,0.04396573907289637,2392.0,14260.3367,28.66,34.14,27.5,29.83,7.682607503276876,34.147959341114,31.979721064449574,33.88980097684258,39.2296,36.63,Retail-Home Furnishings
2021-09-29,WSM,37.0331,38.8824,33.7463,36.2485,63.39,1765174.0,1825492.0,2074341.0,11868.223928956351,12273.774617413574,13946.92165928982,0.03040381764939807,1682.0,14252.9008,28.43,34.14,19.26,25.05,7.682607503276876,33.69511334618679,31.495715511954952,33.65071514485241,39.0464,36.87,Retail-Home Furnishings
2021-09-30,WSM,38.3859,42.4361,37.6652,40.8084,46.84,4420748.0,1862138.0,2084114.0,29723.090866671464,12520.165587425898,14012.630848558238,0.27230033421689526,18902.0,13187.2424,39.12,35.69,58.2,45.06,7.682607503276876,35.17651896666831,33.07577540753958,37.70082470198762,38.8818,25.37,Retail-Home Furnishings
2021-10-01,WSM,38.8586,41.9969,36.8635,40.3132,44.55,2724356.0,1888988.0,2085608.0,18317.32569718102,12700.692726672498,14022.67582233978,0.25567047258204906,19974.0,13006.5335,38.87,35.55,58.13,44.91,7.682607503276876,35.69174921130058,33.623212130312595,37.20576849911851,39.3054,25.2,Retail-Home Furnishings
2021-10-04,WSM,39.4724,42.8804,39.018,41.9557,40.28,2527234.0,1898961.0,2089059.0,16991.967382746447,12767.746624613144,14045.878770479072,0.1665612981402455,12646.0,12648.8354,39.99,35.7,60.25,46.57,7.682607503276876,36.359050174095245,34.3307436820119,38.20023958249477,39.1771,25.95,Retail-Home Furnishings
2021-10-05,WSM,39.6377,42.2614,35.4972,40.4017,39.97,1950700.0,1903483.0,2086731.0,13115.616034575149,12798.150487692217,14030.22636153434,0.05949817068424194,4586.0,12622.8082,39.63,35.69,59.45,46.31,7.682607503276876,36.53843769364497,34.520672955346626,37.50407351155338,40.3989,31.03,Retail-Home Furnishings
2021-10-06,WSM,40.081,43.3846,38.0069,42.6551,37.43,1695792.0,1905425.0,2079234.0,11401.73104347376,12811.20760889955,13979.819956955876,0.07851004348726444,6066.0,12408.6351,38.2,35.64,60.67,45.01,7.682607503276876,37.018869901745724,35.028790458706965,38.765359757907575,40.9485,31.02,Retail-Home Furnishings
2021-10-07,WSM,40.0286,42.5703,35.412,40.6905,45.12,1516284.0,1908036.0,2068459.0,10194.8012218023,12828.762780615487,13907.373777239596,0.040942991418062936,3206.0,12839.2111,39.76,35.39,34.99,48.02,7.682607503276876,36.96212907507325,34.96882065440583,37.85181689285206,41.0627,28.69,Retail-Home Furnishings
2021-10-08,WSM,40.4155,43.8511,36.1935,40.6605,43.55,1265126.0,1905894.0,2060646.0,8506.129518305183,12814.360950735925,13854.842732959012,0.10142995637421232,8370.0,12717.996,38.3,35.03,34.26,47.71,7.682607503276876,37.38078126594434,35.41104686746778,39.286748035565374,41.493,29.23,Retail-Home Furnishings
2021-10-11,WSM,40.3673,42.6982,36.4758,41.1886,44.06,1122822.0,1905225.0,2056007.0,7549.342403841564,12809.862900227323,13823.652215306685,0.02938563848942453,2448.0,12746.9978,38.19,35.0,28.0,46.98,7.682607503276876,37.328662942735775,35.35602507762998,37.995603472507185,42.2577,29.29,Retail-Home Furnishings
2021-10-12,WSM,40.3476,42.3844,36.6665,41.5682,46.11,1383228.0,1899547.0,2028978.0,9300.1934363425,12771.686621022773,13641.921561798441,0.014752648064462139,1234.0,12861.5208,38.23,34.67,28.68,46.67,7.682607503276876,37.307358437208805,35.33353118158444,37.642621632399624,42.5575,29.63,Retail-Home Furnishings
