PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2021-10-29,YUM,21.3854,19.242,16.6232,16.5219,46.83,2303818.0,1472066.0,1557590.0,7792.473449426584,4979.141243276853,5268.41908522824,0.02727647838078485,1256.0,36938.0817,11.98,14.81,6.99,8.44,3.4747041919384856,20.22476344173401,21.004164662275908,18.81738993590769,23.1193,14.11,Retail-Restaurants
2021-11-01,YUM,21.5075,19.5089,16.2669,16.9835,54.6,1239872.0,1467662.0,1552706.0,4193.764409456925,4964.245229114271,5251.899519587686,0.05149896111605818,2429.0,37408.1586,12.19,14.9,11.32,10.54,3.4747041919384856,20.353827142925738,21.128467910617655,19.09022732211432,23.8651,15.42,Retail-Restaurants
2021-11-02,YUM,21.6893,19.7425,18.8996,18.8711,45.27,1296699.0,1464200.0,1554272.0,4385.977053248648,4952.535323437954,5257.196409117985,0.014079163680816086,668.0,36784.3442,13.41,15.07,16.07,12.57,3.4747041919384856,20.54583796305472,21.313501225514308,19.328887868938555,24.6647,14.82,Retail-Restaurants
2021-11-03,YUM,21.6358,19.039,16.9588,17.3717,43.83,1486712.0,1469412.0,1553510.0,5028.680104988482,4970.164289002399,5254.61880303694,0.015035869202535869,721.0,36674.9564,13.36,15.06,16.15,12.31,3.4747041919384856,20.489352472786944,21.25905552088333,18.60975875716824,24.6856,16.44,Retail-Restaurants
2021-11-04,YUM,21.9688,20.1048,18.0549,17.6502,50.08,1146786.0,1469970.0,1553624.0,3912.168135124074,5014.684338305782,5300.0632260631055,0.016739612935344022,807.0,36758.8916,13.87,15.0,17.75,13.44,3.4747041919384856,20.840678888992567,21.59786502041348,19.69879648709535,26.2029,17.06,Retail-Restaurants
2021-11-05,YUM,22.0998,20.4504,18.664,17.859,55.13,1187859.0,1469553.0,1553582.0,4052.285409807787,5013.261827236451,5299.920000218883,0.024695037574777,1160.0,37134.1016,13.64,15.07,18.4,13.92,3.4747041919384856,20.97872453592211,21.731101215538985,20.05139546665019,25.1551,19.97,Retail-Restaurants
2021-11-08,YUM,21.8848,20.6503,18.5498,17.999,53.07,839611.0,1467844.0,1552168.0,2864.2653583190795,5007.431680404986,5295.0962203823065,0.012664125370605676,598.0,36999.2606,12.71,15.08,16.27,14.01,3.4747041919384856,20.75211300456174,21.51241667130869,20.255233646887415,23.773,20.69,Retail-Restaurants
2021-11-09,YUM,22.4208,21.1995,18.2297,18.788,52.93,706648.0,1463393.0,1549570.0,2410.6727584704463,4992.247399039326,5286.233296270631,0.008501818797056087,402.0,36990.467,12.09,15.06,11.05,13.79,3.4747041919384856,21.316613139851754,22.057467502866235,20.814860082402667,23.4922,20.69,Retail-Restaurants
2021-11-10,YUM,22.6202,21.2598,17.927,18.7381,51.06,996212.0,1457836.0,1535890.0,3398.4970115626484,4973.290112293814,5239.565047488843,0.007817109144542773,371.0,36876.1453,12.09,14.71,11.07,13.84,3.4747041919384856,21.526243777168848,22.26012237252976,20.876271123933986,23.0574,21.0,Retail-Restaurants
2021-11-11,YUM,22.2047,20.9971,18.4914,18.7328,44.97,1167997.0,1461383.0,1532097.0,3984.5278696572077,4985.3906232150075,5226.625749482403,0.018884910914306052,902.0,36471.6201,12.25,14.6,11.17,14.83,3.4747041919384856,21.0892016255737,21.837772370138854,20.608682840249642,22.5687,21.06,Retail-Restaurants
