,return,iv,ive,rv,realiv
2022-04-29,,56.1336,56.2391,74.61,55.126196358268906
2022-05-30,,56.2391,61.2699,72.93,55.23362060177135
2022-06-28,,61.2699,57.556,59.18,60.34829841826876
2022-07-27,,57.556,54.8899,38.23,56.493706787471424
2022-08-25,,54.8899,59.1093,50.03,53.77496529611893
2022-09-23,,59.1093,56.4138,50.62,58.07542610329084
2022-10-24,,56.4138,49.3709,34.7,55.16254393729656
2022-11-22,,49.3709,49.2924,45.62,47.93615743887044
2022-12-21,,49.2924,46.3357,52.22,47.85530400022733
2023-01-19,,46.3357,40.396,25.89,44.80386721795534
2023-02-17,,40.396,47.5503,37.97,38.7620685361409
2023-03-20,,47.5503,41.7132,43.56,46.170252016753
2023-04-18,,41.7132,42.1929,38.01,40.13293155801709
2023-05-17,,42.1929,37.8308,32.74,40.74596145202041
2023-06-15,,37.8308,36.2858,27.6,36.20997090415199
2023-07-14,,36.2858,36.3936,32.86,34.59265595295529
2023-08-14,,36.3936,34.7328,21.23,34.89942665244426
2023-09-12,,34.7328,41.4517,34.17,33.16388480786497
2023-10-11,,41.4517,41.2384,38.63,40.14622388966784
2023-11-09,,41.2384,38.0758,32.25,39.95182834247341
2023-12-08,,38.0758,38.1853,39.95,36.6784609680731
2024-01-08,,38.1853,37.7969,64.57,36.79211993669924
2024-02-06,,37.7969,38.4084,31.11,36.43619353462086
2024-03-06,,38.4084,39.6194,37.01,37.07014621285364
2024-04-04,,39.6194,38.5002,37.44,38.32345764727326
2024-05-03,,38.5002,38.3293,60.23,37.0171361448736
2024-06-03,,38.3293,39.2542,18.03,36.83935676444566
2024-07-02,,39.2542,41.2769,35.87,37.80072996607483
2024-07-31,,41.2769,42.6249,43.82,39.34231744820529
