,return,iv,ive,rv,realiv
2022-03-02,,52.5577,46.4061,70.84,50.37378274690495
2022-03-31,,46.4061,55.5087,47.78,43.91733457477104
2022-04-29,,55.5087,55.7528,86.56,53.445504344447706
2022-05-30,,55.7528,59.9062,74.76,53.1999443910747
2022-06-28,,59.9062,57.0007,58.04,57.53791944286342
2022-07-27,,57.0007,51.5361,39.37,54.50632234762717
2022-08-25,,51.5361,56.9765,49.14,48.0923721987432
2022-09-23,,56.9765,55.6051,48.43,53.881612937461774
2022-10-24,,55.6051,53.3771,76.76,52.4293220107074
2022-11-22,,53.3771,55.2229,42.9,49.63205702457958
2022-12-21,,55.2229,48.5226,40.35,51.61196532288922
2023-01-19,,48.5226,47.3063,71.43,44.36968549405234
2023-02-17,,47.3063,47.1024,38.63,43.17618725877198
2023-03-20,,47.1024,44.0512,37.17,42.95268573994581
2023-04-18,,44.0512,42.8118,54.06,39.58289211205447
2023-05-17,,42.8118,41.9831,41.3,38.775321878644405
2023-06-15,,41.9831,41.4899,33.29,37.85836833729736
2023-07-14,,41.4899,40.1201,27.05,37.31068438882459
2023-08-14,,40.1201,38.9644,36.0,35.9346538137487
2023-09-12,,38.9644,41.8132,34.35,34.63959278143962
2023-10-11,,41.8132,40.4995,42.38,37.81561337521797
2023-11-09,,40.4995,39.1985,38.54,36.9049302776813
2023-12-08,,39.1985,38.2699,27.99,35.47233824828184
2024-01-08,,38.2699,38.6802,30.33,34.44342643466991
2024-02-06,,38.6802,38.4581,41.11,34.89874282249316
2024-03-06,,38.4581,38.5074,23.15,34.521308563099346
2024-04-04,,38.5074,39.025,29.72,34.57622223521123
2024-05-03,,39.025,34.0329,31.2,35.15175549384008
2024-06-03,,34.0329,33.497,18.0,29.603214506863903
2024-07-02,,33.497,36.7192,25.93,28.98553148951038
2024-07-31,,36.7192,35.0412,60.38,32.65595926273485
