,return,iv,ive,rv,realiv
2022-04-29,,28.4828,26.6878,29.64,27.719300197113853
2022-05-30,,26.6878,27.4297,29.94,25.871381416880624
2022-06-28,,27.4297,24.7546,23.19,26.63603104194985
2022-07-27,,24.7546,24.6526,15.84,23.886871609379757
2022-08-25,,24.6526,28.7129,25.33,23.781150116909664
2022-09-23,,28.7129,28.2125,37.28,27.96825058048845
2022-10-24,,28.2125,24.5043,24.54,27.43059739288799
2022-11-22,,24.5043,24.6366,22.59,23.59985668538505
2022-12-21,,24.6366,23.5296,16.69,23.737198163235558
2023-01-19,,23.5296,21.3548,15.6,22.586159329127057
2023-02-17,,21.3548,24.9225,24.01,20.42997712124352
2023-03-20,,24.9225,21.6681,16.43,24.134777570645507
2023-04-18,,21.6681,21.7909,28.6,20.75724065825064
2023-05-17,,21.7909,19.0567,17.54,20.89312952168629
2023-06-15,,19.0567,18.9166,14.81,18.023244804694837
2023-07-14,,18.9166,20.0618,22.67,17.875046684133704
2023-08-14,,20.0618,20.8661,15.53,18.999850987066694
2023-09-12,,20.8661,25.1624,23.32,19.84723274163779
2023-10-11,,25.1624,23.4008,20.29,24.32416272044609
2023-11-09,,23.4008,19.9171,16.66,22.30533684623184
2023-12-08,,19.9171,18.978,13.19,18.617773325343386
2024-01-08,,18.978,18.5505,18.28,17.609517176341537
2024-02-06,,18.5505,20.1494,16.66,17.291084153789743
2024-03-06,,20.1494,21.7625,19.51,18.996285461201055
2024-04-04,,21.7625,20.3605,17.21,20.699443161917152
2024-05-03,,20.3605,19.9763,13.16,19.050540452938517
2024-06-03,,19.9763,20.7655,17.41,18.63935870648577
2024-07-02,,20.7655,21.6037,25.4,19.482790394321004
2024-07-31,,21.6037,20.3723,19.25,20.180454719339565
