,return,iv,ive,rv,realiv
2022-03-02,,32.9301,30.9618,42.72,31.751143741990752
2022-03-31,,30.9618,35.063,35.4,29.70482624346688
2022-04-29,,35.063,31.4245,34.4,33.95817444908602
2022-05-30,,31.4245,32.3276,37.97,30.29085404064054
2022-06-28,,32.3276,30.2539,30.13,31.2267571166362
2022-07-27,,30.2539,29.4457,30.47,29.074647091089336
2022-08-25,,29.4457,34.4142,32.06,28.250560837678385
2022-09-23,,34.4142,35.9037,37.2,33.39733673204149
2022-10-24,,35.9037,31.6877,47.66,34.93022491830489
2022-11-22,,31.6877,31.518,33.88,30.580308540682967
2022-12-21,,31.518,29.5936,26.39,30.608512997940984
2023-01-19,,29.5936,28.0889,32.75,28.623031022327496
2023-02-17,,28.0889,29.0526,20.82,27.317856027220103
2023-03-20,,29.0526,27.684,22.68,28.307817320908477
2023-04-18,,27.684,27.5787,22.48,26.901353324952368
2023-05-17,,27.5787,26.0841,37.99,26.79297759495808
2023-06-15,,26.0841,26.0737,26.88,25.19815690603224
2023-07-14,,26.0737,28.3662,25.5,25.187391098345625
2023-08-14,,28.3662,26.6204,20.74,27.553731890453975
2023-09-12,,26.6204,27.538,19.2,25.587964269477173
2023-10-11,,27.538,28.7287,24.23,26.541282246644386
2023-11-09,,28.7287,24.5394,22.9,27.774744337005885
2023-12-08,,24.5394,25.5216,28.03,23.149696566564845
2024-01-08,,25.5216,25.5899,20.77,24.18839319434063
2024-02-06,,25.5899,25.7419,25.96,24.260446837888708
2024-03-06,,25.7419,27.153,23.7,24.060798045420245
2024-04-04,,27.153,27.2093,33.62,25.564858614365512
2024-05-03,,27.2093,26.0804,41.07,25.62464816270652
2024-06-03,,26.0804,26.4351,18.91,24.58476120254261
2024-07-02,,26.4351,28.9238,35.49,24.960723772279607
2024-07-31,,28.9238,29.4052,45.72,27.58277407488312
