,return,iv,ive,rv,realiv
2022-04-29,,28.9678,27.3792,32.42,27.61391169154714
2022-05-30,,27.3792,27.7749,31.59,25.942537938847924
2022-06-28,,27.7749,24.4862,32.52,26.35981320264929
2022-07-27,,24.4862,25.1245,16.65,22.86850831402354
2022-08-25,,25.1245,28.7265,23.81,23.62999506896996
2022-09-23,,28.7265,30.7443,27.9,27.42896222899337
2022-10-24,,30.7443,25.4393,29.87,29.535540441975066
2022-11-22,,25.4393,25.7376,27.04,23.81949456738716
2022-12-21,,25.7376,24.0678,23.94,24.137820753245027
2023-01-19,,24.0678,23.5056,24.54,22.34881056780844
2023-02-17,,23.5056,25.8558,16.59,21.997912276349123
2023-03-20,,25.8558,22.9256,19.3,24.493209401749525
2023-04-18,,22.9256,23.3034,19.06,21.377044896756694
2023-05-17,,23.3034,20.5631,17.7,21.9509611178248
2023-06-15,,20.5631,19.6791,20.19,19.016764289601323
2023-07-14,,19.6791,19.8899,22.92,18.057220695507272
2023-08-14,,19.8899,18.3087,8.27,18.32436791938571
2023-09-12,,18.3087,20.2953,16.36,16.59466279636354
2023-10-11,,20.2953,22.1843,40.19,18.76362277719876
2023-11-09,,22.1843,20.4534,10.44,20.921636929219087
2023-12-08,,20.4534,19.8023,13.21,19.076511653550916
2024-01-08,,19.8023,18.2865,13.33,18.37669204721197
2024-02-06,,18.2865,19.135,9.33,16.56368358575678
2024-03-06,,19.135,19.8723,14.38,17.49593543309613
2024-04-04,,19.8723,18.5071,16.3,18.29939449733429
2024-05-03,,18.5071,18.4895,15.39,16.68761251359972
2024-06-03,,18.4895,19.0701,19.78,16.668091409758045
2024-07-02,,19.0701,18.4508,15.27,17.3098924030177
2024-07-31,,18.4508,18.299,13.42,16.62515207852397
