,return,iv,ive,rv
2022-01-19,,48.9008,51.5515,53.16
2022-02-17,,51.5515,50.3871,70.53
2022-03-18,,50.3871,50.6795,50.31
2022-04-18,,50.6795,58.0373,61.19
2022-05-17,,58.0373,60.2746,77.24
2022-06-15,,60.2746,57.8299,46.95
2022-07-14,,57.8299,55.5598,63.17
2022-08-12,,55.5598,55.2552,57.83
2022-09-12,,55.2552,59.1816,44.1
2022-10-11,,59.1816,57.358,49.79
2022-11-09,,57.358,52.1086,81.31
2022-12-08,,52.1086,53.0541,37.95
2023-01-06,,53.0541,44.7736,40.82
2023-02-06,,44.7736,43.3458,38.99
2023-03-07,,43.3458,44.0549,33.55
2023-04-05,,44.0549,48.0467,41.22
2023-05-04,,48.0467,47.7538,73.17
2023-06-02,,47.7538,42.5755,40.16
2023-07-03,,42.5755,42.3885,33.55
2023-08-01,,42.3885,41.9317,27.04
2023-08-30,,41.9317,42.3511,42.01
2023-09-28,,42.3511,46.7549,33.27
2023-10-27,,46.7549,39.8388,68.33
2023-11-27,,39.8388,40.5389,38.65
2023-12-26,,40.5389,41.7937,33.06
2024-01-24,,41.7937,44.5086,29.83
2024-02-22,,44.5086,40.2305,34.54
2024-03-22,,40.2305,43.0283,29.94
2024-04-22,,43.0283,43.744,35.38
2024-05-21,,43.744,40.3445,40.91
2024-06-19,,40.3445,41.7437,41.46
2024-07-18,,41.7437,43.6556,45.11
