,return,iv,ive,rv,realiv
2022-04-29,,23.5232,21.1358,15.97,23.36130308638885
2022-05-30,,21.1358,21.8931,28.11,20.95546671620848
2022-06-28,,21.8931,21.1293,21.94,21.719055487385297
2022-07-27,,21.1293,20.0311,14.75,20.94891076271321
2022-08-25,,20.0311,23.6486,24.26,19.92423989805993
2022-09-23,,23.6486,27.0077,40.44,23.55815464473912
2022-10-24,,27.0077,21.7944,26.15,26.928539277046635
2022-11-22,,21.7944,22.4427,20.5,21.682906667753254
2022-12-21,,22.4427,20.3932,20.71,22.334443209816055
2023-01-19,,20.3932,19.3882,17.66,20.27400247712569
2023-02-17,,19.3882,23.1134,21.91,19.26278457135673
2023-03-20,,23.1134,20.9865,26.36,23.04899047822164
2023-04-18,,20.9865,20.6659,16.67,20.91554170360289
2023-05-17,,20.6659,19.4464,18.31,20.62135288868783
2023-06-15,,19.4464,18.5483,18.3,19.399052685886332
2023-07-14,,18.5483,20.7086,19.71,18.49865414130969
2023-08-14,,20.7086,19.6049,13.56,20.55720072763332
2023-09-12,,19.6049,23.4621,26.85,19.44490914882885
2023-10-11,,23.4621,21.2707,21.34,23.328577414969136
2023-11-09,,21.2707,20.4195,20.28,20.97642409838612
2023-12-08,,20.4195,19.0244,20.82,20.11277379466477
2024-01-08,,19.0244,19.6626,21.26,18.694798336044013
2024-02-06,,19.6626,19.8804,24.05,19.343875729164363
2024-03-06,,19.8804,19.7142,15.62,19.48857484154392
2024-04-04,,19.7142,19.2833,21.44,19.319004292003733
2024-05-03,,19.2833,18.5695,16.61,18.787987168521312
2024-06-03,,18.5695,17.7589,11.35,18.05461528818937
2024-07-02,,17.7589,18.2669,16.16,17.219794777073318
2024-07-31,,18.2669,18.0872,20.17,17.870978189910502
