,return,iv,ive,rv,realiv
2022-04-29,,26.3023,24.6263,25.2,25.850115474793977
2022-05-30,,24.6263,26.1322,27.98,24.142745006734074
2022-06-28,,26.1322,24.5633,16.93,25.677020107679613
2022-07-27,,24.5633,23.2927,21.95,24.07847984529304
2022-08-25,,23.2927,26.8823,20.82,22.779936246947468
2022-09-23,,26.8823,25.9331,28.69,26.43924498572134
2022-10-24,,25.9331,22.9346,25.21,25.473541130651448
2022-11-22,,22.9346,22.85,17.33,22.28324677028416
2022-12-21,,22.85,22.6868,22.01,22.19616429623325
2023-01-19,,22.6868,20.6835,24.99,22.028120748383863
2023-02-17,,20.6835,29.0981,26.1,20.00568227159691
2023-03-20,,29.0981,21.4979,18.85,28.620265102058134
2023-04-18,,21.4979,21.8521,25.86,20.846578983422845
2023-05-17,,21.8521,18.5202,19.06,21.188601203699
2023-06-15,,18.5202,17.6355,14.48,17.732466117249306
2023-07-14,,17.6355,17.8235,23.42,16.806350192989395
2023-08-14,,17.8235,16.8242,10.52,16.987517060157984
2023-09-12,,16.8242,19.3559,13.95,15.935880561147494
2023-10-11,,19.3559,19.3575,19.62,18.58896039129565
2023-11-09,,19.3575,18.2866,12.67,18.632142525047552
2023-12-08,,18.2866,18.2393,16.64,17.516953741552364
2024-01-08,,18.2393,18.3569,39.02,17.467569759805894
2024-02-06,,18.3569,18.6699,15.85,17.581130264427106
2024-03-06,,18.6699,19.2502,11.6,17.90769470855349
2024-04-04,,19.2502,19.4887,21.5,18.51190330043766
2024-05-03,,19.4887,17.8682,15.23,18.627965235610212
2024-06-03,,17.8682,17.6635,11.17,16.925254277827047
2024-07-02,,17.6635,19.5268,14.01,16.709006355229583
2024-07-31,,19.5268,19.6744,28.17,18.66782203067896
