,return,iv,ive,rv,realiv
2022-03-31,,89.0294,103.2489,81.91,84.57426725716888
2022-04-29,,103.2489,107.9873,207.63,99.43293201418246
2022-05-30,,107.9873,107.3608,126.15,100.49993610707809
2022-06-28,,107.3608,105.1903,135.56,99.82645727900382
2022-07-27,,105.1903,106.7737,96.64,97.48835525500866
2022-08-25,,106.7737,105.7286,108.02,99.1947740958503
2022-09-23,,105.7286,113.8477,89.88,98.36020149278085
2022-10-24,,113.8477,106.3446,153.09,107.03967103382956
2022-11-22,,106.3446,106.4121,84.9,96.86581661431596
2022-12-21,,106.4121,97.6939,86.6,96.93991698783476
2023-01-19,,97.6939,98.5311,152.83,87.28064262142146
2023-02-17,,98.5311,107.0072,74.98,86.5639957747053
2023-03-20,,107.0072,97.737,86.86,96.10144925605024
2023-04-18,,97.737,92.9514,91.31,85.65902676468603
2023-05-17,,92.9514,92.6044,95.68,83.62088848735748
2023-06-15,,92.6044,82.1086,81.9,83.23499942220863
2023-07-14,,82.1086,88.6367,73.26,71.37445217593667
2023-08-14,,88.6367,78.9568,100.0,78.79692136336973
2023-09-12,,78.9568,85.4898,67.18,68.7474032134641
2023-10-11,,85.4898,79.7899,112.55,76.16124399190583
2023-11-09,,79.7899,88.0779,102.14,72.05390781506891
2023-12-08,,88.0779,88.1093,91.97,81.13602133345242
2024-01-08,,88.1093,87.6278,55.29,81.17010678755109
2024-02-06,,87.6278,87.5503,84.54,80.64718731767678
2024-03-06,,87.5503,90.3076,78.35,80.97374665378737
2024-04-04,,90.3076,84.6801,51.35,83.9473360793643
2024-05-03,,84.6801,77.9972,76.01,77.861492106636
2024-06-03,,77.9972,72.861,76.37,71.29130232712825
2024-07-02,,72.861,74.7585,59.21,65.63239977829548
2024-07-31,,74.7585,72.7993,110.86,67.73270924677382
