,return,iv,ive,rv,realiv
2022-02-01,,30.2947,34.2707,40.58,29.09699766567465
2022-03-02,,34.2707,31.4252,37.25,33.29195525904851
2022-03-31,,31.4252,36.4364,29.3,30.354844778395552
2022-04-29,,36.4364,33.5171,39.8,35.51738519993396
2022-05-30,,33.5171,35.4626,42.89,32.332640628058016
2022-06-28,,35.4626,33.6467,27.9,34.34530035293254
2022-07-27,,33.6467,31.6102,30.83,32.46696903720993
2022-08-25,,31.6102,36.4778,31.42,30.469717411149304
2022-09-23,,36.4778,35.6713,35.48,35.49406750310952
2022-10-24,,35.6713,30.0597,21.88,34.6646877782751
2022-11-22,,30.0597,28.9665,18.33,28.71068467759536
2022-12-21,,28.9665,27.6692,19.13,27.56403404468056
2023-01-19,,27.6692,25.5033,22.29,26.1973754259145
2023-02-17,,25.5033,38.1447,50.82,24.07728267585724
2023-03-20,,38.1447,28.9478,32.87,37.20638880962697
2023-04-18,,28.9478,30.145,34.86,27.69968149642041
2023-05-17,,30.145,25.7976,29.96,29.08042461598025
2023-06-15,,25.7976,24.8086,18.22,24.54518764657769
2023-07-14,,24.8086,24.7901,17.81,23.50354664312836
2023-08-14,,24.7901,22.4713,13.16,23.59133167460193
2023-09-12,,22.4713,25.3897,16.57,21.14145680555331
2023-10-11,,25.3897,24.0843,26.1,24.220626297870098
2023-11-09,,24.0843,21.6742,11.38,23.019383888451383
2023-12-08,,21.6742,21.7182,13.4,20.484371451277077
2024-01-08,,21.7182,22.5201,14.34,20.530921541759767
2024-02-06,,22.5201,24.065,20.8,21.377404709737224
2024-03-06,,24.065,24.7932,14.3,22.61985070275764
2024-04-04,,24.7932,24.5735,20.66,23.393079896735387
2024-05-03,,24.5735,22.7006,16.55,23.096349401231716
2024-06-03,,22.7006,22.5142,16.95,21.09269290000157
2024-07-02,,22.5142,23.3776,25.39,20.891951920626678
2024-07-31,,23.3776,22.3992,29.57,21.8196387498459
