,return,iv,ive,rv,realiv
2022-04-29,,54.933,53.1455,79.0,53.025651860017206
2022-05-30,,53.1455,54.0613,63.88,50.88368494008608
2022-06-28,,54.0613,50.5765,51.41,51.83945775682788
2022-07-27,,50.5765,48.6496,45.64,48.19426911036148
2022-08-25,,48.6496,53.8205,57.52,46.21404583238767
2022-09-23,,53.8205,56.2128,64.95,51.62945547154288
2022-10-24,,56.2128,51.1167,70.12,54.11869673114855
2022-11-22,,51.1167,50.9025,43.86,48.58262329779872
2022-12-21,,50.9025,46.8413,42.01,48.35719981404853
2023-01-19,,46.8413,45.7602,66.95,44.06202053124453
2023-02-17,,45.7602,49.0101,44.86,43.08414794316314
2023-03-20,,49.0101,43.3666,28.11,46.52136930442148
2023-04-18,,43.3666,43.6334,54.4,40.53282491399247
2023-05-17,,43.6334,46.5532,61.6,41.121450907501455
2023-06-15,,46.5532,44.5589,34.43,44.20747176007752
2023-07-14,,44.5589,44.1885,45.03,42.10220538627463
2023-08-14,,44.1885,44.4088,42.34,41.68719337110276
2023-09-12,,44.4088,45.7692,39.46,41.92064021874802
2023-10-11,,45.7692,43.3596,47.35,43.35917697039133
2023-11-09,,43.3596,41.8124,42.4,41.01266311306583
2023-12-08,,41.8124,42.7094,52.14,39.37334653323019
2024-01-08,,42.7094,43.6804,55.03,40.32463852070878
2024-02-06,,43.6804,51.1536,59.02,41.054069676072245
2024-03-06,,51.1536,48.1064,47.09,48.93005299167164
2024-04-04,,48.1064,44.2174,52.14,45.73494302792773
2024-05-03,,44.2174,45.9266,35.13,41.43985258001037
2024-06-03,,45.9266,45.4834,35.65,43.25893557004139
2024-07-02,,45.4834,46.3539,59.16,42.78811277274323
2024-07-31,,46.3539,47.4883,51.59,43.55982554297185
